mc_index,seed,run_id,stop_reason,tasks_created,tasks_completed,tasks_failed,simulation_ticks,average_cycle_time,average_wait_time,average_throughput,average_robot_utilization,total_blocked_ticks,total_replans,sla_target_ticks,sla_evaluated_tasks,late_tasks,sla_compliance_rate
0,478163327,20260903_112854_1622fa,max_ticks_reached,760,148,0,2000,78.02027027027027,60.92045454545455,0.074,0.9674375,5008,269,300,148,2,0.9864864864864865
1,107420369,20260903_112910_6c4f9d,max_ticks_reached,760,402,0,2000,143.17910447761193,110.53995680345572,0.201,0.9215,947,211,300,402,76,0.8109452736318408
2,1181241943,20260903_112922_0ffe6a,max_ticks_reached,760,395,0,2000,159.47341772151898,122.99334811529934,0.1975,0.922125,1033,231,300,395,94,0.7620253164556963
3,1051802512,20260903_112933_65cb99,max_ticks_reached,760,381,0,2000,155.63254593175853,126.79043280182232,0.1905,0.921625,1016,231,300,381,71,0.8136482939632546
4,958682846,20260903_112945_5fb91d,max_ticks_reached,760,400,0,2000,129.7525,104.11086956521739,0.2,0.923625,982,219,300,400,67,0.8325
5,599310825,20260903_112958_9c230e,max_ticks_reached,760,378,0,2000,149.67989417989418,112.93394077448747,0.189,0.9275625,1133,256,300,378,59,0.843915343915344
6,440213415,20260903_113015_04bff6,max_ticks_reached,760,420,0,2000,113.83571428571429,82.3609958506224,0.21,0.924875,984,222,300,420,54,0.8714285714285714
7,373399426,20260903_113027_3896b2,max_ticks_reached,760,376,0,2000,150.3244680851064,112.72979214780601,0.188,0.9270625,1081,242,300,376,68,0.8191489361702128
8,1812140441,20260903_113040_295e9d,max_ticks_reached,760,406,0,2000,144.82266009852216,113.79828326180258,0.203,0.9200625,986,223,300,406,91,0.7758620689655172
9,136505587,20260903_113054_a97752,max_ticks_reached,760,408,0,2000,143.07843137254903,110.20169851380042,0.204,0.9220625,985,221,300,408,96,0.7647058823529411
