mc_index,seed,run_id,stop_reason,tasks_created,tasks_completed,tasks_failed,simulation_ticks,average_cycle_time,average_wait_time,average_throughput,average_robot_utilization,total_blocked_ticks,total_replans,sla_target_ticks,sla_evaluated_tasks,late_tasks,sla_compliance_rate
0,478163327,20260903_113246_b2cfc2,target_reached,58,50,0,153,21.28,0.0,0.32679738562091504,0.650871459694989,107,27,250,50,0,1.0
1,107420369,20260903_113247_d684f2,target_reached,58,50,0,154,20.6,0.1896551724137931,0.3246753246753247,0.6304112554112554,88,27,250,50,0,1.0
2,1181241943,20260903_113249_d5c2cb,target_reached,58,50,0,154,26.7,0.29310344827586204,0.3246753246753247,0.783008658008658,159,29,250,50,0,1.0
3,1051802512,20260903_113250_e43f4f,target_reached,60,50,0,161,20.48,0.18333333333333332,0.3105590062111801,0.6413043478260869,116,32,250,50,0,1.0
4,958682846,20260903_113252_39da83,target_reached,58,50,0,152,17.26,0.0,0.32894736842105265,0.537828947368421,47,12,250,50,0,1.0
5,599310825,20260903_113253_2aeb97,target_reached,58,50,0,152,25.66,0.27586206896551724,0.32894736842105265,0.7642543859649122,105,26,250,50,0,1.0
6,440213415,20260903_113255_332f9b,target_reached,60,50,0,161,22.58,0.18333333333333332,0.3105590062111801,0.7091097308488613,123,28,250,50,0,1.0
7,373399426,20260903_113256_844f5c,target_reached,60,51,0,159,20.529411764705884,0.016666666666666666,0.32075471698113206,0.6483228511530398,130,30,250,51,0,1.0
8,1812140441,20260903_113257_e10b6f,target_reached,58,50,0,153,18.18,0.0,0.32679738562091504,0.568082788671024,82,22,250,50,0,1.0
9,136505587,20260903_113259_1377dd,target_reached,58,50,0,154,19.42,0.0,0.3246753246753247,0.5963203463203464,83,23,250,50,0,1.0
