run_id,tick,event_type,robot_id,task_id,details
20260820_054211_d27e3a,2,robot_faulted,R1,,
20260820_054211_d27e3a,2,robot_faulted,R12,,
20260820_054211_d27e3a,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260820_054211_d27e3a,3,task_assigned,R13,G00001,
20260820_054211_d27e3a,5,task_created,,G00002,type=PICK pickup=G-02 dropoff=PICK-1
20260820_054211_d27e3a,5,task_assigned,R3,G00002,
20260820_054211_d27e3a,5,robot_faulted,R8,,
20260820_054211_d27e3a,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260820_054211_d27e3a,7,task_assigned,R2,G00003,
20260820_054211_d27e3a,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260820_054211_d27e3a,9,task_assigned,R6,G00004,
20260820_054211_d27e3a,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=F-06
20260820_054211_d27e3a,11,task_assigned,R9,G00005,
20260820_054211_d27e3a,15,task_created,,G00006,type=PICK pickup=C-07 dropoff=PICK-1
20260820_054211_d27e3a,15,task_assigned,R11,G00006,
20260820_054211_d27e3a,16,task_completed,R13,G00001,
20260820_054211_d27e3a,16,robot_faulted,R10,,
20260820_054211_d27e3a,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=B-02
20260820_054211_d27e3a,19,task_assigned,R13,G00007,
20260820_054211_d27e3a,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260820_054211_d27e3a,19,task_assigned,R4,G00008,
20260820_054211_d27e3a,20,task_completed,R6,G00004,
20260820_054211_d27e3a,22,task_completed,R2,G00003,
20260820_054211_d27e3a,22,task_completed,R9,G00005,
20260820_054211_d27e3a,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260820_054211_d27e3a,23,task_assigned,R6,G00009,
20260820_054211_d27e3a,25,task_created,,G00010,type=PICK pickup=F-05 dropoff=PICK-2
20260820_054211_d27e3a,25,task_assigned,R9,G00010,
20260820_054211_d27e3a,26,task_completed,R3,G00002,
20260820_054211_d27e3a,27,task_reassigned,R3,G00010,previous_robot=R9
20260820_054211_d27e3a,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=G-03
20260820_054211_d27e3a,27,task_assigned,R2,G00011,
20260820_054211_d27e3a,27,robot_recovered,R1,,
20260820_054211_d27e3a,27,robot_faulted,R9,,
20260820_054211_d27e3a,27,robot_recovered,R12,,
20260820_054211_d27e3a,28,task_completed,R6,G00009,
20260820_054211_d27e3a,29,task_reassigned,R6,G00006,previous_robot=R11
20260820_054211_d27e3a,29,task_reassigned,R1,G00010,previous_robot=R3
20260820_054211_d27e3a,29,robot_faulted,R3,,
20260820_054211_d27e3a,29,robot_faulted,R11,,
20260820_054211_d27e3a,30,robot_recovered,R8,,
20260820_054211_d27e3a,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260820_054211_d27e3a,31,task_assigned,R8,G00012,
20260820_054211_d27e3a,34,task_completed,R13,G00007,
20260820_054211_d27e3a,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=B-01
20260820_054211_d27e3a,35,task_assigned,R13,G00013,
20260820_054211_d27e3a,35,task_created,,G00014,type=PICK pickup=H-03 dropoff=PICK-2
20260820_054211_d27e3a,35,task_assigned,R12,G00014,
20260820_054211_d27e3a,37,task_completed,R4,G00008,
20260820_054211_d27e3a,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260820_054211_d27e3a,37,task_assigned,R7,G00015,
20260820_054211_d27e3a,38,task_reassigned,R4,G00010,previous_robot=R1
20260820_054211_d27e3a,38,robot_faulted,R1,,
20260820_054211_d27e3a,40,robot_faulted,R5,,
20260820_054211_d27e3a,41,robot_recovered,R10,,
20260820_054211_d27e3a,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=A-06
20260820_054211_d27e3a,43,task_assigned,R10,G00016,
20260820_054211_d27e3a,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260820_054211_d27e3a,44,robot_blocked,R10,,
20260820_054211_d27e3a,45,task_created,,G00018,type=PICK pickup=H-06 dropoff=PICK-3
20260820_054211_d27e3a,45,robot_unblocked,R10,,
20260820_054211_d27e3a,47,task_completed,R6,G00006,
20260820_054211_d27e3a,48,task_assigned,R6,G00018,
20260820_054211_d27e3a,50,task_completed,R2,G00011,
20260820_054211_d27e3a,50,task_completed,R7,G00015,
20260820_054211_d27e3a,51,task_completed,R8,G00012,
20260820_054211_d27e3a,51,task_assigned,R7,G00017,
20260820_054211_d27e3a,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=F-01
20260820_054211_d27e3a,51,task_assigned,R2,G00019,
20260820_054211_d27e3a,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260820_054211_d27e3a,52,task_assigned,R8,G00020,
20260820_054211_d27e3a,52,robot_recovered,R9,,
20260820_054211_d27e3a,53,task_completed,R13,G00013,
20260820_054211_d27e3a,54,robot_blocked,R2,,
20260820_054211_d27e3a,54,robot_recovered,R11,,
20260820_054211_d27e3a,55,task_created,,G00021,type=PICK pickup=F-05 dropoff=PICK-2
20260820_054211_d27e3a,55,task_assigned,R13,G00021,
20260820_054211_d27e3a,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260820_054211_d27e3a,55,task_assigned,R11,G00022,
20260820_054211_d27e3a,55,robot_unblocked,R2,,
20260820_054211_d27e3a,55,robot_blocked,R6,,
20260820_054211_d27e3a,55,robot_faulted,R9,,
20260820_054211_d27e3a,56,robot_blocked,R4,,
20260820_054211_d27e3a,56,robot_unblocked,R6,,
20260820_054211_d27e3a,57,robot_blocked,R10,,
20260820_054211_d27e3a,58,task_interrupted,R13,G00021,
20260820_054211_d27e3a,58,robot_unblocked,R10,,
20260820_054211_d27e3a,58,robot_replanned,R10,,
20260820_054211_d27e3a,58,robot_faulted,R13,,
20260820_054211_d27e3a,59,task_completed,R8,G00020,
20260820_054211_d27e3a,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=C-07
