tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,11,0,0,0,0,2,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,10,0,0,0,0,2,99.9462,99.3,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,10,0,0,0,0,2,99.8692,98.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,8,0,0,0,0,3,99.7385,97.3,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,8,0,0,0,0,3,99.6077,96.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,7,0,0,0,0,3,99.4231,95.3,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,7,0,0,0,0,3,99.2385,94.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,6,0,0,0,0,3,99.0,93.3,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,6,0,0,0,0,3,98.7615,92.3,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,5,0,0,0,0,3,98.4692,91.3,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,3,98.1538,90.3,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,3,97.7923,89.3,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,5,0,0,0,0,3,97.4308,88.3,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,4,0,0,0,0,3,97.0154,87.3,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,4,0,0,0,0,4,96.6,86.3,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,4,0,0,0,0,4,96.2615,86.3,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,4,0,0,0,0,4,95.9,86.3,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,2,0,0,0,0,4,95.4308,85.6,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,1.0,2.0,0.0,6,3,0,0,0,0,4,94.9615,84.9,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,3,0,0,0,0,4,94.5692,84.2,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,2.0,4.0,0.0,4,5,0,0,0,0,4,94.1538,83.5,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,4,0,0,0,0,4,93.8385,82.8,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,4,0,0,0,0,4,93.5231,82.1,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,3,0,0,0,0,4,93.1308,81.1,100.0,0.0,0.0,0.0,0.0
26,0,5.0,0.0,1.0,5.0,0.0,5,4,0,0,0,0,4,92.6923,80.1,100.0,0.0,0.0,0.0,0.0
27,0,6.0,1.0,0.0,5.0,0.0,6,4,0,0,0,0,3,92.1923,79.1,100.0,0.0,0.0,0.0,0.0
28,0,5.0,0.0,1.0,6.0,0.0,5,5,0,0,0,0,3,91.8,78.1,100.0,0.0,0.0,0.0,0.0
29,0,5.0,0.0,0.0,6.0,0.0,5,3,0,0,0,0,5,91.5077,77.1,100.0,0.0,0.0,0.0,0.0
30,0,5.0,0.0,0.0,6.0,0.0,5,4,0,0,0,0,4,91.1615,76.1,100.0,0.0,0.0,0.0,0.0
31,0,6.0,1.0,0.0,6.0,0.0,6,3,0,0,0,0,4,90.8154,75.1,100.0,0.0,0.0,0.0,0.0
32,0,6.0,0.0,0.0,6.0,0.0,6,3,0,0,0,0,4,90.4462,74.1,100.0,0.0,0.0,0.0,0.0
33,0,6.0,0.0,0.0,6.0,0.0,6,3,0,0,0,0,4,90.0769,73.1,100.0,0.0,0.0,0.0,0.0
34,0,5.0,0.0,1.0,7.0,0.0,5,4,0,0,0,0,4,89.7077,72.1,100.0,0.0,0.0,0.0,0.0
35,0,7.0,2.0,0.0,7.0,0.0,7,2,0,0,0,0,4,89.3077,71.4,100.0,0.0,0.0,0.0,0.0
36,0,7.0,0.0,0.0,7.0,0.0,7,2,0,0,0,0,4,88.9077,70.7,100.0,0.0,0.0,0.0,0.0
37,0,7.0,1.0,1.0,8.0,0.0,7,2,0,0,0,0,4,88.4538,70.0,100.0,0.0,0.0,0.0,0.0
38,0,7.0,0.0,0.0,8.0,0.0,7,1,0,0,0,0,5,88.0769,69.3,100.0,0.0,0.0,0.0,0.0
39,0,7.0,0.0,0.0,8.0,0.0,7,1,0,0,0,0,5,87.6769,68.6,100.0,0.0,0.0,0.0,0.0
40,0,7.0,0.0,0.0,8.0,0.0,7,0,0,0,0,0,6,87.2769,67.9,100.0,0.0,0.0,0.0,0.0
41,0,7.0,0.0,0.0,8.0,0.0,7,1,0,0,0,0,5,86.8231,67.2,100.0,0.0,0.0,0.0,0.0
