run_id,tick,event_type,robot_id,task_id,details
20260820_064857_d43d2c,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260820_064857_d43d2c,3,task_assigned,R12,G00001,
20260820_064857_d43d2c,5,task_created,,G00002,type=PICK pickup=F-08 dropoff=PICK-2
20260820_064857_d43d2c,5,task_assigned,R2,G00002,
20260820_064857_d43d2c,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260820_064857_d43d2c,7,task_assigned,R3,G00003,
20260820_064857_d43d2c,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260820_064857_d43d2c,9,task_assigned,R6,G00004,
20260820_064857_d43d2c,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=G-07
20260820_064857_d43d2c,11,task_assigned,R9,G00005,
20260820_064857_d43d2c,15,task_created,,G00006,type=PICK pickup=H-01 dropoff=PICK-1
20260820_064857_d43d2c,15,task_assigned,R11,G00006,
20260820_064857_d43d2c,16,task_completed,R2,G00002,
20260820_064857_d43d2c,17,task_completed,R12,G00001,
20260820_064857_d43d2c,18,robot_blocked,R3,,
20260820_064857_d43d2c,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-04
20260820_064857_d43d2c,19,task_assigned,R10,G00007,
20260820_064857_d43d2c,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260820_064857_d43d2c,19,task_assigned,R2,G00008,
20260820_064857_d43d2c,19,robot_unblocked,R3,,
20260820_064857_d43d2c,20,task_completed,R6,G00004,
20260820_064857_d43d2c,22,robot_blocked,R9,,
20260820_064857_d43d2c,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260820_064857_d43d2c,23,task_assigned,R6,G00009,
20260820_064857_d43d2c,23,robot_unblocked,R9,,
20260820_064857_d43d2c,24,task_completed,R2,G00008,
20260820_064857_d43d2c,25,task_created,,G00010,type=PICK pickup=G-08 dropoff=PICK-3
20260820_064857_d43d2c,25,task_assigned,R4,G00010,
20260820_064857_d43d2c,25,robot_blocked,R3,,
20260820_064857_d43d2c,26,task_completed,R10,G00007,
20260820_064857_d43d2c,26,robot_replanned,R2,,
20260820_064857_d43d2c,27,task_completed,R3,G00003,
