tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.8583,98.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.7167,97.3,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.575,96.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.375,95.3,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.175,94.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,98.9167,93.3,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,98.6583,92.3,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.3167,91.3,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,97.95,90.3,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,97.5583,89.3,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,97.1667,88.3,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,96.7167,87.3,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,7,0,0,0,0,0,96.2667,86.3,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,1.0,2.0,0.0,4,8,0,0,0,0,0,95.9,85.3,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,3,8,1,0,0,0,0,95.675,85.3,100.0,0.0,0.0,1.0,1.0
19,0,6.0,2.0,0.0,2.0,0.0,6,6,0,0,0,0,0,95.225,85.3,100.0,0.0,0.0,0.0,1.0
20,0,5.0,0.0,1.0,3.0,0.0,5,7,0,0,0,0,0,94.775,85.3,100.0,0.0,0.0,0.0,1.0
21,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,94.4083,85.3,100.0,0.0,0.0,0.0,1.0
22,0,5.0,0.0,0.0,3.0,0.0,4,7,1,0,0,0,0,94.075,85.3,100.0,0.0,0.0,1.0,2.0
23,0,6.0,1.0,0.0,3.0,0.0,6,6,0,0,0,0,0,93.6,85.1,100.0,0.0,0.0,0.0,2.0
24,0,5.0,0.0,1.0,4.0,0.0,5,7,0,0,0,0,0,93.125,84.1,100.0,0.0,0.0,0.0,2.0
25,0,6.0,1.0,0.0,4.0,0.0,5,6,1,0,0,0,0,92.7583,84.1,100.0,0.0,0.0,1.0,3.0
26,0,5.0,0.0,1.0,5.0,0.0,4,7,1,0,0,0,0,92.3667,84.1,100.0,1.0,1.0,1.0,4.0
27,0,5.0,1.0,1.0,6.0,0.0,5,7,0,0,0,0,0,91.8583,83.2,100.0,0.0,1.0,0.0,4.0
28,0,4.0,0.0,1.0,7.0,0.0,2,8,2,0,0,0,0,91.6583,83.2,100.0,0.0,1.0,2.0,6.0
29,0,4.0,0.0,0.0,7.0,0.0,3,8,1,0,0,0,0,91.5417,83.2,100.0,1.0,2.0,2.0,8.0
30,0,4.0,0.0,0.0,7.0,0.0,4,8,0,0,0,0,0,91.2583,82.5,100.0,0.0,2.0,0.0,8.0
31,0,5.0,1.0,0.0,7.0,0.0,4,7,1,0,0,0,0,91.0,81.8,100.0,0.0,2.0,1.0,9.0
32,0,5.0,0.0,0.0,7.0,0.0,5,7,0,0,0,0,0,90.6333,80.8,100.0,0.0,2.0,0.0,9.0
33,0,5.0,0.0,0.0,7.0,0.0,4,7,1,0,0,0,0,90.35,79.8,100.0,0.0,2.0,1.0,10.0
34,0,5.0,0.0,0.0,7.0,0.0,4,7,1,0,0,0,0,90.0667,78.8,100.0,1.0,3.0,1.0,11.0
35,0,7.0,2.0,0.0,7.0,0.0,7,5,0,0,0,0,0,89.5,77.8,100.0,0.0,3.0,0.0,11.0
36,0,6.0,0.0,1.0,8.0,0.0,5,6,1,0,0,0,0,89.075,76.8,100.0,0.0,3.0,1.0,12.0
37,0,7.0,1.0,0.0,8.0,0.0,7,5,0,0,0,0,0,88.675,76.6,100.0,1.0,4.0,1.0,13.0
38,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,88.1917,75.6,100.0,0.0,4.0,0.0,13.0
39,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,87.7083,74.6,100.0,0.0,4.0,0.0,13.0
40,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,87.2,73.6,100.0,0.0,4.0,0.0,13.0
41,0,6.0,0.0,1.0,9.0,0.0,6,6,0,0,0,0,0,86.6917,72.6,100.0,0.0,4.0,0.0,13.0
42,0,5.0,0.0,1.0,10.0,0.0,5,7,0,0,0,0,0,86.2667,71.6,100.0,0.0,4.0,0.0,13.0
43,0,7.0,2.0,0.0,10.0,0.0,6,5,1,0,0,0,0,85.8667,70.6,100.0,0.0,4.0,1.0,14.0
44,0,6.0,0.0,1.0,11.0,0.0,6,6,0,0,0,0,0,85.3833,69.6,100.0,0.0,4.0,0.0,14.0
45,0,7.0,1.0,0.0,11.0,0.0,7,5,0,0,0,0,0,84.9,68.9,100.0,0.0,4.0,0.0,14.0
46,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,84.4167,68.2,100.0,0.0,4.0,0.0,14.0
47,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,83.9083,67.2,100.0,0.0,4.0,0.0,14.0
48,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,83.4,66.2,100.0,0.0,4.0,0.0,14.0
49,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,82.8667,65.2,100.0,0.0,4.0,0.0,14.0
50,0,6.0,0.0,1.0,12.0,0.0,6,6,0,0,0,0,0,82.3083,64.2,100.0,0.0,4.0,0.0,14.0
51,0,8.0,2.0,0.0,12.0,0.0,8,4,0,0,0,0,0,81.6917,63.2,100.0,0.0,4.0,0.0,14.0
52,0,7.0,0.0,1.0,13.0,0.0,6,5,1,0,0,0,0,81.1583,63.2,100.0,0.0,4.0,1.0,15.0
53,0,7.0,0.0,0.0,13.0,0.0,6,5,1,0,0,0,0,80.7083,63.2,100.0,1.0,5.0,1.0,16.0
54,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,80.0917,62.2,100.0,0.0,5.0,0.0,16.0
55,0,9.0,2.0,0.0,13.0,0.0,9,3,0,0,0,0,0,79.4167,61.2,100.0,0.0,5.0,0.0,16.0
56,0,8.0,0.0,1.0,14.0,0.0,8,4,0,0,0,0,0,78.7417,60.2,100.0,0.0,5.0,0.0,16.0
57,0,7.0,0.0,1.0,15.0,0.0,7,5,0,0,0,0,0,78.125,59.2,100.0,0.0,5.0,0.0,16.0
58,0,5.0,0.0,2.0,17.0,0.0,4,7,1,0,0,0,0,77.675,58.2,100.0,0.0,5.0,1.0,17.0
59,0,6.0,1.0,0.0,17.0,0.0,4,6,2,0,0,0,0,77.4167,57.2,100.0,0.0,5.0,2.0,19.0
60,0,6.0,0.0,0.0,17.0,0.0,5,6,1,0,0,0,0,77.1583,56.2,100.0,1.0,6.0,2.0,21.0
61,0,6.0,0.0,0.0,17.0,0.0,6,6,0,0,0,0,0,76.7333,55.2,100.0,0.0,6.0,0.0,21.0
62,0,5.0,0.0,1.0,18.0,0.0,5,7,0,0,0,0,0,76.2833,54.2,100.0,0.0,6.0,0.0,21.0
