run_id,tick,event_type,robot_id,task_id,details
20260821_005857_19bde2,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=E-03
20260821_005857_19bde2,3,task_assigned,R9,G00001,
20260821_005857_19bde2,5,task_created,,G00002,type=PICK pickup=F-05 dropoff=PICK-1
20260821_005857_19bde2,5,task_assigned,R2,G00002,
20260821_005857_19bde2,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260821_005857_19bde2,7,task_assigned,R3,G00003,
20260821_005857_19bde2,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,9,task_assigned,R6,G00004,
20260821_005857_19bde2,11,task_completed,R9,G00001,
20260821_005857_19bde2,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=H-03
20260821_005857_19bde2,11,task_assigned,R1,G00005,
20260821_005857_19bde2,15,task_created,,G00006,type=PICK pickup=D-06 dropoff=PICK-3
20260821_005857_19bde2,15,task_assigned,R4,G00006,
20260821_005857_19bde2,18,task_completed,R2,G00002,
20260821_005857_19bde2,18,task_completed,R3,G00003,
20260821_005857_19bde2,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=C-03
20260821_005857_19bde2,19,task_assigned,R12,G00007,
20260821_005857_19bde2,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260821_005857_19bde2,19,task_assigned,R3,G00008,
20260821_005857_19bde2,20,task_completed,R6,G00004,
20260821_005857_19bde2,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,23,task_assigned,R6,G00009,
20260821_005857_19bde2,25,task_created,,G00010,type=PICK pickup=D-03 dropoff=PICK-1
20260821_005857_19bde2,25,task_assigned,R11,G00010,
20260821_005857_19bde2,27,task_completed,R4,G00006,
20260821_005857_19bde2,27,task_completed,R12,G00007,
20260821_005857_19bde2,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260821_005857_19bde2,27,task_assigned,R13,G00011,
20260821_005857_19bde2,28,task_completed,R6,G00009,
20260821_005857_19bde2,31,task_completed,R3,G00008,
20260821_005857_19bde2,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260821_005857_19bde2,31,task_assigned,R4,G00012,
20260821_005857_19bde2,34,task_completed,R13,G00011,
20260821_005857_19bde2,34,robot_blocked,R1,,
20260821_005857_19bde2,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=B-04
20260821_005857_19bde2,35,task_assigned,R9,G00013,
20260821_005857_19bde2,35,task_created,,G00014,type=PICK pickup=A-03 dropoff=PICK-1
20260821_005857_19bde2,35,task_assigned,R13,G00014,
20260821_005857_19bde2,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_005857_19bde2,37,task_assigned,R6,G00015,
20260821_005857_19bde2,39,robot_blocked,R4,,
20260821_005857_19bde2,41,robot_unblocked,R1,,
20260821_005857_19bde2,42,task_completed,R6,G00015,
20260821_005857_19bde2,42,robot_blocked,R1,,
20260821_005857_19bde2,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=H-01
20260821_005857_19bde2,43,task_assigned,R10,G00016,
20260821_005857_19bde2,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_005857_19bde2,43,task_assigned,R2,G00017,
20260821_005857_19bde2,45,task_completed,R4,G00012,
20260821_005857_19bde2,45,task_created,,G00018,type=PICK pickup=C-02 dropoff=PICK-3
20260821_005857_19bde2,45,task_assigned,R3,G00018,
20260821_005857_19bde2,45,robot_unblocked,R4,,
20260821_005857_19bde2,47,task_completed,R13,G00014,
20260821_005857_19bde2,49,robot_unblocked,R1,,
20260821_005857_19bde2,50,robot_blocked,R1,,
20260821_005857_19bde2,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=C-05
20260821_005857_19bde2,51,task_assigned,R13,G00019,
20260821_005857_19bde2,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_005857_19bde2,51,task_assigned,R6,G00020,
20260821_005857_19bde2,51,robot_blocked,R2,,
20260821_005857_19bde2,52,robot_unblocked,R2,,
20260821_005857_19bde2,53,task_completed,R9,G00013,
20260821_005857_19bde2,55,task_completed,R11,G00010,
20260821_005857_19bde2,55,task_created,,G00021,type=PICK pickup=B-03 dropoff=PICK-2
20260821_005857_19bde2,55,task_assigned,R9,G00021,
20260821_005857_19bde2,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260821_005857_19bde2,55,task_assigned,R12,G00022,
20260821_005857_19bde2,56,task_completed,R6,G00020,
20260821_005857_19bde2,56,robot_unblocked,R1,,
20260821_005857_19bde2,58,robot_blocked,R2,,
20260821_005857_19bde2,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=H-06
20260821_005857_19bde2,59,task_assigned,R11,G00023,
20260821_005857_19bde2,60,task_completed,R1,G00005,
20260821_005857_19bde2,61,task_completed,R9,G00021,
20260821_005857_19bde2,65,task_completed,R2,G00017,
20260821_005857_19bde2,65,task_created,,G00024,type=PICK pickup=G-02 dropoff=PICK-3
20260821_005857_19bde2,65,task_assigned,R1,G00024,
20260821_005857_19bde2,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_005857_19bde2,65,task_assigned,R6,G00025,
20260821_005857_19bde2,65,robot_unblocked,R2,,
20260821_005857_19bde2,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260821_005857_19bde2,67,task_assigned,R9,G00026,
20260821_005857_19bde2,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-2
20260821_005857_19bde2,67,task_assigned,R2,G00027,
20260821_005857_19bde2,68,task_reassigned,R4,G00016,previous_robot=R10
20260821_005857_19bde2,68,robot_faulted,R10,,
20260821_005857_19bde2,68,robot_blocked,R12,,
20260821_005857_19bde2,69,task_completed,R3,G00018,
20260821_005857_19bde2,69,robot_unblocked,R12,,
20260821_005857_19bde2,70,task_completed,R12,G00022,
20260821_005857_19bde2,70,task_completed,R6,G00025,
20260821_005857_19bde2,72,robot_blocked,R9,,
20260821_005857_19bde2,73,robot_unblocked,R9,,
20260821_005857_19bde2,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=E-08
20260821_005857_19bde2,75,task_assigned,R5,G00028,
20260821_005857_19bde2,75,task_created,,G00029,type=PICK pickup=B-07 dropoff=PICK-2
20260821_005857_19bde2,75,task_assigned,R12,G00029,
20260821_005857_19bde2,76,task_completed,R13,G00019,
20260821_005857_19bde2,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_005857_19bde2,79,task_assigned,R6,G00030,
20260821_005857_19bde2,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,79,task_assigned,R7,G00031,
20260821_005857_19bde2,80,task_completed,R2,G00027,
20260821_005857_19bde2,80,robot_blocked,R1,,
20260821_005857_19bde2,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260821_005857_19bde2,83,task_assigned,R13,G00032,
20260821_005857_19bde2,85,task_completed,R4,G00016,
20260821_005857_19bde2,85,task_created,,G00033,type=PICK pickup=G-01 dropoff=PICK-2
20260821_005857_19bde2,85,task_assigned,R3,G00033,
20260821_005857_19bde2,85,robot_blocked,R12,,
20260821_005857_19bde2,86,task_completed,R1,G00024,
20260821_005857_19bde2,86,robot_unblocked,R1,,
20260821_005857_19bde2,86,robot_unblocked,R12,,
20260821_005857_19bde2,88,task_completed,R9,G00026,
20260821_005857_19bde2,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260821_005857_19bde2,91,task_assigned,R4,G00034,
20260821_005857_19bde2,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_005857_19bde2,91,task_assigned,R9,G00035,
20260821_005857_19bde2,92,task_completed,R7,G00031,
20260821_005857_19bde2,92,robot_blocked,R4,,
20260821_005857_19bde2,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,93,task_assigned,R7,G00036,
20260821_005857_19bde2,93,robot_recovered,R10,,
20260821_005857_19bde2,93,robot_blocked,R11,,
20260821_005857_19bde2,94,task_completed,R12,G00029,
20260821_005857_19bde2,95,task_created,,G00037,type=PICK pickup=D-03 dropoff=PICK-3
20260821_005857_19bde2,95,task_assigned,R1,G00037,
20260821_005857_19bde2,98,task_completed,R7,G00036,
20260821_005857_19bde2,98,robot_unblocked,R4,,
20260821_005857_19bde2,98,robot_replanned,R4,,
20260821_005857_19bde2,99,task_completed,R13,G00032,
20260821_005857_19bde2,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260821_005857_19bde2,99,task_assigned,R12,G00038,
20260821_005857_19bde2,99,robot_unblocked,R11,,
20260821_005857_19bde2,100,robot_blocked,R3,,
20260821_005857_19bde2,101,task_completed,R11,G00023,
20260821_005857_19bde2,101,task_completed,R3,G00033,
20260821_005857_19bde2,101,robot_unblocked,R3,,
20260821_005857_19bde2,102,robot_blocked,R5,,
20260821_005857_19bde2,103,task_completed,R5,G00028,
20260821_005857_19bde2,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_005857_19bde2,103,task_assigned,R13,G00039,
20260821_005857_19bde2,103,robot_unblocked,R5,,
20260821_005857_19bde2,105,task_created,,G00040,type=PICK pickup=E-04 dropoff=PICK-1
20260821_005857_19bde2,105,task_assigned,R5,G00040,
20260821_005857_19bde2,106,robot_blocked,R6,,
20260821_005857_19bde2,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=E-04
20260821_005857_19bde2,107,task_assigned,R3,G00041,
20260821_005857_19bde2,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,107,task_assigned,R7,G00042,
20260821_005857_19bde2,112,task_completed,R7,G00042,
20260821_005857_19bde2,112,robot_replanned,R2,,
20260821_005857_19bde2,113,task_completed,R6,G00030,
20260821_005857_19bde2,113,task_completed,R5,G00040,
20260821_005857_19bde2,113,robot_unblocked,R6,,
20260821_005857_19bde2,114,task_completed,R1,G00037,
20260821_005857_19bde2,114,robot_blocked,R9,,
20260821_005857_19bde2,115,task_completed,R9,G00035,
20260821_005857_19bde2,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=H-03
20260821_005857_19bde2,115,task_assigned,R11,G00043,
20260821_005857_19bde2,115,task_created,,G00044,type=PICK pickup=F-08 dropoff=PICK-1
20260821_005857_19bde2,115,task_assigned,R5,G00044,
20260821_005857_19bde2,115,task_created,,G00045,type=PACK pickup=PICK-2 dropoff=PACK-2
20260821_005857_19bde2,115,task_assigned,R6,G00045,
20260821_005857_19bde2,115,robot_unblocked,R9,,
20260821_005857_19bde2,118,robot_blocked,R3,,
20260821_005857_19bde2,118,robot_blocked,R4,,
20260821_005857_19bde2,119,task_completed,R13,G00039,
20260821_005857_19bde2,120,task_completed,R12,G00038,
20260821_005857_19bde2,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,121,task_assigned,R7,G00046,
20260821_005857_19bde2,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=D-07
20260821_005857_19bde2,123,task_assigned,R13,G00047,
20260821_005857_19bde2,124,robot_unblocked,R3,,
20260821_005857_19bde2,124,robot_replanned,R3,,
20260821_005857_19bde2,125,task_created,,G00048,type=PICK pickup=C-06 dropoff=PICK-2
20260821_005857_19bde2,125,task_assigned,R12,G00048,
20260821_005857_19bde2,125,robot_unblocked,R4,,
20260821_005857_19bde2,126,task_completed,R7,G00046,
20260821_005857_19bde2,127,task_completed,R4,G00034,
20260821_005857_19bde2,127,task_created,,G00049,type=PACK pickup=PICK-3 dropoff=PACK-2
20260821_005857_19bde2,127,task_assigned,R1,G00049,
20260821_005857_19bde2,128,robot_blocked,R6,,
20260821_005857_19bde2,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=D-01
20260821_005857_19bde2,131,task_assigned,R9,G00050,
20260821_005857_19bde2,132,task_completed,R6,G00045,
20260821_005857_19bde2,132,robot_unblocked,R6,,
20260821_005857_19bde2,135,task_created,,G00051,type=PICK pickup=D-05 dropoff=PICK-3
20260821_005857_19bde2,135,task_assigned,R2,G00051,
20260821_005857_19bde2,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_005857_19bde2,135,task_assigned,R7,G00052,
20260821_005857_19bde2,135,robot_blocked,R1,,
20260821_005857_19bde2,136,task_completed,R5,G00044,
20260821_005857_19bde2,136,task_completed,R12,G00048,
20260821_005857_19bde2,137,robot_blocked,R9,,
20260821_005857_19bde2,137,robot_blocked,R13,,
20260821_005857_19bde2,138,robot_unblocked,R13,,
20260821_005857_19bde2,139,task_created,,G00053,type=PUTAWAY pickup=RECV dropoff=C-07
