run_id,tick,event_type,robot_id,task_id,details
20260821_012023_c178c1,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-08
20260821_012023_c178c1,3,task_assigned,R9,G00001,
20260821_012023_c178c1,5,task_created,,G00002,type=PICK pickup=E-03 dropoff=PICK-1
20260821_012023_c178c1,5,task_assigned,R1,G00002,
20260821_012023_c178c1,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_012023_c178c1,7,task_assigned,R2,G00003,
20260821_012023_c178c1,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_012023_c178c1,9,task_assigned,R6,G00004,
20260821_012023_c178c1,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260821_012023_c178c1,11,task_assigned,R12,G00005,
20260821_012023_c178c1,13,robot_blocked,R1,,
20260821_012023_c178c1,14,robot_unblocked,R1,,
20260821_012023_c178c1,15,task_created,,G00006,type=PICK pickup=A-06 dropoff=PICK-3
20260821_012023_c178c1,15,task_assigned,R10,G00006,
20260821_012023_c178c1,16,robot_blocked,R9,,
20260821_012023_c178c1,17,robot_blocked,R12,,
20260821_012023_c178c1,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=C-06
20260821_012023_c178c1,19,task_assigned,R13,G00007,
20260821_012023_c178c1,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-2
20260821_012023_c178c1,19,task_assigned,R3,G00008,
20260821_012023_c178c1,20,task_completed,R6,G00004,
20260821_012023_c178c1,21,task_completed,R1,G00002,
20260821_012023_c178c1,22,task_completed,R2,G00003,
20260821_012023_c178c1,22,robot_unblocked,R9,,
20260821_012023_c178c1,22,robot_replanned,R9,,
20260821_012023_c178c1,23,task_completed,R12,G00005,
20260821_012023_c178c1,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_012023_c178c1,23,task_assigned,R6,G00009,
20260821_012023_c178c1,23,robot_unblocked,R12,,
20260821_012023_c178c1,25,task_created,,G00010,type=PICK pickup=C-06 dropoff=PICK-1
20260821_012023_c178c1,25,task_assigned,R12,G00010,
20260821_012023_c178c1,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-07
20260821_012023_c178c1,27,task_assigned,R11,G00011,
20260821_012023_c178c1,28,task_completed,R6,G00009,
20260821_012023_c178c1,31,task_completed,R3,G00008,
20260821_012023_c178c1,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_012023_c178c1,31,task_assigned,R1,G00012,
20260821_012023_c178c1,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=B-06
20260821_012023_c178c1,35,task_assigned,R5,G00013,
20260821_012023_c178c1,35,task_created,,G00014,type=PICK pickup=E-06 dropoff=PICK-1
20260821_012023_c178c1,35,task_assigned,R2,G00014,
20260821_012023_c178c1,37,task_completed,R9,G00001,
20260821_012023_c178c1,37,task_completed,R11,G00011,
20260821_012023_c178c1,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_012023_c178c1,37,task_assigned,R6,G00015,
20260821_012023_c178c1,40,task_completed,R1,G00012,
20260821_012023_c178c1,42,task_completed,R6,G00015,
20260821_012023_c178c1,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260821_012023_c178c1,43,task_assigned,R9,G00016,
20260821_012023_c178c1,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_012023_c178c1,43,task_assigned,R1,G00017,
20260821_012023_c178c1,44,task_completed,R12,G00010,
20260821_012023_c178c1,45,task_completed,R10,G00006,
20260821_012023_c178c1,45,task_created,,G00018,type=PICK pickup=E-04 dropoff=PICK-2
20260821_012023_c178c1,45,task_assigned,R11,G00018,
20260821_012023_c178c1,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=D-02
20260821_012023_c178c1,51,task_assigned,R3,G00019,
20260821_012023_c178c1,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_012023_c178c1,51,task_assigned,R6,G00020,
20260821_012023_c178c1,51,robot_blocked,R2,,
20260821_012023_c178c1,52,task_completed,R13,G00007,
20260821_012023_c178c1,52,robot_blocked,R1,,
20260821_012023_c178c1,52,robot_unblocked,R2,,
20260821_012023_c178c1,55,task_created,,G00021,type=PICK pickup=A-08 dropoff=PICK-2
20260821_012023_c178c1,55,task_assigned,R12,G00021,
20260821_012023_c178c1,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260821_012023_c178c1,55,task_assigned,R13,G00022,
20260821_012023_c178c1,56,task_completed,R6,G00020,
20260821_012023_c178c1,56,robot_unblocked,R1,,
20260821_012023_c178c1,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-07
20260821_012023_c178c1,59,task_assigned,R10,G00023,
20260821_012023_c178c1,59,robot_blocked,R3,,
20260821_012023_c178c1,59,robot_blocked,R11,,
20260821_012023_c178c1,59,robot_blocked,R13,,
20260821_012023_c178c1,61,task_completed,R2,G00014,
20260821_012023_c178c1,63,robot_blocked,R12,,
20260821_012023_c178c1,64,task_completed,R5,G00013,
20260821_012023_c178c1,64,robot_unblocked,R12,,
20260821_012023_c178c1,65,task_completed,R9,G00016,
20260821_012023_c178c1,65,task_created,,G00024,type=PICK pickup=G-07 dropoff=PICK-3
20260821_012023_c178c1,65,task_assigned,R5,G00024,
20260821_012023_c178c1,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_012023_c178c1,65,task_assigned,R6,G00025,
20260821_012023_c178c1,65,robot_unblocked,R3,,
20260821_012023_c178c1,65,robot_replanned,R3,,
20260821_012023_c178c1,65,robot_unblocked,R11,,
20260821_012023_c178c1,65,robot_replanned,R11,,
20260821_012023_c178c1,66,robot_unblocked,R13,,
20260821_012023_c178c1,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=D-02
20260821_012023_c178c1,67,task_assigned,R9,G00026,
20260821_012023_c178c1,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_012023_c178c1,67,task_assigned,R2,G00027,
20260821_012023_c178c1,67,robot_blocked,R10,,
20260821_012023_c178c1,68,robot_blocked,R5,,
20260821_012023_c178c1,68,robot_unblocked,R10,,
20260821_012023_c178c1,69,robot_blocked,R3,,
20260821_012023_c178c1,69,robot_unblocked,R5,,
