run_id,tick,event_type,robot_id,task_id,details
20260821_023230_f2bfc8,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-08
20260821_023230_f2bfc8,3,task_assigned,R9,G00001,
20260821_023230_f2bfc8,5,task_created,,G00002,type=PICK pickup=E-03 dropoff=PICK-1
20260821_023230_f2bfc8,5,task_assigned,R1,G00002,
20260821_023230_f2bfc8,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_023230_f2bfc8,7,task_assigned,R2,G00003,
20260821_023230_f2bfc8,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_023230_f2bfc8,9,task_assigned,R6,G00004,
20260821_023230_f2bfc8,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260821_023230_f2bfc8,11,task_assigned,R12,G00005,
20260821_023230_f2bfc8,13,robot_blocked,R1,,
20260821_023230_f2bfc8,14,robot_unblocked,R1,,
20260821_023230_f2bfc8,15,task_created,,G00006,type=PICK pickup=A-06 dropoff=PICK-3
20260821_023230_f2bfc8,15,task_assigned,R10,G00006,
20260821_023230_f2bfc8,16,robot_blocked,R9,,
20260821_023230_f2bfc8,17,robot_blocked,R12,,
20260821_023230_f2bfc8,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=C-06
20260821_023230_f2bfc8,19,task_assigned,R13,G00007,
20260821_023230_f2bfc8,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-2
20260821_023230_f2bfc8,19,task_assigned,R3,G00008,
20260821_023230_f2bfc8,20,task_completed,R6,G00004,
20260821_023230_f2bfc8,21,task_completed,R1,G00002,
20260821_023230_f2bfc8,22,task_completed,R2,G00003,
20260821_023230_f2bfc8,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_023230_f2bfc8,23,task_assigned,R6,G00009,
20260821_023230_f2bfc8,25,task_created,,G00010,type=PICK pickup=C-06 dropoff=PICK-1
20260821_023230_f2bfc8,25,task_assigned,R11,G00010,
20260821_023230_f2bfc8,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-07
20260821_023230_f2bfc8,27,task_assigned,R2,G00011,
20260821_023230_f2bfc8,28,task_completed,R6,G00009,
20260821_023230_f2bfc8,31,task_completed,R3,G00008,
20260821_023230_f2bfc8,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_023230_f2bfc8,31,task_assigned,R1,G00012,
20260821_023230_f2bfc8,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=B-06
20260821_023230_f2bfc8,35,task_assigned,R5,G00013,
20260821_023230_f2bfc8,35,task_created,,G00014,type=PICK pickup=E-06 dropoff=PICK-1
20260821_023230_f2bfc8,35,task_assigned,R6,G00014,
20260821_023230_f2bfc8,36,robot_blocked,R2,,
20260821_023230_f2bfc8,36,robot_blocked,R11,,
20260821_023230_f2bfc8,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_023230_f2bfc8,37,task_assigned,R3,G00015,
20260821_023230_f2bfc8,40,task_completed,R1,G00012,
20260821_023230_f2bfc8,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260821_023230_f2bfc8,43,task_assigned,R1,G00016,
20260821_023230_f2bfc8,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_023230_f2bfc8,43,task_assigned,R4,G00017,
20260821_023230_f2bfc8,44,task_completed,R3,G00015,
20260821_023230_f2bfc8,45,task_completed,R10,G00006,
20260821_023230_f2bfc8,45,task_created,,G00018,type=PICK pickup=E-04 dropoff=PICK-2
20260821_023230_f2bfc8,45,task_assigned,R3,G00018,
20260821_023230_f2bfc8,46,task_completed,R13,G00007,
20260821_023230_f2bfc8,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=D-02
20260821_023230_f2bfc8,51,task_assigned,R13,G00019,
20260821_023230_f2bfc8,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_023230_f2bfc8,51,task_assigned,R7,G00020,
20260821_023230_f2bfc8,53,robot_blocked,R1,,
20260821_023230_f2bfc8,54,robot_unblocked,R1,,
20260821_023230_f2bfc8,55,task_created,,G00021,type=PICK pickup=A-08 dropoff=PICK-2
20260821_023230_f2bfc8,55,task_assigned,R10,G00021,
20260821_023230_f2bfc8,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260821_023230_f2bfc8,55,task_assigned,R8,G00022,
20260821_023230_f2bfc8,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-07
20260821_023230_f2bfc8,61,task_completed,R6,G00014,
20260821_023230_f2bfc8,62,task_assigned,R6,G00023,
20260821_023230_f2bfc8,62,robot_blocked,R6,,
20260821_023230_f2bfc8,63,robot_blocked,R4,,
20260821_023230_f2bfc8,64,task_completed,R5,G00013,
20260821_023230_f2bfc8,64,task_completed,R7,G00020,
20260821_023230_f2bfc8,65,task_created,,G00024,type=PICK pickup=G-07 dropoff=PICK-3
20260821_023230_f2bfc8,65,task_assigned,R7,G00024,
20260821_023230_f2bfc8,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_023230_f2bfc8,65,task_assigned,R5,G00025,
20260821_023230_f2bfc8,66,robot_blocked,R5,,
20260821_023230_f2bfc8,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=D-02
20260821_023230_f2bfc8,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_023230_f2bfc8,67,robot_unblocked,R5,,
20260821_023230_f2bfc8,70,task_completed,R13,G00019,
20260821_023230_f2bfc8,71,task_completed,R1,G00016,
20260821_023230_f2bfc8,71,task_assigned,R13,G00026,
20260821_023230_f2bfc8,72,task_assigned,R1,G00027,
20260821_023230_f2bfc8,73,robot_blocked,R1,,
20260821_023230_f2bfc8,73,robot_blocked,R10,,
20260821_023230_f2bfc8,75,task_completed,R3,G00018,
20260821_023230_f2bfc8,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260821_023230_f2bfc8,75,task_created,,G00029,type=PICK pickup=C-02 dropoff=PICK-3
20260821_023230_f2bfc8,76,task_assigned,R3,G00028,
20260821_023230_f2bfc8,77,robot_blocked,R7,,
20260821_023230_f2bfc8,77,robot_blocked,R8,,
20260821_023230_f2bfc8,78,robot_blocked,R5,,
20260821_023230_f2bfc8,78,robot_blocked,R13,,
20260821_023230_f2bfc8,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_023230_f2bfc8,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260821_023230_f2bfc8,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=B-01
20260821_023230_f2bfc8,85,task_created,,G00033,type=PICK pickup=G-03 dropoff=PICK-1
20260821_023230_f2bfc8,85,robot_unblocked,R9,,
20260821_023230_f2bfc8,85,robot_replanned,R9,,
20260821_023230_f2bfc8,86,task_completed,R12,G00005,
20260821_023230_f2bfc8,86,robot_unblocked,R12,,
20260821_023230_f2bfc8,87,task_assigned,R12,G00032,
20260821_023230_f2bfc8,87,robot_blocked,R12,,
20260821_023230_f2bfc8,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=C-03
20260821_023230_f2bfc8,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260821_023230_f2bfc8,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_023230_f2bfc8,95,task_created,,G00037,type=PICK pickup=C-04 dropoff=PICK-3
20260821_023230_f2bfc8,97,robot_blocked,R3,,
20260821_023230_f2bfc8,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=A-05
20260821_023230_f2bfc8,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-2
20260821_023230_f2bfc8,105,task_created,,G00040,type=PICK pickup=D-07 dropoff=PICK-1
20260821_023230_f2bfc8,105,robot_unblocked,R2,,
20260821_023230_f2bfc8,105,robot_replanned,R2,,
20260821_023230_f2bfc8,106,robot_unblocked,R3,,
20260821_023230_f2bfc8,106,robot_unblocked,R11,,
20260821_023230_f2bfc8,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260821_023230_f2bfc8,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260821_023230_f2bfc8,108,robot_blocked,R3,,
20260821_023230_f2bfc8,109,task_completed,R3,G00028,
20260821_023230_f2bfc8,109,robot_unblocked,R3,,
20260821_023230_f2bfc8,109,robot_unblocked,R12,,
20260821_023230_f2bfc8,110,task_assigned,R3,G00034,
20260821_023230_f2bfc8,112,robot_blocked,R12,,
