tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.9333,99.6,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.8667,99.2,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.7333,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.6,98.4,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.4,98.0,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.2,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,2,0,0,0,0,0,98.9333,97.2,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,98.6667,96.8,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,1,0,0,0,0,0,98.3333,96.4,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.9667,96.0,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.6,95.6,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,1.0,1.0,0.0,4,2,0,0,0,0,0,97.2333,95.2,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.9,94.8,99.6,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.5333,94.4,99.2,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.1667,94.0,98.8,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,95.7333,93.4,98.4,0.0,0.0,0.0,0.0
19,1,7.0,2.0,0.0,1.0,0.0,6,0,0,0,0,0,0,95.2333,92.8,98.0,0.0,0.0,0.0,0.0
20,1,7.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0,94.7333,92.2,97.6,0.0,0.0,0.0,0.0
21,1,7.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0,94.2333,91.6,97.2,0.0,0.0,0.0,0.0
22,1,6.0,0.0,1.0,2.0,0.0,5,1,0,0,0,0,0,93.7333,91.0,96.8,0.0,0.0,0.0,0.0
23,1,6.0,1.0,1.0,3.0,0.0,5,1,0,0,0,0,0,93.2667,90.4,96.4,0.0,0.0,0.0,0.0
24,0,6.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,92.8,90.0,96.0,0.0,0.0,0.0,0.0
25,1,7.0,1.0,0.0,3.0,0.0,6,0,0,0,0,0,0,92.3333,89.6,95.6,0.0,0.0,0.0,0.0
26,1,7.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,91.8667,89.2,95.2,0.0,0.0,0.0,0.0
27,2,7.0,1.0,1.0,4.0,0.0,5,1,0,0,0,0,0,91.4,88.8,94.8,0.0,0.0,0.0,0.0
28,1,7.0,0.0,0.0,4.0,0.0,6,0,0,0,0,0,0,90.9667,88.4,94.4,0.0,0.0,0.0,0.0
29,1,7.0,0.0,0.0,4.0,0.0,6,0,0,0,0,0,0,90.5,88.0,93.8,0.0,0.0,0.0,0.0
30,1,7.0,0.0,0.0,4.0,0.0,4,0,2,0,0,0,0,90.2,88.0,93.2,0.0,0.0,2.0,2.0
31,2,8.0,1.0,0.0,4.0,0.0,4,0,2,0,0,0,0,89.8667,87.6,92.6,0.0,0.0,2.0,4.0
