tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.8833,99.3,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.7667,98.6,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.5333,97.9,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.3,97.2,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,3,0,0,0,0,0,98.9,96.2,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,98.5,95.2,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,2,0,0,0,0,0,97.9833,94.2,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,97.4667,93.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,1,0,0,0,0,0,96.8333,92.2,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,96.2,91.2,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,95.5667,90.2,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,94.8833,89.2,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,0,0,0,0,0,0,93.9833,88.2,99.3,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,93.0833,87.2,98.6,0.0,0.0,0.0,0.0
17,0,4.0,0.0,2.0,2.0,0.0,4,2,0,0,0,0,0,92.1833,86.2,97.9,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,2,0,0,0,0,0,91.6167,86.2,97.2,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,0,0,0,0,0,0,90.8167,85.5,96.5,0.0,0.0,0.0,0.0
20,0,5.0,0.0,1.0,3.0,0.0,5,1,0,0,0,0,0,90.0167,84.8,95.8,0.0,0.0,0.0,0.0
21,0,5.0,0.0,0.0,3.0,0.0,5,1,0,0,0,0,0,89.3833,84.1,95.1,0.0,0.0,0.0,0.0
22,0,5.0,0.0,0.0,3.0,0.0,5,1,0,0,0,0,0,88.75,83.4,94.4,0.0,0.0,0.0,0.0
23,0,6.0,1.0,0.0,3.0,0.0,6,0,0,0,0,0,0,88.0,82.7,93.7,0.0,0.0,0.0,0.0
24,0,5.0,0.0,1.0,4.0,0.0,5,1,0,0,0,0,0,87.25,82.0,93.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,4,0,2,0,0,0,0,86.7833,82.0,93.0,0.0,0.0,2.0,2.0
26,0,6.0,0.0,0.0,4.0,0.0,5,0,1,0,0,0,0,86.3167,82.0,93.0,1.0,1.0,2.0,4.0
27,1,7.0,1.0,0.0,4.0,0.0,6,0,0,0,0,0,0,85.6167,81.3,92.3,0.0,1.0,0.0,4.0
28,1,7.0,0.0,0.0,4.0,0.0,6,0,0,0,0,0,0,84.8667,80.6,91.6,0.0,1.0,0.0,4.0
29,1,7.0,0.0,0.0,4.0,0.0,6,0,0,0,0,0,0,84.1167,79.9,90.9,0.0,1.0,0.0,4.0
30,1,7.0,0.0,0.0,4.0,0.0,6,0,0,0,0,0,0,83.3667,79.2,90.2,0.0,1.0,0.0,4.0
31,2,8.0,1.0,0.0,4.0,0.0,6,0,0,0,0,0,0,82.6167,78.5,89.5,0.0,1.0,0.0,4.0
