run_id,tick,event_type,robot_id,task_id,details
20260903_045052_bbea42,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260903_045052_bbea42,3,task_assigned,R3,G00001,
20260903_045052_bbea42,5,task_created,,G00002,type=PICK pickup=E-04 dropoff=PICK-1
20260903_045052_bbea42,5,task_assigned,R2,G00002,
20260903_045052_bbea42,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_045052_bbea42,7,task_assigned,R1,G00003,
20260903_045052_bbea42,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_045052_bbea42,9,task_assigned,R4,G00004,
20260903_045052_bbea42,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=A-05
20260903_045052_bbea42,15,task_created,,G00006,type=PICK pickup=A-04 dropoff=PICK-1
20260903_045052_bbea42,16,robot_blocked,R3,,
20260903_045052_bbea42,17,robot_unblocked,R3,,
20260903_045052_bbea42,18,task_completed,R3,G00001,
20260903_045052_bbea42,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260903_045052_bbea42,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_045052_bbea42,19,task_assigned,R3,G00008,
20260903_045052_bbea42,22,task_completed,R2,G00002,
20260903_045052_bbea42,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_045052_bbea42,23,task_assigned,R2,G00009,
20260903_045052_bbea42,25,task_created,,G00010,type=PICK pickup=D-05 dropoff=PICK-2
20260903_045052_bbea42,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=A-01
20260903_045052_bbea42,31,task_completed,R4,G00004,
20260903_045052_bbea42,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_045052_bbea42,32,task_assigned,R4,G00012,
20260903_045052_bbea42,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260903_045052_bbea42,35,task_created,,G00014,type=PICK pickup=C-04 dropoff=PICK-1
20260903_045052_bbea42,36,task_completed,R1,G00003,
20260903_045052_bbea42,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_045052_bbea42,37,task_assigned,R1,G00015,
20260903_045052_bbea42,39,task_completed,R2,G00009,
20260903_045052_bbea42,40,task_assigned,R2,G00006,
20260903_045052_bbea42,43,task_completed,R1,G00015,
20260903_045052_bbea42,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-01
