tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.175,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.875,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.4875,97.1,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.1,96.6,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.7125,96.1,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.325,95.6,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.9375,95.1,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.55,94.6,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.1625,94.1,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,95.8625,94.1,97.2,0.0,0.0,1.0,1.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.4375,93.6,96.85,0.0,0.0,0.0,1.0
18,2,5.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,95.0125,93.1,96.5,0.0,0.0,0.0,1.0
19,3,7.0,2.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.625,92.75,96.15,0.0,0.0,0.0,1.0
20,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.2375,92.4,95.8,0.0,0.0,0.0,1.0
21,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.85,92.05,95.45,0.0,0.0,0.0,1.0
22,3,6.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,93.4625,91.7,95.1,0.0,0.0,0.0,1.0
23,3,7.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,93.1125,91.35,94.75,0.0,0.0,0.0,1.0
24,3,7.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,92.7625,91.0,94.4,0.0,0.0,0.0,1.0
25,4,8.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,92.4125,90.65,94.05,0.0,0.0,0.0,1.0
26,4,8.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,92.0625,90.3,93.7,0.0,0.0,0.0,1.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.675,89.95,93.35,0.0,0.0,0.0,1.0
28,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.2875,89.6,93.0,0.0,0.0,0.0,1.0
29,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.8625,89.25,92.5,0.0,0.0,0.0,1.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.4375,88.9,92.0,0.0,0.0,0.0,1.0
31,6,9.0,1.0,1.0,3.0,0.0,3,1,0,0,0,0,0,90.0125,88.55,91.5,0.0,0.0,0.0,1.0
32,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.625,88.2,91.15,0.0,0.0,0.0,1.0
33,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.2375,87.85,90.8,0.0,0.0,0.0,1.0
34,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.85,87.5,90.45,0.0,0.0,0.0,1.0
35,7,11.0,2.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.4625,87.15,90.1,0.0,0.0,0.0,1.0
36,7,10.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,88.075,86.8,89.75,0.0,0.0,0.0,1.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.6875,86.45,89.4,0.0,0.0,0.0,1.0
38,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.2625,85.95,89.05,0.0,0.0,0.0,1.0
39,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,86.8375,85.45,88.7,0.0,0.0,0.0,1.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.45,84.95,88.35,0.0,0.0,0.0,1.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.025,84.45,88.0,0.0,0.0,0.0,1.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.6,83.95,87.65,0.0,0.0,0.0,1.0
43,8,11.0,2.0,1.0,6.0,0.0,2,1,1,0,0,0,0,85.2625,83.45,87.3,0.0,0.0,1.0,2.0
44,7,11.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.875,82.95,86.95,0.0,0.0,0.0,2.0
45,8,12.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.45,82.45,86.45,0.0,0.0,0.0,2.0
46,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.025,81.95,85.95,0.0,0.0,0.0,2.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.6,81.45,85.45,0.0,0.0,0.0,2.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.175,80.95,84.95,0.0,0.0,0.0,2.0
49,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.75,80.45,84.45,0.0,0.0,0.0,2.0
50,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.325,79.95,83.95,0.0,0.0,0.0,2.0
51,10,13.0,2.0,1.0,7.0,0.0,3,1,0,0,0,0,0,81.9,79.45,83.45,0.0,0.0,0.0,2.0
52,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.5125,79.1,82.95,0.0,0.0,0.0,2.0
53,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.125,78.75,82.45,0.0,0.0,0.0,2.0
54,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.7375,78.4,81.95,0.0,0.0,0.0,2.0
55,11,15.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.35,78.05,81.45,0.0,0.0,0.0,2.0
56,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.925,77.55,80.95,0.0,0.0,0.0,2.0
57,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.4625,77.05,80.45,0.0,0.0,0.0,2.0
58,11,14.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,79.0,76.55,79.95,0.0,0.0,0.0,2.0
59,11,14.0,1.0,1.0,9.0,0.0,3,1,0,0,0,0,0,78.575,76.2,79.6,0.0,0.0,0.0,2.0
60,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.1875,75.85,79.25,0.0,0.0,0.0,2.0
61,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.7625,75.5,78.75,0.0,0.0,0.0,2.0
62,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.3375,75.15,78.4,0.0,0.0,0.0,2.0
63,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.9125,74.8,78.05,0.0,0.0,0.0,2.0
64,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.4875,74.45,77.7,0.0,0.0,0.0,2.0
65,12,16.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.0625,74.1,77.35,0.0,0.0,0.0,2.0
66,12,16.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,75.6375,73.75,77.0,0.0,0.0,0.0,2.0
67,14,17.0,2.0,1.0,10.0,0.0,3,1,0,0,0,0,0,75.2125,73.4,76.65,0.0,0.0,0.0,2.0
68,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.825,73.05,76.3,0.0,0.0,0.0,2.0
69,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.4375,72.7,75.95,0.0,0.0,0.0,2.0
70,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.05,72.35,75.6,0.0,0.0,0.0,2.0
71,13,16.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,73.6625,72.0,75.25,0.0,0.0,0.0,2.0
72,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.3125,71.65,74.9,0.0,0.0,0.0,2.0
73,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.925,71.3,74.4,0.0,0.0,0.0,2.0
74,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.5375,70.95,73.9,0.0,0.0,0.0,2.0
75,14,18.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.15,70.6,73.4,0.0,0.0,0.0,2.0
76,14,18.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,71.725,70.1,72.9,0.0,0.0,0.0,2.0
77,14,18.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,71.3,69.6,72.4,0.0,0.0,0.0,2.0
78,14,18.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,70.875,69.1,71.9,0.0,0.0,0.0,2.0
79,16,20.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,70.45,68.6,71.55,0.0,0.0,0.0,2.0
80,16,20.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,70.025,68.1,71.2,0.0,0.0,0.0,2.0
81,16,20.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,69.6,67.6,70.85,0.0,0.0,0.0,2.0
82,16,20.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,69.1375,67.1,70.35,0.0,0.0,0.0,2.0
83,17,21.0,1.0,0.0,11.0,0.0,4,0,0,0,0,0,0,68.675,66.6,69.85,0.0,0.0,0.0,2.0
84,17,18.0,0.0,3.0,14.0,0.0,1,3,0,0,0,0,0,68.2125,66.1,69.35,0.0,0.0,0.0,2.0
85,15,19.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.825,65.75,69.0,0.0,0.0,0.0,2.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.4375,65.4,68.65,0.0,0.0,0.0,2.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.0125,65.05,68.3,0.0,0.0,0.0,2.0
88,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.55,64.7,67.8,0.0,0.0,0.0,2.0
89,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.0875,64.35,67.3,0.0,0.0,0.0,2.0
90,15,18.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,65.625,64.0,66.8,0.0,0.0,0.0,2.0
91,16,19.0,2.0,1.0,16.0,0.0,3,1,0,0,0,0,0,65.2,63.65,66.45,0.0,0.0,0.0,2.0
92,15,19.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.8125,63.3,66.1,0.0,0.0,0.0,2.0
93,16,20.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.425,62.95,65.75,0.0,0.0,0.0,2.0
94,16,20.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.0375,62.6,65.4,0.0,0.0,0.0,2.0
95,17,21.0,1.0,0.0,16.0,0.0,3,0,1,0,0,0,0,63.7375,62.25,65.4,0.0,0.0,1.0,3.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.35,61.9,65.05,0.0,0.0,0.0,3.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.925,61.4,64.7,0.0,0.0,0.0,3.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.5,60.9,64.35,0.0,0.0,0.0,3.0
99,18,22.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.075,60.4,64.0,0.0,0.0,0.0,3.0
100,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.65,59.9,63.65,0.0,0.0,0.0,3.0
101,18,21.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,61.1875,59.4,63.15,0.0,0.0,0.0,3.0
102,17,21.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,60.7625,58.9,62.65,0.0,0.0,0.0,3.0
103,18,22.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,60.3375,58.4,62.15,0.0,0.0,0.0,3.0
104,18,22.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,59.9125,57.9,61.65,0.0,0.0,0.0,3.0
105,19,23.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,59.4875,57.4,61.15,0.0,0.0,0.0,3.0
106,19,22.0,0.0,1.0,18.0,0.0,3,1,0,0,0,0,0,59.0625,56.9,60.65,0.0,0.0,0.0,3.0
107,20,24.0,2.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.6,56.4,60.3,0.0,0.0,0.0,3.0
108,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.1375,55.9,59.95,0.0,0.0,0.0,3.0
109,20,23.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,57.675,55.4,59.6,0.0,0.0,0.0,3.0
110,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.25,54.9,59.25,0.0,0.0,0.0,3.0
111,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.7875,54.4,58.75,0.0,0.0,0.0,3.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.325,53.9,58.25,0.0,0.0,0.0,3.0
113,19,21.0,0.0,2.0,21.0,0.0,2,2,0,0,0,0,0,55.8625,53.4,57.75,0.0,0.0,0.0,3.0
114,17,21.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,55.475,53.05,57.4,0.0,0.0,0.0,3.0
115,20,24.0,3.0,0.0,21.0,0.0,4,0,0,0,0,0,0,55.0875,52.7,57.05,0.0,0.0,0.0,3.0
116,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,54.7,52.35,56.7,0.0,0.0,0.0,3.0
117,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,54.3125,52.0,56.35,0.0,0.0,0.0,3.0
118,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.925,51.65,56.0,0.0,0.0,0.0,3.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.5,51.3,55.65,0.0,0.0,0.0,3.0
120,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.075,50.95,55.3,0.0,0.0,0.0,3.0
121,21,25.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.65,50.6,54.95,0.0,0.0,0.0,3.0
122,21,24.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,52.1875,50.1,54.6,0.0,0.0,0.0,3.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.7625,49.6,54.25,0.0,0.0,0.0,3.0
124,21,24.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,51.3375,49.1,53.9,0.0,0.0,0.0,3.0
125,21,25.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.95,48.6,53.55,0.0,0.0,0.0,3.0
126,21,25.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.5625,48.1,53.2,0.0,0.0,0.0,3.0
127,22,26.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.1375,47.6,52.7,0.0,0.0,0.0,3.0
128,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.7125,47.1,52.2,0.0,0.0,0.0,3.0
129,22,25.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,49.2875,46.6,51.7,0.0,0.0,0.0,3.0
130,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.9,46.25,51.2,0.0,0.0,0.0,3.0
131,22,26.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.5125,45.9,50.7,0.0,0.0,0.0,3.0
132,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.125,45.55,50.2,0.0,0.0,0.0,3.0
133,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.7375,45.2,49.7,0.0,0.0,0.0,3.0
134,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.35,44.85,49.2,0.0,0.0,0.0,3.0
135,24,28.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.925,44.5,48.7,0.0,0.0,0.0,3.0
136,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.5,44.15,48.2,0.0,0.0,0.0,3.0
137,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.0375,43.8,47.7,0.0,0.0,0.0,3.0
138,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.5375,43.3,47.2,0.0,0.0,0.0,3.0
139,26,29.0,2.0,1.0,25.0,0.0,3,1,0,0,0,0,0,45.0375,42.8,46.7,0.0,0.0,0.0,3.0
140,25,28.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,44.575,42.3,46.2,0.0,0.0,0.0,3.0
141,24,28.0,0.0,0.0,26.0,0.0,3,0,1,0,0,0,0,44.275,41.8,45.85,0.0,0.0,1.0,4.0
142,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.85,41.3,45.5,0.0,0.0,0.0,4.0
143,24,27.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,43.3875,40.8,45.15,0.0,0.0,0.0,4.0
144,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.9625,40.45,44.8,0.0,0.0,0.0,4.0
145,24,27.0,1.0,1.0,28.0,0.0,3,1,0,0,0,0,0,42.5375,40.1,44.45,0.0,0.0,0.0,4.0
146,23,27.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,42.15,39.75,44.1,0.0,0.0,0.0,4.0
147,24,28.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.7625,39.4,43.75,0.0,0.0,0.0,4.0
148,24,28.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.375,39.05,43.4,0.0,0.0,0.0,4.0
149,25,29.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.95,38.7,42.9,0.0,0.0,0.0,4.0
150,25,28.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,40.525,38.35,42.4,0.0,0.0,0.0,4.0
151,25,29.0,1.0,0.0,29.0,0.0,4,0,0,0,0,0,0,40.1375,38.0,41.9,0.0,0.0,0.0,4.0
152,25,29.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,39.75,37.65,41.4,0.0,0.0,0.0,4.0
153,25,29.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,39.3625,37.3,40.9,0.0,0.0,0.0,4.0
154,25,29.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.975,36.95,40.4,0.0,0.0,0.0,4.0
155,27,30.0,2.0,1.0,30.0,0.0,3,1,0,0,0,0,0,38.5875,36.6,39.9,0.0,0.0,0.0,4.0
156,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,38.1625,36.1,39.55,0.0,0.0,0.0,4.0
157,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.7375,35.6,39.2,0.0,0.0,0.0,4.0
158,26,29.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,37.3125,35.1,38.85,0.0,0.0,0.0,4.0
159,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.925,34.6,38.5,0.0,0.0,0.0,4.0
160,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.5375,34.1,38.15,0.0,0.0,0.0,4.0
161,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.15,33.6,37.8,0.0,0.0,0.0,4.0
162,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,35.7625,33.1,37.45,0.0,0.0,0.0,4.0
163,28,32.0,3.0,0.0,31.0,0.0,4,0,0,0,0,0,0,35.375,32.6,37.1,0.0,0.0,0.0,4.0
164,28,32.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,34.9875,32.1,36.75,0.0,0.0,0.0,4.0
165,29,32.0,1.0,1.0,32.0,0.0,3,1,0,0,0,0,0,34.6,31.6,36.4,0.0,0.0,0.0,4.0
166,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.2125,31.25,36.05,0.0,0.0,0.0,4.0
167,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,33.825,30.9,35.7,0.0,0.0,0.0,4.0
168,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,33.4375,30.55,35.35,0.0,0.0,0.0,4.0
169,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,33.05,30.2,35.0,0.0,0.0,0.0,4.0
170,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,32.6625,29.85,34.65,0.0,0.0,0.0,4.0
