tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.5875,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4375,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.2438,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.05,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.8125,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.5563,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.3,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.025,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.6875,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.35,93.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,2.0,2.0,0.0,2,4,2,0,0,0,0,97.1188,93.1,100.0,0.0,0.0,2.0,2.0
18,0,4.0,0.0,0.0,2.0,0.0,3,4,1,0,0,0,0,97.0125,93.1,100.0,1.0,1.0,2.0,4.0
19,0,6.0,2.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.7125,92.75,100.0,0.0,1.0,0.0,4.0
20,0,5.0,0.0,1.0,3.0,0.0,5,3,0,0,0,0,0,96.4125,92.4,100.0,0.0,1.0,0.0,4.0
21,0,5.0,0.0,0.0,3.0,0.0,4,3,1,0,0,0,0,96.2188,92.05,100.0,0.0,1.0,1.0,5.0
22,0,5.0,0.0,0.0,3.0,0.0,5,3,0,0,0,0,0,95.9625,91.7,100.0,0.0,1.0,0.0,5.0
23,0,5.0,1.0,1.0,4.0,0.0,5,3,0,0,0,0,0,95.6625,91.35,100.0,0.0,1.0,0.0,5.0
24,0,5.0,0.0,0.0,4.0,0.0,5,3,0,0,0,0,0,95.425,91.0,100.0,0.0,1.0,0.0,5.0
25,0,6.0,1.0,0.0,4.0,0.0,6,2,0,0,0,0,0,95.1438,90.65,99.65,0.0,1.0,0.0,5.0
26,0,5.0,0.0,1.0,5.0,0.0,5,3,0,0,0,0,0,94.8438,90.3,99.3,0.0,1.0,0.0,5.0
27,0,6.0,1.0,0.0,5.0,0.0,6,2,0,0,0,0,0,94.525,89.95,98.8,0.0,1.0,0.0,5.0
28,0,5.0,0.0,1.0,6.0,0.0,5,3,0,0,0,0,0,94.2063,89.6,98.3,0.0,1.0,0.0,5.0
29,0,5.0,0.0,0.0,6.0,0.0,5,3,0,0,0,0,0,93.95,89.25,97.8,0.0,1.0,0.0,5.0
30,0,5.0,0.0,0.0,6.0,0.0,5,3,0,0,0,0,0,93.675,88.75,97.3,0.0,1.0,0.0,5.0
31,0,6.0,1.0,0.0,6.0,0.0,6,2,0,0,0,0,0,93.3375,88.25,96.8,0.0,1.0,0.0,5.0
32,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,92.9813,87.75,96.3,0.0,1.0,0.0,5.0
33,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,92.625,87.25,95.8,0.0,1.0,0.0,5.0
34,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,92.2688,86.75,95.3,0.0,1.0,0.0,5.0
35,0,8.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,91.825,86.25,94.8,0.0,1.0,0.0,5.0
36,0,7.0,0.0,1.0,7.0,0.0,5,1,2,0,0,0,0,91.4875,85.75,94.3,0.0,1.0,2.0,7.0
37,0,8.0,1.0,0.0,7.0,0.0,8,0,0,0,0,0,0,91.0625,85.25,93.8,0.0,1.0,0.0,7.0
38,0,7.0,0.0,1.0,8.0,0.0,7,1,0,0,0,0,0,90.6375,84.75,93.3,0.0,1.0,0.0,7.0
39,0,7.0,0.0,0.0,8.0,0.0,6,1,1,0,0,0,0,90.3375,84.25,93.3,0.0,1.0,1.0,8.0
40,0,6.0,0.0,1.0,9.0,0.0,5,2,1,0,0,0,0,89.9938,83.75,92.95,1.0,2.0,1.0,9.0
41,0,6.0,0.0,0.0,9.0,0.0,5,2,1,0,0,0,0,89.7375,83.25,92.95,0.0,2.0,1.0,10.0
42,0,5.0,0.0,1.0,10.0,0.0,4,3,1,0,0,0,0,89.525,82.75,92.95,1.0,3.0,2.0,12.0
43,0,7.0,2.0,0.0,10.0,0.0,7,1,0,0,0,0,0,89.2438,82.75,92.6,1.0,4.0,1.0,13.0
44,0,7.0,0.0,0.0,10.0,0.0,7,1,0,0,0,0,0,88.9,82.75,92.25,0.0,4.0,0.0,13.0
45,0,8.0,1.0,0.0,10.0,0.0,8,0,0,0,0,0,0,88.5125,82.4,91.9,0.0,4.0,0.0,13.0
46,0,8.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,88.125,82.05,91.55,0.0,4.0,0.0,13.0
47,0,8.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,87.7375,81.7,91.2,0.0,4.0,0.0,13.0
48,0,8.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,87.35,81.35,90.85,0.0,4.0,0.0,13.0
49,0,8.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,86.9625,81.0,90.5,0.0,4.0,0.0,13.0
50,0,7.0,0.0,1.0,11.0,0.0,7,1,0,0,0,0,0,86.575,80.65,90.15,0.0,4.0,0.0,13.0
51,1,9.0,2.0,0.0,11.0,0.0,8,0,0,0,0,0,0,86.2063,80.3,89.8,0.0,4.0,0.0,13.0
52,1,8.0,0.0,1.0,12.0,0.0,6,1,1,0,0,0,0,85.8625,79.95,89.3,0.0,4.0,1.0,14.0
53,0,8.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,85.4938,79.6,88.8,0.0,4.0,0.0,14.0
54,0,8.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,85.0875,79.25,88.3,0.0,4.0,0.0,14.0
55,2,10.0,2.0,0.0,12.0,0.0,8,0,0,0,0,0,0,84.6813,78.9,87.8,0.0,4.0,0.0,14.0
56,2,10.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,84.2563,78.55,87.3,0.0,4.0,0.0,14.0
57,2,10.0,0.0,0.0,12.0,0.0,6,0,2,0,0,0,0,83.9375,78.2,87.3,0.0,4.0,2.0,16.0
58,2,9.0,0.0,1.0,13.0,0.0,6,1,1,0,0,0,0,83.6,77.7,87.3,1.0,5.0,2.0,18.0
59,2,9.0,1.0,1.0,14.0,0.0,7,1,0,0,0,0,0,83.1563,77.2,86.8,0.0,5.0,0.0,18.0
60,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,82.7313,76.7,86.3,0.0,5.0,0.0,18.0
61,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,82.2875,76.2,85.8,0.0,5.0,0.0,18.0
62,1,9.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,81.9063,76.2,85.3,0.0,5.0,1.0,19.0
63,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,81.4625,75.7,84.8,0.0,5.0,0.0,19.0
64,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,81.0,75.2,84.3,0.0,5.0,0.0,19.0
65,3,11.0,2.0,0.0,14.0,0.0,8,0,0,0,0,0,0,80.5375,74.7,83.8,0.0,5.0,0.0,19.0
66,3,11.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,80.075,74.2,83.3,0.0,5.0,0.0,19.0
67,5,13.0,2.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.6125,73.7,82.8,0.0,5.0,0.0,19.0
68,5,11.0,0.0,2.0,16.0,0.0,6,2,0,0,0,0,0,79.15,73.2,82.3,0.0,5.0,0.0,19.0
69,3,10.0,0.0,1.0,17.0,0.0,7,1,0,0,0,0,0,78.725,72.7,81.8,0.0,5.0,0.0,19.0
70,2,10.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,78.3188,72.2,81.3,0.0,5.0,0.0,19.0
71,2,10.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,77.9125,71.7,80.8,0.0,5.0,0.0,19.0
72,2,9.0,0.0,1.0,18.0,0.0,7,1,0,0,0,0,0,77.5063,71.2,80.3,0.0,5.0,0.0,19.0
73,1,8.0,0.0,1.0,19.0,0.0,7,1,0,0,0,0,0,77.1188,70.7,79.8,0.0,5.0,0.0,19.0
74,0,7.0,0.0,1.0,20.0,0.0,7,1,0,0,0,0,0,76.7313,70.2,79.45,0.0,5.0,0.0,19.0
75,1,9.0,2.0,0.0,20.0,0.0,8,0,0,0,0,0,0,76.3625,69.85,79.1,0.0,5.0,0.0,19.0
76,1,8.0,0.0,1.0,21.0,0.0,7,1,0,0,0,0,0,75.9563,69.5,78.75,0.0,5.0,0.0,19.0
77,0,8.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,75.5688,69.15,78.4,0.0,5.0,0.0,19.0
78,0,8.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,75.1813,68.8,78.05,0.0,5.0,0.0,19.0
79,2,10.0,2.0,0.0,21.0,0.0,8,0,0,0,0,0,0,74.7938,68.45,77.7,0.0,5.0,0.0,19.0
80,2,10.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,74.3875,68.1,77.2,0.0,5.0,0.0,19.0
81,2,10.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,73.9813,67.75,76.7,0.0,5.0,0.0,19.0
82,2,10.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,73.575,67.4,76.2,0.0,5.0,0.0,19.0
83,3,11.0,1.0,0.0,21.0,0.0,8,0,0,0,0,0,0,73.15,67.05,75.7,0.0,5.0,0.0,19.0
84,3,10.0,0.0,1.0,22.0,0.0,7,1,0,0,0,0,0,72.725,66.7,75.2,0.0,5.0,0.0,19.0
85,3,11.0,1.0,0.0,22.0,0.0,8,0,0,0,0,0,0,72.3,66.35,74.7,0.0,5.0,0.0,19.0
86,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,71.8563,66.0,74.2,0.0,5.0,0.0,19.0
87,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,71.4125,65.65,73.7,0.0,5.0,0.0,19.0
88,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,70.9688,65.3,73.2,0.0,5.0,0.0,19.0
89,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,70.5063,64.8,72.7,0.0,5.0,0.0,19.0
90,3,10.0,0.0,1.0,23.0,0.0,7,1,0,0,0,0,0,70.025,64.3,72.2,0.0,5.0,0.0,19.0
91,4,12.0,2.0,0.0,23.0,0.0,8,0,0,0,0,0,0,69.5625,63.8,71.7,0.0,5.0,0.0,19.0
92,4,9.0,0.0,3.0,26.0,0.0,5,3,0,0,0,0,0,69.1,63.3,71.2,0.0,5.0,0.0,19.0
93,2,10.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,68.6938,62.8,70.85,0.0,5.0,0.0,19.0
94,2,10.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,68.2875,62.3,70.5,0.0,5.0,0.0,19.0
95,3,11.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,67.8625,61.8,70.0,0.0,5.0,0.0,19.0
96,3,10.0,0.0,1.0,27.0,0.0,7,1,0,0,0,0,0,67.4188,61.3,69.5,0.0,5.0,0.0,19.0
97,2,10.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,66.9938,60.8,69.0,0.0,5.0,0.0,19.0
98,2,9.0,0.0,1.0,28.0,0.0,7,1,0,0,0,0,0,66.55,60.3,68.5,0.0,5.0,0.0,19.0
99,2,10.0,1.0,0.0,28.0,0.0,8,0,0,0,0,0,0,66.125,59.8,68.0,0.0,5.0,0.0,19.0
100,2,10.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,65.7,59.3,67.55,0.0,5.0,0.0,19.0
101,2,10.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,65.2563,58.8,67.2,0.0,5.0,0.0,19.0
102,2,9.0,0.0,1.0,29.0,0.0,7,1,0,0,0,0,0,64.8125,58.3,66.85,0.0,5.0,0.0,19.0
103,2,10.0,1.0,0.0,29.0,0.0,8,0,0,0,0,0,0,64.3875,57.95,66.5,0.0,5.0,0.0,19.0
104,2,9.0,0.0,1.0,30.0,0.0,7,1,0,0,0,0,0,63.9625,57.6,66.15,0.0,5.0,0.0,19.0
105,2,10.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,63.5375,57.25,65.65,0.0,5.0,0.0,19.0
106,2,8.0,0.0,2.0,32.0,0.0,6,2,0,0,0,0,0,63.1125,56.9,65.15,0.0,5.0,0.0,19.0
107,2,10.0,2.0,0.0,32.0,0.0,6,0,2,0,0,0,0,62.8313,56.55,64.65,0.0,5.0,2.0,21.0
108,2,10.0,0.0,0.0,32.0,0.0,7,0,1,0,0,0,0,62.55,56.2,64.5,1.0,6.0,2.0,23.0
109,2,10.0,0.0,0.0,32.0,0.0,8,0,0,0,0,0,0,62.1625,55.85,64.0,0.0,6.0,0.0,23.0
110,2,10.0,0.0,0.0,32.0,0.0,8,0,0,0,0,0,0,61.775,55.5,63.5,0.0,6.0,0.0,23.0
111,2,10.0,0.0,0.0,32.0,0.0,7,0,1,0,0,0,0,61.4125,55.15,63.0,0.0,6.0,1.0,24.0
112,2,10.0,0.0,0.0,32.0,0.0,7,0,1,0,0,0,0,61.05,54.8,62.5,0.0,6.0,1.0,25.0
113,2,9.0,0.0,1.0,33.0,0.0,6,1,1,0,0,0,0,60.7125,54.3,62.0,1.0,7.0,2.0,27.0
114,1,9.0,0.0,0.0,33.0,0.0,8,0,0,0,0,0,0,60.3063,53.8,61.65,0.0,7.0,0.0,27.0
115,4,12.0,3.0,0.0,33.0,0.0,7,0,1,0,0,0,0,59.9438,53.3,61.3,0.0,7.0,1.0,28.0
116,4,12.0,0.0,0.0,33.0,0.0,8,0,0,0,0,0,0,59.5375,52.8,60.95,0.0,7.0,0.0,28.0
117,4,12.0,0.0,0.0,33.0,0.0,8,0,0,0,0,0,0,59.1125,52.3,60.6,0.0,7.0,0.0,28.0
118,4,11.0,0.0,1.0,34.0,0.0,7,1,0,0,0,0,0,58.6875,51.8,60.25,0.0,7.0,0.0,28.0
119,3,11.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,58.2813,51.45,59.9,0.0,7.0,0.0,28.0
120,3,11.0,0.0,0.0,34.0,0.0,6,0,2,0,0,0,0,57.9813,51.1,59.9,0.0,7.0,2.0,30.0
121,4,12.0,1.0,0.0,34.0,0.0,7,0,1,0,0,0,0,57.6625,50.75,59.9,1.0,8.0,2.0,32.0
122,4,12.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,57.2188,50.4,59.55,0.0,8.0,0.0,32.0
123,5,11.0,1.0,2.0,36.0,0.0,5,2,1,0,0,0,0,56.8813,50.05,59.55,0.0,8.0,1.0,33.0
124,3,11.0,0.0,0.0,36.0,0.0,8,0,0,0,0,0,0,56.475,49.7,59.2,0.0,8.0,0.0,33.0
125,4,12.0,1.0,0.0,36.0,0.0,8,0,0,0,0,0,0,56.0688,49.35,58.85,0.0,8.0,0.0,33.0
126,4,12.0,0.0,0.0,36.0,0.0,8,0,0,0,0,0,0,55.6625,49.0,58.5,0.0,8.0,0.0,33.0
