tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.5875,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4375,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.2438,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.05,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.8125,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.5563,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.3,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.025,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.6875,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.35,93.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,2.0,2.0,0.0,2,4,2,0,0,0,0,97.1188,93.1,100.0,0.0,0.0,2.0,2.0
18,0,4.0,0.0,0.0,2.0,0.0,3,4,1,0,0,0,0,97.0125,93.1,100.0,1.0,1.0,2.0,4.0
19,0,6.0,2.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.7125,93.1,99.65,0.0,1.0,0.0,4.0
20,0,5.0,0.0,1.0,3.0,0.0,5,3,0,0,0,0,0,96.4125,93.1,99.3,0.0,1.0,0.0,4.0
21,0,5.0,0.0,0.0,3.0,0.0,4,3,1,0,0,0,0,96.2188,93.1,99.3,0.0,1.0,1.0,5.0
22,0,5.0,0.0,0.0,3.0,0.0,5,3,0,0,0,0,0,95.9625,93.1,98.95,0.0,1.0,0.0,5.0
23,0,5.0,1.0,1.0,4.0,0.0,5,3,0,0,0,0,0,95.6625,93.1,98.6,0.0,1.0,0.0,5.0
24,0,5.0,0.0,0.0,4.0,0.0,5,3,0,0,0,0,0,95.425,93.1,98.25,0.0,1.0,0.0,5.0
25,0,6.0,1.0,0.0,4.0,0.0,6,2,0,0,0,0,0,95.1438,92.9,97.9,0.0,1.0,0.0,5.0
26,0,5.0,0.0,1.0,5.0,0.0,5,3,0,0,0,0,0,94.8438,92.55,97.55,0.0,1.0,0.0,5.0
27,0,6.0,1.0,0.0,5.0,0.0,6,2,0,0,0,0,0,94.5438,92.2,97.2,0.0,1.0,0.0,5.0
28,0,5.0,0.0,1.0,6.0,0.0,5,3,0,0,0,0,0,94.2438,91.85,96.85,0.0,1.0,0.0,5.0
29,0,5.0,0.0,0.0,6.0,0.0,4,3,1,0,0,0,0,94.05,91.5,96.5,0.0,1.0,1.0,6.0
30,0,5.0,0.0,0.0,6.0,0.0,4,3,1,0,0,0,0,93.8125,91.15,96.15,1.0,2.0,1.0,7.0
31,0,6.0,1.0,0.0,6.0,0.0,6,2,0,0,0,0,0,93.5125,90.8,95.8,0.0,2.0,0.0,7.0
32,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,93.175,90.45,95.45,0.0,2.0,0.0,7.0
33,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,92.8375,90.1,95.1,0.0,2.0,0.0,7.0
34,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,92.4813,89.75,94.6,0.0,2.0,0.0,7.0
35,0,8.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,92.0375,89.4,94.1,0.0,2.0,0.0,7.0
36,0,7.0,0.0,1.0,7.0,0.0,6,1,1,0,0,0,0,91.6563,89.05,93.6,0.0,2.0,1.0,8.0
37,0,8.0,1.0,0.0,7.0,0.0,8,0,0,0,0,0,0,91.2313,88.7,93.1,0.0,2.0,0.0,8.0
38,0,7.0,0.0,1.0,8.0,0.0,7,1,0,0,0,0,0,90.8063,88.35,92.6,0.0,2.0,0.0,8.0
39,0,7.0,0.0,0.0,8.0,0.0,7,1,0,0,0,0,0,90.4438,88.0,92.1,0.0,2.0,0.0,8.0
40,0,6.0,0.0,1.0,9.0,0.0,6,2,0,0,0,0,0,90.0813,87.65,91.95,0.0,2.0,0.0,8.0
41,0,6.0,0.0,0.0,9.0,0.0,6,2,0,0,0,0,0,89.7813,87.3,91.95,0.0,2.0,0.0,8.0
42,0,6.0,0.0,0.0,9.0,0.0,6,2,0,0,0,0,0,89.4813,86.95,91.95,0.0,2.0,0.0,8.0
43,0,8.0,2.0,0.0,9.0,0.0,8,0,0,0,0,0,0,89.0563,86.45,91.45,0.0,2.0,0.0,8.0
44,0,8.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,88.6938,85.95,90.95,0.0,2.0,1.0,9.0
45,1,9.0,1.0,0.0,9.0,0.0,8,0,0,0,0,0,0,88.2688,85.45,90.45,0.0,2.0,0.0,9.0
46,1,8.0,0.0,1.0,10.0,0.0,6,1,1,0,0,0,0,87.9063,85.45,89.95,0.0,2.0,1.0,10.0
47,0,7.0,0.0,1.0,11.0,0.0,6,1,1,0,0,0,0,87.6063,85.45,89.45,1.0,3.0,2.0,12.0
48,0,7.0,0.0,0.0,11.0,0.0,6,1,1,0,0,0,0,87.3063,84.95,89.3,0.0,3.0,1.0,13.0
49,0,7.0,0.0,0.0,11.0,0.0,7,1,0,0,0,0,0,86.9438,84.45,88.95,0.0,3.0,0.0,13.0
50,0,7.0,0.0,0.0,11.0,0.0,7,1,0,0,0,0,0,86.5813,83.95,88.6,0.0,3.0,0.0,13.0
51,1,9.0,2.0,0.0,11.0,0.0,8,0,0,0,0,0,0,86.175,83.45,88.25,0.0,3.0,0.0,13.0
52,1,9.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,85.7688,82.95,87.9,0.0,3.0,0.0,13.0
53,1,9.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,85.3625,82.45,87.55,0.0,3.0,0.0,13.0
54,1,9.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,84.9563,81.95,87.2,0.0,3.0,0.0,13.0
55,3,11.0,2.0,0.0,11.0,0.0,8,0,0,0,0,0,0,84.55,81.45,86.85,0.0,3.0,0.0,13.0
56,3,11.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,84.1438,80.95,86.5,0.0,3.0,0.0,13.0
57,3,10.0,0.0,1.0,12.0,0.0,7,1,0,0,0,0,0,83.7375,80.45,86.15,0.0,3.0,0.0,13.0
58,2,9.0,0.0,1.0,13.0,0.0,7,1,0,0,0,0,0,83.35,79.95,85.8,0.0,3.0,0.0,13.0
59,2,10.0,1.0,0.0,13.0,0.0,8,0,0,0,0,0,0,82.9438,79.6,85.45,0.0,3.0,0.0,13.0
60,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,82.5375,79.25,85.1,0.0,3.0,0.0,13.0
61,2,9.0,0.0,1.0,14.0,0.0,7,1,0,0,0,0,0,82.1313,78.9,84.75,0.0,3.0,0.0,13.0
62,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,81.7063,78.55,84.4,0.0,3.0,0.0,13.0
63,1,9.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,81.325,78.55,84.05,0.0,3.0,1.0,14.0
64,1,8.0,0.0,1.0,15.0,0.0,7,1,0,0,0,0,0,80.9,78.2,83.7,0.0,3.0,0.0,14.0
65,2,9.0,2.0,1.0,16.0,0.0,7,1,0,0,0,0,0,80.4938,77.85,83.35,0.0,3.0,0.0,14.0
66,1,9.0,0.0,0.0,16.0,0.0,7,0,1,0,0,0,0,80.15,77.85,83.0,0.0,3.0,1.0,15.0
67,3,11.0,2.0,0.0,16.0,0.0,7,0,1,0,0,0,0,79.85,77.85,82.65,1.0,4.0,2.0,17.0
68,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,79.425,77.35,82.3,0.0,4.0,0.0,17.0
69,3,10.0,0.0,1.0,17.0,0.0,6,1,1,0,0,0,0,79.125,77.35,81.95,0.0,4.0,1.0,18.0
70,2,10.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,78.7625,76.85,81.45,1.0,5.0,1.0,19.0
71,2,10.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,78.3375,76.35,80.95,0.0,5.0,0.0,19.0
72,2,9.0,0.0,1.0,18.0,0.0,7,1,0,0,0,0,0,77.9125,75.85,80.45,0.0,5.0,0.0,19.0
73,1,9.0,0.0,0.0,18.0,0.0,8,0,0,0,0,0,0,77.5063,75.35,80.1,0.0,5.0,0.0,19.0
74,1,9.0,0.0,0.0,18.0,0.0,8,0,0,0,0,0,0,77.0813,74.85,79.75,0.0,5.0,0.0,19.0
75,3,10.0,2.0,1.0,19.0,0.0,6,1,1,0,0,0,0,76.7188,74.35,79.4,0.0,5.0,1.0,20.0
76,2,10.0,0.0,0.0,19.0,0.0,6,0,2,0,0,0,0,76.4188,73.85,79.05,0.0,5.0,2.0,22.0
77,2,10.0,0.0,0.0,19.0,0.0,7,0,1,0,0,0,0,76.1,73.35,78.7,1.0,6.0,2.0,24.0
78,2,10.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,75.675,72.85,78.35,0.0,6.0,0.0,24.0
79,4,12.0,2.0,0.0,19.0,0.0,8,0,0,0,0,0,0,75.25,72.35,78.0,0.0,6.0,0.0,24.0
80,4,12.0,0.0,0.0,19.0,0.0,6,0,2,0,0,0,0,74.95,72.35,77.65,0.0,6.0,2.0,26.0
81,4,12.0,0.0,0.0,19.0,0.0,7,0,1,0,0,0,0,74.65,72.35,77.3,1.0,7.0,2.0,28.0
82,4,12.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,74.225,71.85,76.95,0.0,7.0,0.0,28.0
83,5,13.0,1.0,0.0,19.0,0.0,8,0,0,0,0,0,0,73.8,71.35,76.6,0.0,7.0,0.0,28.0
84,5,13.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,73.3563,70.85,76.25,0.0,7.0,0.0,28.0
85,6,14.0,1.0,0.0,19.0,0.0,8,0,0,0,0,0,0,72.9125,70.35,75.9,0.0,7.0,0.0,28.0
86,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,72.4688,69.85,75.55,0.0,7.0,0.0,28.0
87,6,12.0,0.0,2.0,21.0,0.0,6,2,0,0,0,0,0,72.0063,69.35,75.2,0.0,7.0,0.0,28.0
88,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,71.5813,68.85,74.85,0.0,7.0,0.0,28.0
89,4,10.0,0.0,2.0,23.0,0.0,6,2,0,0,0,0,0,71.1375,68.35,74.5,0.0,7.0,0.0,28.0
90,2,10.0,0.0,0.0,23.0,0.0,8,0,0,0,0,0,0,70.7313,67.85,74.15,0.0,7.0,0.0,28.0
91,4,11.0,2.0,1.0,24.0,0.0,5,1,2,0,0,0,0,70.4313,67.85,73.8,0.0,7.0,2.0,30.0
92,3,11.0,0.0,0.0,24.0,0.0,6,0,2,0,0,0,0,70.1938,67.85,73.45,1.0,8.0,3.0,33.0
93,4,12.0,1.0,0.0,24.0,0.0,8,0,0,0,0,0,0,69.8063,67.35,73.1,0.0,8.0,0.0,33.0
94,4,12.0,0.0,0.0,24.0,0.0,7,0,1,0,0,0,0,69.4625,66.85,72.75,0.0,8.0,1.0,34.0
95,5,13.0,1.0,0.0,24.0,0.0,8,0,0,0,0,0,0,69.075,66.35,72.4,0.0,8.0,0.0,34.0
96,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,68.6875,65.85,72.05,0.0,8.0,0.0,34.0
97,5,13.0,0.0,0.0,24.0,0.0,6,0,2,0,0,0,0,68.3688,65.35,71.55,0.0,8.0,2.0,36.0
98,5,12.0,0.0,1.0,25.0,0.0,6,1,1,0,0,0,0,68.05,64.85,71.05,1.0,9.0,2.0,38.0
99,5,13.0,1.0,0.0,25.0,0.0,8,0,0,0,0,0,0,67.6438,64.35,70.55,0.0,9.0,0.0,38.0
100,5,12.0,0.0,1.0,26.0,0.0,7,1,0,0,0,0,0,67.2375,63.85,70.05,0.0,9.0,0.0,38.0
101,4,12.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,66.85,63.5,69.55,0.0,9.0,0.0,38.0
102,4,12.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,66.4625,63.15,69.05,0.0,9.0,0.0,38.0
103,5,13.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,66.075,62.8,68.55,0.0,9.0,0.0,38.0
104,5,13.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,65.65,62.45,68.05,0.0,9.0,0.0,38.0
105,6,13.0,1.0,1.0,27.0,0.0,6,1,1,0,0,0,0,65.25,62.1,67.55,0.0,9.0,1.0,39.0
106,5,12.0,0.0,1.0,28.0,0.0,5,1,2,0,0,0,0,64.9313,61.75,67.15,0.0,9.0,2.0,41.0
107,6,14.0,2.0,0.0,28.0,0.0,7,0,1,0,0,0,0,64.6313,61.4,66.8,1.0,10.0,2.0,43.0
108,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,64.225,61.05,66.45,0.0,10.0,0.0,43.0
109,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,63.8188,60.7,66.1,0.0,10.0,0.0,43.0
110,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,63.375,60.35,65.6,0.0,10.0,0.0,43.0
111,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,62.9313,60.0,65.1,0.0,10.0,0.0,43.0
112,6,12.0,0.0,2.0,30.0,0.0,6,2,0,0,0,0,0,62.4875,59.65,64.6,0.0,10.0,0.0,43.0
113,4,12.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,62.0625,59.3,64.1,0.0,10.0,0.0,43.0
114,4,12.0,0.0,0.0,30.0,0.0,7,0,1,0,0,0,0,61.6813,58.95,63.6,0.0,10.0,1.0,44.0
115,7,15.0,3.0,0.0,30.0,0.0,8,0,0,0,0,0,0,61.2563,58.6,63.25,0.0,10.0,0.0,44.0
116,7,14.0,0.0,1.0,31.0,0.0,7,1,0,0,0,0,0,60.8125,58.25,62.9,0.0,10.0,0.0,44.0
117,6,13.0,0.0,1.0,32.0,0.0,7,1,0,0,0,0,0,60.3875,57.9,62.55,0.0,10.0,0.0,44.0
118,5,11.0,0.0,2.0,34.0,0.0,6,2,0,0,0,0,0,59.9813,57.55,62.2,0.0,10.0,0.0,44.0
119,3,11.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,59.6125,57.2,61.85,0.0,10.0,0.0,44.0
120,3,11.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,59.2438,56.85,61.5,0.0,10.0,0.0,44.0
121,4,12.0,1.0,0.0,34.0,0.0,8,0,0,0,0,0,0,58.875,56.5,61.15,0.0,10.0,0.0,44.0
122,4,12.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,58.4875,56.0,60.8,0.0,10.0,0.0,44.0
123,5,13.0,1.0,0.0,34.0,0.0,8,0,0,0,0,0,0,58.1,55.5,60.45,0.0,10.0,0.0,44.0
124,5,13.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,57.7125,55.0,60.1,0.0,10.0,0.0,44.0
125,6,14.0,1.0,0.0,34.0,0.0,8,0,0,0,0,0,0,57.325,54.5,59.75,0.0,10.0,0.0,44.0
126,6,14.0,0.0,0.0,34.0,0.0,8,0,0,0,0,0,0,56.9375,54.0,59.4,0.0,10.0,0.0,44.0
