run_id,tick,event_type,robot_id,task_id,details
20260903_065649_ef7246,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=E-07
20260903_065649_ef7246,3,task_assigned,R8,G00001,
20260903_065649_ef7246,5,task_created,,G00002,type=PICK pickup=B-06 dropoff=PICK-3
20260903_065649_ef7246,5,task_assigned,R12,G00002,
20260903_065649_ef7246,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_065649_ef7246,7,task_assigned,R7,G00003,
20260903_065649_ef7246,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_065649_ef7246,9,task_assigned,R1,G00004,
20260903_065649_ef7246,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=A-03
20260903_065649_ef7246,11,task_assigned,R3,G00005,
20260903_065649_ef7246,15,task_created,,G00006,type=PICK pickup=G-04 dropoff=PICK-3
20260903_065649_ef7246,15,task_assigned,R6,G00006,
20260903_065649_ef7246,16,task_completed,R1,G00004,
20260903_065649_ef7246,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=A-08
20260903_065649_ef7246,19,task_assigned,R11,G00007,
20260903_065649_ef7246,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_065649_ef7246,19,task_assigned,R2,G00008,
20260903_065649_ef7246,21,task_completed,R7,G00003,
20260903_065649_ef7246,21,robot_blocked,R6,,"{""x"": 19, ""y"": 4}"
20260903_065649_ef7246,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_065649_ef7246,23,task_assigned,R1,G00009,
20260903_065649_ef7246,23,robot_blocked,R12,,"{""x"": 18, ""y"": 4}"
20260903_065649_ef7246,24,task_completed,R8,G00001,
20260903_065649_ef7246,25,task_created,,G00010,type=PICK pickup=B-06 dropoff=PICK-2
20260903_065649_ef7246,25,task_assigned,R8,G00010,
20260903_065649_ef7246,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260903_065649_ef7246,27,task_assigned,R7,G00011,
20260903_065649_ef7246,28,task_completed,R1,G00009,
20260903_065649_ef7246,29,task_completed,R12,G00002,
20260903_065649_ef7246,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_065649_ef7246,31,task_assigned,R12,G00012,
20260903_065649_ef7246,34,robot_blocked,R7,,"{""x"": 12, ""y"": 8}"
20260903_065649_ef7246,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-01
20260903_065649_ef7246,35,task_assigned,R1,G00013,
20260903_065649_ef7246,35,task_created,,G00014,type=PICK pickup=C-06 dropoff=PICK-2
20260903_065649_ef7246,35,task_assigned,R9,G00014,
20260903_065649_ef7246,35,robot_blocked,R2,,"{""x"": 11, ""y"": 8}"
20260903_065649_ef7246,36,robot_blocked,R8,,"{""x"": 12, ""y"": 7}"
20260903_065649_ef7246,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_065649_ef7246,37,task_assigned,R5,G00015,
20260903_065649_ef7246,38,task_completed,R8,G00010,
20260903_065649_ef7246,39,task_completed,R12,G00012,
20260903_065649_ef7246,41,task_completed,R3,G00005,
20260903_065649_ef7246,43,task_completed,R11,G00007,
20260903_065649_ef7246,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260903_065649_ef7246,43,task_assigned,R8,G00016,
20260903_065649_ef7246,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_065649_ef7246,43,task_assigned,R12,G00017,
20260903_065649_ef7246,44,task_completed,R2,G00008,
20260903_065649_ef7246,45,task_completed,R5,G00015,
20260903_065649_ef7246,45,task_created,,G00018,type=PICK pickup=D-08 dropoff=PICK-1
20260903_065649_ef7246,45,task_assigned,R2,G00018,
