tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7375,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.65,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.5333,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4167,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.2708,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.125,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.9667,96.0,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.7833,95.5,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.5583,95.0,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,7,0,0,0,0,0,98.3333,94.5,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.15,94.0,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,97.9667,93.5,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,5,0,0,0,0,0,97.725,93.0,100.0,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,5,0,0,0,0,0,97.4833,92.5,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,1.0,2.0,0.0,5,6,1,0,0,0,0,97.2708,92.0,100.0,0.0,0.0,1.0,1.0
22,0,6.0,0.0,0.0,2.0,0.0,5,6,1,0,0,0,0,97.1,91.5,100.0,0.0,0.0,1.0,2.0
23,0,7.0,1.0,0.0,2.0,0.0,6,5,1,0,0,0,0,96.9417,91.0,100.0,1.0,1.0,2.0,4.0
24,0,6.0,0.0,1.0,3.0,0.0,6,6,0,0,0,0,0,96.7,90.5,100.0,0.0,1.0,0.0,4.0
25,0,7.0,1.0,0.0,3.0,0.0,7,5,0,0,0,0,0,96.4708,90.15,100.0,0.0,1.0,0.0,4.0
26,0,7.0,0.0,0.0,3.0,0.0,7,5,0,0,0,0,0,96.2292,89.8,100.0,0.0,1.0,0.0,4.0
27,0,8.0,1.0,0.0,3.0,0.0,8,4,0,0,0,0,0,95.9583,89.45,100.0,0.0,1.0,0.0,4.0
28,0,7.0,0.0,1.0,4.0,0.0,7,5,0,0,0,0,0,95.675,89.1,100.0,0.0,1.0,0.0,4.0
29,0,6.0,0.0,1.0,5.0,0.0,6,6,0,0,0,0,0,95.4333,88.75,100.0,0.0,1.0,0.0,4.0
30,0,6.0,0.0,0.0,5.0,0.0,6,6,0,0,0,0,0,95.2208,88.25,100.0,0.0,1.0,0.0,4.0
31,0,7.0,1.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.9667,87.75,100.0,0.0,1.0,0.0,4.0
32,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.7125,87.25,100.0,0.0,1.0,0.0,4.0
33,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.4583,86.75,100.0,0.0,1.0,0.0,4.0
34,0,7.0,0.0,0.0,5.0,0.0,6,5,1,0,0,0,0,94.2333,86.25,100.0,0.0,1.0,1.0,5.0
35,0,9.0,2.0,0.0,5.0,0.0,7,3,2,0,0,0,0,93.9917,85.75,100.0,0.0,1.0,2.0,7.0
36,0,9.0,0.0,0.0,5.0,0.0,7,3,2,0,0,0,0,93.75,85.75,100.0,1.0,2.0,2.0,9.0
37,0,10.0,1.0,0.0,5.0,0.0,9,2,1,0,0,0,0,93.4375,85.75,100.0,0.0,2.0,1.0,10.0
38,0,9.0,0.0,1.0,6.0,0.0,9,3,0,0,0,0,0,93.0833,85.25,100.0,0.0,2.0,0.0,10.0
39,0,8.0,0.0,1.0,7.0,0.0,8,4,0,0,0,0,0,92.7708,84.85,100.0,0.0,2.0,0.0,10.0
40,0,8.0,0.0,0.0,7.0,0.0,8,4,0,0,0,0,0,92.5,84.85,100.0,0.0,2.0,0.0,10.0
41,0,7.0,0.0,1.0,8.0,0.0,7,5,0,0,0,0,0,92.2292,84.85,100.0,0.0,2.0,0.0,10.0
42,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,92.0,84.85,100.0,0.0,2.0,0.0,10.0
43,0,8.0,2.0,1.0,9.0,0.0,8,4,0,0,0,0,0,91.7,84.5,100.0,0.0,2.0,0.0,10.0
44,0,7.0,0.0,1.0,10.0,0.0,7,5,0,0,0,0,0,91.4417,84.15,100.0,0.0,2.0,0.0,10.0
45,0,7.0,1.0,1.0,11.0,0.0,7,5,0,0,0,0,0,91.1958,83.8,100.0,0.0,2.0,0.0,10.0
46,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,90.9792,83.45,100.0,0.0,2.0,0.0,10.0
47,0,7.0,0.0,0.0,11.0,0.0,6,5,1,0,0,0,0,90.7917,83.1,100.0,0.0,2.0,1.0,11.0
48,0,7.0,0.0,0.0,11.0,0.0,6,5,1,0,0,0,0,90.6333,82.75,100.0,1.0,3.0,2.0,13.0
49,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,90.4167,82.4,100.0,0.0,3.0,0.0,13.0
50,0,7.0,0.0,0.0,11.0,0.0,6,5,1,0,0,0,0,90.2292,82.05,100.0,0.0,3.0,1.0,14.0
51,0,9.0,2.0,0.0,11.0,0.0,9,3,0,0,0,0,0,89.9542,81.7,100.0,0.0,3.0,0.0,14.0
52,0,9.0,0.0,0.0,11.0,0.0,7,3,2,0,0,0,0,89.725,81.2,100.0,0.0,3.0,2.0,16.0
53,0,9.0,0.0,0.0,11.0,0.0,9,3,0,0,0,0,0,89.4125,80.7,100.0,0.0,3.0,0.0,16.0
54,0,9.0,0.0,0.0,11.0,0.0,9,3,0,0,0,0,0,89.0875,80.2,100.0,0.0,3.0,0.0,16.0
55,0,11.0,2.0,0.0,11.0,0.0,11,1,0,0,0,0,0,88.6917,79.7,100.0,0.0,3.0,0.0,16.0
56,0,10.0,0.0,1.0,12.0,0.0,9,2,1,0,0,0,0,88.3375,79.2,100.0,0.0,3.0,1.0,17.0
57,0,9.0,0.0,1.0,13.0,0.0,9,3,0,0,0,0,0,87.9708,78.7,100.0,0.0,3.0,0.0,17.0
58,0,8.0,0.0,1.0,14.0,0.0,7,4,1,0,0,0,0,87.675,78.2,100.0,0.0,3.0,1.0,18.0
59,0,9.0,1.0,0.0,14.0,0.0,8,3,1,0,0,0,0,87.4333,77.7,100.0,1.0,4.0,2.0,20.0
60,0,8.0,0.0,1.0,15.0,0.0,8,4,0,0,0,0,0,87.1208,77.2,100.0,0.0,4.0,0.0,20.0
61,0,8.0,0.0,0.0,15.0,0.0,6,4,2,0,0,0,0,86.9208,77.2,100.0,0.0,4.0,2.0,22.0
62,0,7.0,0.0,1.0,16.0,0.0,6,5,1,0,0,0,0,86.6958,77.2,100.0,1.0,5.0,2.0,24.0
