tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.5875,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4375,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.225,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.0125,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.7563,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.4813,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.2063,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,97.9313,94.6,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,1.0,1.0,0.0,5,3,0,0,0,0,0,97.6125,94.1,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,97.3375,93.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,97.0625,93.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,1.0,2.0,0.0,4,4,0,0,0,0,0,96.7875,92.6,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.4875,92.1,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.1875,91.6,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,95.8875,91.1,100.0,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,95.5875,90.6,100.0,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,1,0,0,0,0,0,95.2438,90.1,100.0,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,1,0,0,0,0,0,94.9,89.6,100.0,0.0,0.0,0.0,0.0
25,0,7.0,1.0,1.0,3.0,0.0,7,1,0,0,0,0,0,94.5125,89.1,99.65,0.0,0.0,0.0,0.0
26,0,7.0,0.0,0.0,3.0,0.0,7,1,0,0,0,0,0,94.1688,88.6,99.3,0.0,0.0,0.0,0.0
27,0,8.0,1.0,0.0,3.0,0.0,8,0,0,0,0,0,0,93.7813,88.1,98.95,0.0,0.0,0.0,0.0
28,0,8.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,93.3938,87.6,98.6,0.0,0.0,0.0,0.0
29,0,8.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,93.0063,87.1,98.25,0.0,0.0,0.0,0.0
30,0,8.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,92.6188,86.6,97.9,0.0,0.0,0.0,0.0
31,1,9.0,1.0,0.0,3.0,0.0,7,0,1,0,0,0,0,92.2375,86.1,97.55,0.0,0.0,1.0,1.0
32,1,8.0,0.0,1.0,4.0,0.0,7,1,0,0,0,0,0,91.8125,85.6,97.2,0.0,0.0,0.0,1.0
33,0,7.0,0.0,1.0,5.0,0.0,7,1,0,0,0,0,0,91.4063,85.1,96.85,0.0,0.0,0.0,1.0
34,0,6.0,0.0,1.0,6.0,0.0,5,2,1,0,0,0,0,91.1063,84.6,96.85,0.0,0.0,1.0,2.0
35,0,8.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,90.7375,84.25,96.5,0.0,0.0,0.0,2.0
36,0,8.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,90.35,83.9,96.0,0.0,0.0,0.0,2.0
37,1,9.0,1.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.9625,83.55,95.5,0.0,0.0,0.0,2.0
38,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.5563,83.2,95.0,0.0,0.0,0.0,2.0
39,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.15,82.85,94.5,0.0,0.0,0.0,2.0
40,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,88.725,82.5,94.0,0.0,0.0,0.0,2.0
41,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,88.325,82.15,93.5,0.0,0.0,1.0,3.0
42,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,87.8813,81.8,93.0,0.0,0.0,0.0,3.0
43,3,11.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,87.4375,81.45,92.55,0.0,0.0,0.0,3.0
44,3,11.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,87.0375,81.1,92.2,0.0,0.0,1.0,4.0
45,4,10.0,1.0,2.0,8.0,0.0,6,2,0,0,0,0,0,86.575,80.75,91.85,0.0,0.0,0.0,4.0
46,2,10.0,0.0,0.0,8.0,0.0,8,0,0,0,0,0,0,86.15,80.4,91.5,0.0,0.0,0.0,4.0
47,2,10.0,0.0,0.0,8.0,0.0,8,0,0,0,0,0,0,85.725,80.05,91.15,0.0,0.0,0.0,4.0
48,2,8.0,0.0,2.0,10.0,0.0,6,2,0,0,0,0,0,85.3,79.7,90.8,0.0,0.0,0.0,4.0
49,0,8.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,84.9563,79.35,90.45,0.0,0.0,1.0,5.0
50,0,7.0,0.0,1.0,11.0,0.0,7,1,0,0,0,0,0,84.55,79.0,90.1,0.0,0.0,0.0,5.0
51,1,9.0,2.0,0.0,11.0,0.0,7,0,1,0,0,0,0,84.1875,78.65,89.75,0.0,0.0,1.0,6.0
52,1,9.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,83.7813,78.3,89.4,0.0,0.0,0.0,6.0
53,1,9.0,0.0,0.0,11.0,0.0,7,0,1,0,0,0,0,83.4188,77.95,89.05,0.0,0.0,1.0,7.0
54,1,9.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,83.0125,77.6,88.7,0.0,0.0,0.0,7.0
55,3,10.0,2.0,1.0,12.0,0.0,7,1,0,0,0,0,0,82.6063,77.25,88.35,0.0,0.0,0.0,7.0
56,2,10.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,82.2188,76.9,88.0,0.0,0.0,0.0,7.0
57,2,9.0,0.0,1.0,13.0,0.0,7,1,0,0,0,0,0,81.8313,76.55,87.65,0.0,0.0,0.0,7.0
58,1,9.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,81.4625,76.2,87.3,0.0,0.0,0.0,7.0
59,2,10.0,1.0,0.0,13.0,0.0,8,0,0,0,0,0,0,81.075,75.85,86.95,0.0,0.0,0.0,7.0
60,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,80.6875,75.5,86.6,0.0,0.0,0.0,7.0
61,2,10.0,0.0,0.0,13.0,0.0,7,0,1,0,0,0,0,80.3438,75.15,86.25,0.0,0.0,1.0,8.0
62,2,10.0,0.0,0.0,13.0,0.0,6,0,2,0,0,0,0,80.0438,75.15,85.9,0.0,0.0,2.0,10.0
63,2,10.0,0.0,0.0,13.0,0.0,7,0,1,0,0,0,0,79.7063,75.15,85.4,1.0,1.0,2.0,12.0
64,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,79.2813,74.8,84.9,0.0,1.0,0.0,12.0
65,4,11.0,2.0,1.0,14.0,0.0,7,1,0,0,0,0,0,78.8563,74.45,84.4,0.0,1.0,0.0,12.0
66,3,11.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,78.4938,74.45,83.9,0.0,1.0,1.0,13.0
67,5,12.0,2.0,1.0,15.0,0.0,7,1,0,0,0,0,0,78.0875,74.1,83.4,0.0,1.0,0.0,13.0
68,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,77.7,73.75,82.9,0.0,1.0,0.0,13.0
69,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,77.2938,73.4,82.4,0.0,1.0,0.0,13.0
70,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,76.8688,73.05,81.9,0.0,1.0,0.0,13.0
71,4,11.0,0.0,1.0,16.0,0.0,5,1,2,0,0,0,0,76.5688,72.7,81.9,0.0,1.0,2.0,15.0
72,3,11.0,0.0,0.0,16.0,0.0,7,0,1,0,0,0,0,76.2875,72.35,81.9,1.0,2.0,2.0,17.0
73,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.8813,72.0,81.4,0.0,2.0,0.0,17.0
74,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.4563,71.65,80.9,0.0,2.0,0.0,17.0
75,5,13.0,2.0,0.0,16.0,0.0,6,0,2,0,0,0,0,75.1188,71.3,80.9,0.0,2.0,2.0,19.0
76,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,74.675,70.95,80.4,0.0,2.0,0.0,19.0
77,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,74.2313,70.6,79.9,0.0,2.0,0.0,19.0
78,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,73.7688,70.25,79.4,0.0,2.0,0.0,19.0
79,7,14.0,2.0,1.0,17.0,0.0,7,1,0,0,0,0,0,73.3063,69.9,78.9,0.0,2.0,0.0,19.0
80,6,13.0,0.0,1.0,18.0,0.0,6,1,1,0,0,0,0,72.9063,69.55,78.4,0.0,2.0,1.0,20.0
81,5,12.0,0.0,1.0,19.0,0.0,7,1,0,0,0,0,0,72.4813,69.2,77.9,0.0,2.0,0.0,20.0
82,4,12.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,72.0563,68.7,77.4,0.0,2.0,0.0,20.0
83,5,12.0,1.0,1.0,20.0,0.0,7,1,0,0,0,0,0,71.6313,68.2,76.9,0.0,2.0,0.0,20.0
84,4,12.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,71.225,67.7,76.4,0.0,2.0,0.0,20.0
85,5,13.0,1.0,0.0,20.0,0.0,8,0,0,0,0,0,0,70.8188,67.2,75.9,0.0,2.0,0.0,20.0
86,5,13.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,70.3938,66.7,75.4,0.0,2.0,0.0,20.0
87,5,12.0,0.0,1.0,21.0,0.0,7,1,0,0,0,0,0,69.95,66.2,74.9,0.0,2.0,0.0,20.0
88,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,69.525,65.7,74.55,0.0,2.0,0.0,20.0
89,4,12.0,0.0,0.0,21.0,0.0,7,0,1,0,0,0,0,69.1625,65.2,74.2,0.0,2.0,1.0,21.0
90,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,68.7813,64.7,73.85,1.0,3.0,1.0,22.0
91,6,14.0,2.0,0.0,21.0,0.0,8,0,0,0,0,0,0,68.3188,64.2,73.5,0.0,3.0,0.0,22.0
92,6,14.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,67.9188,63.7,73.15,0.0,3.0,0.0,22.0
93,7,14.0,1.0,1.0,22.0,0.0,7,1,0,0,0,0,0,67.4563,63.2,72.8,0.0,3.0,0.0,22.0
94,6,13.0,0.0,1.0,23.0,0.0,7,1,0,0,0,0,0,67.0125,62.7,72.45,0.0,3.0,0.0,22.0
95,6,14.0,1.0,0.0,23.0,0.0,8,0,0,0,0,0,0,66.5875,62.35,72.1,0.0,3.0,0.0,22.0
96,6,14.0,0.0,0.0,23.0,0.0,7,0,1,0,0,0,0,66.2063,62.0,72.1,0.0,3.0,1.0,23.0
97,6,13.0,0.0,1.0,24.0,0.0,5,1,2,0,0,0,0,65.8688,61.65,72.1,0.0,3.0,2.0,25.0
98,5,12.0,0.0,1.0,25.0,0.0,6,1,1,0,0,0,0,65.55,61.3,72.1,1.0,4.0,2.0,27.0
99,5,13.0,1.0,0.0,25.0,0.0,8,0,0,0,0,0,0,65.1625,60.95,71.75,0.0,4.0,0.0,27.0
100,5,12.0,0.0,1.0,26.0,0.0,7,1,0,0,0,0,0,64.7563,60.6,71.4,0.0,4.0,0.0,27.0
101,4,12.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,64.35,60.25,70.9,0.0,4.0,0.0,27.0
102,4,12.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.9438,59.9,70.4,0.0,4.0,0.0,27.0
103,5,13.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.5375,59.55,69.9,0.0,4.0,0.0,27.0
104,5,12.0,0.0,1.0,27.0,0.0,6,1,1,0,0,0,0,63.175,59.2,69.4,0.0,4.0,1.0,28.0
105,5,13.0,1.0,0.0,27.0,0.0,6,0,2,0,0,0,0,62.875,59.05,68.9,0.0,4.0,2.0,30.0
106,5,13.0,0.0,0.0,27.0,0.0,7,0,1,0,0,0,0,62.575,58.7,68.4,1.0,5.0,2.0,32.0
107,7,14.0,2.0,1.0,28.0,0.0,7,1,0,0,0,0,0,62.1875,58.35,67.9,0.0,5.0,0.0,32.0
108,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,61.8188,58.0,67.55,0.0,5.0,0.0,32.0
109,6,14.0,0.0,0.0,28.0,0.0,7,0,1,0,0,0,0,61.4938,57.65,67.2,0.0,5.0,1.0,33.0
110,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,61.125,57.3,66.85,0.0,5.0,0.0,33.0
111,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,60.7563,56.95,66.5,0.0,5.0,0.0,33.0
112,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,60.3875,56.6,66.15,0.0,5.0,0.0,33.0
113,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,60.0,56.25,65.8,0.0,5.0,0.0,33.0
114,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,59.6125,55.85,65.45,0.0,5.0,0.0,33.0
115,9,17.0,3.0,0.0,28.0,0.0,8,0,0,0,0,0,0,59.2063,55.35,65.1,0.0,5.0,0.0,33.0
116,9,17.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,58.8,54.85,64.75,0.0,5.0,0.0,33.0
117,9,16.0,0.0,1.0,29.0,0.0,7,1,0,0,0,0,0,58.375,54.35,64.4,0.0,5.0,0.0,33.0
118,8,16.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,57.9688,54.0,64.05,0.0,5.0,0.0,33.0
119,8,16.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,57.5625,53.65,63.7,0.0,5.0,0.0,33.0
120,8,16.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,57.1563,53.2,63.35,0.0,5.0,0.0,33.0
121,9,16.0,1.0,1.0,30.0,0.0,7,1,0,0,0,0,0,56.75,52.7,63.0,0.0,5.0,0.0,33.0
122,8,16.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,56.3438,52.2,62.65,0.0,5.0,0.0,33.0
123,9,17.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,55.9375,51.7,62.3,0.0,5.0,0.0,33.0
124,9,17.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,55.5313,51.2,61.95,0.0,5.0,0.0,33.0
125,10,18.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,55.125,50.7,61.6,0.0,5.0,0.0,33.0
126,10,17.0,0.0,1.0,31.0,0.0,7,1,0,0,0,0,0,54.7188,50.2,61.25,0.0,5.0,0.0,33.0
