run_id,tick,event_type,robot_id,task_id,details
20260903_111731_35c32a,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-01
20260903_111731_35c32a,3,task_assigned,R1,G00001,
20260903_111731_35c32a,5,task_created,,G00002,type=PICK pickup=C-02 dropoff=PICK-3
20260903_111731_35c32a,5,task_assigned,R2,G00002,
20260903_111731_35c32a,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_111731_35c32a,7,task_assigned,R5,G00003,
20260903_111731_35c32a,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111731_35c32a,9,task_assigned,R7,G00004,
20260903_111731_35c32a,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=D-07
20260903_111731_35c32a,11,task_assigned,R3,G00005,
20260903_111731_35c32a,15,task_created,,G00006,type=PICK pickup=F-06 dropoff=PICK-2
20260903_111731_35c32a,15,task_assigned,R6,G00006,
20260903_111731_35c32a,17,task_completed,R5,G00003,
20260903_111731_35c32a,19,task_completed,R7,G00004,
20260903_111731_35c32a,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=A-07
20260903_111731_35c32a,19,task_assigned,R4,G00007,
20260903_111731_35c32a,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_111731_35c32a,19,task_assigned,R5,G00008,
20260903_111731_35c32a,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111731_35c32a,23,task_assigned,R7,G00009,
20260903_111731_35c32a,24,task_completed,R2,G00002,
20260903_111731_35c32a,25,task_created,,G00010,type=PICK pickup=D-01 dropoff=PICK-3
20260903_111731_35c32a,25,task_assigned,R2,G00010,
20260903_111731_35c32a,26,task_completed,R1,G00001,
20260903_111731_35c32a,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=C-07
20260903_111731_35c32a,27,task_assigned,R1,G00011,
20260903_111731_35c32a,28,task_completed,R7,G00009,
20260903_111731_35c32a,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_111731_35c32a,31,task_assigned,R7,G00012,
20260903_111731_35c32a,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=A-05
20260903_111731_35c32a,35,task_assigned,R8,G00013,
20260903_111731_35c32a,35,task_created,,G00014,type=PICK pickup=F-04 dropoff=PICK-1
20260903_111731_35c32a,36,task_completed,R2,G00010,
20260903_111731_35c32a,37,task_assigned,R2,G00014,
20260903_111731_35c32a,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111731_35c32a,40,task_completed,R6,G00006,
20260903_111731_35c32a,41,task_assigned,R6,G00015,
20260903_111731_35c32a,43,task_completed,R5,G00008,
20260903_111731_35c32a,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-03
20260903_111731_35c32a,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_111731_35c32a,44,task_completed,R4,G00007,
20260903_111731_35c32a,44,task_assigned,R5,G00016,
20260903_111731_35c32a,45,task_created,,G00018,type=PICK pickup=H-01 dropoff=PICK-2
20260903_111731_35c32a,45,task_assigned,R4,G00018,
20260903_111731_35c32a,48,task_completed,R3,G00005,
20260903_111731_35c32a,49,task_completed,R6,G00015,
20260903_111731_35c32a,49,task_assigned,R3,G00017,
20260903_111731_35c32a,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_111731_35c32a,51,task_assigned,R6,G00019,
20260903_111731_35c32a,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111731_35c32a,52,task_completed,R1,G00011,
20260903_111731_35c32a,53,task_assigned,R1,G00020,
20260903_111731_35c32a,54,robot_blocked,R4,,"{""x"": 13, ""y"": 4}"
20260903_111731_35c32a,55,task_created,,G00021,type=PICK pickup=D-05 dropoff=PICK-2
20260903_111731_35c32a,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_111731_35c32a,55,robot_blocked,R1,,"{""x"": 14, ""y"": 4}"
20260903_111731_35c32a,57,task_completed,R7,G00012,
20260903_111731_35c32a,58,task_assigned,R7,G00021,
20260903_111731_35c32a,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-04
20260903_111731_35c32a,61,task_completed,R8,G00013,
20260903_111731_35c32a,61,robot_blocked,R3,,"{""x"": 12, ""y"": 6}"
20260903_111731_35c32a,61,robot_blocked,R6,,"{""x"": 12, ""y"": 7}"
20260903_111731_35c32a,62,task_assigned,R8,G00023,
20260903_111731_35c32a,65,task_created,,G00024,type=PICK pickup=E-01 dropoff=PICK-2
20260903_111731_35c32a,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111731_35c32a,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260903_111731_35c32a,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_111731_35c32a,67,robot_blocked,R5,,"{""x"": 3, ""y"": 1}"
20260903_111731_35c32a,67,robot_blocked,R8,,"{""x"": 2, ""y"": 1}"
20260903_111731_35c32a,68,task_completed,R2,G00014,
20260903_111731_35c32a,69,task_assigned,R2,G00026,
20260903_111731_35c32a,70,task_completed,R1,G00020,
20260903_111731_35c32a,71,task_assigned,R1,G00024,
20260903_111731_35c32a,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=G-01
20260903_111731_35c32a,75,task_created,,G00029,type=PICK pickup=C-06 dropoff=PICK-3
20260903_111731_35c32a,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_111731_35c32a,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111731_35c32a,82,task_completed,R4,G00018,
20260903_111731_35c32a,83,task_assigned,R4,G00028,
20260903_111731_35c32a,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=E-01
20260903_111731_35c32a,85,task_completed,R6,G00019,
20260903_111731_35c32a,85,task_created,,G00033,type=PICK pickup=D-05 dropoff=PICK-2
20260903_111731_35c32a,86,task_assigned,R6,G00032,
20260903_111731_35c32a,87,task_completed,R3,G00017,
20260903_111731_35c32a,87,task_completed,R7,G00021,
20260903_111731_35c32a,88,task_assigned,R7,G00029,
20260903_111731_35c32a,88,task_assigned,R3,G00033,
20260903_111731_35c32a,88,robot_blocked,R2,,"{""x"": 12, ""y"": 3}"
20260903_111731_35c32a,91,task_completed,R2,G00026,
20260903_111731_35c32a,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260903_111731_35c32a,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_111731_35c32a,92,task_assigned,R2,G00034,
