tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.6063,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4563,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.2625,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.0688,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.8313,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.5938,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.3563,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.1188,95.8,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.8375,95.45,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.5375,95.1,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,3,0,0,0,0,0,97.2188,94.65,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,96.9625,94.4,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,1.0,2.0,0.0,6,2,0,0,0,0,0,96.6,93.9,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.3,93.4,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.0,92.9,100.0,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,95.7,92.4,100.0,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,1,0,0,0,0,0,95.3563,91.9,100.0,0.0,0.0,0.0,0.0
24,0,6.0,0.0,1.0,3.0,0.0,6,2,0,0,0,0,0,95.0125,91.4,100.0,0.0,0.0,0.0,0.0
25,0,7.0,1.0,0.0,3.0,0.0,7,1,0,0,0,0,0,94.6875,90.9,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,1.0,4.0,0.0,6,2,0,0,0,0,0,94.3438,90.4,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,1,0,0,0,0,0,94.0188,90.05,100.0,0.0,0.0,0.0,0.0
28,0,6.0,0.0,1.0,5.0,0.0,6,2,0,0,0,0,0,93.6938,89.7,100.0,0.0,0.0,0.0,0.0
29,0,6.0,0.0,0.0,5.0,0.0,6,2,0,0,0,0,0,93.4125,89.35,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,0.0,5.0,0.0,6,2,0,0,0,0,0,93.1313,89.0,100.0,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.7875,88.65,100.0,0.0,0.0,0.0,0.0
32,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.4438,88.3,100.0,0.0,0.0,0.0,0.0
33,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.1,87.95,100.0,0.0,0.0,0.0,0.0
34,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,91.7375,87.55,100.0,0.0,0.0,0.0,0.0
35,1,9.0,2.0,0.0,5.0,0.0,8,0,0,0,0,0,0,91.3125,87.05,99.65,0.0,0.0,0.0,0.0
36,1,8.0,0.0,1.0,6.0,0.0,7,1,0,0,0,0,0,90.8688,86.55,99.3,0.0,0.0,0.0,0.0
37,1,9.0,1.0,0.0,6.0,0.0,8,0,0,0,0,0,0,90.4438,86.2,98.95,0.0,0.0,0.0,0.0
38,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,90.0,85.75,98.6,0.0,0.0,0.0,0.0
39,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.5563,85.25,98.25,0.0,0.0,0.0,0.0
40,1,8.0,0.0,1.0,7.0,0.0,7,1,0,0,0,0,0,89.1125,84.75,97.9,0.0,0.0,0.0,0.0
41,0,8.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,88.6875,84.25,97.55,0.0,0.0,0.0,0.0
42,0,8.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,88.2625,83.75,97.2,0.0,0.0,0.0,0.0
43,2,9.0,2.0,1.0,8.0,0.0,7,1,0,0,0,0,0,87.8375,83.25,96.85,0.0,0.0,0.0,0.0
44,1,8.0,0.0,1.0,9.0,0.0,7,1,0,0,0,0,0,87.4125,82.75,96.5,0.0,0.0,0.0,0.0
45,1,9.0,1.0,0.0,9.0,0.0,8,0,0,0,0,0,0,87.0063,82.25,96.15,0.0,0.0,0.0,0.0
46,1,9.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,86.6,81.75,95.8,0.0,0.0,0.0,0.0
47,1,9.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,86.175,81.25,95.45,0.0,0.0,0.0,0.0
48,1,8.0,0.0,1.0,10.0,0.0,7,1,0,0,0,0,0,85.75,80.75,95.1,0.0,0.0,0.0,0.0
49,0,7.0,0.0,1.0,11.0,0.0,7,1,0,0,0,0,0,85.3438,80.25,94.75,0.0,0.0,0.0,0.0
50,0,7.0,0.0,0.0,11.0,0.0,7,1,0,0,0,0,0,85.0,79.75,94.4,0.0,0.0,0.0,0.0
51,1,9.0,2.0,0.0,11.0,0.0,8,0,0,0,0,0,0,84.6125,79.25,94.05,0.0,0.0,0.0,0.0
52,1,8.0,0.0,1.0,12.0,0.0,7,1,0,0,0,0,0,84.225,78.75,93.7,0.0,0.0,0.0,0.0
53,0,8.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,83.8563,78.4,93.35,0.0,0.0,0.0,0.0
54,0,8.0,0.0,0.0,12.0,0.0,7,0,1,0,0,0,0,83.5313,78.05,93.0,0.0,0.0,1.0,1.0
55,2,10.0,2.0,0.0,12.0,0.0,7,0,1,0,0,0,0,83.25,78.05,92.65,1.0,1.0,2.0,3.0
56,2,10.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,82.8813,77.7,92.3,0.0,1.0,0.0,3.0
57,2,9.0,0.0,1.0,13.0,0.0,7,1,0,0,0,0,0,82.4938,77.35,91.8,0.0,1.0,0.0,3.0
58,1,9.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,82.1063,77.0,91.3,0.0,1.0,0.0,3.0
59,2,10.0,1.0,0.0,13.0,0.0,8,0,0,0,0,0,0,81.7188,76.65,90.8,0.0,1.0,0.0,3.0
60,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,81.3313,76.3,90.3,0.0,1.0,0.0,3.0
61,2,9.0,0.0,1.0,14.0,0.0,5,1,2,0,0,0,0,81.0313,75.95,89.8,0.0,1.0,2.0,5.0
62,1,9.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,80.75,75.6,89.45,1.0,2.0,2.0,7.0
63,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,80.3813,75.25,89.1,0.0,2.0,0.0,7.0
64,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,80.0125,74.9,88.75,0.0,2.0,0.0,7.0
65,3,11.0,2.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.6438,74.55,88.4,0.0,2.0,0.0,7.0
66,3,11.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.275,74.2,88.05,0.0,2.0,0.0,7.0
67,5,13.0,2.0,0.0,14.0,0.0,6,0,2,0,0,0,0,78.9938,73.85,88.05,0.0,2.0,2.0,9.0
68,5,12.0,0.0,1.0,15.0,0.0,6,1,1,0,0,0,0,78.6938,73.35,88.05,1.0,3.0,2.0,11.0
69,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,78.325,72.85,87.7,0.0,3.0,0.0,11.0
70,4,11.0,0.0,1.0,16.0,0.0,7,1,0,0,0,0,0,77.9563,72.35,87.35,0.0,3.0,0.0,11.0
71,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,77.5875,72.0,87.0,0.0,3.0,0.0,11.0
72,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,77.2,71.65,86.65,0.0,3.0,0.0,11.0
73,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.7938,71.3,86.3,0.0,3.0,0.0,11.0
74,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.3688,70.95,85.95,0.0,3.0,0.0,11.0
75,5,13.0,2.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.9438,70.6,85.6,0.0,3.0,0.0,11.0
76,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.5,70.25,85.25,0.0,3.0,0.0,11.0
77,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.0563,69.9,84.9,0.0,3.0,0.0,11.0
78,5,13.0,0.0,0.0,16.0,0.0,7,0,1,0,0,0,0,74.675,69.55,84.55,0.0,3.0,1.0,12.0
79,7,15.0,2.0,0.0,16.0,0.0,8,0,0,0,0,0,0,74.2313,69.2,84.2,0.0,3.0,0.0,12.0
80,7,15.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,73.7688,68.85,83.7,0.0,3.0,0.0,12.0
81,7,15.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,73.3063,68.5,83.2,0.0,3.0,0.0,12.0
82,7,14.0,0.0,1.0,17.0,0.0,7,1,0,0,0,0,0,72.8438,68.15,82.7,0.0,3.0,0.0,12.0
83,7,15.0,1.0,0.0,17.0,0.0,8,0,0,0,0,0,0,72.4,67.8,82.2,0.0,3.0,0.0,12.0
84,7,15.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,71.9563,67.45,81.7,0.0,3.0,0.0,12.0
85,8,15.0,1.0,1.0,18.0,0.0,7,1,0,0,0,0,0,71.4938,67.1,81.2,0.0,3.0,0.0,12.0
86,7,15.0,0.0,0.0,18.0,0.0,8,0,0,0,0,0,0,71.05,66.75,80.7,0.0,3.0,0.0,12.0
87,7,13.0,0.0,2.0,20.0,0.0,5,2,1,0,0,0,0,70.65,66.4,80.2,0.0,3.0,1.0,13.0
88,5,13.0,0.0,0.0,20.0,0.0,7,0,1,0,0,0,0,70.35,66.05,79.7,1.0,4.0,2.0,15.0
89,5,13.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,69.9438,65.7,79.2,0.0,4.0,0.0,15.0
90,5,13.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,69.5188,65.2,78.7,0.0,4.0,0.0,15.0
91,7,14.0,2.0,1.0,21.0,0.0,7,1,0,0,0,0,0,69.075,64.7,78.2,0.0,4.0,0.0,15.0
92,6,14.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,68.65,64.2,77.7,0.0,4.0,0.0,15.0
93,7,15.0,1.0,0.0,21.0,0.0,8,0,0,0,0,0,0,68.225,63.7,77.2,0.0,4.0,0.0,15.0
94,7,14.0,0.0,1.0,22.0,0.0,7,1,0,0,0,0,0,67.8,63.2,76.7,0.0,4.0,0.0,15.0
95,7,14.0,1.0,1.0,23.0,0.0,7,1,0,0,0,0,0,67.3563,62.7,76.35,0.0,4.0,0.0,15.0
96,6,14.0,0.0,0.0,23.0,0.0,8,0,0,0,0,0,0,66.9313,62.2,76.0,0.0,4.0,0.0,15.0
97,6,14.0,0.0,0.0,23.0,0.0,7,0,1,0,0,0,0,66.55,61.7,76.0,0.0,4.0,1.0,16.0
98,6,14.0,0.0,0.0,23.0,0.0,6,0,2,0,0,0,0,66.2125,61.2,76.0,0.0,4.0,2.0,18.0
99,7,15.0,1.0,0.0,23.0,0.0,5,0,3,0,0,0,0,65.9813,60.7,76.0,1.0,5.0,4.0,22.0
100,7,14.0,0.0,1.0,24.0,0.0,6,1,1,0,0,0,0,65.6438,60.2,75.65,1.0,6.0,2.0,24.0
101,6,14.0,0.0,0.0,24.0,0.0,7,0,1,0,0,0,0,65.2813,59.7,75.3,0.0,6.0,1.0,25.0
102,6,13.0,0.0,1.0,25.0,0.0,6,1,1,0,0,0,0,64.9625,59.2,74.95,0.0,6.0,1.0,26.0
103,6,13.0,1.0,1.0,26.0,0.0,7,1,0,0,0,0,0,64.5563,58.7,74.6,0.0,6.0,0.0,26.0
104,5,13.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,64.1688,58.35,74.25,0.0,6.0,0.0,26.0
105,6,14.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.7813,58.0,73.9,0.0,6.0,0.0,26.0
106,6,13.0,0.0,1.0,27.0,0.0,5,1,2,0,0,0,0,63.4813,57.65,73.55,0.0,6.0,2.0,28.0
107,7,15.0,2.0,0.0,27.0,0.0,7,0,1,0,0,0,0,63.1813,57.3,73.2,1.0,7.0,2.0,30.0
108,7,15.0,0.0,0.0,27.0,0.0,7,0,1,0,0,0,0,62.8563,56.95,72.85,0.0,7.0,1.0,31.0
109,7,15.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,62.4688,56.6,72.5,0.0,7.0,0.0,31.0
110,7,14.0,0.0,1.0,28.0,0.0,7,1,0,0,0,0,0,62.0625,56.25,72.15,0.0,7.0,0.0,31.0
111,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,61.675,55.9,71.8,0.0,7.0,0.0,31.0
112,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,61.2688,55.4,71.45,0.0,7.0,0.0,31.0
113,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,60.8625,54.9,71.1,0.0,7.0,0.0,31.0
114,6,14.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,60.4563,54.4,70.75,0.0,7.0,0.0,31.0
115,9,16.0,3.0,1.0,29.0,0.0,7,1,0,0,0,0,0,60.05,53.9,70.4,0.0,7.0,0.0,31.0
116,8,16.0,0.0,0.0,29.0,0.0,7,0,1,0,0,0,0,59.7063,53.4,70.4,0.0,7.0,1.0,32.0
117,8,16.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,59.3188,52.9,70.05,0.0,7.0,0.0,32.0
118,8,16.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,58.9313,52.4,69.7,0.0,7.0,0.0,32.0
119,8,16.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,58.525,51.9,69.35,0.0,7.0,0.0,32.0
120,8,15.0,0.0,1.0,30.0,0.0,7,1,0,0,0,0,0,58.1188,51.4,69.0,0.0,7.0,0.0,32.0
121,8,16.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.7313,50.9,68.65,0.0,7.0,0.0,32.0
122,8,16.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.3438,50.4,68.3,0.0,7.0,0.0,32.0
123,9,17.0,1.0,0.0,30.0,0.0,7,0,1,0,0,0,0,56.9813,49.9,68.3,0.0,7.0,1.0,33.0
124,9,16.0,0.0,1.0,31.0,0.0,7,1,0,0,0,0,0,56.575,49.4,67.95,0.0,7.0,0.0,33.0
125,9,17.0,1.0,0.0,31.0,0.0,8,0,0,0,0,0,0,56.1875,48.9,67.6,0.0,7.0,0.0,33.0
126,9,16.0,0.0,1.0,32.0,0.0,7,1,0,0,0,0,0,55.8,48.4,67.25,0.0,7.0,0.0,33.0
