tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.6063,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.475,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.3,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.125,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.9063,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.6875,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.4688,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.25,95.8,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.9688,95.45,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.6875,95.1,100.0,0.0,0.0,0.0,0.0
17,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.4063,94.75,100.0,0.0,0.0,0.0,0.0
18,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.0875,94.25,100.0,0.0,0.0,0.0,0.0
19,0,8.0,2.0,0.0,0.0,0.0,8,0,0,0,0,0,0,96.6813,93.75,99.65,0.0,0.0,0.0,0.0
20,0,8.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,96.275,93.25,99.3,0.0,0.0,0.0,0.0
21,0,8.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,95.85,92.75,98.95,0.0,0.0,0.0,0.0
22,0,8.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,95.425,92.25,98.6,0.0,0.0,0.0,0.0
23,1,8.0,1.0,1.0,1.0,0.0,7,1,0,0,0,0,0,95.0,91.75,98.25,0.0,0.0,0.0,0.0
24,0,8.0,0.0,0.0,1.0,0.0,8,0,0,0,0,0,0,94.5938,91.25,97.9,0.0,0.0,0.0,0.0
25,1,9.0,1.0,0.0,1.0,0.0,8,0,0,0,0,0,0,94.1875,90.75,97.55,0.0,0.0,0.0,0.0
26,1,9.0,0.0,0.0,1.0,0.0,8,0,0,0,0,0,0,93.7813,90.25,97.2,0.0,0.0,0.0,0.0
27,2,10.0,1.0,0.0,1.0,0.0,8,0,0,0,0,0,0,93.3563,89.75,96.85,0.0,0.0,0.0,0.0
28,2,10.0,0.0,0.0,1.0,0.0,7,0,1,0,0,0,0,92.9938,89.75,96.5,0.0,0.0,1.0,1.0
29,2,8.0,0.0,2.0,3.0,0.0,5,2,1,0,0,0,0,92.675,89.7,96.15,1.0,1.0,2.0,3.0
30,0,8.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,92.2688,89.25,95.8,0.0,1.0,0.0,3.0
31,1,9.0,1.0,0.0,3.0,0.0,7,0,1,0,0,0,0,91.925,88.75,95.45,0.0,1.0,1.0,4.0
32,1,9.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,91.5188,88.25,95.1,0.0,1.0,0.0,4.0
33,1,9.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,91.1125,87.75,94.75,0.0,1.0,0.0,4.0
34,1,9.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,90.7063,87.25,94.4,0.0,1.0,0.0,4.0
35,3,11.0,2.0,0.0,3.0,0.0,8,0,0,0,0,0,0,90.2813,86.75,94.05,0.0,1.0,0.0,4.0
36,3,11.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,89.8563,86.25,93.7,0.0,1.0,0.0,4.0
37,4,12.0,1.0,0.0,3.0,0.0,8,0,0,0,0,0,0,89.4313,85.75,93.35,0.0,1.0,0.0,4.0
38,4,12.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,89.0063,85.25,93.0,0.0,1.0,0.0,4.0
39,4,12.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,88.5813,84.75,92.65,0.0,1.0,0.0,4.0
40,4,11.0,0.0,1.0,4.0,0.0,7,1,0,0,0,0,0,88.1563,84.25,92.3,0.0,1.0,0.0,4.0
41,3,11.0,0.0,0.0,4.0,0.0,8,0,0,0,0,0,0,87.75,83.75,91.95,0.0,1.0,0.0,4.0
42,3,11.0,0.0,0.0,4.0,0.0,8,0,0,0,0,0,0,87.3438,83.25,91.6,0.0,1.0,0.0,4.0
43,5,13.0,2.0,0.0,4.0,0.0,8,0,0,0,0,0,0,86.9375,82.75,91.25,0.0,1.0,0.0,4.0
44,5,12.0,0.0,1.0,5.0,0.0,7,1,0,0,0,0,0,86.5313,82.25,90.9,0.0,1.0,0.0,4.0
45,5,13.0,1.0,0.0,5.0,0.0,8,0,0,0,0,0,0,86.1438,81.9,90.55,0.0,1.0,0.0,4.0
46,5,13.0,0.0,0.0,5.0,0.0,7,0,1,0,0,0,0,85.8,81.55,90.2,0.0,1.0,1.0,5.0
47,5,13.0,0.0,0.0,5.0,0.0,5,0,3,0,0,0,0,85.5438,81.55,89.85,0.0,1.0,3.0,8.0
48,5,12.0,0.0,1.0,6.0,0.0,6,1,1,0,0,0,0,85.2875,81.55,89.5,2.0,3.0,3.0,11.0
49,4,12.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,84.9,81.2,89.15,0.0,3.0,0.0,11.0
50,4,11.0,0.0,1.0,7.0,0.0,7,1,0,0,0,0,0,84.475,80.85,88.65,0.0,3.0,0.0,11.0
51,5,13.0,2.0,0.0,7.0,0.0,8,0,0,0,0,0,0,84.0688,80.5,88.15,0.0,3.0,0.0,11.0
52,5,13.0,0.0,0.0,7.0,0.0,6,0,2,0,0,0,0,83.7688,80.15,87.65,0.0,3.0,2.0,13.0
53,5,13.0,0.0,0.0,7.0,0.0,7,0,1,0,0,0,0,83.4688,79.8,87.15,1.0,4.0,2.0,15.0
54,5,13.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,83.0438,79.45,86.65,0.0,4.0,0.0,15.0
55,7,15.0,2.0,0.0,7.0,0.0,8,0,0,0,0,0,0,82.6188,79.1,86.15,0.0,4.0,0.0,15.0
56,7,15.0,0.0,0.0,7.0,0.0,6,0,2,0,0,0,0,82.3,78.75,86.0,0.0,4.0,2.0,17.0
57,7,15.0,0.0,0.0,7.0,0.0,7,0,1,0,0,0,0,81.9813,78.4,86.0,1.0,5.0,2.0,19.0
58,7,14.0,0.0,1.0,8.0,0.0,6,1,1,0,0,0,0,81.6188,78.05,85.5,0.0,5.0,1.0,20.0
59,7,15.0,1.0,0.0,8.0,0.0,7,0,1,0,0,0,0,81.2563,78.05,85.15,0.0,5.0,1.0,21.0
60,7,15.0,0.0,0.0,8.0,0.0,4,0,4,0,0,0,0,81.1063,78.05,84.8,1.0,6.0,5.0,26.0
61,7,15.0,0.0,0.0,8.0,0.0,7,0,1,0,0,0,0,80.8063,77.7,84.45,1.0,7.0,2.0,28.0
62,7,15.0,0.0,0.0,8.0,0.0,5,0,3,0,0,0,0,80.55,77.35,84.45,0.0,7.0,3.0,31.0
63,7,14.0,0.0,1.0,9.0,0.0,7,1,0,0,0,0,0,80.1438,77.0,84.1,0.0,7.0,0.0,31.0
64,6,14.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,79.8,76.65,83.75,0.0,7.0,1.0,32.0
65,8,15.0,2.0,1.0,10.0,0.0,7,1,0,0,0,0,0,79.4125,76.3,83.4,0.0,7.0,0.0,32.0
66,7,15.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,79.1063,75.95,83.05,0.0,7.0,1.0,33.0
67,9,17.0,2.0,0.0,10.0,0.0,7,0,1,0,0,0,0,78.825,75.6,83.05,1.0,8.0,2.0,35.0
68,9,17.0,0.0,0.0,10.0,0.0,6,0,2,0,0,0,0,78.5438,75.25,82.7,0.0,8.0,2.0,37.0
69,9,17.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,78.2625,74.9,82.7,1.0,9.0,2.0,39.0
70,9,17.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,77.9188,74.55,82.35,0.0,9.0,1.0,40.0
71,9,17.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,77.5313,74.2,82.0,0.0,9.0,0.0,40.0
72,9,17.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,77.1063,73.7,81.65,0.0,9.0,0.0,40.0
73,9,17.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,76.6813,73.2,81.3,0.0,9.0,0.0,40.0
74,9,17.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,76.3,72.7,80.95,0.0,9.0,1.0,41.0
75,11,19.0,2.0,0.0,10.0,0.0,8,0,0,0,0,0,0,75.875,72.2,80.6,0.0,9.0,0.0,41.0
76,11,19.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,75.45,71.7,80.25,0.0,9.0,0.0,41.0
77,11,19.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,75.025,71.2,79.9,0.0,9.0,0.0,41.0
78,11,19.0,0.0,0.0,10.0,0.0,6,0,2,0,0,0,0,74.6875,70.7,79.55,0.0,9.0,2.0,43.0
79,13,20.0,2.0,1.0,11.0,0.0,5,1,2,0,0,0,0,74.4125,70.2,79.2,1.0,10.0,3.0,46.0
80,12,20.0,0.0,0.0,11.0,0.0,6,0,2,0,0,0,0,74.0938,70.2,78.85,0.0,10.0,2.0,48.0
81,12,20.0,0.0,0.0,11.0,0.0,6,0,2,0,0,0,0,73.8813,70.2,78.35,1.0,11.0,3.0,51.0
82,12,20.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,73.525,69.7,77.85,1.0,12.0,1.0,52.0
83,13,21.0,1.0,0.0,11.0,0.0,7,0,1,0,0,0,0,73.15,69.2,77.35,0.0,12.0,1.0,53.0
84,13,21.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,72.8375,68.7,76.85,1.0,13.0,1.0,54.0
85,14,22.0,1.0,0.0,11.0,0.0,8,0,0,0,0,0,0,72.3563,68.2,76.35,0.0,13.0,0.0,54.0
86,14,22.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,71.875,67.7,75.85,0.0,13.0,0.0,54.0
87,14,22.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,71.3938,67.2,75.35,0.0,13.0,0.0,54.0
88,14,22.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,70.9125,66.7,74.85,0.0,13.0,0.0,54.0
89,14,21.0,0.0,1.0,12.0,0.0,4,1,3,0,0,0,0,70.6,66.2,74.85,0.0,13.0,3.0,57.0
90,13,21.0,0.0,0.0,12.0,0.0,6,0,2,0,0,0,0,70.3063,65.7,74.85,1.0,14.0,3.0,60.0
91,15,23.0,2.0,0.0,12.0,0.0,8,0,0,0,0,0,0,69.9063,65.2,74.85,1.0,15.0,1.0,61.0
92,15,23.0,0.0,0.0,12.0,0.0,5,0,3,0,0,0,0,69.6313,65.2,74.35,0.0,15.0,3.0,64.0
93,16,24.0,1.0,0.0,12.0,0.0,6,0,2,0,0,0,0,69.3375,65.2,73.85,1.0,16.0,3.0,67.0
94,16,24.0,0.0,0.0,12.0,0.0,7,0,1,0,0,0,0,68.9813,64.7,73.35,1.0,17.0,2.0,69.0
95,17,24.0,1.0,1.0,13.0,0.0,7,1,0,0,0,0,0,68.5188,64.2,72.85,0.0,17.0,0.0,69.0
96,16,24.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,68.075,63.7,72.35,0.0,17.0,0.0,69.0
97,16,23.0,0.0,1.0,14.0,0.0,7,1,0,0,0,0,0,67.6313,63.2,71.85,0.0,17.0,0.0,69.0
98,15,23.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,67.2063,62.7,71.35,0.0,17.0,0.0,69.0
99,16,24.0,1.0,0.0,14.0,0.0,8,0,0,0,0,0,0,66.7813,62.2,70.85,0.0,17.0,0.0,69.0
100,16,24.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,66.3563,61.7,70.35,0.0,17.0,0.0,69.0
101,16,23.0,0.0,1.0,15.0,0.0,6,1,1,0,0,0,0,65.975,61.2,70.35,0.0,17.0,1.0,70.0
102,15,23.0,0.0,0.0,15.0,0.0,6,0,2,0,0,0,0,65.7,60.7,70.35,1.0,18.0,3.0,73.0
103,16,24.0,1.0,0.0,15.0,0.0,7,0,1,0,0,0,0,65.3625,60.2,69.85,1.0,19.0,2.0,75.0
104,16,24.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,64.9375,59.7,69.35,0.0,19.0,0.0,75.0
105,17,25.0,1.0,0.0,15.0,0.0,7,0,1,0,0,0,0,64.6,59.2,68.85,0.0,19.0,1.0,76.0
106,17,25.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,64.175,58.7,68.35,0.0,19.0,0.0,76.0
107,19,26.0,2.0,1.0,16.0,0.0,7,1,0,0,0,0,0,63.75,58.2,67.85,0.0,19.0,0.0,76.0
108,18,26.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,63.3438,57.85,67.35,0.0,19.0,0.0,76.0
109,18,26.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,62.9375,57.5,66.85,0.0,19.0,0.0,76.0
110,18,25.0,0.0,1.0,17.0,0.0,7,1,0,0,0,0,0,62.5313,57.15,66.35,0.0,19.0,0.0,76.0
111,17,25.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,62.125,56.8,65.85,0.0,19.0,0.0,76.0
112,17,25.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,61.7188,56.45,65.35,0.0,19.0,0.0,76.0
113,17,25.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,61.2938,56.1,64.85,0.0,19.0,0.0,76.0
114,17,25.0,0.0,0.0,17.0,0.0,6,0,2,0,0,0,0,60.975,55.75,64.35,0.0,19.0,2.0,78.0
115,20,28.0,3.0,0.0,17.0,0.0,7,0,1,0,0,0,0,60.6563,55.4,64.0,1.0,20.0,2.0,80.0
116,20,27.0,0.0,1.0,18.0,0.0,7,1,0,0,0,0,0,60.2125,55.05,63.65,0.0,20.0,0.0,80.0
117,19,27.0,0.0,0.0,18.0,0.0,7,0,1,0,0,0,0,59.8313,54.7,63.3,0.0,20.0,1.0,81.0
118,19,27.0,0.0,0.0,18.0,0.0,4,0,4,0,0,0,0,59.6188,54.35,63.3,0.0,20.0,4.0,85.0
119,19,27.0,0.0,0.0,18.0,0.0,6,0,2,0,0,0,0,59.4063,54.0,63.3,2.0,22.0,4.0,89.0
120,19,27.0,0.0,0.0,18.0,0.0,6,0,2,0,0,0,0,59.0875,54.0,62.95,0.0,22.0,2.0,91.0
121,20,28.0,1.0,0.0,18.0,0.0,7,0,1,0,0,0,0,58.7688,54.0,62.6,1.0,23.0,2.0,93.0
122,20,28.0,0.0,0.0,18.0,0.0,8,0,0,0,0,0,0,58.3438,53.65,62.25,0.0,23.0,0.0,93.0
123,21,28.0,1.0,1.0,19.0,0.0,7,1,0,0,0,0,0,57.9188,53.3,61.9,0.0,23.0,0.0,93.0
124,20,28.0,0.0,0.0,19.0,0.0,7,0,1,0,0,0,0,57.5375,52.95,61.4,0.0,23.0,1.0,94.0
125,21,29.0,1.0,0.0,19.0,0.0,7,0,1,0,0,0,0,57.2,52.6,60.9,1.0,24.0,2.0,96.0
126,21,29.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,56.775,52.25,60.4,0.0,24.0,0.0,96.0
