run_id,tick,event_type,robot_id,task_id,details
20260903_111756_c44bb0,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-04
20260903_111756_c44bb0,3,task_assigned,R4,G00001,
20260903_111756_c44bb0,5,task_created,,G00002,type=PICK pickup=B-02 dropoff=PICK-3
20260903_111756_c44bb0,5,task_assigned,R7,G00002,
20260903_111756_c44bb0,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_111756_c44bb0,7,task_assigned,R5,G00003,
20260903_111756_c44bb0,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111756_c44bb0,9,task_assigned,R2,G00004,
20260903_111756_c44bb0,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-06
20260903_111756_c44bb0,11,task_assigned,R1,G00005,
20260903_111756_c44bb0,15,task_created,,G00006,type=PICK pickup=F-02 dropoff=PICK-2
20260903_111756_c44bb0,15,task_assigned,R3,G00006,
20260903_111756_c44bb0,16,task_completed,R2,G00004,
20260903_111756_c44bb0,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=H-06
20260903_111756_c44bb0,19,task_assigned,R2,G00007,
20260903_111756_c44bb0,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_111756_c44bb0,19,task_assigned,R6,G00008,
20260903_111756_c44bb0,21,task_completed,R5,G00003,
20260903_111756_c44bb0,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111756_c44bb0,23,task_assigned,R5,G00009,
20260903_111756_c44bb0,25,task_created,,G00010,type=PICK pickup=H-06 dropoff=PICK-2
20260903_111756_c44bb0,25,task_assigned,R8,G00010,
20260903_111756_c44bb0,26,task_completed,R7,G00002,
20260903_111756_c44bb0,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-03
20260903_111756_c44bb0,27,task_assigned,R7,G00011,
20260903_111756_c44bb0,28,task_completed,R4,G00001,
20260903_111756_c44bb0,30,task_completed,R5,G00009,
20260903_111756_c44bb0,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_111756_c44bb0,31,task_assigned,R4,G00012,
20260903_111756_c44bb0,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_111756_c44bb0,35,task_assigned,R5,G00013,
20260903_111756_c44bb0,35,task_created,,G00014,type=PICK pickup=A-03 dropoff=PICK-2
20260903_111756_c44bb0,37,task_completed,R1,G00005,
20260903_111756_c44bb0,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111756_c44bb0,38,task_assigned,R1,G00014,
