run_id,tick,event_type,robot_id,task_id,details
20260903_111811_4ca702,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=E-06
20260903_111811_4ca702,3,task_assigned,R4,G00001,
20260903_111811_4ca702,5,task_created,,G00002,type=PICK pickup=E-07 dropoff=PICK-2
20260903_111811_4ca702,5,task_assigned,R5,G00002,
20260903_111811_4ca702,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_111811_4ca702,7,task_assigned,R7,G00003,
20260903_111811_4ca702,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111811_4ca702,9,task_assigned,R6,G00004,
20260903_111811_4ca702,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260903_111811_4ca702,11,task_assigned,R3,G00005,
20260903_111811_4ca702,15,task_created,,G00006,type=PICK pickup=C-03 dropoff=PICK-1
20260903_111811_4ca702,15,task_assigned,R2,G00006,
20260903_111811_4ca702,16,task_completed,R4,G00001,
20260903_111811_4ca702,16,task_completed,R6,G00004,
20260903_111811_4ca702,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260903_111811_4ca702,19,task_assigned,R4,G00007,
20260903_111811_4ca702,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_111811_4ca702,19,task_assigned,R6,G00008,
20260903_111811_4ca702,22,task_completed,R7,G00003,
20260903_111811_4ca702,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111811_4ca702,23,task_assigned,R7,G00009,
20260903_111811_4ca702,24,task_completed,R5,G00002,
20260903_111811_4ca702,25,task_created,,G00010,type=PICK pickup=E-08 dropoff=PICK-1
20260903_111811_4ca702,25,task_assigned,R5,G00010,
20260903_111811_4ca702,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-06
20260903_111811_4ca702,27,task_assigned,R1,G00011,
20260903_111811_4ca702,30,task_completed,R7,G00009,
20260903_111811_4ca702,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_111811_4ca702,31,task_assigned,R7,G00012,
20260903_111811_4ca702,33,task_completed,R6,G00008,
20260903_111811_4ca702,35,task_completed,R3,G00005,
20260903_111811_4ca702,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260903_111811_4ca702,35,task_assigned,R6,G00013,
20260903_111811_4ca702,35,task_created,,G00014,type=PICK pickup=A-05 dropoff=PICK-3
20260903_111811_4ca702,35,task_assigned,R8,G00014,
20260903_111811_4ca702,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111811_4ca702,37,task_assigned,R3,G00015,
20260903_111811_4ca702,39,robot_blocked,R1,,"{""x"": 7, ""y"": 5}"
20260903_111811_4ca702,39,robot_blocked,R3,,"{""x"": 7, ""y"": 4}"
20260903_111811_4ca702,40,task_completed,R4,G00007,
20260903_111811_4ca702,41,robot_blocked,R2,,"{""x"": 8, ""y"": 4}"
20260903_111811_4ca702,42,task_completed,R5,G00010,
20260903_111811_4ca702,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=H-04
20260903_111811_4ca702,43,task_assigned,R4,G00016,
