run_id,tick,event_type,robot_id,task_id,details
20260903_111825_0100b2,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260903_111825_0100b2,3,task_assigned,R3,G00001,
20260903_111825_0100b2,5,task_created,,G00002,type=PICK pickup=A-02 dropoff=PICK-1
20260903_111825_0100b2,5,task_assigned,R1,G00002,
20260903_111825_0100b2,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_111825_0100b2,7,task_assigned,R4,G00003,
20260903_111825_0100b2,9,task_completed,R3,G00001,
20260903_111825_0100b2,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111825_0100b2,9,task_assigned,R7,G00004,
20260903_111825_0100b2,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_111825_0100b2,11,task_assigned,R3,G00005,
20260903_111825_0100b2,15,task_completed,R7,G00004,
20260903_111825_0100b2,15,task_created,,G00006,type=PICK pickup=G-07 dropoff=PICK-2
20260903_111825_0100b2,15,task_assigned,R8,G00006,
20260903_111825_0100b2,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=H-08
20260903_111825_0100b2,19,task_assigned,R6,G00007,
20260903_111825_0100b2,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_111825_0100b2,19,task_assigned,R7,G00008,
20260903_111825_0100b2,20,task_completed,R3,G00005,
20260903_111825_0100b2,21,task_completed,R1,G00002,
20260903_111825_0100b2,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111825_0100b2,23,task_assigned,R3,G00009,
20260903_111825_0100b2,25,task_completed,R4,G00003,
20260903_111825_0100b2,25,task_created,,G00010,type=PICK pickup=C-03 dropoff=PICK-3
20260903_111825_0100b2,25,task_assigned,R1,G00010,
20260903_111825_0100b2,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-05
20260903_111825_0100b2,27,task_assigned,R4,G00011,
20260903_111825_0100b2,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_111825_0100b2,31,task_assigned,R5,G00012,
20260903_111825_0100b2,33,task_completed,R8,G00006,
20260903_111825_0100b2,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260903_111825_0100b2,35,task_assigned,R8,G00013,
20260903_111825_0100b2,35,task_created,,G00014,type=PICK pickup=B-02 dropoff=PICK-1
20260903_111825_0100b2,35,task_assigned,R2,G00014,
20260903_111825_0100b2,36,task_completed,R3,G00009,
20260903_111825_0100b2,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111825_0100b2,37,task_assigned,R3,G00015,
20260903_111825_0100b2,40,task_completed,R6,G00007,
20260903_111825_0100b2,42,task_completed,R3,G00015,
20260903_111825_0100b2,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=D-02
20260903_111825_0100b2,43,task_assigned,R6,G00016,
20260903_111825_0100b2,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_111825_0100b2,43,task_assigned,R3,G00017,
20260903_111825_0100b2,45,task_created,,G00018,type=PICK pickup=E-02 dropoff=PICK-1
20260903_111825_0100b2,46,task_completed,R7,G00008,
20260903_111825_0100b2,47,task_assigned,R7,G00018,
20260903_111825_0100b2,48,task_completed,R1,G00010,
20260903_111825_0100b2,49,task_completed,R8,G00013,
20260903_111825_0100b2,50,task_completed,R4,G00011,
20260903_111825_0100b2,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260903_111825_0100b2,51,task_assigned,R8,G00019,
20260903_111825_0100b2,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_111825_0100b2,51,task_assigned,R1,G00020,
20260903_111825_0100b2,52,robot_blocked,R1,,"{""x"": 19, ""y"": 8}"
20260903_111825_0100b2,54,task_completed,R5,G00012,
20260903_111825_0100b2,55,task_created,,G00021,type=PICK pickup=H-08 dropoff=PICK-1
20260903_111825_0100b2,55,task_assigned,R4,G00021,
20260903_111825_0100b2,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_111825_0100b2,55,task_assigned,R5,G00022,
20260903_111825_0100b2,56,robot_blocked,R8,,"{""x"": 12, ""y"": 2}"
20260903_111825_0100b2,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=E-05
20260903_111825_0100b2,60,robot_blocked,R5,,"{""x"": 12, ""y"": 9}"
20260903_111825_0100b2,63,robot_blocked,R2,,"{""x"": 11, ""y"": 4}"
20260903_111825_0100b2,63,robot_blocked,R4,,"{""x"": 10, ""y"": 4}"
20260903_111825_0100b2,65,task_created,,G00024,type=PICK pickup=C-05 dropoff=PICK-1
20260903_111825_0100b2,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_111825_0100b2,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=F-08
20260903_111825_0100b2,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_111825_0100b2,70,task_completed,R6,G00016,
20260903_111825_0100b2,70,task_completed,R3,G00017,
20260903_111825_0100b2,71,task_completed,R1,G00020,
20260903_111825_0100b2,71,task_assigned,R6,G00023,
20260903_111825_0100b2,71,task_assigned,R3,G00026,
20260903_111825_0100b2,72,task_assigned,R1,G00024,
20260903_111825_0100b2,73,task_completed,R5,G00022,
20260903_111825_0100b2,73,robot_blocked,R6,,"{""x"": 19, ""y"": 4}"
20260903_111825_0100b2,74,task_assigned,R5,G00027,
20260903_111825_0100b2,75,task_completed,R7,G00018,
20260903_111825_0100b2,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=C-08
20260903_111825_0100b2,75,task_created,,G00029,type=PICK pickup=B-06 dropoff=PICK-2
20260903_111825_0100b2,76,task_assigned,R7,G00028,
20260903_111825_0100b2,77,task_completed,R8,G00019,
