tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.6063,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.475,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.3,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.125,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.8875,96.7,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.6313,96.2,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.3563,95.7,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.0625,95.2,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.725,94.7,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,3,0,0,0,0,0,97.3875,94.2,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,97.1125,93.7,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,96.8375,93.2,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,1,0,0,0,0,0,96.475,92.7,100.0,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,1,0,0,0,0,0,96.1125,92.2,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,1.0,2.0,0.0,6,2,0,0,0,0,0,95.75,91.7,100.0,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,95.45,91.2,100.0,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,1,0,0,0,0,0,95.1063,90.7,100.0,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,1,0,0,0,0,0,94.7625,90.2,100.0,0.0,0.0,0.0,0.0
25,0,8.0,1.0,0.0,2.0,0.0,8,0,0,0,0,0,0,94.375,89.7,99.65,0.0,0.0,0.0,0.0
26,0,7.0,0.0,1.0,3.0,0.0,7,1,0,0,0,0,0,93.9875,89.2,99.3,0.0,0.0,0.0,0.0
27,0,8.0,1.0,0.0,3.0,0.0,8,0,0,0,0,0,0,93.6188,88.7,98.95,0.0,0.0,0.0,0.0
28,0,7.0,0.0,1.0,4.0,0.0,7,1,0,0,0,0,0,93.2125,88.2,98.6,0.0,0.0,0.0,0.0
29,0,7.0,0.0,0.0,4.0,0.0,7,1,0,0,0,0,0,92.8688,88.2,98.25,0.0,0.0,0.0,0.0
30,0,6.0,0.0,1.0,5.0,0.0,6,2,0,0,0,0,0,92.525,88.2,97.9,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.2,87.85,97.55,0.0,0.0,0.0,0.0
32,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,91.875,87.5,97.2,0.0,0.0,0.0,0.0
33,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,91.55,87.15,96.85,0.0,0.0,0.0,0.0
34,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,91.225,86.8,96.5,0.0,0.0,0.0,0.0
35,1,9.0,2.0,0.0,5.0,0.0,8,0,0,0,0,0,0,90.8563,86.45,96.15,0.0,0.0,0.0,0.0
36,1,9.0,0.0,0.0,5.0,0.0,8,0,0,0,0,0,0,90.4688,86.1,95.8,0.0,0.0,0.0,0.0
37,2,9.0,1.0,1.0,6.0,0.0,7,1,0,0,0,0,0,90.0813,85.75,95.45,0.0,0.0,0.0,0.0
38,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.6938,85.25,95.1,0.0,0.0,0.0,0.0
39,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.3063,84.75,94.75,0.0,0.0,0.0,0.0
40,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,88.9188,84.25,94.4,0.0,0.0,0.0,0.0
41,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,88.5313,83.75,94.05,0.0,0.0,0.0,0.0
42,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,88.1438,83.25,93.7,0.0,0.0,0.0,0.0
43,3,11.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,87.7188,82.75,93.35,0.0,0.0,0.0,0.0
44,3,11.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,87.275,82.25,92.85,0.0,0.0,0.0,0.0
45,4,12.0,1.0,0.0,6.0,0.0,8,0,0,0,0,0,0,86.8125,81.75,92.35,0.0,0.0,0.0,0.0
46,4,11.0,0.0,1.0,7.0,0.0,6,1,1,0,0,0,0,86.4125,81.25,91.85,0.0,0.0,1.0,1.0
47,3,11.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,85.9688,80.9,91.35,0.0,0.0,0.0,1.0
48,3,11.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,85.5063,80.55,90.85,0.0,0.0,0.0,1.0
49,3,10.0,0.0,1.0,8.0,0.0,7,1,0,0,0,0,0,85.0438,80.2,90.35,0.0,0.0,0.0,1.0
50,2,10.0,0.0,0.0,8.0,0.0,8,0,0,0,0,0,0,84.6,79.85,89.85,0.0,0.0,0.0,1.0
51,4,11.0,2.0,1.0,9.0,0.0,7,1,0,0,0,0,0,84.1563,79.5,89.35,0.0,0.0,0.0,1.0
52,3,11.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,83.7125,79.15,88.85,0.0,0.0,0.0,1.0
53,3,11.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,83.3313,78.8,88.35,0.0,0.0,1.0,2.0
54,3,10.0,0.0,1.0,10.0,0.0,3,1,4,0,0,0,0,83.1,78.45,87.85,0.0,0.0,4.0,6.0
55,4,12.0,2.0,0.0,10.0,0.0,5,0,3,0,0,0,0,82.95,78.1,87.85,2.0,2.0,5.0,11.0
56,4,10.0,0.0,2.0,12.0,0.0,6,2,0,0,0,0,0,82.525,77.75,87.35,0.0,2.0,0.0,11.0
57,2,9.0,0.0,1.0,13.0,0.0,6,1,1,0,0,0,0,82.1813,77.4,86.85,0.0,2.0,1.0,12.0
58,1,9.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,81.7938,77.05,86.5,0.0,2.0,0.0,12.0
59,2,10.0,1.0,0.0,13.0,0.0,7,0,1,0,0,0,0,81.45,76.7,86.15,0.0,2.0,1.0,13.0
60,2,10.0,0.0,0.0,13.0,0.0,7,0,1,0,0,0,0,81.15,76.35,85.8,1.0,3.0,2.0,15.0
61,2,10.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,80.7625,76.0,85.45,0.0,3.0,0.0,15.0
62,2,9.0,0.0,1.0,14.0,0.0,7,1,0,0,0,0,0,80.375,75.65,85.1,0.0,3.0,0.0,15.0
63,1,9.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,80.05,75.3,84.75,0.0,3.0,1.0,16.0
64,1,9.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.6625,74.95,84.25,0.0,3.0,0.0,16.0
65,3,11.0,2.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.2563,74.45,83.75,0.0,3.0,0.0,16.0
66,3,9.0,0.0,2.0,16.0,0.0,6,2,0,0,0,0,0,78.85,73.95,83.25,0.0,3.0,0.0,16.0
67,3,11.0,2.0,0.0,16.0,0.0,8,0,0,0,0,0,0,78.4813,73.45,82.9,0.0,3.0,0.0,16.0
68,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,78.0938,72.95,82.55,0.0,3.0,0.0,16.0
69,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,77.7063,72.45,82.2,0.0,3.0,0.0,16.0
70,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,77.3188,71.95,81.85,0.0,3.0,0.0,16.0
71,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.9125,71.45,81.5,0.0,3.0,0.0,16.0
72,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.5063,70.95,81.15,0.0,3.0,0.0,16.0
73,3,11.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,76.0813,70.45,80.8,0.0,3.0,0.0,16.0
74,3,10.0,0.0,1.0,17.0,0.0,3,1,4,0,0,0,0,75.8688,69.95,80.45,0.0,3.0,4.0,20.0
75,4,12.0,2.0,0.0,17.0,0.0,7,0,1,0,0,0,0,75.6125,69.6,80.1,2.0,5.0,3.0,23.0
76,4,12.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,75.2063,69.25,79.75,0.0,5.0,0.0,23.0
77,4,12.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.8,68.9,79.4,0.0,5.0,0.0,23.0
78,4,12.0,0.0,0.0,17.0,0.0,7,0,1,0,0,0,0,74.4375,68.55,79.05,0.0,5.0,1.0,24.0
79,6,14.0,2.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.0313,68.2,78.7,0.0,5.0,0.0,24.0
80,6,13.0,0.0,1.0,18.0,0.0,7,1,0,0,0,0,0,73.625,67.85,78.35,0.0,5.0,0.0,24.0
81,5,12.0,0.0,1.0,19.0,0.0,7,1,0,0,0,0,0,73.2375,67.5,78.0,0.0,5.0,0.0,24.0
82,4,12.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,72.85,67.15,77.65,0.0,5.0,0.0,24.0
83,5,13.0,1.0,0.0,19.0,0.0,8,0,0,0,0,0,0,72.4625,66.8,77.3,0.0,5.0,0.0,24.0
84,5,13.0,0.0,0.0,19.0,0.0,6,0,2,0,0,0,0,72.1813,66.45,76.95,0.0,5.0,2.0,26.0
85,6,14.0,1.0,0.0,19.0,0.0,5,0,3,0,0,0,0,71.9875,66.45,76.6,1.0,6.0,4.0,30.0
86,6,14.0,0.0,0.0,19.0,0.0,7,0,1,0,0,0,0,71.6688,66.45,76.25,1.0,7.0,2.0,32.0
87,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,71.2625,66.1,75.9,0.0,7.0,0.0,32.0
88,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,70.8375,65.75,75.4,0.0,7.0,0.0,32.0
89,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,70.4125,65.4,74.9,0.0,7.0,0.0,32.0
90,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,69.9688,65.05,74.4,0.0,7.0,0.0,32.0
91,8,16.0,2.0,0.0,19.0,0.0,8,0,0,0,0,0,0,69.525,64.7,73.9,0.0,7.0,0.0,32.0
92,8,15.0,0.0,1.0,20.0,0.0,7,1,0,0,0,0,0,69.0813,64.35,73.4,0.0,7.0,0.0,32.0
93,8,16.0,1.0,0.0,20.0,0.0,8,0,0,0,0,0,0,68.6563,64.0,72.9,0.0,7.0,0.0,32.0
94,8,16.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,68.2313,63.65,72.4,0.0,7.0,0.0,32.0
95,9,17.0,1.0,0.0,20.0,0.0,7,0,1,0,0,0,0,67.85,63.15,71.9,0.0,7.0,1.0,33.0
96,9,15.0,0.0,2.0,22.0,0.0,5,2,1,0,0,0,0,67.5125,62.65,71.4,1.0,8.0,2.0,35.0
97,7,15.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,67.1063,62.15,70.9,0.0,8.0,0.0,35.0
98,7,15.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,66.7,61.65,70.4,0.0,8.0,0.0,35.0
99,8,15.0,1.0,1.0,23.0,0.0,7,1,0,0,0,0,0,66.2938,61.15,69.9,0.0,8.0,0.0,35.0
100,7,15.0,0.0,0.0,23.0,0.0,8,0,0,0,0,0,0,65.8875,60.65,69.55,0.0,8.0,0.0,35.0
101,7,15.0,0.0,0.0,23.0,0.0,8,0,0,0,0,0,0,65.4813,60.15,69.2,0.0,8.0,0.0,35.0
102,7,14.0,0.0,1.0,24.0,0.0,7,1,0,0,0,0,0,65.075,59.65,68.85,0.0,8.0,0.0,35.0
103,7,15.0,1.0,0.0,24.0,0.0,8,0,0,0,0,0,0,64.6688,59.15,68.5,0.0,8.0,0.0,35.0
104,7,15.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,64.2625,58.65,68.15,0.0,8.0,0.0,35.0
105,8,16.0,1.0,0.0,24.0,0.0,8,0,0,0,0,0,0,63.8375,58.15,67.8,0.0,8.0,0.0,35.0
106,8,15.0,0.0,1.0,25.0,0.0,7,1,0,0,0,0,0,63.3938,57.65,67.45,0.0,8.0,0.0,35.0
107,9,17.0,2.0,0.0,25.0,0.0,8,0,0,0,0,0,0,62.9688,57.3,67.1,0.0,8.0,0.0,35.0
108,9,17.0,0.0,0.0,25.0,0.0,8,0,0,0,0,0,0,62.5438,56.95,66.75,0.0,8.0,0.0,35.0
109,9,17.0,0.0,0.0,25.0,0.0,7,0,1,0,0,0,0,62.1625,56.6,66.4,0.0,8.0,1.0,36.0
110,9,17.0,0.0,0.0,25.0,0.0,8,0,0,0,0,0,0,61.7,56.25,65.9,0.0,8.0,0.0,36.0
111,9,16.0,0.0,1.0,26.0,0.0,7,1,0,0,0,0,0,61.2375,55.9,65.4,0.0,8.0,0.0,36.0
112,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,60.7938,55.55,64.9,0.0,8.0,0.0,36.0
113,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,60.35,55.2,64.4,0.0,8.0,0.0,36.0
114,8,15.0,0.0,1.0,27.0,0.0,6,1,1,0,0,0,0,59.95,54.85,63.9,0.0,8.0,1.0,37.0
115,10,18.0,3.0,0.0,27.0,0.0,8,0,0,0,0,0,0,59.5063,54.5,63.4,0.0,8.0,0.0,37.0
116,10,18.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,59.0625,54.15,62.9,0.0,8.0,0.0,37.0
117,10,17.0,0.0,1.0,28.0,0.0,7,1,0,0,0,0,0,58.6188,53.8,62.4,0.0,8.0,0.0,37.0
118,9,17.0,0.0,0.0,28.0,0.0,8,0,0,0,0,0,0,58.1938,53.45,61.9,0.0,8.0,0.0,37.0
119,9,16.0,0.0,1.0,29.0,0.0,5,1,2,0,0,0,0,57.875,53.1,61.4,0.0,8.0,2.0,39.0
120,8,15.0,0.0,1.0,30.0,0.0,5,1,2,0,0,0,0,57.6,53.1,60.9,1.0,9.0,3.0,42.0
121,8,15.0,1.0,1.0,31.0,0.0,6,1,1,0,0,0,0,57.2188,52.75,60.9,0.0,9.0,1.0,43.0
122,7,15.0,0.0,0.0,31.0,0.0,7,0,1,0,0,0,0,56.9188,52.4,60.55,0.0,9.0,1.0,44.0
123,8,16.0,1.0,0.0,31.0,0.0,8,0,0,0,0,0,0,56.5563,52.05,60.2,1.0,10.0,1.0,45.0
124,8,16.0,0.0,0.0,31.0,0.0,8,0,0,0,0,0,0,56.15,51.7,59.85,0.0,10.0,0.0,45.0
125,9,17.0,1.0,0.0,31.0,0.0,8,0,0,0,0,0,0,55.7438,51.35,59.5,0.0,10.0,0.0,45.0
126,9,17.0,0.0,0.0,31.0,0.0,8,0,0,0,0,0,0,55.3375,51.0,59.15,0.0,10.0,0.0,45.0
