tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.6063,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.475,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.3,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.125,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.8875,96.7,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.65,96.2,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.3938,95.7,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.1,95.2,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.7625,94.7,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,2.0,2.0,0.0,4,4,0,0,0,0,0,97.425,94.2,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,4,0,0,0,0,0,97.2125,94.2,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,4,0,0,0,0,0,97.0,94.2,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.7,93.7,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.4,93.2,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,2,0,0,0,0,0,96.1,92.7,100.0,0.0,0.0,0.0,0.0
22,0,5.0,0.0,1.0,3.0,0.0,5,3,0,0,0,0,0,95.8,92.2,100.0,0.0,0.0,0.0,0.0
23,0,6.0,1.0,0.0,3.0,0.0,6,2,0,0,0,0,0,95.5188,91.7,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,1.0,4.0,0.0,5,3,0,0,0,0,0,95.2375,91.2,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,2,0,0,0,0,0,94.975,90.85,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,2,0,0,0,0,0,94.7125,90.5,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,1,0,0,0,0,0,94.4063,90.15,100.0,0.0,0.0,0.0,0.0
28,0,7.0,0.0,0.0,4.0,0.0,7,1,0,0,0,0,0,94.0625,89.8,100.0,0.0,0.0,0.0,0.0
29,0,7.0,0.0,0.0,4.0,0.0,7,1,0,0,0,0,0,93.7,89.45,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,1.0,5.0,0.0,6,2,0,0,0,0,0,93.3375,89.1,100.0,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.9938,88.75,100.0,0.0,0.0,0.0,0.0
32,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,92.6313,88.4,100.0,0.0,0.0,0.0,0.0
33,0,6.0,0.0,1.0,6.0,0.0,6,2,0,0,0,0,0,92.25,88.05,100.0,0.0,0.0,0.0,0.0
34,0,6.0,0.0,0.0,6.0,0.0,6,2,0,0,0,0,0,91.9313,87.7,100.0,0.0,0.0,0.0,0.0
35,0,7.0,2.0,1.0,7.0,0.0,7,1,0,0,0,0,0,91.525,87.35,99.65,0.0,0.0,0.0,0.0
36,0,7.0,0.0,0.0,7.0,0.0,7,1,0,0,0,0,0,91.1625,86.85,99.3,0.0,0.0,0.0,0.0
37,0,8.0,1.0,0.0,7.0,0.0,8,0,0,0,0,0,0,90.7563,86.35,98.95,0.0,0.0,0.0,0.0
38,0,8.0,0.0,0.0,7.0,0.0,8,0,0,0,0,0,0,90.35,85.85,98.6,0.0,0.0,0.0,0.0
39,0,8.0,0.0,0.0,7.0,0.0,6,0,2,0,0,0,0,90.0313,85.35,98.25,0.0,0.0,2.0,2.0
40,0,7.0,0.0,1.0,8.0,0.0,6,1,1,0,0,0,0,89.7125,84.85,97.9,1.0,1.0,2.0,4.0
41,0,7.0,0.0,0.0,8.0,0.0,6,1,1,0,0,0,0,89.4313,84.35,97.55,0.0,1.0,1.0,5.0
42,0,6.0,0.0,1.0,9.0,0.0,6,2,0,0,0,0,0,89.0875,83.85,97.2,0.0,1.0,0.0,5.0
43,0,8.0,2.0,0.0,9.0,0.0,8,0,0,0,0,0,0,88.7188,83.5,96.85,0.0,1.0,0.0,5.0
44,0,8.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,88.35,83.15,96.5,0.0,1.0,0.0,5.0
45,1,9.0,1.0,0.0,9.0,0.0,6,0,2,0,0,0,0,88.0688,82.8,96.15,0.0,1.0,2.0,7.0
46,1,9.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,87.7625,82.45,95.8,0.0,1.0,1.0,8.0
47,1,9.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,87.4375,82.1,95.45,0.0,1.0,1.0,9.0
48,1,9.0,0.0,0.0,9.0,0.0,6,0,2,0,0,0,0,87.1563,81.75,95.1,0.0,1.0,2.0,11.0
49,1,9.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,86.8563,81.4,94.75,1.0,2.0,2.0,13.0
50,1,9.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,86.45,81.05,94.4,0.0,2.0,0.0,13.0
51,3,11.0,2.0,0.0,9.0,0.0,8,0,0,0,0,0,0,86.0063,80.7,93.9,0.0,2.0,0.0,13.0
52,3,11.0,0.0,0.0,9.0,0.0,8,0,0,0,0,0,0,85.5625,80.35,93.4,0.0,2.0,0.0,13.0
53,3,11.0,0.0,0.0,9.0,0.0,6,0,2,0,0,0,0,85.2063,80.35,92.9,0.0,2.0,2.0,15.0
54,3,11.0,0.0,0.0,9.0,0.0,7,0,1,0,0,0,0,84.85,80.35,92.4,1.0,3.0,2.0,17.0
55,5,13.0,2.0,0.0,9.0,0.0,8,0,0,0,0,0,0,84.3875,80.0,91.9,0.0,3.0,0.0,17.0
56,5,12.0,0.0,1.0,10.0,0.0,7,1,0,0,0,0,0,83.925,79.65,91.4,0.0,3.0,0.0,17.0
57,4,12.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,83.4813,79.2,90.9,0.0,3.0,0.0,17.0
58,4,12.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,83.1,78.7,90.9,0.0,3.0,1.0,18.0
59,5,13.0,1.0,0.0,10.0,0.0,6,0,2,0,0,0,0,82.7813,78.2,90.9,0.0,3.0,2.0,20.0
60,5,13.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,82.4625,77.7,90.9,1.0,4.0,2.0,22.0
61,5,13.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,82.0188,77.2,90.4,0.0,4.0,0.0,22.0
62,5,12.0,0.0,1.0,11.0,0.0,7,1,0,0,0,0,0,81.5563,76.7,89.9,0.0,4.0,0.0,22.0
63,4,11.0,0.0,1.0,12.0,0.0,7,1,0,0,0,0,0,81.1125,76.2,89.4,0.0,4.0,0.0,22.0
64,3,10.0,0.0,1.0,13.0,0.0,7,1,0,0,0,0,0,80.6875,75.7,88.9,0.0,4.0,0.0,22.0
65,4,11.0,2.0,1.0,14.0,0.0,7,1,0,0,0,0,0,80.2625,75.2,88.4,0.0,4.0,0.0,22.0
66,3,11.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.8563,74.85,87.9,0.0,4.0,0.0,22.0
67,5,13.0,2.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.45,74.5,87.4,0.0,4.0,0.0,22.0
68,5,13.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,79.0063,74.0,86.9,0.0,4.0,0.0,22.0
69,5,13.0,0.0,0.0,14.0,0.0,8,0,0,0,0,0,0,78.5625,73.5,86.4,0.0,4.0,0.0,22.0
70,5,13.0,0.0,0.0,14.0,0.0,6,0,2,0,0,0,0,78.2438,73.5,86.4,0.0,4.0,2.0,24.0
71,5,13.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,77.925,73.35,86.4,1.0,5.0,2.0,26.0
72,5,13.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,77.525,72.85,85.9,0.0,5.0,1.0,27.0
73,5,12.0,0.0,1.0,15.0,0.0,7,1,0,0,0,0,0,77.0813,72.35,85.4,0.0,5.0,0.0,27.0
74,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,76.6563,71.85,84.9,0.0,5.0,0.0,27.0
75,6,13.0,2.0,1.0,16.0,0.0,7,1,0,0,0,0,0,76.2313,71.35,84.4,0.0,5.0,0.0,27.0
76,5,13.0,0.0,0.0,16.0,0.0,8,0,0,0,0,0,0,75.825,70.85,83.9,0.0,5.0,0.0,27.0
77,5,12.0,0.0,1.0,17.0,0.0,7,1,0,0,0,0,0,75.4,70.35,83.4,0.0,5.0,0.0,27.0
78,4,11.0,0.0,1.0,18.0,0.0,6,1,1,0,0,0,0,75.0375,69.85,83.05,0.0,5.0,1.0,28.0
79,5,13.0,2.0,0.0,18.0,0.0,8,0,0,0,0,0,0,74.6313,69.5,82.7,0.0,5.0,0.0,28.0
80,5,13.0,0.0,0.0,18.0,0.0,8,0,0,0,0,0,0,74.2063,69.0,82.35,0.0,5.0,0.0,28.0
81,5,12.0,0.0,1.0,19.0,0.0,7,1,0,0,0,0,0,73.7813,68.5,82.0,0.0,5.0,0.0,28.0
82,4,11.0,0.0,1.0,20.0,0.0,6,1,1,0,0,0,0,73.4188,68.0,81.65,0.0,5.0,1.0,29.0
83,4,12.0,1.0,0.0,20.0,0.0,8,0,0,0,0,0,0,73.0125,67.65,81.3,0.0,5.0,0.0,29.0
84,4,12.0,0.0,0.0,20.0,0.0,8,0,0,0,0,0,0,72.6063,67.3,80.95,0.0,5.0,0.0,29.0
85,5,12.0,1.0,1.0,21.0,0.0,7,1,0,0,0,0,0,72.1813,66.95,80.6,0.0,5.0,0.0,29.0
86,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,71.775,66.6,80.25,0.0,5.0,0.0,29.0
87,4,12.0,0.0,0.0,21.0,0.0,8,0,0,0,0,0,0,71.3688,66.25,79.9,0.0,5.0,0.0,29.0
88,4,11.0,0.0,1.0,22.0,0.0,7,1,0,0,0,0,0,70.9625,65.9,79.55,0.0,5.0,0.0,29.0
89,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,70.575,65.55,79.2,0.0,5.0,0.0,29.0
90,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,70.1875,65.2,78.85,0.0,5.0,0.0,29.0
91,5,12.0,2.0,1.0,23.0,0.0,7,1,0,0,0,0,0,69.8,64.85,78.5,0.0,5.0,0.0,29.0
92,4,12.0,0.0,0.0,23.0,0.0,8,0,0,0,0,0,0,69.4313,64.5,78.15,0.0,5.0,0.0,29.0
93,5,13.0,1.0,0.0,23.0,0.0,8,0,0,0,0,0,0,69.0438,64.15,77.8,0.0,5.0,0.0,29.0
94,5,13.0,0.0,0.0,23.0,0.0,7,0,1,0,0,0,0,68.7188,63.8,77.45,0.0,5.0,1.0,30.0
95,6,14.0,1.0,0.0,23.0,0.0,7,0,1,0,0,0,0,68.4188,63.45,77.1,1.0,6.0,2.0,32.0
96,6,13.0,0.0,1.0,24.0,0.0,6,1,1,0,0,0,0,68.075,63.1,76.75,0.0,6.0,1.0,33.0
97,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,67.6688,62.75,76.4,0.0,6.0,0.0,33.0
98,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,67.225,62.4,75.9,0.0,6.0,0.0,33.0
99,6,14.0,1.0,0.0,24.0,0.0,8,0,0,0,0,0,0,66.7813,62.05,75.4,0.0,6.0,0.0,33.0
100,6,14.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,66.3,61.55,74.9,0.0,6.0,0.0,33.0
101,6,14.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,65.8188,61.05,74.4,0.0,6.0,0.0,33.0
102,6,14.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,65.3375,60.55,73.9,0.0,6.0,0.0,33.0
103,7,14.0,1.0,1.0,25.0,0.0,7,1,0,0,0,0,0,64.8563,60.05,73.4,0.0,6.0,0.0,33.0
104,6,13.0,0.0,1.0,26.0,0.0,7,1,0,0,0,0,0,64.3938,59.55,72.9,0.0,6.0,0.0,33.0
105,6,14.0,1.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.95,59.05,72.4,0.0,6.0,0.0,33.0
106,6,14.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.5063,58.55,71.9,0.0,6.0,0.0,33.0
107,8,16.0,2.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.0625,58.05,71.4,0.0,6.0,0.0,33.0
108,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,62.6188,57.55,70.9,0.0,6.0,0.0,33.0
109,8,15.0,0.0,1.0,27.0,0.0,7,1,0,0,0,0,0,62.1563,57.05,70.4,0.0,6.0,0.0,33.0
110,7,14.0,0.0,1.0,28.0,0.0,6,1,1,0,0,0,0,61.7563,56.55,70.05,0.0,6.0,1.0,34.0
111,6,13.0,0.0,1.0,29.0,0.0,7,1,0,0,0,0,0,61.3313,56.05,69.7,0.0,6.0,0.0,34.0
112,5,13.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,60.925,55.55,69.35,0.0,6.0,0.0,34.0
113,5,13.0,0.0,0.0,29.0,0.0,8,0,0,0,0,0,0,60.5188,55.05,69.0,0.0,6.0,0.0,34.0
114,5,12.0,0.0,1.0,30.0,0.0,7,1,0,0,0,0,0,60.1125,54.55,68.65,0.0,6.0,0.0,34.0
115,7,15.0,3.0,0.0,30.0,0.0,8,0,0,0,0,0,0,59.725,54.05,68.3,0.0,6.0,0.0,34.0
116,7,15.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,59.3375,53.55,67.95,0.0,6.0,0.0,34.0
117,7,15.0,0.0,0.0,30.0,0.0,7,0,1,0,0,0,0,58.9938,53.05,67.6,0.0,6.0,1.0,35.0
118,7,15.0,0.0,0.0,30.0,0.0,7,0,1,0,0,0,0,58.6938,52.55,67.25,1.0,7.0,2.0,37.0
119,7,15.0,0.0,0.0,30.0,0.0,6,0,2,0,0,0,0,58.3938,52.05,67.25,0.0,7.0,2.0,39.0
120,7,15.0,0.0,0.0,30.0,0.0,7,0,1,0,0,0,0,58.0563,51.55,67.25,1.0,8.0,2.0,41.0
121,8,16.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.6125,51.05,66.9,0.0,8.0,0.0,41.0
122,8,16.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.15,50.55,66.55,0.0,8.0,0.0,41.0
123,9,17.0,1.0,0.0,30.0,0.0,8,0,0,0,0,0,0,56.6875,50.05,66.2,0.0,8.0,0.0,41.0
124,9,15.0,0.0,2.0,32.0,0.0,6,2,0,0,0,0,0,56.225,49.55,65.85,0.0,8.0,0.0,41.0
125,8,16.0,1.0,0.0,32.0,0.0,8,0,0,0,0,0,0,55.8,49.2,65.5,0.0,8.0,0.0,41.0
126,8,13.0,0.0,3.0,35.0,0.0,5,3,0,0,0,0,0,55.375,48.85,65.15,0.0,8.0,0.0,41.0
