tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7375,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.65,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.5333,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4042,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.2458,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.0875,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.9167,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.7208,95.65,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,1.0,1.0,0.0,5,7,0,0,0,0,0,98.4958,95.15,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.3125,94.65,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.1292,94.15,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,1.0,2.0,0.0,4,8,0,0,0,0,0,97.9458,93.65,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.7458,93.15,100.0,0.0,0.0,0.0,0.0
20,0,5.0,0.0,1.0,3.0,0.0,5,7,0,0,0,0,0,97.5458,92.65,100.0,0.0,0.0,0.0,0.0
21,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.3875,92.15,100.0,0.0,0.0,0.0,0.0
22,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.2292,91.65,100.0,0.0,0.0,0.0,0.0
23,0,6.0,1.0,0.0,3.0,0.0,6,6,0,0,0,0,0,97.0417,91.15,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,1.0,4.0,0.0,5,7,0,0,0,0,0,96.8542,90.65,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,6,0,0,0,0,0,96.6667,90.15,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,6,0,0,0,0,0,96.4542,89.65,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,5,0,0,0,0,0,96.2125,89.15,100.0,0.0,0.0,0.0,0.0
28,0,6.0,0.0,1.0,5.0,0.0,6,6,0,0,0,0,0,95.9583,88.65,100.0,0.0,0.0,0.0,0.0
29,0,6.0,0.0,0.0,5.0,0.0,6,6,0,0,0,0,0,95.7458,88.15,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,0.0,5.0,0.0,6,6,0,0,0,0,0,95.5208,87.65,100.0,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,7,5,0,0,0,0,0,95.2667,87.15,100.0,0.0,0.0,0.0,0.0
32,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,95.0125,86.65,100.0,0.0,0.0,0.0,0.0
33,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.7583,86.15,100.0,0.0,0.0,0.0,0.0
34,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.5042,85.65,100.0,0.0,0.0,0.0,0.0
35,0,9.0,2.0,0.0,5.0,0.0,8,3,1,0,0,0,0,94.2208,85.15,100.0,0.0,0.0,1.0,1.0
36,0,9.0,0.0,0.0,5.0,0.0,9,3,0,0,0,0,0,93.9375,84.65,100.0,1.0,1.0,1.0,2.0
37,0,10.0,1.0,0.0,5.0,0.0,10,2,0,0,0,0,0,93.5708,84.15,100.0,0.0,1.0,0.0,2.0
38,0,10.0,0.0,0.0,5.0,0.0,10,2,0,0,0,0,0,93.2042,83.65,100.0,0.0,1.0,0.0,2.0
39,0,10.0,0.0,0.0,5.0,0.0,10,2,0,0,0,0,0,92.8375,83.15,100.0,0.0,1.0,0.0,2.0
40,0,10.0,0.0,0.0,5.0,0.0,10,2,0,0,0,0,0,92.4583,82.65,100.0,0.0,1.0,0.0,2.0
41,0,8.0,0.0,2.0,7.0,0.0,7,4,1,0,0,0,0,92.1083,82.15,100.0,0.0,1.0,1.0,3.0
42,0,7.0,0.0,1.0,8.0,0.0,6,5,1,0,0,0,0,91.8417,82.15,100.0,0.0,1.0,1.0,4.0
43,0,9.0,2.0,0.0,8.0,0.0,7,3,2,0,0,0,0,91.6417,82.15,100.0,1.0,2.0,3.0,7.0
44,0,9.0,0.0,0.0,8.0,0.0,9,3,0,0,0,0,0,91.3708,82.15,100.0,1.0,3.0,1.0,8.0
45,0,10.0,1.0,0.0,8.0,0.0,10,2,0,0,0,0,0,91.0292,81.8,100.0,0.0,3.0,0.0,8.0
46,0,9.0,0.0,1.0,9.0,0.0,9,3,0,0,0,0,0,90.6875,81.45,100.0,0.0,3.0,0.0,8.0
47,0,8.0,0.0,1.0,10.0,0.0,7,4,1,0,0,0,0,90.4042,81.1,100.0,0.0,3.0,1.0,9.0
48,0,7.0,0.0,1.0,11.0,0.0,6,5,1,0,0,0,0,90.2042,80.75,100.0,1.0,4.0,2.0,11.0
49,0,5.0,0.0,2.0,13.0,0.0,5,7,0,0,0,0,0,89.975,80.4,100.0,0.0,4.0,0.0,11.0
50,0,5.0,0.0,0.0,13.0,0.0,5,7,0,0,0,0,0,89.8292,80.05,100.0,0.0,4.0,0.0,11.0
51,0,7.0,2.0,0.0,13.0,0.0,7,5,0,0,0,0,0,89.625,79.7,100.0,0.0,4.0,0.0,11.0
52,0,7.0,0.0,0.0,13.0,0.0,6,5,1,0,0,0,0,89.45,79.7,100.0,0.0,4.0,1.0,12.0
53,0,7.0,0.0,0.0,13.0,0.0,6,5,1,0,0,0,0,89.2458,79.7,100.0,1.0,5.0,1.0,13.0
54,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,89.0292,79.35,100.0,0.0,5.0,0.0,13.0
55,0,9.0,2.0,0.0,13.0,0.0,9,3,0,0,0,0,0,88.7542,79.0,100.0,0.0,5.0,0.0,13.0
56,0,8.0,0.0,1.0,14.0,0.0,8,4,0,0,0,0,0,88.4667,78.65,100.0,0.0,5.0,0.0,13.0
57,0,8.0,0.0,0.0,14.0,0.0,8,4,0,0,0,0,0,88.1833,78.3,100.0,0.0,5.0,0.0,13.0
58,0,8.0,0.0,0.0,14.0,0.0,8,4,0,0,0,0,0,87.9,77.95,100.0,0.0,5.0,0.0,13.0
59,0,9.0,1.0,0.0,14.0,0.0,9,3,0,0,0,0,0,87.5875,77.6,100.0,0.0,5.0,0.0,13.0
60,0,9.0,0.0,0.0,14.0,0.0,8,3,1,0,0,0,0,87.3042,77.25,100.0,0.0,5.0,1.0,14.0
61,0,8.0,0.0,1.0,15.0,0.0,8,4,0,0,0,0,0,86.9792,76.9,100.0,0.0,5.0,0.0,14.0
62,0,8.0,0.0,0.0,15.0,0.0,7,4,1,0,0,0,0,86.7125,76.4,100.0,0.0,5.0,1.0,15.0
