tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7375,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.65,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.5208,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.3917,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.2333,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.0625,96.35,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.8917,95.85,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.7208,95.35,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.4958,94.85,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.2708,94.35,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,7,0,0,0,0,0,98.0458,93.85,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,97.8625,93.35,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,5,0,0,0,0,0,97.6208,92.85,100.0,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,6,5,1,0,0,0,0,97.4208,92.6,100.0,0.0,0.0,1.0,1.0
21,0,7.0,0.0,0.0,1.0,0.0,6,5,1,0,0,0,0,97.2208,92.1,100.0,0.0,0.0,1.0,2.0
22,0,7.0,0.0,0.0,1.0,0.0,6,5,1,0,0,0,0,97.0625,92.1,100.0,1.0,1.0,2.0,4.0
23,0,8.0,1.0,0.0,1.0,0.0,8,4,0,0,0,0,0,96.7917,91.6,100.0,0.0,1.0,0.0,4.0
24,0,8.0,0.0,0.0,1.0,0.0,6,4,2,0,0,0,0,96.6042,91.6,100.0,0.0,1.0,2.0,6.0
25,0,9.0,1.0,0.0,1.0,0.0,8,3,1,0,0,0,0,96.3875,91.6,100.0,1.0,2.0,2.0,8.0
26,0,9.0,0.0,0.0,1.0,0.0,9,3,0,0,0,0,0,96.0875,91.1,100.0,0.0,2.0,0.0,8.0
27,0,10.0,1.0,0.0,1.0,0.0,9,2,1,0,0,0,0,95.8,90.6,100.0,0.0,2.0,1.0,9.0
28,0,10.0,0.0,0.0,1.0,0.0,10,2,0,0,0,0,0,95.4708,90.1,100.0,0.0,2.0,0.0,9.0
29,0,9.0,0.0,1.0,2.0,0.0,9,3,0,0,0,0,0,95.1417,89.6,100.0,0.0,2.0,0.0,9.0
30,0,9.0,0.0,0.0,2.0,0.0,9,3,0,0,0,0,0,94.8417,89.1,100.0,0.0,2.0,0.0,9.0
31,0,10.0,1.0,0.0,2.0,0.0,10,2,0,0,0,0,0,94.5,88.6,100.0,0.0,2.0,0.0,9.0
32,0,9.0,0.0,1.0,3.0,0.0,9,3,0,0,0,0,0,94.1583,88.1,100.0,0.0,2.0,0.0,9.0
33,0,9.0,0.0,0.0,3.0,0.0,9,3,0,0,0,0,0,93.8583,88.1,100.0,0.0,2.0,0.0,9.0
34,0,9.0,0.0,0.0,3.0,0.0,9,3,0,0,0,0,0,93.5583,88.1,100.0,0.0,2.0,0.0,9.0
35,0,11.0,2.0,0.0,3.0,0.0,11,1,0,0,0,0,0,93.175,87.75,100.0,0.0,2.0,0.0,9.0
36,0,11.0,0.0,0.0,3.0,0.0,11,1,0,0,0,0,0,92.7792,87.35,100.0,0.0,2.0,0.0,9.0
37,0,11.0,1.0,1.0,4.0,0.0,11,1,0,0,0,0,0,92.3542,86.85,99.65,0.0,2.0,0.0,9.0
38,0,11.0,0.0,0.0,4.0,0.0,11,1,0,0,0,0,0,91.9708,86.35,99.3,0.0,2.0,0.0,9.0
39,0,11.0,0.0,0.0,4.0,0.0,11,1,0,0,0,0,0,91.5875,85.85,98.95,0.0,2.0,0.0,9.0
40,0,10.0,0.0,1.0,5.0,0.0,10,2,0,0,0,0,0,91.1917,85.35,98.6,0.0,2.0,0.0,9.0
41,0,10.0,0.0,0.0,5.0,0.0,10,2,0,0,0,0,0,90.8375,85.35,98.25,0.0,2.0,0.0,9.0
42,0,10.0,0.0,0.0,5.0,0.0,10,2,0,0,0,0,0,90.4833,85.05,97.9,0.0,2.0,0.0,9.0
43,0,12.0,2.0,0.0,5.0,0.0,12,0,0,0,0,0,0,90.0708,84.55,97.55,0.0,2.0,0.0,9.0
44,0,11.0,0.0,1.0,6.0,0.0,11,1,0,0,0,0,0,89.6583,84.05,97.2,0.0,2.0,0.0,9.0
45,0,12.0,1.0,0.0,6.0,0.0,12,0,0,0,0,0,0,89.2583,83.55,96.85,0.0,2.0,0.0,9.0
46,0,12.0,0.0,0.0,6.0,0.0,12,0,0,0,0,0,0,88.8458,83.05,96.5,0.0,2.0,0.0,9.0
47,0,11.0,0.0,1.0,7.0,0.0,11,1,0,0,0,0,0,88.4333,82.55,96.15,0.0,2.0,0.0,9.0
48,0,9.0,0.0,2.0,9.0,0.0,9,3,0,0,0,0,0,88.0625,82.05,95.8,0.0,2.0,0.0,9.0
49,0,9.0,0.0,0.0,9.0,0.0,8,3,1,0,0,0,0,87.8167,82.05,95.45,0.0,2.0,1.0,10.0
50,0,9.0,0.0,0.0,9.0,0.0,8,3,1,0,0,0,0,87.6,82.05,95.1,1.0,3.0,2.0,12.0
51,0,10.0,2.0,1.0,10.0,0.0,10,2,0,0,0,0,0,87.2417,81.7,94.75,0.0,3.0,0.0,12.0
52,0,10.0,0.0,0.0,10.0,0.0,9,2,1,0,0,0,0,86.9417,81.35,94.4,0.0,3.0,1.0,13.0
53,0,10.0,0.0,0.0,10.0,0.0,10,2,0,0,0,0,0,86.6,81.0,93.9,0.0,3.0,0.0,13.0
54,0,10.0,0.0,0.0,10.0,0.0,8,2,2,0,0,0,0,86.3292,80.65,93.4,0.0,3.0,2.0,15.0
55,0,11.0,2.0,1.0,11.0,0.0,8,1,3,0,0,0,0,86.0292,80.3,92.9,0.0,3.0,3.0,18.0
56,0,11.0,0.0,0.0,11.0,0.0,10,1,1,0,0,0,0,85.7333,79.8,92.9,2.0,5.0,3.0,21.0
57,0,11.0,0.0,0.0,11.0,0.0,11,1,0,0,0,0,0,85.3375,79.3,92.9,0.0,5.0,0.0,21.0
58,0,11.0,0.0,0.0,11.0,0.0,10,1,1,0,0,0,0,84.9833,79.3,92.9,0.0,5.0,1.0,22.0
59,0,10.0,1.0,2.0,13.0,0.0,9,2,1,0,0,0,0,84.5875,78.8,92.55,0.0,5.0,1.0,23.0
60,0,9.0,0.0,1.0,14.0,0.0,8,3,1,0,0,0,0,84.2625,78.8,92.2,0.0,5.0,1.0,24.0
61,0,9.0,0.0,0.0,14.0,0.0,9,3,0,0,0,0,0,83.9792,78.5,91.85,1.0,6.0,1.0,25.0
62,0,9.0,0.0,0.0,14.0,0.0,8,3,1,0,0,0,0,83.6708,78.0,91.5,0.0,6.0,1.0,26.0
