run_id,tick,event_type,robot_id,task_id,details
20260903_113255_332f9b,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-04
20260903_113255_332f9b,3,task_assigned,R4,G00001,
20260903_113255_332f9b,5,task_created,,G00002,type=PICK pickup=B-02 dropoff=PICK-3
20260903_113255_332f9b,5,task_assigned,R7,G00002,
20260903_113255_332f9b,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_113255_332f9b,7,task_assigned,R5,G00003,
20260903_113255_332f9b,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113255_332f9b,9,task_assigned,R12,G00004,
20260903_113255_332f9b,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-06
20260903_113255_332f9b,11,task_assigned,R1,G00005,
20260903_113255_332f9b,14,task_completed,R12,G00004,
20260903_113255_332f9b,15,task_created,,G00006,type=PICK pickup=F-02 dropoff=PICK-2
20260903_113255_332f9b,15,task_assigned,R10,G00006,
20260903_113255_332f9b,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=H-06
20260903_113255_332f9b,19,task_assigned,R9,G00007,
20260903_113255_332f9b,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_113255_332f9b,19,task_assigned,R12,G00008,
20260903_113255_332f9b,21,task_completed,R5,G00003,
20260903_113255_332f9b,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113255_332f9b,23,task_assigned,R2,G00009,
20260903_113255_332f9b,25,task_created,,G00010,type=PICK pickup=H-06 dropoff=PICK-2
20260903_113255_332f9b,25,task_assigned,R11,G00010,
20260903_113255_332f9b,26,task_completed,R7,G00002,
20260903_113255_332f9b,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-03
20260903_113255_332f9b,27,task_assigned,R5,G00011,
20260903_113255_332f9b,28,task_completed,R4,G00001,
20260903_113255_332f9b,30,task_completed,R2,G00009,
20260903_113255_332f9b,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_113255_332f9b,31,task_assigned,R7,G00012,
20260903_113255_332f9b,32,task_completed,R10,G00006,
20260903_113255_332f9b,33,robot_blocked,R5,,"{""x"": 12, ""y"": 9}"
20260903_113255_332f9b,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_113255_332f9b,35,task_assigned,R4,G00013,
20260903_113255_332f9b,35,task_created,,G00014,type=PICK pickup=A-03 dropoff=PICK-2
20260903_113255_332f9b,35,task_assigned,R2,G00014,
20260903_113255_332f9b,37,task_completed,R1,G00005,
20260903_113255_332f9b,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113255_332f9b,37,task_assigned,R10,G00015,
20260903_113255_332f9b,39,task_completed,R9,G00007,
20260903_113255_332f9b,39,task_completed,R7,G00012,
20260903_113255_332f9b,43,task_completed,R11,G00010,
20260903_113255_332f9b,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=E-07
20260903_113255_332f9b,43,task_assigned,R1,G00016,
20260903_113255_332f9b,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_113255_332f9b,43,task_assigned,R7,G00017,
20260903_113255_332f9b,45,task_created,,G00018,type=PICK pickup=E-07 dropoff=PICK-2
20260903_113255_332f9b,45,task_assigned,R11,G00018,
20260903_113255_332f9b,46,task_completed,R10,G00015,
20260903_113255_332f9b,47,robot_blocked,R4,,"{""x"": 13, ""y"": 2}"
20260903_113255_332f9b,48,robot_blocked,R1,,"{""x"": 13, ""y"": 3}"
20260903_113255_332f9b,49,robot_blocked,R2,,"{""x"": 6, ""y"": 9}"
20260903_113255_332f9b,50,task_completed,R12,G00008,
20260903_113255_332f9b,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=F-07
20260903_113255_332f9b,51,task_assigned,R9,G00019,
20260903_113255_332f9b,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113255_332f9b,51,task_assigned,R10,G00020,
20260903_113255_332f9b,52,task_completed,R4,G00013,
20260903_113255_332f9b,55,task_completed,R7,G00017,
20260903_113255_332f9b,55,task_created,,G00021,type=PICK pickup=C-05 dropoff=PICK-3
20260903_113255_332f9b,55,task_assigned,R4,G00021,
20260903_113255_332f9b,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113255_332f9b,55,task_assigned,R12,G00022,
20260903_113255_332f9b,56,task_completed,R10,G00020,
20260903_113255_332f9b,57,robot_blocked,R9,,"{""x"": 15, ""y"": 4}"
20260903_113255_332f9b,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=G-06
20260903_113255_332f9b,59,task_assigned,R7,G00023,
20260903_113255_332f9b,65,task_created,,G00024,type=PICK pickup=A-03 dropoff=PICK-2
20260903_113255_332f9b,65,task_assigned,R10,G00024,
20260903_113255_332f9b,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113255_332f9b,65,task_assigned,R3,G00025,
20260903_113255_332f9b,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=E-06
20260903_113255_332f9b,67,task_assigned,R6,G00026,
20260903_113255_332f9b,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113255_332f9b,67,task_assigned,R8,G00027,
20260903_113255_332f9b,67,robot_blocked,R7,,"{""x"": 6, ""y"": 8}"
20260903_113255_332f9b,68,task_completed,R1,G00016,
20260903_113255_332f9b,68,task_completed,R12,G00022,
20260903_113255_332f9b,69,task_completed,R4,G00021,
20260903_113255_332f9b,74,task_completed,R11,G00018,
20260903_113255_332f9b,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260903_113255_332f9b,75,task_assigned,R11,G00028,
20260903_113255_332f9b,75,task_created,,G00029,type=PICK pickup=H-08 dropoff=PICK-3
20260903_113255_332f9b,75,task_assigned,R4,G00029,
20260903_113255_332f9b,79,task_completed,R5,G00011,
20260903_113255_332f9b,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_113255_332f9b,79,task_assigned,R1,G00030,
20260903_113255_332f9b,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113255_332f9b,79,task_assigned,R12,G00031,
20260903_113255_332f9b,79,robot_blocked,R6,,"{""x"": 13, ""y"": 16}"
20260903_113255_332f9b,79,robot_blocked,R10,,"{""x"": 6, ""y"": 5}"
20260903_113255_332f9b,80,task_completed,R3,G00025,
20260903_113255_332f9b,82,robot_blocked,R8,,"{""x"": 12, ""y"": 15}"
20260903_113255_332f9b,83,task_completed,R2,G00014,
20260903_113255_332f9b,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_113255_332f9b,83,task_assigned,R3,G00032,
20260903_113255_332f9b,85,task_created,,G00033,type=PICK pickup=F-04 dropoff=PICK-1
20260903_113255_332f9b,85,task_assigned,R2,G00033,
20260903_113255_332f9b,86,task_completed,R12,G00031,
20260903_113255_332f9b,87,robot_blocked,R3,,"{""x"": 13, ""y"": 12}"
20260903_113255_332f9b,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=H-08
20260903_113255_332f9b,91,task_assigned,R5,G00034,
20260903_113255_332f9b,91,task_created,,G00035,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_113255_332f9b,91,task_assigned,R12,G00035,
20260903_113255_332f9b,92,task_completed,R9,G00019,
20260903_113255_332f9b,92,task_completed,R4,G00029,
20260903_113255_332f9b,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113255_332f9b,93,task_assigned,R4,G00036,
20260903_113255_332f9b,94,task_completed,R11,G00028,
20260903_113255_332f9b,95,task_created,,G00037,type=PICK pickup=A-02 dropoff=PICK-1
20260903_113255_332f9b,95,task_assigned,R9,G00037,
20260903_113255_332f9b,96,task_completed,R7,G00023,
20260903_113255_332f9b,97,task_completed,R8,G00027,
20260903_113255_332f9b,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260903_113255_332f9b,99,task_assigned,R11,G00038,
20260903_113255_332f9b,102,task_completed,R2,G00033,
20260903_113255_332f9b,103,task_completed,R10,G00024,
20260903_113255_332f9b,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_113255_332f9b,103,task_assigned,R7,G00039,
20260903_113255_332f9b,105,task_completed,R1,G00030,
20260903_113255_332f9b,105,task_completed,R12,G00035,
