tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7375,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.65,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.5333,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4167,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.2583,96.7,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.075,96.2,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.8792,95.7,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,1.0,1.0,0.0,4,8,0,0,0,0,0,98.6833,95.2,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.5,94.7,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.3167,94.2,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,98.1333,93.7,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,7,0,0,0,0,0,97.95,93.2,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,5,0,0,0,0,0,97.7083,92.7,100.0,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,5,0,0,0,0,0,97.4667,92.2,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,1.0,2.0,0.0,6,6,0,0,0,0,0,97.225,91.7,100.0,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.025,91.2,100.0,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,5,0,0,0,0,0,96.7958,90.7,100.0,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,5,0,0,0,0,0,96.5667,90.2,100.0,0.0,0.0,0.0,0.0
25,0,8.0,1.0,0.0,2.0,0.0,8,4,0,0,0,0,0,96.3083,89.7,100.0,0.0,0.0,0.0,0.0
26,0,7.0,0.0,1.0,3.0,0.0,7,5,0,0,0,0,0,96.0375,89.2,100.0,0.0,0.0,0.0,0.0
27,0,8.0,1.0,0.0,3.0,0.0,8,4,0,0,0,0,0,95.7667,88.7,100.0,0.0,0.0,0.0,0.0
28,0,7.0,0.0,1.0,4.0,0.0,7,5,0,0,0,0,0,95.4708,88.2,100.0,0.0,0.0,0.0,0.0
29,0,7.0,0.0,0.0,4.0,0.0,7,5,0,0,0,0,0,95.2167,88.2,100.0,0.0,0.0,0.0,0.0
30,0,6.0,0.0,1.0,5.0,0.0,6,6,0,0,0,0,0,94.9625,88.2,100.0,0.0,0.0,0.0,0.0
31,0,7.0,1.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.6958,88.2,100.0,0.0,0.0,0.0,0.0
32,0,6.0,0.0,1.0,6.0,0.0,6,6,0,0,0,0,0,94.4292,88.2,100.0,0.0,0.0,0.0,0.0
33,0,6.0,0.0,0.0,6.0,0.0,5,6,1,0,0,0,0,94.2333,88.2,100.0,0.0,0.0,1.0,1.0
34,0,6.0,0.0,0.0,6.0,0.0,5,6,1,0,0,0,0,94.0375,88.05,100.0,1.0,1.0,1.0,2.0
35,0,8.0,2.0,0.0,6.0,0.0,8,4,0,0,0,0,0,93.725,87.55,100.0,0.0,1.0,0.0,2.0
36,0,8.0,0.0,0.0,6.0,0.0,8,4,0,0,0,0,0,93.4292,87.05,100.0,0.0,1.0,0.0,2.0
37,0,8.0,1.0,1.0,7.0,0.0,8,4,0,0,0,0,0,93.1042,86.55,100.0,0.0,1.0,0.0,2.0
38,0,8.0,0.0,0.0,7.0,0.0,8,4,0,0,0,0,0,92.8208,86.05,100.0,0.0,1.0,0.0,2.0
39,0,6.0,0.0,2.0,9.0,0.0,5,6,1,0,0,0,0,92.5667,85.55,100.0,0.0,1.0,1.0,3.0
40,0,6.0,0.0,0.0,9.0,0.0,6,6,0,0,0,0,0,92.3667,85.55,100.0,0.0,1.0,0.0,3.0
41,0,6.0,0.0,0.0,9.0,0.0,6,6,0,0,0,0,0,92.1667,85.55,100.0,0.0,1.0,0.0,3.0
42,0,6.0,0.0,0.0,9.0,0.0,6,6,0,0,0,0,0,91.9667,85.4,100.0,0.0,1.0,0.0,3.0
43,0,7.0,2.0,1.0,10.0,0.0,7,5,0,0,0,0,0,91.7083,85.05,100.0,0.0,1.0,0.0,3.0
44,0,7.0,0.0,0.0,10.0,0.0,7,5,0,0,0,0,0,91.4667,84.55,100.0,0.0,1.0,0.0,3.0
45,0,8.0,1.0,0.0,10.0,0.0,8,4,0,0,0,0,0,91.1833,84.05,100.0,0.0,1.0,0.0,3.0
46,0,7.0,0.0,1.0,11.0,0.0,7,5,0,0,0,0,0,90.9,83.55,100.0,0.0,1.0,0.0,3.0
47,0,7.0,0.0,0.0,11.0,0.0,6,5,1,0,0,0,0,90.7,83.55,100.0,0.0,1.0,1.0,4.0
48,0,7.0,0.0,0.0,11.0,0.0,6,5,1,0,0,0,0,90.5292,83.45,100.0,1.0,2.0,2.0,6.0
49,0,7.0,0.0,0.0,11.0,0.0,6,5,1,0,0,0,0,90.3167,83.05,100.0,0.0,2.0,1.0,7.0
50,0,6.0,0.0,1.0,12.0,0.0,5,6,1,0,0,0,0,90.0917,82.55,100.0,0.0,2.0,1.0,8.0
51,0,8.0,2.0,0.0,12.0,0.0,8,4,0,0,0,0,0,89.8208,82.05,100.0,0.0,2.0,0.0,8.0
52,0,7.0,0.0,1.0,13.0,0.0,7,5,0,0,0,0,0,89.55,81.55,100.0,0.0,2.0,0.0,8.0
53,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,89.3083,81.1,100.0,0.0,2.0,0.0,8.0
54,0,7.0,0.0,0.0,13.0,0.0,6,5,1,0,0,0,0,89.0958,80.6,100.0,0.0,2.0,1.0,9.0
55,0,8.0,2.0,1.0,14.0,0.0,7,4,1,0,0,0,0,88.825,80.1,100.0,0.0,2.0,1.0,10.0
56,0,7.0,0.0,1.0,15.0,0.0,7,5,0,0,0,0,0,88.5542,80.1,100.0,0.0,2.0,0.0,10.0
57,0,7.0,0.0,0.0,15.0,0.0,6,5,1,0,0,0,0,88.3417,80.1,100.0,0.0,2.0,1.0,11.0
58,0,7.0,0.0,0.0,15.0,0.0,5,5,2,0,0,0,0,88.1583,80.0,100.0,0.0,2.0,2.0,13.0
59,0,8.0,1.0,0.0,15.0,0.0,7,4,1,0,0,0,0,87.9458,79.5,100.0,1.0,3.0,2.0,15.0
60,0,8.0,0.0,0.0,15.0,0.0,8,4,0,0,0,0,0,87.65,79.0,100.0,0.0,3.0,0.0,15.0
61,0,8.0,0.0,0.0,15.0,0.0,7,4,1,0,0,0,0,87.4375,78.5,100.0,0.0,3.0,1.0,16.0
62,0,8.0,0.0,0.0,15.0,0.0,6,4,2,0,0,0,0,87.2542,78.0,100.0,1.0,4.0,3.0,19.0
