tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7375,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.65,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.5333,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4167,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.2458,96.7,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.075,96.2,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.8917,95.7,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.6958,95.2,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.4708,94.7,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,2.0,2.0,0.0,4,8,0,0,0,0,0,98.2458,94.2,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.1042,94.2,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,97.9625,94.2,100.0,0.0,0.0,0.0,0.0
19,0,5.0,2.0,1.0,3.0,0.0,5,7,0,0,0,0,0,97.7625,93.7,100.0,0.0,0.0,0.0,0.0
20,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.6042,93.2,100.0,0.0,0.0,0.0,0.0
21,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.4333,92.7,100.0,0.0,0.0,0.0,0.0
22,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.2625,92.2,100.0,0.0,0.0,0.0,0.0
23,0,6.0,1.0,0.0,3.0,0.0,6,6,0,0,0,0,0,97.0625,91.7,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,1.0,4.0,0.0,5,7,0,0,0,0,0,96.8625,91.2,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,5,6,1,0,0,0,0,96.6917,91.2,100.0,0.0,0.0,1.0,1.0
26,0,6.0,0.0,0.0,4.0,0.0,5,6,1,0,0,0,0,96.5208,91.2,100.0,0.0,0.0,1.0,2.0
27,0,7.0,1.0,0.0,4.0,0.0,6,5,1,0,0,0,0,96.3625,90.85,100.0,1.0,1.0,2.0,4.0
28,0,7.0,0.0,0.0,4.0,0.0,7,5,0,0,0,0,0,96.1083,90.5,100.0,0.0,1.0,0.0,4.0
29,0,7.0,0.0,0.0,4.0,0.0,7,5,0,0,0,0,0,95.8542,90.15,100.0,0.0,1.0,0.0,4.0
30,0,6.0,0.0,1.0,5.0,0.0,6,6,0,0,0,0,0,95.6,89.8,100.0,0.0,1.0,0.0,4.0
31,0,7.0,1.0,0.0,5.0,0.0,6,5,1,0,0,0,0,95.4,89.45,100.0,0.0,1.0,1.0,5.0
32,0,7.0,0.0,0.0,5.0,0.0,6,5,1,0,0,0,0,95.2,89.1,100.0,0.0,1.0,1.0,6.0
33,0,6.0,0.0,1.0,6.0,0.0,5,6,1,0,0,0,0,95.0417,88.75,100.0,1.0,2.0,2.0,8.0
34,0,6.0,0.0,0.0,6.0,0.0,6,6,0,0,0,0,0,94.8417,88.4,100.0,0.0,2.0,0.0,8.0
35,0,8.0,2.0,0.0,6.0,0.0,8,4,0,0,0,0,0,94.5708,87.9,100.0,0.0,2.0,0.0,8.0
36,0,8.0,0.0,0.0,6.0,0.0,6,4,2,0,0,0,0,94.3708,87.4,100.0,0.0,2.0,2.0,10.0
37,0,9.0,1.0,0.0,6.0,0.0,8,3,1,0,0,0,0,94.1167,86.9,100.0,1.0,3.0,2.0,12.0
38,0,9.0,0.0,0.0,6.0,0.0,9,3,0,0,0,0,0,93.7792,86.4,100.0,0.0,3.0,0.0,12.0
39,0,9.0,0.0,0.0,6.0,0.0,9,3,0,0,0,0,0,93.4417,85.9,100.0,0.0,3.0,0.0,12.0
40,0,9.0,0.0,0.0,6.0,0.0,9,3,0,0,0,0,0,93.0917,85.4,100.0,0.0,3.0,0.0,12.0
41,0,8.0,0.0,1.0,7.0,0.0,7,4,1,0,0,0,0,92.7708,84.9,100.0,0.0,3.0,1.0,13.0
42,0,7.0,0.0,1.0,8.0,0.0,6,5,1,0,0,0,0,92.5042,84.9,100.0,0.0,3.0,1.0,14.0
43,0,8.0,2.0,1.0,9.0,0.0,6,4,2,0,0,0,0,92.25,84.55,100.0,0.0,3.0,2.0,16.0
44,0,8.0,0.0,0.0,9.0,0.0,7,4,1,0,0,0,0,92.0375,84.2,100.0,1.0,4.0,2.0,18.0
45,0,8.0,1.0,1.0,10.0,0.0,8,4,0,0,0,0,0,91.725,83.85,100.0,0.0,4.0,0.0,18.0
46,0,8.0,0.0,0.0,10.0,0.0,7,4,1,0,0,0,0,91.4958,83.5,100.0,0.0,4.0,1.0,19.0
47,0,8.0,0.0,0.0,10.0,0.0,6,4,2,0,0,0,0,91.3083,83.15,100.0,0.0,4.0,2.0,21.0
48,0,8.0,0.0,0.0,10.0,0.0,7,4,1,0,0,0,0,91.05,82.8,100.0,1.0,5.0,1.0,22.0
49,0,7.0,0.0,1.0,11.0,0.0,7,5,0,0,0,0,0,90.7792,82.45,100.0,0.0,5.0,0.0,22.0
50,0,6.0,0.0,1.0,12.0,0.0,6,6,0,0,0,0,0,90.525,82.1,100.0,0.0,5.0,0.0,22.0
51,0,8.0,2.0,0.0,12.0,0.0,7,4,1,0,0,0,0,90.2833,81.75,100.0,0.0,5.0,1.0,23.0
52,0,8.0,0.0,0.0,12.0,0.0,6,4,2,0,0,0,0,90.0708,81.4,100.0,0.0,5.0,2.0,25.0
53,0,7.0,0.0,1.0,13.0,0.0,6,5,1,0,0,0,0,89.8583,81.05,100.0,1.0,6.0,2.0,27.0
54,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,89.6042,80.55,100.0,0.0,6.0,0.0,27.0
55,0,9.0,2.0,0.0,13.0,0.0,7,3,2,0,0,0,0,89.35,80.05,100.0,0.0,6.0,2.0,29.0
56,0,8.0,0.0,1.0,14.0,0.0,5,4,3,0,0,0,0,89.1125,79.55,100.0,0.0,6.0,3.0,32.0
57,0,8.0,0.0,0.0,14.0,0.0,6,4,2,0,0,0,0,88.9167,79.05,100.0,1.0,7.0,3.0,35.0
58,0,8.0,0.0,0.0,14.0,0.0,7,4,1,0,0,0,0,88.6625,78.55,100.0,0.0,7.0,1.0,36.0
59,0,9.0,1.0,0.0,14.0,0.0,8,3,1,0,0,0,0,88.3917,78.05,100.0,0.0,7.0,1.0,37.0
60,0,9.0,0.0,0.0,14.0,0.0,8,3,1,0,0,0,0,88.15,77.55,100.0,1.0,8.0,2.0,39.0
61,0,8.0,0.0,1.0,15.0,0.0,8,4,0,0,0,0,0,87.8375,77.05,100.0,0.0,8.0,0.0,39.0
62,0,8.0,0.0,0.0,15.0,0.0,8,4,0,0,0,0,0,87.5667,76.55,100.0,0.0,8.0,0.0,39.0
