run_id,tick,event_type,robot_id,task_id,details
20260903_113257_e10b6f,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260903_113257_e10b6f,3,task_assigned,R3,G00001,
20260903_113257_e10b6f,5,task_created,,G00002,type=PICK pickup=A-02 dropoff=PICK-1
20260903_113257_e10b6f,5,task_assigned,R1,G00002,
20260903_113257_e10b6f,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_113257_e10b6f,7,task_assigned,R4,G00003,
20260903_113257_e10b6f,9,task_completed,R3,G00001,
20260903_113257_e10b6f,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113257_e10b6f,9,task_assigned,R11,G00004,
20260903_113257_e10b6f,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_113257_e10b6f,11,task_assigned,R12,G00005,
20260903_113257_e10b6f,15,task_completed,R11,G00004,
20260903_113257_e10b6f,15,task_created,,G00006,type=PICK pickup=G-07 dropoff=PICK-2
20260903_113257_e10b6f,15,task_assigned,R3,G00006,
20260903_113257_e10b6f,18,task_completed,R12,G00005,
20260903_113257_e10b6f,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=H-08
20260903_113257_e10b6f,19,task_assigned,R12,G00007,
20260903_113257_e10b6f,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_113257_e10b6f,19,task_assigned,R10,G00008,
20260903_113257_e10b6f,21,task_completed,R1,G00002,
20260903_113257_e10b6f,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113257_e10b6f,23,task_assigned,R11,G00009,
20260903_113257_e10b6f,25,task_completed,R4,G00003,
20260903_113257_e10b6f,25,task_created,,G00010,type=PICK pickup=C-03 dropoff=PICK-3
20260903_113257_e10b6f,25,task_assigned,R9,G00010,
20260903_113257_e10b6f,27,task_completed,R3,G00006,
20260903_113257_e10b6f,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-05
20260903_113257_e10b6f,27,task_assigned,R6,G00011,
20260903_113257_e10b6f,28,task_completed,R11,G00009,
20260903_113257_e10b6f,28,robot_blocked,R10,,"{""x"": 4, ""y"": 9}"
20260903_113257_e10b6f,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_113257_e10b6f,31,task_assigned,R3,G00012,
20260903_113257_e10b6f,34,robot_blocked,R12,,"{""x"": 19, ""y"": 3}"
20260903_113257_e10b6f,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260903_113257_e10b6f,35,task_assigned,R4,G00013,
20260903_113257_e10b6f,35,task_created,,G00014,type=PICK pickup=B-02 dropoff=PICK-1
20260903_113257_e10b6f,35,task_assigned,R1,G00014,
20260903_113257_e10b6f,36,task_completed,R3,G00012,
20260903_113257_e10b6f,37,task_completed,R6,G00011,
20260903_113257_e10b6f,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113257_e10b6f,37,task_assigned,R11,G00015,
20260903_113257_e10b6f,39,robot_blocked,R4,,"{""x"": 12, ""y"": 10}"
20260903_113257_e10b6f,40,task_completed,R9,G00010,
20260903_113257_e10b6f,42,task_completed,R11,G00015,
20260903_113257_e10b6f,43,task_completed,R12,G00007,
20260903_113257_e10b6f,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=D-02
20260903_113257_e10b6f,43,task_assigned,R6,G00016,
20260903_113257_e10b6f,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_113257_e10b6f,43,task_assigned,R3,G00017,
20260903_113257_e10b6f,45,task_completed,R10,G00008,
20260903_113257_e10b6f,45,task_created,,G00018,type=PICK pickup=E-02 dropoff=PICK-1
20260903_113257_e10b6f,45,task_assigned,R11,G00018,
20260903_113257_e10b6f,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260903_113257_e10b6f,51,task_assigned,R10,G00019,
20260903_113257_e10b6f,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113257_e10b6f,51,task_assigned,R7,G00020,
20260903_113257_e10b6f,51,robot_blocked,R1,,"{""x"": 4, ""y"": 7}"
20260903_113257_e10b6f,55,task_created,,G00021,type=PICK pickup=H-08 dropoff=PICK-1
20260903_113257_e10b6f,55,task_assigned,R12,G00021,
20260903_113257_e10b6f,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113257_e10b6f,55,task_assigned,R9,G00022,
20260903_113257_e10b6f,56,task_completed,R4,G00013,
20260903_113257_e10b6f,56,task_completed,R1,G00014,
20260903_113257_e10b6f,57,task_completed,R7,G00020,
20260903_113257_e10b6f,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=E-05
20260903_113257_e10b6f,59,task_assigned,R1,G00023,
20260903_113257_e10b6f,61,robot_blocked,R9,,"{""x"": 14, ""y"": 8}"
20260903_113257_e10b6f,62,robot_blocked,R3,,"{""x"": 13, ""y"": 8}"
20260903_113257_e10b6f,65,task_created,,G00024,type=PICK pickup=C-05 dropoff=PICK-1
20260903_113257_e10b6f,65,task_assigned,R4,G00024,
20260903_113257_e10b6f,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113257_e10b6f,65,task_assigned,R7,G00025,
20260903_113257_e10b6f,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=F-08
20260903_113257_e10b6f,67,task_assigned,R8,G00026,
20260903_113257_e10b6f,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_113257_e10b6f,67,task_assigned,R5,G00027,
20260903_113257_e10b6f,69,task_completed,R6,G00016,
20260903_113257_e10b6f,70,task_completed,R3,G00017,
20260903_113257_e10b6f,70,task_completed,R7,G00025,
20260903_113257_e10b6f,72,robot_blocked,R8,,"{""x"": 22, ""y"": 4}"
20260903_113257_e10b6f,75,task_completed,R11,G00018,
20260903_113257_e10b6f,75,task_completed,R1,G00023,
20260903_113257_e10b6f,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=C-08
20260903_113257_e10b6f,75,task_assigned,R6,G00028,
20260903_113257_e10b6f,75,task_created,,G00029,type=PICK pickup=B-06 dropoff=PICK-2
20260903_113257_e10b6f,75,task_assigned,R3,G00029,
20260903_113257_e10b6f,76,task_completed,R10,G00019,
20260903_113257_e10b6f,77,task_completed,R9,G00022,
20260903_113257_e10b6f,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_113257_e10b6f,79,task_assigned,R9,G00030,
20260903_113257_e10b6f,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113257_e10b6f,79,task_assigned,R7,G00031,
20260903_113257_e10b6f,81,task_completed,R12,G00021,
20260903_113257_e10b6f,83,task_completed,R4,G00024,
