tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8708,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.6,97.3,100.0,0.0,0.0,0.0,0.0
9,0,3.0,1.0,1.0,1.0,0.0,3,9,0,0,0,0,0,99.4708,96.8,100.0,0.0,0.0,0.0,0.0
10,0,3.0,0.0,0.0,1.0,0.0,3,9,0,0,0,0,0,99.3833,96.8,100.0,0.0,0.0,0.0,0.0
11,0,4.0,1.0,0.0,1.0,0.0,4,8,0,0,0,0,0,99.2667,96.8,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,0.0,1.0,0.0,4,8,0,0,0,0,0,99.1375,96.8,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,0.0,1.0,0.0,4,8,0,0,0,0,0,98.9833,96.7,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,0.0,1.0,0.0,4,8,0,0,0,0,0,98.8167,96.2,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,1.0,2.0,0.0,4,8,0,0,0,0,0,98.6208,95.7,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.4667,95.2,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.3125,94.7,100.0,0.0,0.0,0.0,0.0
18,0,3.0,0.0,1.0,3.0,0.0,3,9,0,0,0,0,0,98.1583,94.2,100.0,0.0,0.0,0.0,0.0
19,0,5.0,2.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.9875,93.7,100.0,0.0,0.0,0.0,0.0
20,0,5.0,0.0,0.0,3.0,0.0,5,7,0,0,0,0,0,97.8042,93.2,100.0,0.0,0.0,0.0,0.0
21,0,4.0,0.0,1.0,4.0,0.0,4,8,0,0,0,0,0,97.6208,92.7,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,0.0,4.0,0.0,4,8,0,0,0,0,0,97.4792,92.7,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,7,0,0,0,0,0,97.3083,92.25,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,7,0,0,0,0,0,97.125,91.75,100.0,0.0,0.0,0.0,0.0
25,0,5.0,1.0,1.0,5.0,0.0,5,7,0,0,0,0,0,96.9125,91.25,100.0,0.0,0.0,0.0,0.0
26,0,5.0,0.0,0.0,5.0,0.0,5,7,0,0,0,0,0,96.7292,91.25,100.0,0.0,0.0,0.0,0.0
27,0,5.0,1.0,1.0,6.0,0.0,5,7,0,0,0,0,0,96.5167,91.05,100.0,0.0,0.0,0.0,0.0
28,0,4.0,0.0,1.0,7.0,0.0,3,8,1,0,0,0,0,96.375,91.05,100.0,0.0,0.0,1.0,1.0
29,0,4.0,0.0,0.0,7.0,0.0,3,8,1,0,0,0,0,96.275,91.05,100.0,1.0,1.0,1.0,2.0
30,0,4.0,0.0,0.0,7.0,0.0,4,8,0,0,0,0,0,96.1167,91.05,100.0,0.0,1.0,0.0,2.0
31,0,5.0,1.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.9333,90.55,100.0,0.0,1.0,0.0,2.0
32,0,5.0,0.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.75,90.05,100.0,0.0,1.0,0.0,2.0
33,0,5.0,0.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.5417,89.55,100.0,0.0,1.0,0.0,2.0
34,0,5.0,0.0,0.0,7.0,0.0,4,7,1,0,0,0,0,95.375,89.05,100.0,0.0,1.0,1.0,3.0
35,0,7.0,2.0,0.0,7.0,0.0,6,5,1,0,0,0,0,95.15,88.55,100.0,0.0,1.0,1.0,4.0
36,0,6.0,0.0,1.0,8.0,0.0,6,6,0,0,0,0,0,94.925,88.05,100.0,1.0,2.0,1.0,5.0
37,0,6.0,1.0,1.0,9.0,0.0,6,6,0,0,0,0,0,94.6708,88.05,100.0,0.0,2.0,0.0,5.0
38,0,6.0,0.0,0.0,9.0,0.0,6,6,0,0,0,0,0,94.4583,88.05,100.0,0.0,2.0,0.0,5.0
39,0,6.0,0.0,0.0,9.0,0.0,5,6,1,0,0,0,0,94.275,88.05,100.0,0.0,2.0,1.0,6.0
40,0,5.0,0.0,1.0,10.0,0.0,5,7,0,0,0,0,0,94.05,87.7,100.0,0.0,2.0,0.0,6.0
41,0,5.0,0.0,0.0,10.0,0.0,5,7,0,0,0,0,0,93.8667,87.2,100.0,0.0,2.0,0.0,6.0
42,0,4.0,0.0,1.0,11.0,0.0,4,8,0,0,0,0,0,93.6833,86.7,100.0,0.0,2.0,0.0,6.0
43,0,5.0,2.0,1.0,12.0,0.0,5,7,0,0,0,0,0,93.4708,86.2,100.0,0.0,2.0,0.0,6.0
44,0,5.0,0.0,0.0,12.0,0.0,5,7,0,0,0,0,0,93.3,86.2,100.0,0.0,2.0,0.0,6.0
45,0,5.0,1.0,1.0,13.0,0.0,5,7,0,0,0,0,0,93.1,86.2,100.0,0.0,2.0,0.0,6.0
46,0,5.0,0.0,0.0,13.0,0.0,5,7,0,0,0,0,0,92.9417,86.2,100.0,0.0,2.0,0.0,6.0
47,0,5.0,0.0,0.0,13.0,0.0,5,7,0,0,0,0,0,92.7833,86.2,100.0,0.0,2.0,0.0,6.0
48,0,5.0,0.0,0.0,13.0,0.0,5,7,0,0,0,0,0,92.625,85.95,100.0,0.0,2.0,0.0,6.0
49,0,5.0,0.0,0.0,13.0,0.0,5,7,0,0,0,0,0,92.4667,85.6,100.0,0.0,2.0,0.0,6.0
50,0,5.0,0.0,0.0,13.0,0.0,5,7,0,0,0,0,0,92.2958,85.25,100.0,0.0,2.0,0.0,6.0
51,0,7.0,2.0,0.0,13.0,0.0,6,5,1,0,0,0,0,92.1083,84.9,100.0,0.0,2.0,1.0,7.0
52,0,7.0,0.0,0.0,13.0,0.0,6,5,1,0,0,0,0,91.9208,84.55,100.0,0.0,2.0,1.0,8.0
53,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,91.7208,84.05,100.0,1.0,3.0,1.0,9.0
54,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,91.4792,83.55,100.0,0.0,3.0,0.0,9.0
55,0,9.0,2.0,0.0,13.0,0.0,9,3,0,0,0,0,0,91.1542,83.05,100.0,0.0,3.0,0.0,9.0
56,0,7.0,0.0,2.0,15.0,0.0,7,5,0,0,0,0,0,90.8292,82.55,100.0,0.0,3.0,0.0,9.0
57,0,6.0,0.0,1.0,16.0,0.0,6,6,0,0,0,0,0,90.575,82.05,100.0,0.0,3.0,0.0,9.0
58,0,6.0,0.0,0.0,16.0,0.0,6,6,0,0,0,0,0,90.3625,81.55,100.0,0.0,3.0,0.0,9.0
59,0,7.0,1.0,0.0,16.0,0.0,7,5,0,0,0,0,0,90.1208,81.05,100.0,0.0,3.0,0.0,9.0
60,0,7.0,0.0,0.0,16.0,0.0,7,5,0,0,0,0,0,89.8792,80.55,100.0,0.0,3.0,0.0,9.0
61,0,7.0,0.0,0.0,16.0,0.0,5,5,2,0,0,0,0,89.6958,80.05,100.0,0.0,3.0,2.0,11.0
62,0,7.0,0.0,0.0,16.0,0.0,6,5,1,0,0,0,0,89.525,80.05,100.0,1.0,4.0,2.0,13.0
