tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8125,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.6,97.75,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4583,97.25,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.3167,96.75,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.1333,96.25,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.95,95.75,100.0,0.0,0.0,0.0,0.0
13,0,3.0,0.0,2.0,2.0,0.0,3,9,0,0,0,0,0,98.7542,95.25,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,0.0,2.0,0.0,3,9,0,0,0,0,0,98.6417,95.15,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.5,94.65,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.3583,94.15,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.2167,93.65,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.075,93.15,100.0,0.0,0.0,0.0,0.0
19,0,4.0,2.0,2.0,4.0,0.0,4,8,0,0,0,0,0,97.875,92.65,100.0,0.0,0.0,0.0,0.0
20,0,4.0,0.0,0.0,4.0,0.0,4,8,0,0,0,0,0,97.7583,92.65,100.0,0.0,0.0,0.0,0.0
21,0,4.0,0.0,0.0,4.0,0.0,4,8,0,0,0,0,0,97.6417,92.65,100.0,0.0,0.0,0.0,0.0
22,0,4.0,0.0,0.0,4.0,0.0,4,8,0,0,0,0,0,97.525,92.65,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,7,0,0,0,0,0,97.3792,92.65,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,7,0,0,0,0,0,97.2333,92.65,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,6,0,0,0,0,0,97.0458,92.65,100.0,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,6,0,0,0,0,0,96.8458,92.15,100.0,0.0,0.0,0.0,0.0
27,0,7.0,1.0,0.0,4.0,0.0,7,5,0,0,0,0,0,96.5917,91.65,100.0,0.0,0.0,0.0,0.0
28,0,7.0,0.0,0.0,4.0,0.0,6,5,1,0,0,0,0,96.3792,91.15,100.0,0.0,0.0,1.0,1.0
29,0,7.0,0.0,0.0,4.0,0.0,6,5,1,0,0,0,0,96.1375,90.65,100.0,1.0,1.0,1.0,2.0
30,0,6.0,0.0,1.0,5.0,0.0,6,6,0,0,0,0,0,95.8708,90.15,100.0,0.0,1.0,0.0,2.0
31,0,7.0,1.0,0.0,5.0,0.0,7,5,0,0,0,0,0,95.6167,89.65,100.0,0.0,1.0,0.0,2.0
32,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,95.3625,89.15,100.0,0.0,1.0,0.0,2.0
33,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,95.1083,88.65,100.0,0.0,1.0,0.0,2.0
34,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.8542,88.15,100.0,0.0,1.0,0.0,2.0
35,0,9.0,2.0,0.0,5.0,0.0,9,3,0,0,0,0,0,94.5417,87.65,100.0,0.0,1.0,0.0,2.0
36,0,9.0,0.0,0.0,5.0,0.0,9,3,0,0,0,0,0,94.2292,87.15,100.0,0.0,1.0,0.0,2.0
37,0,9.0,1.0,1.0,6.0,0.0,9,3,0,0,0,0,0,93.8875,86.65,100.0,0.0,1.0,0.0,2.0
38,0,9.0,0.0,0.0,6.0,0.0,9,3,0,0,0,0,0,93.5875,86.15,100.0,0.0,1.0,0.0,2.0
39,0,9.0,0.0,0.0,6.0,0.0,9,3,0,0,0,0,0,93.275,85.65,100.0,0.0,1.0,0.0,2.0
40,0,9.0,0.0,0.0,6.0,0.0,8,3,1,0,0,0,0,93.0042,85.15,100.0,0.0,1.0,1.0,3.0
41,0,8.0,0.0,1.0,7.0,0.0,6,4,2,0,0,0,0,92.7458,85.15,100.0,1.0,2.0,2.0,5.0
42,0,8.0,0.0,0.0,7.0,0.0,7,4,1,0,0,0,0,92.4917,85.15,100.0,0.0,2.0,1.0,6.0
43,0,10.0,2.0,0.0,7.0,0.0,7,2,3,0,0,0,0,92.2917,85.15,100.0,1.0,3.0,4.0,10.0
44,0,9.0,0.0,1.0,8.0,0.0,8,3,1,0,0,0,0,91.9667,84.65,100.0,0.0,3.0,1.0,11.0
45,0,10.0,1.0,0.0,8.0,0.0,9,2,1,0,0,0,0,91.6417,84.15,100.0,0.0,3.0,1.0,12.0
46,0,9.0,0.0,1.0,9.0,0.0,9,3,0,0,0,0,0,91.275,83.65,100.0,0.0,3.0,0.0,12.0
47,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,90.95,83.15,100.0,0.0,3.0,0.0,12.0
48,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,90.625,82.65,100.0,0.0,3.0,0.0,12.0
49,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,90.3,82.15,100.0,0.0,3.0,0.0,12.0
50,0,9.0,0.0,0.0,9.0,0.0,9,3,0,0,0,0,0,89.9625,81.65,100.0,0.0,3.0,0.0,12.0
51,0,10.0,2.0,1.0,10.0,0.0,9,2,1,0,0,0,0,89.6083,81.65,100.0,0.0,3.0,1.0,13.0
52,0,10.0,0.0,0.0,10.0,0.0,9,2,1,0,0,0,0,89.2833,81.65,100.0,0.0,3.0,1.0,14.0
53,0,9.0,0.0,1.0,11.0,0.0,8,3,1,0,0,0,0,89.0,81.65,100.0,1.0,4.0,2.0,16.0
54,0,9.0,0.0,0.0,11.0,0.0,9,3,0,0,0,0,0,88.6625,81.15,100.0,0.0,4.0,0.0,16.0
55,0,10.0,2.0,1.0,12.0,0.0,8,2,2,0,0,0,0,88.325,81.15,100.0,0.0,4.0,2.0,18.0
56,0,8.0,0.0,2.0,14.0,0.0,7,4,1,0,0,0,0,88.0292,81.15,100.0,1.0,5.0,2.0,20.0
57,0,8.0,0.0,0.0,14.0,0.0,8,4,0,0,0,0,0,87.7333,80.65,100.0,0.0,5.0,0.0,20.0
58,0,8.0,0.0,0.0,14.0,0.0,6,4,2,0,0,0,0,87.5083,80.15,100.0,0.0,5.0,2.0,22.0
59,0,9.0,1.0,0.0,14.0,0.0,8,3,1,0,0,0,0,87.2125,79.65,100.0,0.0,5.0,1.0,23.0
60,0,9.0,0.0,0.0,14.0,0.0,9,3,0,0,0,0,0,86.875,79.15,100.0,0.0,5.0,0.0,23.0
61,0,9.0,0.0,0.0,14.0,0.0,9,3,0,0,0,0,0,86.5375,78.65,100.0,0.0,5.0,0.0,23.0
62,0,9.0,0.0,0.0,14.0,0.0,9,3,0,0,0,0,0,86.2,78.15,100.0,0.0,5.0,0.0,23.0
