tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.9417,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.8833,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.7667,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.65,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.45,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.25,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,2,0,0,0,0,0,98.9667,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,98.6833,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,1,0,0,0,0,0,98.3417,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.975,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.6083,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.2417,94.6,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,1.0,1.0,0.0,5,1,0,0,0,0,0,96.8167,94.1,99.65,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.475,93.6,99.3,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.1083,93.1,98.95,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,95.7417,92.6,98.6,0.0,0.0,0.0,0.0
19,1,6.0,2.0,1.0,2.0,0.0,5,1,0,0,0,0,0,95.3167,92.1,98.25,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,0,0,0,0,0,0,94.9167,91.6,97.9,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,0,0,0,0,0,0,94.5167,91.1,97.55,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,0,0,0,0,0,0,94.1167,90.6,97.2,0.0,0.0,0.0,0.0
23,1,7.0,1.0,0.0,2.0,0.0,6,0,0,0,0,0,0,93.7167,90.1,96.85,0.0,0.0,0.0,0.0
24,1,7.0,0.0,0.0,2.0,0.0,6,0,0,0,0,0,0,93.3167,89.6,96.5,0.0,0.0,0.0,0.0
25,2,7.0,1.0,1.0,3.0,0.0,5,1,0,0,0,0,0,92.9167,89.1,96.15,0.0,0.0,0.0,0.0
26,1,7.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,92.5417,88.6,95.8,0.0,0.0,0.0,0.0
27,2,8.0,1.0,0.0,3.0,0.0,6,0,0,0,0,0,0,92.1667,88.1,95.45,0.0,0.0,0.0,0.0
28,2,8.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,91.7917,87.6,95.1,0.0,0.0,0.0,0.0
29,2,8.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,91.3917,87.1,94.75,0.0,0.0,0.0,0.0
30,2,8.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,90.9917,86.6,94.4,0.0,0.0,0.0,0.0
