run_id,tick,event_type,robot_id,task_id,details
20260903_113847_b3abf8,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=H-06
20260903_113847_b3abf8,3,task_assigned,R2,G00001,
20260903_113847_b3abf8,5,task_created,,G00002,type=PICK pickup=C-01 dropoff=PICK-1
20260903_113847_b3abf8,5,task_assigned,R4,G00002,
20260903_113847_b3abf8,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113847_b3abf8,7,task_assigned,R1,G00003,
20260903_113847_b3abf8,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113847_b3abf8,9,task_assigned,R9,G00004,
20260903_113847_b3abf8,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=G-07
20260903_113847_b3abf8,11,task_assigned,R10,G00005,
20260903_113847_b3abf8,15,task_completed,R1,G00003,
20260903_113847_b3abf8,15,task_completed,R9,G00004,
20260903_113847_b3abf8,15,task_created,,G00006,type=PICK pickup=E-07 dropoff=PICK-2
20260903_113847_b3abf8,15,task_assigned,R5,G00006,
20260903_113847_b3abf8,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=A-05
20260903_113847_b3abf8,19,task_assigned,R9,G00007,
20260903_113847_b3abf8,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113847_b3abf8,19,task_assigned,R1,G00008,
20260903_113847_b3abf8,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113847_b3abf8,23,task_assigned,R7,G00009,
20260903_113847_b3abf8,25,task_completed,R4,G00002,
20260903_113847_b3abf8,25,task_created,,G00010,type=PICK pickup=D-02 dropoff=PICK-2
20260903_113847_b3abf8,25,task_assigned,R3,G00010,
20260903_113847_b3abf8,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-01
20260903_113847_b3abf8,27,task_assigned,R4,G00011,
20260903_113847_b3abf8,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_113847_b3abf8,31,task_assigned,R8,G00012,
20260903_113847_b3abf8,32,task_completed,R1,G00008,
20260903_113847_b3abf8,32,task_completed,R7,G00009,
20260903_113847_b3abf8,34,task_completed,R2,G00001,
20260903_113847_b3abf8,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=F-04
20260903_113847_b3abf8,35,task_assigned,R2,G00013,
20260903_113847_b3abf8,35,task_created,,G00014,type=PICK pickup=E-06 dropoff=PICK-2
20260903_113847_b3abf8,35,task_assigned,R1,G00014,
20260903_113847_b3abf8,35,robot_blocked,R10,,"{""x"": 15, ""y"": 4}"
20260903_113847_b3abf8,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_113847_b3abf8,37,task_assigned,R7,G00015,
20260903_113847_b3abf8,37,robot_blocked,R3,,"{""x"": 16, ""y"": 4}"
20260903_113847_b3abf8,37,robot_blocked,R4,,"{""x"": 12, ""y"": 6}"
20260903_113847_b3abf8,39,robot_blocked,R5,,"{""x"": 12, ""y"": 5}"
20260903_113847_b3abf8,42,task_completed,R7,G00015,
20260903_113847_b3abf8,43,task_completed,R5,G00006,
20260903_113847_b3abf8,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=G-05
20260903_113847_b3abf8,43,task_assigned,R7,G00016,
20260903_113847_b3abf8,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113847_b3abf8,43,task_assigned,R6,G00017,
20260903_113847_b3abf8,45,task_completed,R9,G00007,
20260903_113847_b3abf8,45,task_created,,G00018,type=PICK pickup=B-04 dropoff=PICK-3
20260903_113847_b3abf8,45,task_assigned,R5,G00018,
20260903_113847_b3abf8,47,task_completed,R8,G00012,
20260903_113847_b3abf8,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=D-04
20260903_113847_b3abf8,51,task_assigned,R9,G00019,
20260903_113847_b3abf8,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113847_b3abf8,51,task_assigned,R8,G00020,
20260903_113847_b3abf8,52,robot_blocked,R6,,"{""x"": 12, ""y"": 13}"
20260903_113847_b3abf8,53,robot_blocked,R8,,"{""x"": 12, ""y"": 12}"
20260903_113847_b3abf8,54,task_completed,R3,G00010,
20260903_113847_b3abf8,55,task_created,,G00021,type=PICK pickup=F-03 dropoff=PICK-1
20260903_113847_b3abf8,55,task_assigned,R3,G00021,
20260903_113847_b3abf8,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_113847_b3abf8,55,robot_blocked,R9,,"{""x"": 1, ""y"": 1}"
20260903_113847_b3abf8,57,task_completed,R10,G00005,
20260903_113847_b3abf8,57,robot_blocked,R7,,"{""x"": 6, ""y"": 5}"
20260903_113847_b3abf8,58,task_completed,R8,G00020,
20260903_113847_b3abf8,58,task_assigned,R10,G00022,
20260903_113847_b3abf8,58,robot_blocked,R1,,"{""x"": 6, ""y"": 4}"
20260903_113847_b3abf8,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260903_113847_b3abf8,59,task_assigned,R8,G00023,
20260903_113847_b3abf8,65,task_created,,G00024,type=PICK pickup=D-05 dropoff=PICK-3
20260903_113847_b3abf8,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_113847_b3abf8,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_113847_b3abf8,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_113847_b3abf8,68,task_completed,R1,G00014,
20260903_113847_b3abf8,69,task_completed,R6,G00017,
20260903_113847_b3abf8,69,task_assigned,R1,G00026,
20260903_113847_b3abf8,70,task_completed,R2,G00013,
20260903_113847_b3abf8,70,task_assigned,R6,G00024,
20260903_113847_b3abf8,71,task_assigned,R2,G00027,
20260903_113847_b3abf8,73,task_completed,R10,G00022,
20260903_113847_b3abf8,74,task_assigned,R10,G00025,
20260903_113847_b3abf8,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260903_113847_b3abf8,75,task_created,,G00029,type=PICK pickup=B-02 dropoff=PICK-1
20260903_113847_b3abf8,76,task_completed,R3,G00021,
20260903_113847_b3abf8,77,task_assigned,R3,G00028,
