tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.9417,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.8833,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.7417,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.6,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.4,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.2,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,2,0,0,0,0,0,98.9417,96.8,100.0,0.0,0.0,0.0,0.0
10,0,3.0,0.0,1.0,1.0,0.0,3,3,0,0,0,0,0,98.6833,96.3,100.0,0.0,0.0,0.0,0.0
11,0,4.0,1.0,0.0,1.0,0.0,4,2,0,0,0,0,0,98.425,96.3,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,0.0,1.0,0.0,4,2,0,0,0,0,0,98.1667,96.3,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,0.0,1.0,0.0,4,2,0,0,0,0,0,97.9083,96.3,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,0.0,1.0,0.0,4,2,0,0,0,0,0,97.625,96.3,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,0.0,1.0,0.0,5,1,0,0,0,0,0,97.2833,95.95,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.9417,95.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.6,95.1,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,96.2333,94.6,100.0,0.0,0.0,0.0,0.0
19,1,7.0,2.0,0.0,1.0,0.0,6,0,0,0,0,0,0,95.7833,94.1,99.65,0.0,0.0,0.0,0.0
20,1,7.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0,95.3333,93.6,99.3,0.0,0.0,0.0,0.0
21,1,6.0,0.0,1.0,2.0,0.0,5,1,0,0,0,0,0,94.8833,93.1,98.95,0.0,0.0,0.0,0.0
22,0,5.0,0.0,1.0,3.0,0.0,5,1,0,0,0,0,0,94.4583,92.6,98.6,0.0,0.0,0.0,0.0
23,0,5.0,1.0,1.0,4.0,0.0,5,1,0,0,0,0,0,94.0583,92.1,98.25,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,1,0,0,0,0,0,93.7167,91.6,97.9,0.0,0.0,0.0,0.0
25,0,5.0,1.0,1.0,5.0,0.0,5,1,0,0,0,0,0,93.3167,91.1,97.55,0.0,0.0,0.0,0.0
26,0,5.0,0.0,0.0,5.0,0.0,5,1,0,0,0,0,0,93.0,91.1,97.2,0.0,0.0,0.0,0.0
27,0,6.0,1.0,0.0,5.0,0.0,6,0,0,0,0,0,0,92.625,90.75,96.85,0.0,0.0,0.0,0.0
28,0,6.0,0.0,0.0,5.0,0.0,6,0,0,0,0,0,0,92.25,90.4,96.5,0.0,0.0,0.0,0.0
29,0,6.0,0.0,0.0,5.0,0.0,6,0,0,0,0,0,0,91.85,90.05,96.15,0.0,0.0,0.0,0.0
30,0,6.0,0.0,0.0,5.0,0.0,6,0,0,0,0,0,0,91.425,89.65,95.8,0.0,0.0,0.0,0.0
31,1,6.0,1.0,1.0,6.0,0.0,5,1,0,0,0,0,0,91.0,89.15,95.45,0.0,0.0,0.0,0.0
