tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8708,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.5875,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4333,96.8,100.0,0.0,0.0,0.0,0.0
10,0,3.0,0.0,1.0,1.0,0.0,3,9,0,0,0,0,0,99.2792,96.3,100.0,0.0,0.0,0.0,0.0
11,0,4.0,1.0,0.0,1.0,0.0,4,8,0,0,0,0,0,99.125,96.3,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,0.0,1.0,0.0,4,8,0,0,0,0,0,98.9708,96.3,100.0,0.0,0.0,0.0,0.0
13,0,3.0,0.0,1.0,2.0,0.0,3,9,0,0,0,0,0,98.8167,96.1,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,0.0,2.0,0.0,3,9,0,0,0,0,0,98.6917,95.6,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.5375,95.1,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.3833,94.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.2292,94.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,3,8,1,0,0,0,0,98.1042,94.1,100.0,0.0,0.0,1.0,1.0
19,0,6.0,2.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.8792,93.6,100.0,0.0,0.0,0.0,1.0
20,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.6542,93.1,100.0,0.0,0.0,0.0,1.0
21,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.4292,92.6,100.0,0.0,0.0,0.0,1.0
22,0,4.0,0.0,2.0,4.0,0.0,4,8,0,0,0,0,0,97.2042,92.1,100.0,0.0,0.0,0.0,1.0
23,0,4.0,1.0,1.0,5.0,0.0,3,8,1,0,0,0,0,97.075,92.1,100.0,0.0,0.0,1.0,2.0
24,0,4.0,0.0,0.0,5.0,0.0,3,8,1,0,0,0,0,96.9875,92.1,100.0,1.0,1.0,1.0,3.0
25,0,4.0,1.0,1.0,6.0,0.0,4,8,0,0,0,0,0,96.7875,91.6,100.0,0.0,1.0,0.0,3.0
26,0,4.0,0.0,0.0,6.0,0.0,4,8,0,0,0,0,0,96.6458,91.6,100.0,0.0,1.0,0.0,3.0
27,0,5.0,1.0,0.0,6.0,0.0,5,7,0,0,0,0,0,96.475,91.25,100.0,0.0,1.0,0.0,3.0
28,0,4.0,0.0,1.0,7.0,0.0,4,8,0,0,0,0,0,96.3042,90.9,100.0,0.0,1.0,0.0,3.0
29,0,4.0,0.0,0.0,7.0,0.0,3,8,1,0,0,0,0,96.2042,90.9,100.0,0.0,1.0,1.0,4.0
30,0,4.0,0.0,0.0,7.0,0.0,3,8,1,0,0,0,0,96.1333,90.9,100.0,1.0,2.0,2.0,6.0
31,0,5.0,1.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.9625,90.55,100.0,0.0,2.0,0.0,6.0
32,0,5.0,0.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.7792,90.2,100.0,0.0,2.0,0.0,6.0
33,0,5.0,0.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.5958,89.85,100.0,0.0,2.0,0.0,6.0
34,0,5.0,0.0,0.0,7.0,0.0,5,7,0,0,0,0,0,95.4125,89.5,100.0,0.0,2.0,0.0,6.0
35,0,7.0,2.0,0.0,7.0,0.0,7,5,0,0,0,0,0,95.1708,89.15,100.0,0.0,2.0,0.0,6.0
36,0,7.0,0.0,0.0,7.0,0.0,7,5,0,0,0,0,0,94.9292,88.7,100.0,0.0,2.0,0.0,6.0
37,0,8.0,1.0,0.0,7.0,0.0,8,4,0,0,0,0,0,94.6583,88.2,100.0,0.0,2.0,0.0,6.0
38,0,7.0,0.0,1.0,8.0,0.0,5,5,2,0,0,0,0,94.4583,88.2,100.0,0.0,2.0,2.0,8.0
39,0,7.0,0.0,0.0,8.0,0.0,6,5,1,0,0,0,0,94.2875,88.2,100.0,1.0,3.0,2.0,10.0
40,0,7.0,0.0,0.0,8.0,0.0,6,5,1,0,0,0,0,94.075,87.7,100.0,0.0,3.0,1.0,11.0
41,0,7.0,0.0,0.0,8.0,0.0,5,5,2,0,0,0,0,93.9042,87.7,100.0,1.0,4.0,2.0,13.0
42,0,5.0,0.0,2.0,10.0,0.0,5,7,0,0,0,0,0,93.6208,87.2,100.0,0.0,4.0,0.0,13.0
43,0,7.0,2.0,0.0,10.0,0.0,7,5,0,0,0,0,0,93.3917,86.7,100.0,0.0,4.0,0.0,13.0
44,0,7.0,0.0,0.0,10.0,0.0,7,5,0,0,0,0,0,93.1625,86.2,100.0,0.0,4.0,0.0,13.0
45,0,7.0,1.0,1.0,11.0,0.0,7,5,0,0,0,0,0,92.9042,85.7,100.0,0.0,4.0,0.0,13.0
46,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,92.6875,85.2,100.0,0.0,4.0,0.0,13.0
47,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,92.4583,84.7,100.0,0.0,4.0,0.0,13.0
48,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,92.2292,84.2,100.0,0.0,4.0,0.0,13.0
49,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,92.0,83.7,100.0,0.0,4.0,0.0,13.0
50,0,6.0,0.0,1.0,12.0,0.0,6,6,0,0,0,0,0,91.7583,83.2,100.0,0.0,4.0,0.0,13.0
51,0,8.0,2.0,0.0,12.0,0.0,7,4,1,0,0,0,0,91.5417,83.2,100.0,0.0,4.0,1.0,14.0
52,0,8.0,0.0,0.0,12.0,0.0,6,4,2,0,0,0,0,91.3417,83.2,100.0,1.0,5.0,2.0,16.0
53,0,7.0,0.0,1.0,13.0,0.0,7,5,0,0,0,0,0,91.0417,82.85,100.0,0.0,5.0,0.0,16.0
54,0,7.0,0.0,0.0,13.0,0.0,7,5,0,0,0,0,0,90.8,82.75,100.0,0.0,5.0,0.0,16.0
55,0,8.0,2.0,1.0,14.0,0.0,8,4,0,0,0,0,0,90.5,82.25,100.0,0.0,5.0,0.0,16.0
56,0,8.0,0.0,0.0,14.0,0.0,8,4,0,0,0,0,0,90.2417,81.75,100.0,0.0,5.0,0.0,16.0
57,0,8.0,0.0,0.0,14.0,0.0,6,4,2,0,0,0,0,90.0417,81.25,100.0,0.0,5.0,2.0,18.0
58,0,8.0,0.0,0.0,14.0,0.0,7,4,1,0,0,0,0,89.8292,80.75,100.0,1.0,6.0,2.0,20.0
59,0,7.0,1.0,2.0,16.0,0.0,7,5,0,0,0,0,0,89.5167,80.25,100.0,0.0,6.0,0.0,20.0
60,0,7.0,0.0,0.0,16.0,0.0,7,5,0,0,0,0,0,89.275,80.25,100.0,0.0,6.0,0.0,20.0
61,0,7.0,0.0,0.0,16.0,0.0,6,5,1,0,0,0,0,89.075,80.25,100.0,0.0,6.0,1.0,21.0
62,0,7.0,0.0,0.0,16.0,0.0,7,5,0,0,0,0,0,88.8208,80.05,100.0,0.0,6.0,0.0,21.0
