tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.725,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.625,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4958,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.3542,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.1833,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.0,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.8167,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.6333,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.4083,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.1708,93.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,7,0,0,0,0,0,97.9333,93.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,1.0,2.0,0.0,4,8,0,0,0,0,0,97.7375,92.6,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,5,6,1,0,0,0,0,97.5667,92.1,100.0,0.0,0.0,1.0,1.0
20,0,6.0,0.0,0.0,2.0,0.0,3,6,3,0,0,0,0,97.4792,92.1,100.0,0.0,0.0,3.0,4.0
21,0,6.0,0.0,0.0,2.0,0.0,4,6,2,0,0,0,0,97.3792,92.1,100.0,1.0,1.0,3.0,7.0
22,0,6.0,0.0,0.0,2.0,0.0,5,6,1,0,0,0,0,97.1958,91.6,100.0,0.0,1.0,1.0,8.0
23,0,7.0,1.0,0.0,2.0,0.0,6,5,1,0,0,0,0,97.0667,91.6,100.0,1.0,2.0,2.0,10.0
24,0,7.0,0.0,0.0,2.0,0.0,7,5,0,0,0,0,0,96.8542,91.1,100.0,1.0,3.0,1.0,11.0
25,0,8.0,1.0,0.0,2.0,0.0,7,4,1,0,0,0,0,96.6,90.6,100.0,0.0,3.0,1.0,12.0
26,0,8.0,0.0,0.0,2.0,0.0,8,4,0,0,0,0,0,96.2917,90.1,100.0,0.0,3.0,0.0,12.0
27,0,9.0,1.0,0.0,2.0,0.0,9,3,0,0,0,0,0,95.9542,89.6,100.0,0.0,3.0,0.0,12.0
28,0,8.0,0.0,1.0,3.0,0.0,8,4,0,0,0,0,0,95.6042,89.1,100.0,0.0,3.0,0.0,12.0
29,0,8.0,0.0,0.0,3.0,0.0,6,4,2,0,0,0,0,95.3792,88.6,100.0,0.0,3.0,2.0,14.0
30,0,8.0,0.0,0.0,3.0,0.0,6,4,2,0,0,0,0,95.1958,88.1,100.0,1.0,4.0,3.0,17.0
31,0,8.0,1.0,1.0,4.0,0.0,7,4,1,0,0,0,0,94.9417,88.1,100.0,1.0,5.0,2.0,19.0
32,0,7.0,0.0,1.0,5.0,0.0,7,5,0,0,0,0,0,94.6333,87.6,100.0,0.0,5.0,0.0,19.0
33,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.3667,87.1,100.0,0.0,5.0,0.0,19.0
34,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.1,86.6,100.0,0.0,5.0,0.0,19.0
35,0,9.0,2.0,0.0,5.0,0.0,8,3,1,0,0,0,0,93.8042,86.1,100.0,0.0,5.0,1.0,20.0
36,0,9.0,0.0,0.0,5.0,0.0,9,3,0,0,0,0,0,93.4792,85.6,100.0,0.0,5.0,0.0,20.0
37,0,10.0,1.0,0.0,5.0,0.0,10,2,0,0,0,0,0,93.125,85.1,100.0,0.0,5.0,0.0,20.0
38,0,9.0,0.0,1.0,6.0,0.0,9,3,0,0,0,0,0,92.7708,84.6,100.0,0.0,5.0,0.0,20.0
39,0,8.0,0.0,1.0,7.0,0.0,7,4,1,0,0,0,0,92.4875,84.1,100.0,0.0,5.0,1.0,21.0
40,0,8.0,0.0,0.0,7.0,0.0,7,4,1,0,0,0,0,92.2167,83.6,100.0,1.0,6.0,1.0,22.0
41,0,7.0,0.0,1.0,8.0,0.0,7,5,0,0,0,0,0,91.9333,83.1,100.0,0.0,6.0,0.0,22.0
42,0,6.0,0.0,1.0,9.0,0.0,6,6,0,0,0,0,0,91.6792,82.6,100.0,0.0,6.0,0.0,22.0
43,0,7.0,2.0,1.0,10.0,0.0,7,5,0,0,0,0,0,91.3958,82.1,100.0,0.0,6.0,0.0,22.0
44,0,7.0,0.0,0.0,10.0,0.0,7,5,0,0,0,0,0,91.1417,82.1,100.0,0.0,6.0,0.0,22.0
45,0,8.0,1.0,0.0,10.0,0.0,8,4,0,0,0,0,0,90.8583,82.1,100.0,0.0,6.0,0.0,22.0
46,0,8.0,0.0,0.0,10.0,0.0,8,4,0,0,0,0,0,90.575,82.1,100.0,0.0,6.0,0.0,22.0
47,0,7.0,0.0,1.0,11.0,0.0,7,5,0,0,0,0,0,90.2917,82.1,100.0,0.0,6.0,0.0,22.0
48,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,90.025,82.1,100.0,0.0,6.0,0.0,22.0
49,0,7.0,0.0,0.0,11.0,0.0,7,5,0,0,0,0,0,89.7583,82.1,100.0,0.0,6.0,0.0,22.0
50,0,6.0,0.0,1.0,12.0,0.0,6,6,0,0,0,0,0,89.4917,82.1,100.0,0.0,6.0,0.0,22.0
51,0,8.0,2.0,0.0,12.0,0.0,8,4,0,0,0,0,0,89.2083,81.75,100.0,0.0,6.0,0.0,22.0
52,0,8.0,0.0,0.0,12.0,0.0,7,4,1,0,0,0,0,88.9542,81.4,100.0,0.0,6.0,1.0,23.0
53,0,8.0,0.0,0.0,12.0,0.0,7,4,1,0,0,0,0,88.7,81.05,100.0,1.0,7.0,1.0,24.0
54,0,5.0,0.0,3.0,15.0,0.0,5,7,0,0,0,0,0,88.3625,80.7,100.0,0.0,7.0,0.0,24.0
55,0,7.0,2.0,0.0,15.0,0.0,7,5,0,0,0,0,0,88.1208,80.35,100.0,0.0,7.0,0.0,24.0
56,0,6.0,0.0,1.0,16.0,0.0,6,6,0,0,0,0,0,87.8792,80.0,100.0,0.0,7.0,0.0,24.0
57,0,5.0,0.0,1.0,17.0,0.0,5,7,0,0,0,0,0,87.6792,79.65,100.0,0.0,7.0,0.0,24.0
58,0,5.0,0.0,0.0,17.0,0.0,5,7,0,0,0,0,0,87.5208,79.3,100.0,0.0,7.0,0.0,24.0
59,0,6.0,1.0,0.0,17.0,0.0,6,6,0,0,0,0,0,87.3333,78.95,100.0,0.0,7.0,0.0,24.0
60,0,6.0,0.0,0.0,17.0,0.0,6,6,0,0,0,0,0,87.1458,78.6,100.0,0.0,7.0,0.0,24.0
61,0,6.0,0.0,0.0,17.0,0.0,5,6,1,0,0,0,0,86.9875,78.25,100.0,0.0,7.0,1.0,25.0
62,0,6.0,0.0,0.0,17.0,0.0,5,6,1,0,0,0,0,86.8,77.9,100.0,1.0,8.0,1.0,26.0
