tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8708,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.7,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.5875,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4333,96.8,100.0,0.0,0.0,0.0,0.0
10,0,3.0,0.0,1.0,1.0,0.0,3,9,0,0,0,0,0,99.2792,96.3,100.0,0.0,0.0,0.0,0.0
11,0,4.0,1.0,0.0,1.0,0.0,4,8,0,0,0,0,0,99.125,96.3,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,0.0,1.0,0.0,4,8,0,0,0,0,0,98.9708,96.3,100.0,0.0,0.0,0.0,0.0
13,0,3.0,0.0,1.0,2.0,0.0,3,9,0,0,0,0,0,98.8167,96.1,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,0.0,2.0,0.0,3,9,0,0,0,0,0,98.6917,95.6,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.5375,95.1,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.3833,94.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,8,0,0,0,0,0,98.2292,94.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,3,8,1,0,0,0,0,98.1042,93.6,100.0,0.0,0.0,1.0,1.0
19,0,6.0,2.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.9208,93.1,100.0,1.0,1.0,1.0,2.0
20,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.6958,92.6,100.0,0.0,1.0,0.0,2.0
21,0,6.0,0.0,0.0,2.0,0.0,6,6,0,0,0,0,0,97.4708,92.1,100.0,0.0,1.0,0.0,2.0
22,0,4.0,0.0,2.0,4.0,0.0,4,8,0,0,0,0,0,97.2458,91.6,100.0,0.0,1.0,0.0,2.0
23,0,4.0,1.0,1.0,5.0,0.0,4,8,0,0,0,0,0,97.0625,91.6,100.0,0.0,1.0,0.0,2.0
24,0,4.0,0.0,0.0,5.0,0.0,4,8,0,0,0,0,0,96.9208,91.45,100.0,0.0,1.0,0.0,2.0
25,0,5.0,1.0,0.0,5.0,0.0,5,7,0,0,0,0,0,96.75,91.1,100.0,0.0,1.0,0.0,2.0
26,0,5.0,0.0,0.0,5.0,0.0,5,7,0,0,0,0,0,96.5792,90.75,100.0,0.0,1.0,0.0,2.0
27,0,6.0,1.0,0.0,5.0,0.0,5,6,1,0,0,0,0,96.4083,90.4,100.0,0.0,1.0,1.0,3.0
28,0,6.0,0.0,0.0,5.0,0.0,5,6,1,0,0,0,0,96.2375,89.9,100.0,0.0,1.0,1.0,4.0
29,0,6.0,0.0,0.0,5.0,0.0,5,6,1,0,0,0,0,96.0375,89.4,100.0,1.0,2.0,1.0,5.0
30,0,5.0,0.0,1.0,6.0,0.0,4,7,1,0,0,0,0,95.8542,88.9,100.0,0.0,2.0,1.0,6.0
31,0,6.0,1.0,0.0,6.0,0.0,4,6,2,0,0,0,0,95.7542,88.9,100.0,1.0,3.0,3.0,9.0
32,0,6.0,0.0,0.0,6.0,0.0,5,6,1,0,0,0,0,95.6125,88.9,100.0,1.0,4.0,2.0,11.0
33,0,6.0,0.0,0.0,6.0,0.0,6,6,0,0,0,0,0,95.4,88.9,100.0,0.0,4.0,0.0,11.0
34,0,6.0,0.0,0.0,6.0,0.0,5,6,1,0,0,0,0,95.2167,88.9,100.0,0.0,4.0,1.0,12.0
35,0,7.0,2.0,1.0,7.0,0.0,7,5,0,0,0,0,0,94.9333,88.55,100.0,0.0,4.0,0.0,12.0
36,0,7.0,0.0,0.0,7.0,0.0,7,5,0,0,0,0,0,94.6917,88.2,100.0,0.0,4.0,0.0,12.0
37,0,8.0,1.0,0.0,7.0,0.0,8,4,0,0,0,0,0,94.4083,87.85,100.0,0.0,4.0,0.0,12.0
38,0,8.0,0.0,0.0,7.0,0.0,8,4,0,0,0,0,0,94.125,87.5,100.0,0.0,4.0,0.0,12.0
39,0,7.0,0.0,1.0,8.0,0.0,7,5,0,0,0,0,0,93.8417,87.15,100.0,0.0,4.0,0.0,12.0
40,0,7.0,0.0,0.0,8.0,0.0,6,5,1,0,0,0,0,93.6417,86.7,100.0,0.0,4.0,1.0,13.0
41,0,6.0,0.0,1.0,9.0,0.0,5,6,1,0,0,0,0,93.4417,86.2,100.0,1.0,5.0,1.0,14.0
42,0,5.0,0.0,1.0,10.0,0.0,5,7,0,0,0,0,0,93.2,86.1,100.0,0.0,5.0,0.0,14.0
43,0,6.0,2.0,1.0,11.0,0.0,6,6,0,0,0,0,0,92.9458,85.7,100.0,0.0,5.0,0.0,14.0
44,0,6.0,0.0,0.0,11.0,0.0,6,6,0,0,0,0,0,92.7333,85.2,100.0,0.0,5.0,0.0,14.0
45,0,6.0,1.0,1.0,12.0,0.0,6,6,0,0,0,0,0,92.4917,84.7,100.0,0.0,5.0,0.0,14.0
46,0,6.0,0.0,0.0,12.0,0.0,6,6,0,0,0,0,0,92.2792,84.2,100.0,0.0,5.0,0.0,14.0
47,0,6.0,0.0,0.0,12.0,0.0,6,6,0,0,0,0,0,92.0667,83.7,100.0,0.0,5.0,0.0,14.0
48,0,5.0,0.0,1.0,13.0,0.0,5,7,0,0,0,0,0,91.8542,83.2,100.0,0.0,5.0,0.0,14.0
49,0,4.0,0.0,1.0,14.0,0.0,4,8,0,0,0,0,0,91.6708,83.2,100.0,0.0,5.0,0.0,14.0
50,0,4.0,0.0,0.0,14.0,0.0,4,8,0,0,0,0,0,91.5292,83.0,100.0,0.0,5.0,0.0,14.0
51,0,6.0,2.0,0.0,14.0,0.0,6,6,0,0,0,0,0,91.3292,82.5,100.0,0.0,5.0,0.0,14.0
52,0,6.0,0.0,0.0,14.0,0.0,6,6,0,0,0,0,0,91.1292,82.0,100.0,0.0,5.0,0.0,14.0
53,0,4.0,0.0,2.0,16.0,0.0,4,8,0,0,0,0,0,90.9167,81.5,100.0,0.0,5.0,0.0,14.0
54,0,4.0,0.0,0.0,16.0,0.0,4,8,0,0,0,0,0,90.775,81.5,100.0,0.0,5.0,0.0,14.0
55,0,6.0,2.0,0.0,16.0,0.0,6,6,0,0,0,0,0,90.5625,81.15,100.0,0.0,5.0,0.0,14.0
56,0,5.0,0.0,1.0,17.0,0.0,5,7,0,0,0,0,0,90.35,80.8,100.0,0.0,5.0,0.0,14.0
57,0,5.0,0.0,0.0,17.0,0.0,5,7,0,0,0,0,0,90.1792,80.45,100.0,0.0,5.0,0.0,14.0
58,0,5.0,0.0,0.0,17.0,0.0,5,7,0,0,0,0,0,90.0083,80.1,100.0,0.0,5.0,0.0,14.0
59,0,6.0,1.0,0.0,17.0,0.0,6,6,0,0,0,0,0,89.8083,79.75,100.0,0.0,5.0,0.0,14.0
60,0,6.0,0.0,0.0,17.0,0.0,6,6,0,0,0,0,0,89.5958,79.25,100.0,0.0,5.0,0.0,14.0
61,0,5.0,0.0,1.0,18.0,0.0,5,7,0,0,0,0,0,89.3708,78.75,100.0,0.0,5.0,0.0,14.0
62,0,5.0,0.0,0.0,18.0,0.0,4,7,1,0,0,0,0,89.2167,78.75,100.0,0.0,5.0,1.0,15.0
