run_id,tick,event_type,robot_id,task_id,details
20260903_120554_d8479f,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_120554_d8479f,3,task_assigned,R5,G00001,
20260903_120554_d8479f,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_120554_d8479f,5,task_assigned,R2,G00002,
20260903_120554_d8479f,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_120554_d8479f,7,task_assigned,R1,G00003,
20260903_120554_d8479f,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120554_d8479f,9,task_assigned,R4,G00004,
20260903_120554_d8479f,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_120554_d8479f,11,task_assigned,R3,G00005,
20260903_120554_d8479f,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_120554_d8479f,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_120554_d8479f,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120554_d8479f,23,task_completed,R4,G00004,
20260903_120554_d8479f,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120554_d8479f,24,task_assigned,R4,G00007,
20260903_120554_d8479f,25,task_completed,R1,G00003,
20260903_120554_d8479f,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_120554_d8479f,26,task_assigned,R1,G00006,
20260903_120554_d8479f,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_120554_d8479f,29,robot_blocked,R4,,"{""x"": 12, ""y"": 12}"
20260903_120554_d8479f,31,task_completed,R5,G00001,
20260903_120554_d8479f,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120554_d8479f,32,task_completed,R2,G00002,
20260903_120554_d8479f,32,task_assigned,R5,G00011,
20260903_120554_d8479f,33,task_assigned,R2,G00010,
20260903_120554_d8479f,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_120554_d8479f,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_120554_d8479f,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120554_d8479f,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260903_120554_d8479f,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_120554_d8479f,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260903_120554_d8479f,46,task_completed,R4,G00007,
20260903_120554_d8479f,46,robot_blocked,R3,,"{""x"": 10, ""y"": 4}"
20260903_120554_d8479f,47,task_assigned,R4,G00013,
20260903_120554_d8479f,48,robot_blocked,R1,,"{""x"": 9, ""y"": 4}"
20260903_120554_d8479f,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
20260903_120554_d8479f,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120554_d8479f,53,task_completed,R5,G00011,
20260903_120554_d8479f,54,task_assigned,R5,G00016,
20260903_120554_d8479f,55,task_created,,G00021,type=PICK pickup=B-04 dropoff=PICK-3
20260903_120554_d8479f,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_120554_d8479f,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260903_120554_d8479f,60,task_completed,R2,G00010,
20260903_120554_d8479f,61,task_assigned,R2,G00019,
20260903_120554_d8479f,65,task_completed,R4,G00013,
20260903_120554_d8479f,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-2
20260903_120554_d8479f,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120554_d8479f,66,task_assigned,R4,G00023,
20260903_120554_d8479f,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-02
20260903_120554_d8479f,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_120554_d8479f,71,task_completed,R3,G00005,
20260903_120554_d8479f,72,task_assigned,R3,G00026,
20260903_120554_d8479f,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_120554_d8479f,75,task_created,,G00029,type=PICK pickup=B-04 dropoff=PICK-2
20260903_120554_d8479f,76,task_completed,R1,G00006,
20260903_120554_d8479f,77,task_assigned,R1,G00028,
20260903_120554_d8479f,79,task_completed,R5,G00016,
20260903_120554_d8479f,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120554_d8479f,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120554_d8479f,80,task_assigned,R5,G00014,
20260903_120554_d8479f,80,robot_blocked,R2,,"{""x"": 2, ""y"": 1}"
20260903_120554_d8479f,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_120554_d8479f,85,task_created,,G00033,type=PICK pickup=H-03 dropoff=PICK-3
20260903_120554_d8479f,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-07
20260903_120554_d8479f,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_120554_d8479f,92,task_completed,R4,G00023,
20260903_120554_d8479f,92,robot_blocked,R5,,"{""x"": 8, ""y"": 4}"
20260903_120554_d8479f,93,task_assigned,R4,G00032,
20260903_120554_d8479f,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120554_d8479f,95,task_created,,G00037,type=PICK pickup=E-08 dropoff=PICK-2
20260903_120554_d8479f,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260903_120554_d8479f,103,task_completed,R5,G00014,
20260903_120554_d8479f,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_120554_d8479f,104,task_assigned,R5,G00034,
20260903_120554_d8479f,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-3
20260903_120554_d8479f,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=E-04
20260903_120554_d8479f,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120554_d8479f,108,task_completed,R3,G00026,
20260903_120554_d8479f,109,task_completed,R2,G00019,
20260903_120554_d8479f,109,task_completed,R1,G00028,
20260903_120554_d8479f,109,task_assigned,R3,G00038,
20260903_120554_d8479f,110,task_assigned,R2,G00018,
