tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,11,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,11,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,10,0,0,0,0,0,99.9682,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,10,0,0,0,0,0,99.9364,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,9,0,0,0,0,0,99.8727,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,9,0,0,0,0,0,99.8091,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,8,0,0,0,0,0,99.7,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,8,0,0,0,0,0,99.5909,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,7,0,0,0,0,0,99.45,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,7,0,0,0,0,0,99.2955,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,6,0,0,0,0,0,99.1091,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,6,0,0,0,0,0,98.9227,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,6,0,0,0,0,0,98.7364,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,6,0,0,0,0,0,98.55,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,5,0,0,0,0,0,98.3182,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,5,0,0,0,0,0,98.0591,93.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,6,0,0,0,0,0,97.8,93.1,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,6,0,0,0,0,0,97.5864,92.6,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,6,4,1,0,0,0,0,97.3545,92.6,100.0,0.0,0.0,1.0,1.0
20,0,7.0,0.0,0.0,1.0,0.0,5,4,2,0,0,0,0,97.2136,92.6,100.0,1.0,1.0,3.0,4.0
21,0,7.0,0.0,0.0,1.0,0.0,7,4,0,0,0,0,0,96.9227,92.1,100.0,0.0,1.0,0.0,4.0
22,0,6.0,0.0,1.0,2.0,0.0,4,5,2,0,0,0,0,96.7227,91.6,100.0,0.0,1.0,2.0,6.0
23,0,7.0,1.0,0.0,2.0,0.0,7,4,0,0,0,0,0,96.4455,91.1,100.0,0.0,1.0,0.0,6.0
24,0,7.0,0.0,0.0,2.0,0.0,7,4,0,0,0,0,0,96.1682,90.6,100.0,0.0,1.0,0.0,6.0
25,0,7.0,1.0,1.0,3.0,0.0,7,4,0,0,0,0,0,95.8591,90.1,100.0,0.0,1.0,0.0,6.0
26,0,7.0,0.0,0.0,3.0,0.0,6,4,1,0,0,0,0,95.6409,89.6,100.0,0.0,1.0,1.0,7.0
27,0,8.0,1.0,0.0,3.0,0.0,8,3,0,0,0,0,0,95.3318,89.1,100.0,0.0,1.0,0.0,7.0
28,0,8.0,0.0,0.0,3.0,0.0,8,3,0,0,0,0,0,94.9955,88.6,100.0,0.0,1.0,0.0,7.0
29,0,8.0,0.0,0.0,3.0,0.0,8,3,0,0,0,0,0,94.6591,88.1,100.0,0.0,1.0,0.0,7.0
30,0,7.0,0.0,1.0,4.0,0.0,7,4,0,0,0,0,0,94.3227,87.6,100.0,0.0,1.0,0.0,7.0
