run_id,tick,event_type,robot_id,task_id,details
20260903_120606_8bc9b2,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_120606_8bc9b2,3,task_assigned,R2,G00001,
20260903_120606_8bc9b2,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_120606_8bc9b2,5,task_assigned,R4,G00002,
20260903_120606_8bc9b2,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_120606_8bc9b2,7,task_assigned,R1,G00003,
20260903_120606_8bc9b2,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120606_8bc9b2,9,task_assigned,R3,G00004,
20260903_120606_8bc9b2,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_120606_8bc9b2,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_120606_8bc9b2,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_120606_8bc9b2,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120606_8bc9b2,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120606_8bc9b2,24,task_completed,R3,G00004,
20260903_120606_8bc9b2,25,task_completed,R1,G00003,
20260903_120606_8bc9b2,25,task_assigned,R3,G00009,
20260903_120606_8bc9b2,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_120606_8bc9b2,26,task_assigned,R1,G00008,
20260903_120606_8bc9b2,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_120606_8bc9b2,30,task_completed,R3,G00009,
20260903_120606_8bc9b2,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120606_8bc9b2,31,task_assigned,R3,G00012,
20260903_120606_8bc9b2,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_120606_8bc9b2,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_120606_8bc9b2,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,38,task_completed,R4,G00002,
20260903_120606_8bc9b2,38,task_completed,R1,G00008,
20260903_120606_8bc9b2,39,task_assigned,R4,G00014,
20260903_120606_8bc9b2,39,task_assigned,R1,G00015,
20260903_120606_8bc9b2,40,task_completed,R2,G00001,
20260903_120606_8bc9b2,41,task_assigned,R2,G00010,
20260903_120606_8bc9b2,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260903_120606_8bc9b2,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_120606_8bc9b2,45,task_completed,R3,G00012,
20260903_120606_8bc9b2,45,task_completed,R1,G00015,
20260903_120606_8bc9b2,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260903_120606_8bc9b2,46,task_assigned,R1,G00007,
20260903_120606_8bc9b2,46,task_assigned,R3,G00017,
20260903_120606_8bc9b2,48,task_completed,R2,G00010,
20260903_120606_8bc9b2,49,task_assigned,R2,G00005,
20260903_120606_8bc9b2,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
20260903_120606_8bc9b2,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,52,task_completed,R4,G00014,
20260903_120606_8bc9b2,53,task_assigned,R4,G00020,
20260903_120606_8bc9b2,55,task_created,,G00021,type=PICK pickup=B-04 dropoff=PICK-3
20260903_120606_8bc9b2,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_120606_8bc9b2,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260903_120606_8bc9b2,59,robot_blocked,R2,,"{""x"": 12, ""y"": 2}"
20260903_120606_8bc9b2,60,robot_blocked,R1,,"{""x"": 12, ""y"": 3}"
20260903_120606_8bc9b2,65,task_completed,R3,G00017,
20260903_120606_8bc9b2,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-2
20260903_120606_8bc9b2,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,66,task_assigned,R3,G00025,
20260903_120606_8bc9b2,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-02
20260903_120606_8bc9b2,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_120606_8bc9b2,68,task_completed,R2,G00005,
20260903_120606_8bc9b2,68,task_completed,R1,G00007,
20260903_120606_8bc9b2,69,task_assigned,R2,G00018,
20260903_120606_8bc9b2,69,task_completed,R4,G00020,
20260903_120606_8bc9b2,69,task_assigned,R1,G00024,
20260903_120606_8bc9b2,70,task_assigned,R4,G00022,
20260903_120606_8bc9b2,71,robot_blocked,R3,,"{""x"": 13, ""y"": 14}"
20260903_120606_8bc9b2,73,task_completed,R1,G00024,
20260903_120606_8bc9b2,73,task_completed,R3,G00025,
20260903_120606_8bc9b2,74,task_assigned,R1,G00021,
20260903_120606_8bc9b2,74,task_assigned,R3,G00023,
20260903_120606_8bc9b2,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_120606_8bc9b2,75,task_created,,G00029,type=PICK pickup=B-04 dropoff=PICK-2
20260903_120606_8bc9b2,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120606_8bc9b2,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120606_8bc9b2,82,task_completed,R2,G00018,
20260903_120606_8bc9b2,83,task_assigned,R2,G00030,
20260903_120606_8bc9b2,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_120606_8bc9b2,85,task_created,,G00033,type=PICK pickup=H-03 dropoff=PICK-3
20260903_120606_8bc9b2,88,task_completed,R2,G00030,
20260903_120606_8bc9b2,89,task_assigned,R2,G00031,
20260903_120606_8bc9b2,91,task_completed,R1,G00021,
20260903_120606_8bc9b2,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-07
20260903_120606_8bc9b2,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_120606_8bc9b2,92,task_assigned,R1,G00033,
20260903_120606_8bc9b2,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120606_8bc9b2,95,task_completed,R2,G00031,
20260903_120606_8bc9b2,95,task_created,,G00037,type=PICK pickup=E-08 dropoff=PICK-2
20260903_120606_8bc9b2,96,task_completed,R4,G00022,
20260903_120606_8bc9b2,96,task_assigned,R2,G00036,
20260903_120606_8bc9b2,97,task_assigned,R4,G00029,
20260903_120606_8bc9b2,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260903_120606_8bc9b2,101,task_completed,R2,G00036,
20260903_120606_8bc9b2,102,task_completed,R3,G00023,
20260903_120606_8bc9b2,102,task_assigned,R2,G00035,
20260903_120606_8bc9b2,103,task_assigned,R3,G00037,
20260903_120606_8bc9b2,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_120606_8bc9b2,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-3
20260903_120606_8bc9b2,107,task_completed,R1,G00033,
20260903_120606_8bc9b2,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=E-04
20260903_120606_8bc9b2,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,108,task_assigned,R1,G00039,
20260903_120606_8bc9b2,112,task_completed,R4,G00029,
20260903_120606_8bc9b2,113,task_assigned,R4,G00042,
20260903_120606_8bc9b2,114,task_completed,R3,G00037,
20260903_120606_8bc9b2,115,task_assigned,R3,G00032,
20260903_120606_8bc9b2,115,task_created,,G00043,type=PUTAWAY pickup=RECV dropoff=B-03
20260903_120606_8bc9b2,115,task_created,,G00044,type=PICK pickup=E-02 dropoff=PICK-2
20260903_120606_8bc9b2,115,task_created,,G00045,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_120606_8bc9b2,121,task_completed,R4,G00042,
20260903_120606_8bc9b2,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,122,task_completed,R1,G00039,
20260903_120606_8bc9b2,122,task_assigned,R4,G00046,
20260903_120606_8bc9b2,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=E-01
20260903_120606_8bc9b2,123,task_assigned,R1,G00047,
20260903_120606_8bc9b2,124,task_completed,R2,G00035,
20260903_120606_8bc9b2,125,task_created,,G00048,type=PICK pickup=C-01 dropoff=PICK-2
20260903_120606_8bc9b2,125,task_assigned,R2,G00048,
20260903_120606_8bc9b2,127,task_completed,R4,G00046,
20260903_120606_8bc9b2,127,task_created,,G00049,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120606_8bc9b2,128,task_completed,R3,G00032,
20260903_120606_8bc9b2,128,task_assigned,R4,G00049,
20260903_120606_8bc9b2,129,task_assigned,R3,G00011,
20260903_120606_8bc9b2,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260903_120606_8bc9b2,135,task_created,,G00051,type=PICK pickup=B-06 dropoff=PICK-3
20260903_120606_8bc9b2,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260903_120606_8bc9b2,139,task_created,,G00054,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_120606_8bc9b2,142,task_completed,R2,G00048,
20260903_120606_8bc9b2,142,task_completed,R4,G00049,
20260903_120606_8bc9b2,143,task_assigned,R4,G00052,
20260903_120606_8bc9b2,143,task_assigned,R2,G00054,
20260903_120606_8bc9b2,145,task_created,,G00055,type=PICK pickup=E-01 dropoff=PICK-1
20260903_120606_8bc9b2,146,task_completed,R1,G00047,
20260903_120606_8bc9b2,147,task_assigned,R1,G00055,
20260903_120606_8bc9b2,147,task_created,,G00056,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260903_120606_8bc9b2,149,task_completed,R4,G00052,
20260903_120606_8bc9b2,149,task_completed,R2,G00054,
20260903_120606_8bc9b2,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120606_8bc9b2,150,task_completed,R3,G00011,
20260903_120606_8bc9b2,150,task_assigned,R2,G00053,
20260903_120606_8bc9b2,150,task_assigned,R4,G00057,
20260903_120606_8bc9b2,151,task_assigned,R3,G00041,
20260903_120606_8bc9b2,151,task_created,,G00058,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_120606_8bc9b2,154,task_completed,R1,G00055,
20260903_120606_8bc9b2,155,task_assigned,R1,G00027,
20260903_120606_8bc9b2,155,task_completed,R4,G00057,
20260903_120606_8bc9b2,155,task_created,,G00059,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260903_120606_8bc9b2,155,task_created,,G00060,type=PICK pickup=H-08 dropoff=PICK-3
20260903_120606_8bc9b2,156,task_assigned,R4,G00058,
20260903_120606_8bc9b2,163,task_completed,R3,G00041,
20260903_120606_8bc9b2,163,task_created,,G00061,type=PUTAWAY pickup=BUFFER dropoff=G-03
20260903_120606_8bc9b2,163,task_created,,G00062,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_120606_8bc9b2,163,task_created,,G00063,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_120606_8bc9b2,164,task_assigned,R3,G00026,
20260903_120606_8bc9b2,165,task_created,,G00064,type=PICK pickup=B-08 dropoff=PICK-3
20260903_120606_8bc9b2,169,task_completed,R1,G00027,
20260903_120606_8bc9b2,170,task_assigned,R1,G00063,
20260903_120606_8bc9b2,171,task_completed,R2,G00053,
20260903_120606_8bc9b2,171,task_created,,G00065,type=PUTAWAY pickup=RECV dropoff=D-06
20260903_120606_8bc9b2,172,task_assigned,R2,G00051,
20260903_120606_8bc9b2,175,task_created,,G00066,type=PICK pickup=C-04 dropoff=PICK-3
20260903_120606_8bc9b2,175,task_created,,G00067,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_120606_8bc9b2,177,task_completed,R1,G00063,
20260903_120606_8bc9b2,177,task_created,,G00068,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,178,task_assigned,R1,G00068,
20260903_120606_8bc9b2,179,task_created,,G00069,type=PUTAWAY pickup=BUFFER dropoff=F-02
20260903_120606_8bc9b2,181,task_completed,R3,G00026,
20260903_120606_8bc9b2,181,task_completed,R4,G00058,
20260903_120606_8bc9b2,182,task_assigned,R4,G00066,
20260903_120606_8bc9b2,182,task_assigned,R3,G00067,
20260903_120606_8bc9b2,183,task_completed,R1,G00068,
20260903_120606_8bc9b2,184,task_assigned,R1,G00061,
20260903_120606_8bc9b2,185,task_created,,G00070,type=PICK pickup=D-07 dropoff=PICK-1
20260903_120606_8bc9b2,186,task_completed,R2,G00051,
20260903_120606_8bc9b2,187,task_assigned,R2,G00045,
20260903_120606_8bc9b2,187,task_created,,G00071,type=PUTAWAY pickup=RECV dropoff=G-03
20260903_120606_8bc9b2,187,task_created,,G00072,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_120606_8bc9b2,188,robot_blocked,R4,,"{""x"": 18, ""y"": 9}"
20260903_120606_8bc9b2,191,task_created,,G00073,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_120606_8bc9b2,194,task_completed,R3,G00067,
20260903_120606_8bc9b2,195,task_assigned,R3,G00073,
