tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.9417,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,5,0,0,0,0,0,99.8833,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.7667,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,4,0,0,0,0,0,99.65,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.475,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,99.3,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,2,0,0,0,0,0,99.0417,97.4,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,0,98.7583,96.9,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,1,0,0,0,0,0,98.4167,96.4,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,98.075,95.9,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.7333,95.4,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,97.3917,94.9,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,0,0,0,0,0,0,96.9667,94.4,99.65,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,96.5167,93.9,99.3,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,1,0,0,0,0,0,96.0667,93.4,98.95,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,1,0,0,0,0,0,95.7,92.9,98.6,0.0,0.0,0.0,0.0
19,1,7.0,2.0,0.0,1.0,0.0,6,0,0,0,0,0,0,95.275,92.4,98.25,0.0,0.0,0.0,0.0
20,1,7.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0,94.85,91.9,97.9,0.0,0.0,0.0,0.0
21,1,7.0,0.0,0.0,1.0,0.0,5,0,1,0,0,0,0,94.4833,91.4,97.55,0.0,0.0,1.0,1.0
22,1,6.0,0.0,1.0,2.0,0.0,4,1,1,0,0,0,0,94.1167,90.9,97.2,0.0,0.0,1.0,2.0
23,1,7.0,1.0,0.0,2.0,0.0,6,0,0,0,0,0,0,93.7167,90.4,96.85,0.0,0.0,0.0,2.0
24,1,7.0,0.0,0.0,2.0,0.0,6,0,0,0,0,0,0,93.3167,89.9,96.5,0.0,0.0,0.0,2.0
25,2,7.0,1.0,1.0,3.0,0.0,5,1,0,0,0,0,0,92.9167,89.4,96.15,0.0,0.0,0.0,2.0
26,1,7.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,92.5167,88.9,95.8,0.0,0.0,0.0,2.0
27,2,8.0,1.0,0.0,3.0,0.0,6,0,0,0,0,0,0,92.1167,88.4,95.45,0.0,0.0,0.0,2.0
28,2,8.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,91.6667,87.9,95.1,0.0,0.0,0.0,2.0
29,2,8.0,0.0,0.0,3.0,0.0,6,0,0,0,0,0,0,91.2167,87.4,94.75,0.0,0.0,0.0,2.0
30,2,7.0,0.0,1.0,4.0,0.0,4,1,1,0,0,0,0,90.825,86.9,94.4,0.0,0.0,1.0,3.0
31,2,8.0,1.0,0.0,4.0,0.0,5,0,1,0,0,0,0,90.4583,86.4,94.05,0.0,0.0,1.0,4.0
