run_id,tick,event_type,robot_id,task_id,details
20260903_123154_2dcf0a,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_123154_2dcf0a,3,task_assigned,R2,G00001,
20260903_123154_2dcf0a,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_123154_2dcf0a,5,task_assigned,R4,G00002,
20260903_123154_2dcf0a,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_123154_2dcf0a,7,task_assigned,R1,G00003,
20260903_123154_2dcf0a,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123154_2dcf0a,9,task_assigned,R3,G00004,
20260903_123154_2dcf0a,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_123154_2dcf0a,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_123154_2dcf0a,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_123154_2dcf0a,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123154_2dcf0a,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123154_2dcf0a,24,task_completed,R3,G00004,
20260903_123154_2dcf0a,25,task_completed,R1,G00003,
20260903_123154_2dcf0a,25,task_assigned,R3,G00005,
20260903_123154_2dcf0a,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_123154_2dcf0a,26,task_assigned,R1,G00006,
20260903_123154_2dcf0a,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123154_2dcf0a,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123154_2dcf0a,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_123154_2dcf0a,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_123154_2dcf0a,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123154_2dcf0a,38,task_completed,R4,G00002,
20260903_123154_2dcf0a,39,task_assigned,R4,G00008,
20260903_123154_2dcf0a,40,task_completed,R2,G00001,
20260903_123154_2dcf0a,41,task_assigned,R2,G00007,
20260903_123154_2dcf0a,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260903_123154_2dcf0a,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123154_2dcf0a,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260903_123154_2dcf0a,48,robot_blocked,R1,,"{""x"": 9, ""y"": 4}"
20260903_123154_2dcf0a,48,robot_blocked,R3,,"{""x"": 10, ""y"": 4}"
20260903_123154_2dcf0a,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
