tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.1125,95.1,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.725,94.75,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.3375,94.4,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.9125,94.05,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.4875,93.65,95.8,0.0,0.0,0.0,0.0
21,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.0625,93.15,95.45,0.0,0.0,0.0,0.0
22,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.6,92.65,94.95,0.0,0.0,0.0,0.0
23,5,9.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.1375,92.15,94.45,0.0,0.0,0.0,0.0
24,5,8.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,92.6375,91.65,93.95,0.0,0.0,0.0,0.0
25,5,8.0,1.0,1.0,2.0,0.0,3,1,0,0,0,0,0,92.175,91.15,93.6,0.0,0.0,0.0,0.0
26,4,8.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.75,90.65,93.25,0.0,0.0,0.0,0.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.325,90.15,92.9,0.0,0.0,0.0,0.0
28,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.9,89.65,92.55,0.0,0.0,0.0,0.0
29,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.475,89.15,92.2,0.0,0.0,0.0,0.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.05,88.65,91.85,0.0,0.0,0.0,0.0
31,6,10.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.625,88.15,91.5,0.0,0.0,0.0,0.0
32,6,10.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.2,87.65,91.15,0.0,0.0,0.0,0.0
33,6,10.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,88.775,87.15,90.8,0.0,0.0,0.0,0.0
34,6,10.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,88.35,86.65,90.45,0.0,0.0,0.0,0.0
35,8,12.0,2.0,0.0,2.0,0.0,4,0,0,0,0,0,0,87.925,86.15,90.1,0.0,0.0,0.0,0.0
36,8,12.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,87.5,85.65,89.75,0.0,0.0,0.0,0.0
37,9,13.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,87.075,85.15,89.4,0.0,0.0,0.0,0.0
38,9,12.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,86.65,84.65,89.05,0.0,0.0,0.0,0.0
39,8,12.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,86.2625,84.3,88.7,0.0,0.0,0.0,0.0
40,8,11.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,85.875,83.95,88.35,0.0,0.0,0.0,0.0
41,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,85.525,83.6,88.0,0.0,0.0,0.0,0.0
42,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,85.1375,83.25,87.5,0.0,0.0,0.0,0.0
43,9,13.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,84.75,82.9,87.0,0.0,0.0,0.0,0.0
44,9,13.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,84.325,82.55,86.5,0.0,0.0,0.0,0.0
45,10,14.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,83.9,82.2,86.0,0.0,0.0,0.0,0.0
46,10,14.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,83.475,81.85,85.5,0.0,0.0,0.0,0.0
47,10,14.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,83.05,81.5,85.0,0.0,0.0,0.0,0.0
48,10,14.0,0.0,0.0,4.0,0.0,2,0,2,0,0,0,0,82.875,81.15,85.0,0.0,0.0,2.0,2.0
49,10,14.0,0.0,0.0,4.0,0.0,3,0,1,0,0,0,0,82.625,80.65,85.0,1.0,1.0,2.0,4.0
50,10,14.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,82.125,80.15,84.5,0.0,1.0,0.0,4.0
51,12,16.0,2.0,0.0,4.0,0.0,3,0,1,0,0,0,0,81.75,79.65,84.0,0.0,1.0,1.0,5.0
52,12,16.0,0.0,0.0,4.0,0.0,3,0,1,0,0,0,0,81.375,79.15,83.5,0.0,1.0,1.0,6.0
53,12,16.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,81.0,78.65,83.0,1.0,2.0,1.0,7.0
54,12,15.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,80.5,78.15,82.5,0.0,2.0,0.0,7.0
55,13,17.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,80.0375,77.8,82.0,0.0,2.0,0.0,7.0
56,13,17.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,79.575,77.45,81.5,0.0,2.0,0.0,7.0
57,13,17.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,79.1125,77.1,81.0,0.0,2.0,0.0,7.0
58,13,17.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,78.65,76.75,80.5,0.0,2.0,0.0,7.0
59,14,18.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,78.15,76.25,80.0,0.0,2.0,0.0,7.0
60,14,18.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,77.65,75.75,79.5,0.0,2.0,0.0,7.0
61,14,17.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,77.15,75.25,79.0,0.0,2.0,0.0,7.0
62,13,17.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,76.6875,74.9,78.5,0.0,2.0,0.0,7.0
63,13,16.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,76.225,74.55,78.0,0.0,2.0,0.0,7.0
64,12,16.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,75.8,74.2,77.65,0.0,2.0,0.0,7.0
65,14,17.0,2.0,1.0,8.0,0.0,3,1,0,0,0,0,0,75.375,73.85,77.3,0.0,2.0,0.0,7.0
66,13,17.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,74.9875,73.35,76.95,0.0,2.0,0.0,7.0
67,15,19.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,74.6,72.85,76.6,0.0,2.0,0.0,7.0
68,15,19.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,74.2125,72.35,76.25,0.0,2.0,0.0,7.0
69,15,18.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,73.825,71.85,75.9,0.0,2.0,0.0,7.0
70,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,73.475,71.5,75.55,0.0,2.0,0.0,7.0
71,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,73.125,71.15,75.2,0.0,2.0,0.0,7.0
72,14,18.0,0.0,0.0,9.0,0.0,3,0,1,0,0,0,0,72.825,70.8,74.7,0.0,2.0,1.0,8.0
73,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,72.4375,70.45,74.2,0.0,2.0,0.0,8.0
74,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,72.05,70.1,73.7,0.0,2.0,0.0,8.0
75,16,20.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,71.625,69.75,73.2,0.0,2.0,0.0,8.0
76,16,20.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,71.1625,69.25,72.7,0.0,2.0,0.0,8.0
77,16,20.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,70.7,68.75,72.2,0.0,2.0,0.0,8.0
78,16,20.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,70.2375,68.25,71.7,0.0,2.0,0.0,8.0
79,18,22.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,69.7375,67.75,71.2,0.0,2.0,0.0,8.0
80,18,21.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,69.2375,67.25,70.7,0.0,2.0,0.0,8.0
81,17,21.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,68.775,66.75,70.35,0.0,2.0,0.0,8.0
82,17,20.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,68.3125,66.25,70.0,0.0,2.0,0.0,8.0
83,17,21.0,1.0,0.0,11.0,0.0,4,0,0,0,0,0,0,67.8875,65.9,69.65,0.0,2.0,0.0,8.0
84,17,21.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,67.4625,65.55,69.3,0.0,2.0,0.0,8.0
85,18,21.0,1.0,1.0,12.0,0.0,3,1,0,0,0,0,0,67.0375,65.2,68.95,0.0,2.0,0.0,8.0
86,17,21.0,0.0,0.0,12.0,0.0,3,0,1,0,0,0,0,66.775,64.85,68.6,0.0,2.0,1.0,9.0
87,17,21.0,0.0,0.0,12.0,0.0,2,0,2,0,0,0,0,66.6,64.5,68.6,0.0,2.0,2.0,11.0
88,17,21.0,0.0,0.0,12.0,0.0,3,0,1,0,0,0,0,66.425,64.15,68.6,1.0,3.0,2.0,13.0
89,17,20.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,66.0375,63.8,68.25,0.0,3.0,0.0,13.0
90,16,20.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,65.6875,63.45,67.9,0.0,3.0,0.0,13.0
91,18,22.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,65.3375,63.1,67.55,0.0,3.0,0.0,13.0
92,18,22.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,64.9875,62.75,67.2,0.0,3.0,0.0,13.0
93,19,23.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,64.6375,62.4,66.85,0.0,3.0,0.0,13.0
94,19,23.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,64.25,62.05,66.5,0.0,3.0,0.0,13.0
95,20,24.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,63.8625,61.7,66.15,0.0,3.0,0.0,13.0
96,20,24.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,63.475,61.35,65.8,0.0,3.0,0.0,13.0
97,20,24.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,63.05,60.85,65.45,0.0,3.0,0.0,13.0
98,20,24.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,62.625,60.35,65.1,0.0,3.0,0.0,13.0
99,21,24.0,1.0,1.0,14.0,0.0,3,1,0,0,0,0,0,62.1625,59.85,64.6,0.0,3.0,0.0,13.0
100,20,24.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,61.7375,59.5,64.1,0.0,3.0,0.0,13.0
101,20,24.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,61.3125,59.15,63.6,0.0,3.0,0.0,13.0
102,20,24.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,60.8875,58.8,63.1,0.0,3.0,0.0,13.0
103,21,24.0,1.0,1.0,15.0,0.0,3,1,0,0,0,0,0,60.4625,58.45,62.6,0.0,3.0,0.0,13.0
104,20,24.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,60.075,58.1,62.1,0.0,3.0,0.0,13.0
105,21,25.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,59.6875,57.75,61.6,0.0,3.0,0.0,13.0
106,21,25.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,59.3,57.4,61.1,0.0,3.0,0.0,13.0
107,23,27.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,58.875,57.05,60.6,0.0,3.0,0.0,13.0
108,23,27.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,58.4125,56.7,60.1,0.0,3.0,0.0,13.0
109,23,27.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,57.95,56.35,59.6,0.0,3.0,0.0,13.0
110,23,26.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,57.4875,56.0,59.1,0.0,3.0,0.0,13.0
111,22,26.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,57.0625,55.65,58.6,0.0,3.0,0.0,13.0
112,22,25.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,56.6375,55.3,58.1,0.0,3.0,0.0,13.0
113,21,25.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,56.25,54.95,57.75,0.0,3.0,0.0,13.0
114,21,25.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,55.8625,54.6,57.4,0.0,3.0,0.0,13.0
115,24,28.0,3.0,0.0,17.0,0.0,4,0,0,0,0,0,0,55.475,54.25,57.05,0.0,3.0,0.0,13.0
116,24,28.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,55.0875,53.9,56.7,0.0,3.0,0.0,13.0
117,24,28.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,54.7,53.55,56.35,0.0,3.0,0.0,13.0
118,24,28.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,54.3125,53.2,56.0,0.0,3.0,0.0,13.0
119,24,28.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,53.925,52.85,55.65,0.0,3.0,0.0,13.0
120,24,28.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,53.5375,52.35,55.3,0.0,3.0,0.0,13.0
121,25,29.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,53.15,51.85,54.95,0.0,3.0,0.0,13.0
122,25,29.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,52.7625,51.35,54.6,0.0,3.0,0.0,13.0
123,26,30.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,52.375,50.85,54.25,0.0,3.0,0.0,13.0
124,26,30.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,51.9875,50.35,53.9,0.0,3.0,0.0,13.0
125,27,31.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,51.6,49.85,53.55,0.0,3.0,0.0,13.0
126,27,31.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,51.2125,49.35,53.2,0.0,3.0,0.0,13.0
127,28,31.0,1.0,1.0,18.0,0.0,3,1,0,0,0,0,0,50.825,48.85,52.85,0.0,3.0,0.0,13.0
128,27,31.0,0.0,0.0,18.0,0.0,3,0,1,0,0,0,0,50.5625,48.5,52.5,0.0,3.0,1.0,14.0
129,27,31.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,50.175,48.15,52.15,0.0,3.0,0.0,14.0
130,27,31.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,49.7875,47.8,51.8,0.0,3.0,0.0,14.0
131,28,32.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,49.4,47.45,51.45,0.0,3.0,0.0,14.0
132,28,32.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,49.0125,47.1,51.1,0.0,3.0,0.0,14.0
133,28,32.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,48.625,46.75,50.75,0.0,3.0,0.0,14.0
134,28,32.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,48.2375,46.4,50.4,0.0,3.0,0.0,14.0
135,30,34.0,2.0,0.0,18.0,0.0,4,0,0,0,0,0,0,47.8125,46.05,49.9,0.0,3.0,0.0,14.0
136,30,34.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,47.3875,45.7,49.4,0.0,3.0,0.0,14.0
137,30,34.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,46.925,45.2,48.9,0.0,3.0,0.0,14.0
138,30,34.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,46.4625,44.7,48.4,0.0,3.0,0.0,14.0
139,32,35.0,2.0,1.0,19.0,0.0,3,1,0,0,0,0,0,45.9625,44.2,47.9,0.0,3.0,0.0,14.0
140,31,35.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,45.5,43.7,47.4,0.0,3.0,0.0,14.0
141,31,35.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,45.0375,43.2,46.9,0.0,3.0,0.0,14.0
142,31,35.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,44.575,42.7,46.4,0.0,3.0,0.0,14.0
143,31,35.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,44.1125,42.2,45.9,0.0,3.0,0.0,14.0
144,31,34.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,43.65,41.7,45.4,0.0,3.0,0.0,14.0
145,31,35.0,1.0,0.0,20.0,0.0,4,0,0,0,0,0,0,43.225,41.2,45.05,0.0,3.0,0.0,14.0
146,31,35.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,42.8,40.7,44.7,0.0,3.0,0.0,14.0
147,32,36.0,1.0,0.0,20.0,0.0,4,0,0,0,0,0,0,42.375,40.2,44.35,0.0,3.0,0.0,14.0
148,32,36.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,41.9125,39.7,44.0,0.0,3.0,0.0,14.0
149,33,36.0,1.0,1.0,21.0,0.0,3,1,0,0,0,0,0,41.4125,39.2,43.5,0.0,3.0,0.0,14.0
150,32,36.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,40.95,38.85,43.0,0.0,3.0,0.0,14.0
151,33,36.0,1.0,1.0,22.0,0.0,3,1,0,0,0,0,0,40.4875,38.5,42.5,0.0,3.0,0.0,14.0
152,32,36.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,40.0625,38.15,42.15,0.0,3.0,0.0,14.0
153,32,36.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,39.6375,37.8,41.8,0.0,3.0,0.0,14.0
154,32,36.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,39.2125,37.45,41.45,0.0,3.0,0.0,14.0
155,34,38.0,2.0,0.0,22.0,0.0,4,0,0,0,0,0,0,38.7875,37.1,41.1,0.0,3.0,0.0,14.0
156,34,38.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,38.3625,36.75,40.75,0.0,3.0,0.0,14.0
157,34,38.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,37.9375,36.4,40.4,0.0,3.0,0.0,14.0
158,34,38.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,37.5125,36.05,40.05,0.0,3.0,0.0,14.0
159,34,37.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,37.0875,35.7,39.7,0.0,3.0,0.0,14.0
160,33,37.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,36.7,35.35,39.35,0.0,3.0,0.0,14.0
161,33,37.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,36.3125,35.0,39.0,0.0,3.0,0.0,14.0
162,33,36.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,35.925,34.65,38.65,0.0,3.0,0.0,14.0
163,35,39.0,3.0,0.0,24.0,0.0,4,0,0,0,0,0,0,35.5375,34.15,38.3,0.0,3.0,0.0,14.0
164,35,39.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,35.15,33.65,37.95,0.0,3.0,0.0,14.0
165,36,40.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,34.7625,33.15,37.6,0.0,3.0,0.0,14.0
166,36,40.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,34.375,32.65,37.25,0.0,3.0,0.0,14.0
167,36,39.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,33.95,32.15,36.9,0.0,3.0,0.0,14.0
168,35,39.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,33.5625,31.8,36.55,0.0,3.0,0.0,14.0
169,35,39.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,33.1375,31.45,36.05,0.0,3.0,0.0,14.0
170,35,39.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,32.7125,31.1,35.55,0.0,3.0,0.0,14.0
