run_id,tick,event_type,robot_id,task_id,details
20260903_123158_7a7e64,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_123158_7a7e64,3,task_assigned,R5,G00001,
20260903_123158_7a7e64,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_123158_7a7e64,5,task_assigned,R2,G00002,
20260903_123158_7a7e64,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_123158_7a7e64,7,task_assigned,R1,G00003,
20260903_123158_7a7e64,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123158_7a7e64,9,task_assigned,R4,G00004,
20260903_123158_7a7e64,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_123158_7a7e64,11,task_assigned,R3,G00005,
20260903_123158_7a7e64,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_123158_7a7e64,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_123158_7a7e64,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123158_7a7e64,23,task_completed,R4,G00004,
20260903_123158_7a7e64,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123158_7a7e64,24,task_assigned,R4,G00007,
20260903_123158_7a7e64,25,task_completed,R1,G00003,
20260903_123158_7a7e64,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_123158_7a7e64,26,task_assigned,R1,G00006,
20260903_123158_7a7e64,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123158_7a7e64,29,robot_blocked,R4,,"{""x"": 12, ""y"": 12}"
20260903_123158_7a7e64,31,task_completed,R5,G00001,
20260903_123158_7a7e64,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123158_7a7e64,32,task_completed,R2,G00002,
20260903_123158_7a7e64,32,task_assigned,R5,G00011,
20260903_123158_7a7e64,33,task_assigned,R2,G00010,
20260903_123158_7a7e64,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_123158_7a7e64,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_123158_7a7e64,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260903_123158_7a7e64,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123158_7a7e64,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260903_123158_7a7e64,46,task_completed,R4,G00007,
20260903_123158_7a7e64,46,robot_blocked,R3,,"{""x"": 10, ""y"": 4}"
20260903_123158_7a7e64,47,task_assigned,R4,G00013,
20260903_123158_7a7e64,48,robot_blocked,R1,,"{""x"": 9, ""y"": 4}"
20260903_123158_7a7e64,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
20260903_123158_7a7e64,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,53,task_completed,R5,G00011,
20260903_123158_7a7e64,54,task_assigned,R5,G00016,
20260903_123158_7a7e64,55,task_created,,G00021,type=PICK pickup=B-04 dropoff=PICK-3
20260903_123158_7a7e64,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123158_7a7e64,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260903_123158_7a7e64,60,task_completed,R2,G00010,
20260903_123158_7a7e64,61,task_assigned,R2,G00019,
20260903_123158_7a7e64,65,task_completed,R4,G00013,
20260903_123158_7a7e64,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-2
20260903_123158_7a7e64,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,66,task_assigned,R4,G00023,
20260903_123158_7a7e64,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-02
20260903_123158_7a7e64,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_123158_7a7e64,71,task_completed,R3,G00005,
20260903_123158_7a7e64,72,task_assigned,R3,G00026,
20260903_123158_7a7e64,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123158_7a7e64,75,task_created,,G00029,type=PICK pickup=B-04 dropoff=PICK-2
20260903_123158_7a7e64,76,task_completed,R1,G00006,
20260903_123158_7a7e64,77,task_assigned,R1,G00028,
20260903_123158_7a7e64,79,task_completed,R5,G00016,
20260903_123158_7a7e64,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123158_7a7e64,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123158_7a7e64,80,task_assigned,R5,G00014,
20260903_123158_7a7e64,80,robot_blocked,R2,,"{""x"": 2, ""y"": 1}"
20260903_123158_7a7e64,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_123158_7a7e64,85,task_created,,G00033,type=PICK pickup=H-03 dropoff=PICK-3
20260903_123158_7a7e64,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-07
20260903_123158_7a7e64,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123158_7a7e64,92,task_completed,R4,G00023,
20260903_123158_7a7e64,92,robot_blocked,R5,,"{""x"": 8, ""y"": 4}"
20260903_123158_7a7e64,93,task_assigned,R4,G00032,
20260903_123158_7a7e64,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123158_7a7e64,95,task_created,,G00037,type=PICK pickup=E-08 dropoff=PICK-2
20260903_123158_7a7e64,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260903_123158_7a7e64,103,task_completed,R5,G00014,
20260903_123158_7a7e64,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_123158_7a7e64,104,task_assigned,R5,G00034,
20260903_123158_7a7e64,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-3
20260903_123158_7a7e64,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=E-04
20260903_123158_7a7e64,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,108,task_completed,R3,G00026,
20260903_123158_7a7e64,109,task_completed,R2,G00019,
20260903_123158_7a7e64,109,task_completed,R1,G00028,
20260903_123158_7a7e64,109,task_assigned,R3,G00038,
20260903_123158_7a7e64,110,task_assigned,R2,G00018,
20260903_123158_7a7e64,110,task_assigned,R1,G00041,
20260903_123158_7a7e64,115,task_created,,G00043,type=PUTAWAY pickup=RECV dropoff=B-03
20260903_123158_7a7e64,115,task_created,,G00044,type=PICK pickup=E-02 dropoff=PICK-2
20260903_123158_7a7e64,115,task_created,,G00045,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_123158_7a7e64,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,122,task_completed,R4,G00032,
20260903_123158_7a7e64,122,task_completed,R1,G00041,
20260903_123158_7a7e64,123,task_assigned,R1,G00043,
20260903_123158_7a7e64,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=E-01
20260903_123158_7a7e64,123,task_assigned,R4,G00047,
20260903_123158_7a7e64,125,task_created,,G00048,type=PICK pickup=C-01 dropoff=PICK-2
20260903_123158_7a7e64,127,task_created,,G00049,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123158_7a7e64,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260903_123158_7a7e64,135,task_created,,G00051,type=PICK pickup=B-06 dropoff=PICK-3
20260903_123158_7a7e64,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260903_123158_7a7e64,139,task_created,,G00054,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_123158_7a7e64,142,task_completed,R3,G00038,
20260903_123158_7a7e64,143,task_assigned,R3,G00050,
20260903_123158_7a7e64,144,task_completed,R2,G00018,
20260903_123158_7a7e64,145,task_assigned,R2,G00053,
20260903_123158_7a7e64,145,task_created,,G00055,type=PICK pickup=E-01 dropoff=PICK-1
20260903_123158_7a7e64,146,task_completed,R4,G00047,
20260903_123158_7a7e64,147,task_created,,G00056,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260903_123158_7a7e64,147,task_assigned,R4,G00056,
20260903_123158_7a7e64,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123158_7a7e64,151,task_created,,G00058,type=PACK pickup=PICK-3 dropoff=PACK-2
20260903_123158_7a7e64,155,task_completed,R5,G00034,
20260903_123158_7a7e64,155,task_completed,R1,G00043,
20260903_123158_7a7e64,155,task_created,,G00059,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260903_123158_7a7e64,155,task_created,,G00060,type=PICK pickup=H-08 dropoff=PICK-3
20260903_123158_7a7e64,156,task_assigned,R5,G00021,
20260903_123158_7a7e64,156,task_assigned,R1,G00059,
20260903_123158_7a7e64,163,task_created,,G00061,type=PUTAWAY pickup=BUFFER dropoff=G-03
20260903_123158_7a7e64,163,task_created,,G00062,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_123158_7a7e64,163,task_created,,G00063,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123158_7a7e64,165,task_created,,G00064,type=PICK pickup=B-08 dropoff=PICK-3
20260903_123158_7a7e64,171,task_created,,G00065,type=PUTAWAY pickup=RECV dropoff=D-06
20260903_123158_7a7e64,173,task_completed,R3,G00050,
20260903_123158_7a7e64,174,task_completed,R5,G00021,
20260903_123158_7a7e64,174,task_completed,R4,G00056,
20260903_123158_7a7e64,174,task_assigned,R3,G00061,
20260903_123158_7a7e64,175,task_assigned,R5,G00024,
20260903_123158_7a7e64,175,task_assigned,R4,G00065,
20260903_123158_7a7e64,175,task_created,,G00066,type=PICK pickup=C-04 dropoff=PICK-3
20260903_123158_7a7e64,175,task_created,,G00067,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123158_7a7e64,177,task_created,,G00068,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123158_7a7e64,179,task_completed,R2,G00053,
20260903_123158_7a7e64,179,task_created,,G00069,type=PUTAWAY pickup=BUFFER dropoff=F-02
