tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,14,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,14,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,13,0,0,0,0,0,99.975,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,13,0,0,0,0,0,99.95,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,12,0,0,0,0,0,99.9,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,12,0,0,0,0,0,99.85,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,11,0,0,0,0,0,99.7643,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,11,0,0,0,0,0,99.6786,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,10,0,0,0,0,0,99.5571,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,10,0,0,0,0,0,99.425,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,9,0,0,0,0,0,99.2679,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,9,0,0,0,0,0,99.1107,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,9,0,0,0,0,0,98.9536,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,9,0,0,0,0,0,98.7857,94.6,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,1.0,1.0,0.0,5,9,0,0,0,0,0,98.5821,94.1,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,9,0,0,0,0,0,98.4143,93.6,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,1.0,2.0,0.0,4,10,0,0,0,0,0,98.2464,93.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,3,10,1,0,0,0,0,98.15,93.1,100.0,0.0,0.0,1.0,1.0
19,0,6.0,2.0,0.0,2.0,0.0,5,8,1,0,0,0,0,98.0393,93.1,100.0,1.0,1.0,2.0,3.0
20,0,6.0,0.0,0.0,2.0,0.0,6,8,0,0,0,0,0,97.8571,92.6,100.0,0.0,1.0,0.0,3.0
21,0,6.0,0.0,0.0,2.0,0.0,5,8,1,0,0,0,0,97.7,92.1,100.0,0.0,1.0,1.0,4.0
22,0,6.0,0.0,0.0,2.0,0.0,5,8,1,0,0,0,0,97.5429,91.75,100.0,0.0,1.0,1.0,5.0
23,0,7.0,1.0,0.0,2.0,0.0,5,7,2,0,0,0,0,97.3964,91.6,100.0,0.0,1.0,2.0,7.0
24,0,6.0,0.0,1.0,3.0,0.0,6,8,0,0,0,0,0,97.1679,91.1,100.0,0.0,1.0,0.0,7.0
25,0,7.0,1.0,0.0,3.0,0.0,6,7,1,0,0,0,0,96.9857,90.6,100.0,0.0,1.0,1.0,8.0
26,0,7.0,0.0,0.0,3.0,0.0,6,7,1,0,0,0,0,96.7821,90.1,100.0,1.0,2.0,1.0,9.0
27,0,8.0,1.0,0.0,3.0,0.0,8,6,0,0,0,0,0,96.4929,89.6,100.0,0.0,2.0,0.0,9.0
28,0,6.0,0.0,2.0,5.0,0.0,5,8,1,0,0,0,0,96.2643,89.1,100.0,0.0,2.0,1.0,10.0
29,0,6.0,0.0,0.0,5.0,0.0,6,8,0,0,0,0,0,96.1071,88.6,100.0,1.0,3.0,1.0,11.0
30,0,6.0,0.0,0.0,5.0,0.0,6,8,0,0,0,0,0,95.9143,88.1,100.0,0.0,3.0,0.0,11.0
31,0,6.0,1.0,1.0,6.0,0.0,6,8,0,0,0,0,0,95.7214,87.6,100.0,0.0,3.0,0.0,11.0
32,0,6.0,0.0,0.0,6.0,0.0,6,8,0,0,0,0,0,95.5643,87.1,100.0,0.0,3.0,0.0,11.0
33,0,6.0,0.0,0.0,6.0,0.0,6,8,0,0,0,0,0,95.3714,86.6,100.0,0.0,3.0,0.0,11.0
34,0,6.0,0.0,0.0,6.0,0.0,6,8,0,0,0,0,0,95.1786,86.1,100.0,0.0,3.0,0.0,11.0
35,0,8.0,2.0,0.0,6.0,0.0,8,6,0,0,0,0,0,94.9357,85.6,100.0,0.0,3.0,0.0,11.0
36,0,8.0,0.0,0.0,6.0,0.0,8,6,0,0,0,0,0,94.6821,85.1,100.0,0.0,3.0,0.0,11.0
37,0,9.0,1.0,0.0,6.0,0.0,9,5,0,0,0,0,0,94.3929,84.6,100.0,0.0,3.0,0.0,11.0
38,0,8.0,0.0,1.0,7.0,0.0,8,6,0,0,0,0,0,94.0929,84.1,100.0,0.0,3.0,0.0,11.0
39,0,7.0,0.0,1.0,8.0,0.0,7,7,0,0,0,0,0,93.8286,83.6,100.0,0.0,3.0,0.0,11.0
40,0,7.0,0.0,0.0,8.0,0.0,6,7,1,0,0,0,0,93.6143,83.1,100.0,0.0,3.0,1.0,12.0
41,0,7.0,0.0,0.0,8.0,0.0,6,7,1,0,0,0,0,93.375,82.6,100.0,1.0,4.0,1.0,13.0
42,0,5.0,0.0,2.0,10.0,0.0,5,9,0,0,0,0,0,93.1357,82.1,100.0,0.0,4.0,0.0,13.0
43,0,5.0,2.0,2.0,12.0,0.0,4,9,1,0,0,0,0,92.9429,81.75,100.0,0.0,4.0,1.0,14.0
44,0,5.0,0.0,0.0,12.0,0.0,4,9,1,0,0,0,0,92.8214,81.4,100.0,1.0,5.0,1.0,15.0
45,0,6.0,1.0,0.0,12.0,0.0,6,8,0,0,0,0,0,92.625,81.05,100.0,0.0,5.0,0.0,15.0
46,0,6.0,0.0,0.0,12.0,0.0,5,8,1,0,0,0,0,92.4679,81.05,100.0,0.0,5.0,1.0,16.0
47,0,6.0,0.0,0.0,12.0,0.0,5,8,1,0,0,0,0,92.3357,81.05,100.0,1.0,6.0,2.0,18.0
48,0,6.0,0.0,0.0,12.0,0.0,6,8,0,0,0,0,0,92.1536,80.7,100.0,0.0,6.0,0.0,18.0
49,0,5.0,0.0,1.0,13.0,0.0,4,9,1,0,0,0,0,91.9964,80.35,100.0,0.0,6.0,1.0,19.0
50,0,5.0,0.0,0.0,13.0,0.0,5,9,0,0,0,0,0,91.85,80.0,100.0,0.0,6.0,0.0,19.0
51,0,7.0,2.0,0.0,13.0,0.0,7,7,0,0,0,0,0,91.6536,79.65,100.0,0.0,6.0,0.0,19.0
52,0,7.0,0.0,0.0,13.0,0.0,7,7,0,0,0,0,0,91.4571,79.3,100.0,0.0,6.0,0.0,19.0
53,0,6.0,0.0,1.0,14.0,0.0,6,8,0,0,0,0,0,91.2607,78.95,100.0,0.0,6.0,0.0,19.0
54,0,6.0,0.0,0.0,14.0,0.0,6,8,0,0,0,0,0,91.0893,78.6,100.0,0.0,6.0,0.0,19.0
55,0,8.0,2.0,0.0,14.0,0.0,7,6,1,0,0,0,0,90.8821,78.25,100.0,0.0,6.0,1.0,20.0
56,0,7.0,0.0,1.0,15.0,0.0,6,7,1,0,0,0,0,90.6643,77.9,100.0,1.0,7.0,1.0,21.0
57,0,6.0,0.0,1.0,16.0,0.0,6,8,0,0,0,0,0,90.4107,77.55,100.0,0.0,7.0,0.0,21.0
58,0,6.0,0.0,0.0,16.0,0.0,5,8,1,0,0,0,0,90.2429,77.55,100.0,0.0,7.0,1.0,22.0
59,0,7.0,1.0,0.0,16.0,0.0,6,7,1,0,0,0,0,90.0857,77.25,100.0,1.0,8.0,2.0,24.0
60,0,7.0,0.0,0.0,16.0,0.0,7,7,0,0,0,0,0,89.8679,76.75,100.0,0.0,8.0,0.0,24.0
61,0,7.0,0.0,0.0,16.0,0.0,6,7,1,0,0,0,0,89.6857,76.25,100.0,0.0,8.0,1.0,25.0
62,0,7.0,0.0,0.0,16.0,0.0,7,7,0,0,0,0,0,89.4679,75.75,100.0,0.0,8.0,0.0,25.0
63,0,7.0,0.0,0.0,16.0,0.0,7,7,0,0,0,0,0,89.25,75.25,100.0,0.0,8.0,0.0,25.0
64,0,7.0,0.0,0.0,16.0,0.0,6,7,1,0,0,0,0,89.0679,75.25,100.0,0.0,8.0,1.0,26.0
65,0,9.0,2.0,0.0,16.0,0.0,8,5,1,0,0,0,0,88.8607,75.25,100.0,1.0,9.0,2.0,28.0
66,0,9.0,0.0,0.0,16.0,0.0,7,5,2,0,0,0,0,88.6429,74.75,100.0,0.0,9.0,2.0,30.0
67,0,11.0,2.0,0.0,16.0,0.0,8,3,3,0,0,0,0,88.4464,74.25,100.0,1.0,10.0,4.0,34.0
68,0,9.0,0.0,2.0,18.0,0.0,8,5,1,0,0,0,0,88.1679,73.75,100.0,1.0,11.0,2.0,36.0
69,0,9.0,0.0,0.0,18.0,0.0,9,5,0,0,0,0,0,87.8893,73.75,100.0,0.0,11.0,0.0,36.0
70,0,7.0,0.0,2.0,20.0,0.0,7,7,0,0,0,0,0,87.6107,73.25,100.0,0.0,11.0,0.0,36.0
71,0,7.0,0.0,0.0,20.0,0.0,7,7,0,0,0,0,0,87.4036,72.75,100.0,0.0,11.0,0.0,36.0
