run_id,tick,event_type,robot_id,task_id,details
20260903_123214_43bbe0,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_123214_43bbe0,3,task_assigned,R7,G00001,
20260903_123214_43bbe0,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_123214_43bbe0,5,task_assigned,R2,G00002,
20260903_123214_43bbe0,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_123214_43bbe0,7,task_assigned,R13,G00003,
20260903_123214_43bbe0,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123214_43bbe0,9,task_assigned,R1,G00004,
20260903_123214_43bbe0,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_123214_43bbe0,11,task_assigned,R12,G00005,
20260903_123214_43bbe0,15,task_completed,R13,G00003,
20260903_123214_43bbe0,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_123214_43bbe0,15,task_assigned,R15,G00006,
20260903_123214_43bbe0,17,task_completed,R1,G00004,
20260903_123214_43bbe0,18,robot_blocked,R12,,"{""x"": 12, ""y"": 4}"
20260903_123214_43bbe0,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_123214_43bbe0,19,task_assigned,R10,G00007,
20260903_123214_43bbe0,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123214_43bbe0,19,task_assigned,R13,G00008,
20260903_123214_43bbe0,19,robot_blocked,R7,,"{""x"": 11, ""y"": 4}"
20260903_123214_43bbe0,21,robot_blocked,R2,,"{""x"": 12, ""y"": 4}"
20260903_123214_43bbe0,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123214_43bbe0,23,task_assigned,R1,G00009,
20260903_123214_43bbe0,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_123214_43bbe0,25,task_assigned,R9,G00010,
20260903_123214_43bbe0,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123214_43bbe0,27,task_assigned,R6,G00011,
20260903_123214_43bbe0,27,robot_blocked,R15,,"{""x"": 8, ""y"": 7}"
20260903_123214_43bbe0,28,task_completed,R10,G00007,
20260903_123214_43bbe0,28,task_completed,R1,G00009,
20260903_123214_43bbe0,31,task_completed,R13,G00008,
20260903_123214_43bbe0,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123214_43bbe0,31,task_assigned,R10,G00012,
20260903_123214_43bbe0,34,task_completed,R2,G00002,
20260903_123214_43bbe0,34,robot_blocked,R10,,"{""x"": 12, ""y"": 6}"
20260903_123214_43bbe0,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_123214_43bbe0,35,task_assigned,R11,G00013,
20260903_123214_43bbe0,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_123214_43bbe0,35,task_assigned,R2,G00014,
20260903_123214_43bbe0,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123214_43bbe0,37,task_assigned,R1,G00015,
20260903_123214_43bbe0,38,task_completed,R9,G00010,
20260903_123214_43bbe0,40,task_completed,R7,G00001,
20260903_123214_43bbe0,40,task_completed,R12,G00005,
20260903_123214_43bbe0,41,task_completed,R15,G00006,
20260903_123214_43bbe0,42,task_completed,R1,G00015,
20260903_123214_43bbe0,42,robot_blocked,R6,,"{""x"": 6, ""y"": 4}"
20260903_123214_43bbe0,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260903_123214_43bbe0,43,task_assigned,R12,G00016,
20260903_123214_43bbe0,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123214_43bbe0,43,task_assigned,R5,G00017,
20260903_123214_43bbe0,44,task_completed,R10,G00012,
20260903_123214_43bbe0,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260903_123214_43bbe0,45,task_assigned,R9,G00018,
20260903_123214_43bbe0,48,robot_blocked,R5,,"{""x"": 8, ""y"": 8}"
20260903_123214_43bbe0,48,robot_blocked,R9,,"{""x"": 9, ""y"": 8}"
20260903_123214_43bbe0,51,task_completed,R2,G00014,
20260903_123214_43bbe0,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
20260903_123214_43bbe0,51,task_assigned,R7,G00019,
20260903_123214_43bbe0,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123214_43bbe0,51,task_assigned,R1,G00020,
20260903_123214_43bbe0,55,task_completed,R6,G00011,
20260903_123214_43bbe0,55,task_completed,R5,G00017,
20260903_123214_43bbe0,55,task_created,,G00021,type=PICK pickup=B-04 dropoff=PICK-3
20260903_123214_43bbe0,55,task_assigned,R10,G00021,
20260903_123214_43bbe0,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123214_43bbe0,55,task_assigned,R2,G00022,
20260903_123214_43bbe0,56,task_completed,R1,G00020,
20260903_123214_43bbe0,57,task_completed,R11,G00013,
20260903_123214_43bbe0,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260903_123214_43bbe0,59,task_assigned,R13,G00023,
20260903_123214_43bbe0,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-2
20260903_123214_43bbe0,65,task_assigned,R11,G00024,
20260903_123214_43bbe0,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123214_43bbe0,65,task_assigned,R1,G00025,
20260903_123214_43bbe0,66,task_completed,R2,G00022,
20260903_123214_43bbe0,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-02
20260903_123214_43bbe0,67,task_assigned,R2,G00026,
20260903_123214_43bbe0,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_123214_43bbe0,67,task_assigned,R6,G00027,
20260903_123214_43bbe0,68,task_completed,R9,G00018,
20260903_123214_43bbe0,70,task_completed,R1,G00025,
20260903_123214_43bbe0,72,task_completed,R12,G00016,
20260903_123214_43bbe0,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123214_43bbe0,75,task_assigned,R12,G00028,
20260903_123214_43bbe0,75,task_created,,G00029,type=PICK pickup=B-04 dropoff=PICK-2
20260903_123214_43bbe0,75,task_assigned,R9,G00029,
20260903_123214_43bbe0,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123214_43bbe0,79,task_assigned,R5,G00030,
20260903_123214_43bbe0,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123214_43bbe0,79,task_assigned,R1,G00031,
20260903_123214_43bbe0,82,task_completed,R11,G00024,
20260903_123214_43bbe0,83,task_completed,R13,G00023,
20260903_123214_43bbe0,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_123214_43bbe0,83,task_assigned,R15,G00032,
20260903_123214_43bbe0,84,task_completed,R1,G00031,
20260903_123214_43bbe0,85,task_created,,G00033,type=PICK pickup=H-03 dropoff=PICK-3
20260903_123214_43bbe0,85,task_assigned,R4,G00033,
20260903_123214_43bbe0,91,task_completed,R6,G00027,
