run_id,tick,event_type,robot_id,task_id,details
20260903_123215_38aa8c,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260903_123215_38aa8c,3,task_assigned,R7,G00001,
20260903_123215_38aa8c,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260903_123215_38aa8c,5,task_assigned,R2,G00002,
20260903_123215_38aa8c,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260903_123215_38aa8c,7,task_assigned,R5,G00003,
20260903_123215_38aa8c,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123215_38aa8c,9,task_assigned,R1,G00004,
20260903_123215_38aa8c,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260903_123215_38aa8c,11,task_assigned,R6,G00005,
20260903_123215_38aa8c,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260903_123215_38aa8c,15,task_assigned,R4,G00006,
20260903_123215_38aa8c,17,task_completed,R1,G00004,
20260903_123215_38aa8c,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260903_123215_38aa8c,19,task_assigned,R1,G00007,
20260903_123215_38aa8c,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123215_38aa8c,19,task_assigned,R8,G00008,
20260903_123215_38aa8c,19,robot_blocked,R7,,"{""x"": 11, ""y"": 4}"
20260903_123215_38aa8c,20,robot_blocked,R2,,"{""x"": 13, ""y"": 4}"
20260903_123215_38aa8c,20,robot_blocked,R6,,"{""x"": 12, ""y"": 4}"
20260903_123215_38aa8c,22,task_completed,R5,G00003,
20260903_123215_38aa8c,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123215_38aa8c,23,task_assigned,R5,G00009,
20260903_123215_38aa8c,24,robot_blocked,R5,,"{""x"": 14, ""y"": 12}"
20260903_123215_38aa8c,25,task_completed,R6,G00005,
20260903_123215_38aa8c,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260903_123215_38aa8c,25,task_assigned,R3,G00010,
20260903_123215_38aa8c,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123215_38aa8c,27,task_assigned,R6,G00011,
20260903_123215_38aa8c,31,task_completed,R5,G00009,
20260903_123215_38aa8c,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123215_38aa8c,32,task_assigned,R5,G00012,
20260903_123215_38aa8c,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260903_123215_38aa8c,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260903_123215_38aa8c,36,task_completed,R2,G00002,
20260903_123215_38aa8c,36,robot_blocked,R1,,"{""x"": 12, ""y"": 2}"
20260903_123215_38aa8c,37,task_assigned,R2,G00013,
20260903_123215_38aa8c,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123215_38aa8c,41,task_completed,R8,G00008,
20260903_123215_38aa8c,42,task_assigned,R8,G00014,
20260903_123215_38aa8c,43,task_completed,R1,G00007,
20260903_123215_38aa8c,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260903_123215_38aa8c,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123215_38aa8c,43,robot_blocked,R4,,"{""x"": 6, ""y"": 4}"
20260903_123215_38aa8c,44,task_completed,R7,G00001,
20260903_123215_38aa8c,44,task_assigned,R1,G00016,
20260903_123215_38aa8c,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260903_123215_38aa8c,45,task_assigned,R7,G00018,
20260903_123215_38aa8c,46,task_completed,R5,G00012,
20260903_123215_38aa8c,47,task_assigned,R5,G00017,
20260903_123215_38aa8c,50,task_completed,R6,G00011,
20260903_123215_38aa8c,51,task_completed,R3,G00010,
20260903_123215_38aa8c,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
20260903_123215_38aa8c,51,task_assigned,R6,G00019,
20260903_123215_38aa8c,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123215_38aa8c,52,task_assigned,R3,G00015,
20260903_123215_38aa8c,55,task_created,,G00021,type=PICK pickup=B-04 dropoff=PICK-3
20260903_123215_38aa8c,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123215_38aa8c,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260903_123215_38aa8c,60,task_completed,R3,G00015,
20260903_123215_38aa8c,61,task_completed,R8,G00014,
20260903_123215_38aa8c,61,task_assigned,R3,G00023,
20260903_123215_38aa8c,62,task_assigned,R8,G00021,
20260903_123215_38aa8c,63,task_completed,R4,G00006,
20260903_123215_38aa8c,64,task_assigned,R4,G00022,
20260903_123215_38aa8c,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-2
20260903_123215_38aa8c,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123215_38aa8c,66,task_completed,R5,G00017,
20260903_123215_38aa8c,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-02
20260903_123215_38aa8c,67,task_assigned,R5,G00026,
20260903_123215_38aa8c,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260903_123215_38aa8c,68,task_completed,R2,G00013,
20260903_123215_38aa8c,69,task_assigned,R2,G00024,
20260903_123215_38aa8c,73,robot_blocked,R8,,"{""x"": 11, ""y"": 4}"
20260903_123215_38aa8c,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260903_123215_38aa8c,75,task_created,,G00029,type=PICK pickup=B-04 dropoff=PICK-2
20260903_123215_38aa8c,79,task_completed,R6,G00019,
20260903_123215_38aa8c,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260903_123215_38aa8c,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123215_38aa8c,80,task_completed,R7,G00018,
20260903_123215_38aa8c,80,task_assigned,R6,G00028,
20260903_123215_38aa8c,81,task_assigned,R7,G00029,
20260903_123215_38aa8c,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260903_123215_38aa8c,85,task_created,,G00033,type=PICK pickup=H-03 dropoff=PICK-3
20260903_123215_38aa8c,86,task_completed,R8,G00021,
20260903_123215_38aa8c,87,task_assigned,R8,G00032,
20260903_123215_38aa8c,89,task_completed,R3,G00023,
20260903_123215_38aa8c,90,task_completed,R7,G00029,
20260903_123215_38aa8c,90,task_assigned,R3,G00033,
20260903_123215_38aa8c,91,task_completed,R4,G00022,
20260903_123215_38aa8c,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-07
20260903_123215_38aa8c,91,task_assigned,R7,G00034,
20260903_123215_38aa8c,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260903_123215_38aa8c,92,task_completed,R2,G00024,
20260903_123215_38aa8c,92,task_assigned,R4,G00027,
20260903_123215_38aa8c,93,task_assigned,R2,G00030,
20260903_123215_38aa8c,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260903_123215_38aa8c,95,task_created,,G00037,type=PICK pickup=E-08 dropoff=PICK-2
20260903_123215_38aa8c,97,task_completed,R5,G00026,
20260903_123215_38aa8c,98,task_completed,R2,G00030,
20260903_123215_38aa8c,98,task_assigned,R5,G00037,
20260903_123215_38aa8c,98,robot_blocked,R3,,"{""x"": 12, ""y"": 4}"
20260903_123215_38aa8c,99,task_completed,R1,G00016,
20260903_123215_38aa8c,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260903_123215_38aa8c,99,task_assigned,R2,G00038,
20260903_123215_38aa8c,100,task_assigned,R1,G00035,
20260903_123215_38aa8c,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_123215_38aa8c,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-3
20260903_123215_38aa8c,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=E-04
20260903_123215_38aa8c,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123215_38aa8c,108,task_completed,R8,G00032,
20260903_123215_38aa8c,109,task_assigned,R8,G00041,
20260903_123215_38aa8c,110,task_completed,R6,G00028,
20260903_123215_38aa8c,111,task_assigned,R6,G00040,
20260903_123215_38aa8c,112,task_completed,R5,G00037,
20260903_123215_38aa8c,113,task_assigned,R5,G00039,
20260903_123215_38aa8c,115,task_created,,G00043,type=PUTAWAY pickup=RECV dropoff=B-03
20260903_123215_38aa8c,115,task_created,,G00044,type=PICK pickup=E-02 dropoff=PICK-2
20260903_123215_38aa8c,115,task_created,,G00045,type=PACK pickup=PICK-3 dropoff=PACK-1
20260903_123215_38aa8c,116,task_completed,R4,G00027,
20260903_123215_38aa8c,117,task_assigned,R4,G00043,
20260903_123215_38aa8c,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260903_123215_38aa8c,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=E-01
20260903_123215_38aa8c,125,task_created,,G00048,type=PICK pickup=C-01 dropoff=PICK-2
20260903_123215_38aa8c,127,task_created,,G00049,type=PACK pickup=PICK-2 dropoff=PACK-1
