tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9562,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,7,0,0,0,0,0,99.9125,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.825,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,6,0,0,0,0,0,99.7375,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.5875,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,5,0,0,0,0,0,99.4375,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.2438,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,0,99.0313,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.775,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.5188,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.2625,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0,0,98.0063,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.6875,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,2,0,0,0,0,0,97.3313,93.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,3,0,0,0,0,0,96.975,93.1,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,3,0,0,0,0,0,96.6813,92.6,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,6,1,1,0,0,0,0,96.3625,92.6,100.0,0.0,0.0,1.0,1.0
20,0,7.0,0.0,0.0,1.0,0.0,5,1,2,0,0,0,0,96.1688,92.6,100.0,1.0,1.0,3.0,4.0
21,0,7.0,0.0,0.0,1.0,0.0,6,1,1,0,0,0,0,95.85,92.1,100.0,0.0,1.0,1.0,5.0
22,0,6.0,0.0,1.0,2.0,0.0,5,2,1,0,0,0,0,95.5313,91.6,100.0,0.0,1.0,1.0,6.0
23,0,7.0,1.0,0.0,2.0,0.0,6,1,1,0,0,0,0,95.2313,91.1,100.0,0.0,1.0,1.0,7.0
24,0,7.0,0.0,0.0,2.0,0.0,7,1,0,0,0,0,0,94.8688,90.6,100.0,0.0,1.0,0.0,7.0
25,0,7.0,1.0,1.0,3.0,0.0,7,1,0,0,0,0,0,94.4625,90.1,99.65,0.0,1.0,0.0,7.0
26,0,7.0,0.0,0.0,3.0,0.0,7,1,0,0,0,0,0,94.1188,89.6,99.3,0.0,1.0,0.0,7.0
27,0,8.0,1.0,0.0,3.0,0.0,7,0,1,0,0,0,0,93.7938,89.1,98.95,0.0,1.0,1.0,8.0
28,0,8.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,93.3688,88.6,98.6,0.0,1.0,0.0,8.0
29,0,8.0,0.0,0.0,3.0,0.0,8,0,0,0,0,0,0,92.9438,88.1,98.25,0.0,1.0,0.0,8.0
30,0,7.0,0.0,1.0,4.0,0.0,7,1,0,0,0,0,0,92.5188,87.6,97.9,0.0,1.0,0.0,8.0
31,0,8.0,1.0,0.0,4.0,0.0,8,0,0,0,0,0,0,92.1125,87.1,97.55,0.0,1.0,0.0,8.0
32,0,8.0,0.0,0.0,4.0,0.0,8,0,0,0,0,0,0,91.7063,86.6,97.2,0.0,1.0,0.0,8.0
33,0,7.0,0.0,1.0,5.0,0.0,7,1,0,0,0,0,0,91.3,86.1,96.85,0.0,1.0,0.0,8.0
34,0,7.0,0.0,0.0,5.0,0.0,7,1,0,0,0,0,0,90.9563,85.6,96.5,0.0,1.0,0.0,8.0
35,1,9.0,2.0,0.0,5.0,0.0,8,0,0,0,0,0,0,90.5688,85.1,96.15,0.0,1.0,0.0,8.0
36,1,8.0,0.0,1.0,6.0,0.0,7,1,0,0,0,0,0,90.1813,84.6,95.8,0.0,1.0,0.0,8.0
37,1,9.0,1.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.7938,84.1,95.45,0.0,1.0,0.0,8.0
38,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,89.4688,84.1,95.1,0.0,1.0,1.0,9.0
39,1,9.0,0.0,0.0,6.0,0.0,8,0,0,0,0,0,0,89.0813,83.6,94.75,0.0,1.0,0.0,9.0
40,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,88.7188,83.1,94.4,0.0,1.0,1.0,10.0
41,1,9.0,0.0,0.0,6.0,0.0,6,0,2,0,0,0,0,88.4,82.6,94.05,0.0,1.0,2.0,12.0
42,1,9.0,0.0,0.0,6.0,0.0,7,0,1,0,0,0,0,88.0625,82.1,93.7,1.0,2.0,2.0,14.0
43,3,11.0,2.0,0.0,6.0,0.0,8,0,0,0,0,0,0,87.6375,81.6,93.35,0.0,2.0,0.0,14.0
44,3,10.0,0.0,1.0,7.0,0.0,7,1,0,0,0,0,0,87.175,81.1,92.85,0.0,2.0,0.0,14.0
45,3,10.0,1.0,1.0,8.0,0.0,7,1,0,0,0,0,0,86.7313,80.75,92.35,0.0,2.0,0.0,14.0
46,2,10.0,0.0,0.0,8.0,0.0,8,0,0,0,0,0,0,86.3063,80.4,91.85,0.0,2.0,0.0,14.0
47,2,10.0,0.0,0.0,8.0,0.0,7,0,1,0,0,0,0,85.9438,80.05,91.35,0.0,2.0,1.0,15.0
48,2,10.0,0.0,0.0,8.0,0.0,8,0,0,0,0,0,0,85.5813,79.7,90.85,1.0,3.0,1.0,16.0
49,2,10.0,0.0,0.0,8.0,0.0,8,0,0,0,0,0,0,85.1563,79.35,90.35,0.0,3.0,0.0,16.0
50,2,9.0,0.0,1.0,9.0,0.0,7,1,0,0,0,0,0,84.7313,79.0,89.85,0.0,3.0,0.0,16.0
51,3,10.0,2.0,1.0,10.0,0.0,7,1,0,0,0,0,0,84.325,78.65,89.35,0.0,3.0,0.0,16.0
52,2,10.0,0.0,0.0,10.0,0.0,8,0,0,0,0,0,0,83.9375,78.3,89.0,0.0,3.0,0.0,16.0
53,2,10.0,0.0,0.0,10.0,0.0,7,0,1,0,0,0,0,83.5938,78.3,88.65,0.0,3.0,1.0,17.0
54,2,10.0,0.0,0.0,10.0,0.0,6,0,2,0,0,0,0,83.2938,78.3,88.3,0.0,3.0,2.0,19.0
55,4,12.0,2.0,0.0,10.0,0.0,7,0,1,0,0,0,0,82.9938,78.3,87.95,1.0,4.0,2.0,21.0
56,4,11.0,0.0,1.0,11.0,0.0,7,1,0,0,0,0,0,82.5875,77.95,87.6,0.0,4.0,0.0,21.0
57,3,11.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,82.2,77.6,87.25,0.0,4.0,0.0,21.0
58,3,11.0,0.0,0.0,11.0,0.0,8,0,0,0,0,0,0,81.8125,77.25,86.9,0.0,4.0,0.0,21.0
59,4,12.0,1.0,0.0,11.0,0.0,7,0,1,0,0,0,0,81.45,76.9,86.55,0.0,4.0,1.0,22.0
60,4,12.0,0.0,0.0,11.0,0.0,7,0,1,0,0,0,0,81.1063,76.55,86.2,0.0,4.0,1.0,23.0
61,4,12.0,0.0,0.0,11.0,0.0,6,0,2,0,0,0,0,80.7688,76.55,85.85,0.0,4.0,2.0,25.0
62,4,11.0,0.0,1.0,12.0,0.0,6,1,1,0,0,0,0,80.4125,76.55,85.35,1.0,5.0,2.0,27.0
63,3,11.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,79.9875,76.2,84.85,0.0,5.0,0.0,27.0
64,3,11.0,0.0,0.0,12.0,0.0,8,0,0,0,0,0,0,79.5625,75.85,84.35,0.0,5.0,0.0,27.0
65,5,12.0,2.0,1.0,13.0,0.0,7,1,0,0,0,0,0,79.1375,75.5,83.85,0.0,5.0,0.0,27.0
66,4,12.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,78.7313,75.15,83.35,0.0,5.0,0.0,27.0
67,6,14.0,2.0,0.0,13.0,0.0,8,0,0,0,0,0,0,78.325,74.8,82.85,0.0,5.0,0.0,27.0
68,6,14.0,0.0,0.0,13.0,0.0,8,0,0,0,0,0,0,77.9188,74.4,82.35,0.0,5.0,0.0,27.0
69,6,13.0,0.0,1.0,14.0,0.0,7,1,0,0,0,0,0,77.5125,73.9,81.85,0.0,5.0,0.0,27.0
70,5,13.0,0.0,0.0,14.0,0.0,7,0,1,0,0,0,0,77.15,73.55,81.35,0.0,5.0,1.0,28.0
71,5,12.0,0.0,1.0,15.0,0.0,7,1,0,0,0,0,0,76.7438,73.1,80.85,0.0,5.0,0.0,28.0
72,4,12.0,0.0,0.0,15.0,0.0,8,0,0,0,0,0,0,76.3563,72.6,80.35,0.0,5.0,0.0,28.0
73,4,12.0,0.0,0.0,15.0,0.0,7,0,1,0,0,0,0,76.0125,72.5,79.85,0.0,5.0,1.0,29.0
74,4,12.0,0.0,0.0,15.0,0.0,7,0,1,0,0,0,0,75.6938,72.5,79.35,1.0,6.0,2.0,31.0
75,6,12.0,2.0,2.0,17.0,0.0,6,2,0,0,0,0,0,75.2688,72.1,78.85,0.0,6.0,0.0,31.0
76,4,12.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.8813,71.6,78.5,0.0,6.0,0.0,31.0
77,4,12.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.475,71.1,78.15,0.0,6.0,0.0,31.0
78,4,12.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,74.0688,70.6,77.8,0.0,6.0,0.0,31.0
79,6,14.0,2.0,0.0,17.0,0.0,8,0,0,0,0,0,0,73.6438,70.1,77.45,0.0,6.0,0.0,31.0
80,6,14.0,0.0,0.0,17.0,0.0,8,0,0,0,0,0,0,73.2188,69.6,77.1,0.0,6.0,0.0,31.0
81,6,13.0,0.0,1.0,18.0,0.0,6,1,1,0,0,0,0,72.8563,69.1,76.75,0.0,6.0,1.0,32.0
82,5,13.0,0.0,0.0,18.0,0.0,6,0,2,0,0,0,0,72.5563,68.75,76.75,0.0,6.0,2.0,34.0
83,6,13.0,1.0,1.0,19.0,0.0,5,1,2,0,0,0,0,72.2813,68.6,76.75,1.0,7.0,3.0,37.0
84,5,13.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,71.875,68.1,76.4,0.0,7.0,0.0,37.0
85,6,14.0,1.0,0.0,19.0,0.0,8,0,0,0,0,0,0,71.45,67.6,76.05,0.0,7.0,0.0,37.0
86,6,14.0,0.0,0.0,19.0,0.0,8,0,0,0,0,0,0,71.025,67.1,75.7,0.0,7.0,0.0,37.0
87,6,13.0,0.0,1.0,20.0,0.0,6,1,1,0,0,0,0,70.6438,66.6,75.35,0.0,7.0,1.0,38.0
88,5,12.0,0.0,1.0,21.0,0.0,7,1,0,0,0,0,0,70.2188,66.1,75.0,0.0,7.0,0.0,38.0
89,4,11.0,0.0,1.0,22.0,0.0,7,1,0,0,0,0,0,69.8125,65.6,74.65,0.0,7.0,0.0,38.0
90,3,11.0,0.0,0.0,22.0,0.0,8,0,0,0,0,0,0,69.4063,65.1,74.3,0.0,7.0,0.0,38.0
91,5,13.0,2.0,0.0,22.0,0.0,8,0,0,0,0,0,0,69.0,64.6,73.95,0.0,7.0,0.0,38.0
92,5,12.0,0.0,1.0,23.0,0.0,7,1,0,0,0,0,0,68.5938,64.1,73.6,0.0,7.0,0.0,38.0
93,5,12.0,1.0,1.0,24.0,0.0,7,1,0,0,0,0,0,68.2063,63.6,73.25,0.0,7.0,0.0,38.0
94,4,12.0,0.0,0.0,24.0,0.0,6,0,2,0,0,0,0,67.9438,63.25,72.9,0.0,7.0,2.0,40.0
95,5,13.0,1.0,0.0,24.0,0.0,7,0,1,0,0,0,0,67.6813,62.9,72.55,1.0,8.0,2.0,42.0
96,5,13.0,0.0,0.0,24.0,0.0,8,0,0,0,0,0,0,67.3125,62.55,72.2,0.0,8.0,0.0,42.0
97,5,12.0,0.0,1.0,25.0,0.0,7,1,0,0,0,0,0,66.9438,62.2,71.85,0.0,8.0,0.0,42.0
98,4,12.0,0.0,0.0,25.0,0.0,8,0,0,0,0,0,0,66.575,61.85,71.5,0.0,8.0,0.0,42.0
99,5,13.0,1.0,0.0,25.0,0.0,8,0,0,0,0,0,0,66.2063,61.5,71.15,0.0,8.0,0.0,42.0
100,5,13.0,0.0,0.0,25.0,0.0,7,0,1,0,0,0,0,65.8813,61.15,70.8,0.0,8.0,1.0,43.0
101,5,13.0,0.0,0.0,25.0,0.0,5,0,3,0,0,0,0,65.6438,60.8,70.45,0.0,8.0,3.0,46.0
102,5,13.0,0.0,0.0,25.0,0.0,6,0,2,0,0,0,0,65.425,60.45,70.1,1.0,9.0,3.0,49.0
103,6,13.0,1.0,1.0,26.0,0.0,6,1,1,0,0,0,0,65.1,60.1,69.75,1.0,10.0,1.0,50.0
104,6,13.0,0.0,0.0,26.0,0.0,7,1,0,0,0,0,0,64.75,59.75,69.4,0.0,10.0,0.0,50.0
105,6,14.0,1.0,0.0,26.0,0.0,7,0,1,0,0,0,0,64.4438,59.4,69.4,0.0,10.0,1.0,51.0
106,6,14.0,0.0,0.0,26.0,0.0,6,0,2,0,0,0,0,64.225,59.05,69.4,1.0,11.0,3.0,54.0
107,8,16.0,2.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.8563,58.7,68.9,0.0,11.0,0.0,54.0
108,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.4688,58.35,68.4,0.0,11.0,0.0,54.0
109,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,63.0625,57.85,67.9,0.0,11.0,0.0,54.0
110,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,62.6563,57.35,67.4,0.0,11.0,0.0,54.0
111,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,62.1938,56.85,66.9,0.0,11.0,0.0,54.0
112,8,16.0,0.0,0.0,26.0,0.0,8,0,0,0,0,0,0,61.7313,56.35,66.4,0.0,11.0,0.0,54.0
113,8,15.0,0.0,1.0,27.0,0.0,7,1,0,0,0,0,0,61.25,55.85,65.9,0.0,11.0,0.0,54.0
114,7,15.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,60.7875,55.35,65.4,0.0,11.0,0.0,54.0
115,10,18.0,3.0,0.0,27.0,0.0,8,0,0,0,0,0,0,60.325,54.85,64.9,0.0,11.0,0.0,54.0
116,10,18.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,59.8625,54.35,64.4,0.0,11.0,0.0,54.0
117,10,18.0,0.0,0.0,27.0,0.0,8,0,0,0,0,0,0,59.3625,53.85,63.9,0.0,11.0,0.0,54.0
118,10,16.0,0.0,2.0,29.0,0.0,6,2,0,0,0,0,0,58.8625,53.35,63.4,0.0,11.0,0.0,54.0
119,8,15.0,0.0,1.0,30.0,0.0,7,1,0,0,0,0,0,58.3813,53.0,62.9,0.0,11.0,0.0,54.0
120,7,15.0,0.0,0.0,30.0,0.0,8,0,0,0,0,0,0,57.9188,52.65,62.4,0.0,11.0,0.0,54.0
121,8,15.0,1.0,1.0,31.0,0.0,7,1,0,0,0,0,0,57.4563,52.3,61.9,0.0,11.0,0.0,54.0
122,7,15.0,0.0,0.0,31.0,0.0,8,0,0,0,0,0,0,57.0125,51.95,61.4,0.0,11.0,0.0,54.0
123,8,16.0,1.0,0.0,31.0,0.0,8,0,0,0,0,0,0,56.5688,51.6,60.9,0.0,11.0,0.0,54.0
124,8,15.0,0.0,1.0,32.0,0.0,7,1,0,0,0,0,0,56.125,51.25,60.4,0.0,11.0,0.0,54.0
125,8,16.0,1.0,0.0,32.0,0.0,8,0,0,0,0,0,0,55.7,50.9,59.9,0.0,11.0,0.0,54.0
126,8,16.0,0.0,0.0,32.0,0.0,8,0,0,0,0,0,0,55.275,50.55,59.4,0.0,11.0,0.0,54.0
