tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,12,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9708,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,0,99.9417,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.8833,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,10,0,0,0,0,0,99.825,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.725,98.1,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,9,0,0,0,0,0,99.625,97.6,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.4958,97.1,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,8,0,0,0,0,0,99.3542,96.6,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.1833,96.1,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,99.0,95.6,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.8167,95.1,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,7,0,0,0,0,0,98.6333,94.6,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.4083,94.1,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,0,98.1708,93.6,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,7,0,0,0,0,0,97.9333,93.1,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,1.0,2.0,0.0,4,8,0,0,0,0,0,97.7375,92.6,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,4,6,2,0,0,0,0,97.6083,92.6,100.0,0.0,0.0,2.0,2.0
20,0,6.0,0.0,0.0,2.0,0.0,4,6,2,0,0,0,0,97.4792,92.6,100.0,0.0,0.0,2.0,4.0
21,0,6.0,0.0,0.0,2.0,0.0,4,6,2,0,0,0,0,97.3792,92.6,100.0,1.0,1.0,3.0,7.0
22,0,6.0,0.0,0.0,2.0,0.0,5,6,1,0,0,0,0,97.1958,92.1,100.0,1.0,2.0,1.0,8.0
23,0,7.0,1.0,0.0,2.0,0.0,7,5,0,0,0,0,0,96.9833,92.1,100.0,0.0,2.0,0.0,8.0
24,0,7.0,0.0,0.0,2.0,0.0,5,5,2,0,0,0,0,96.8125,92.1,100.0,0.0,2.0,2.0,10.0
25,0,8.0,1.0,0.0,2.0,0.0,6,4,2,0,0,0,0,96.6417,92.1,100.0,1.0,3.0,3.0,13.0
26,0,8.0,0.0,0.0,2.0,0.0,8,4,0,0,0,0,0,96.3333,91.6,100.0,0.0,3.0,0.0,13.0
27,0,9.0,1.0,0.0,2.0,0.0,9,3,0,0,0,0,0,95.9958,91.1,100.0,0.0,3.0,0.0,13.0
28,0,8.0,0.0,1.0,3.0,0.0,8,4,0,0,0,0,0,95.6458,90.6,100.0,0.0,3.0,0.0,13.0
29,0,8.0,0.0,0.0,3.0,0.0,7,4,1,0,0,0,0,95.3792,90.1,100.0,0.0,3.0,1.0,14.0
30,0,8.0,0.0,0.0,3.0,0.0,6,4,2,0,0,0,0,95.1542,89.75,100.0,0.0,3.0,2.0,16.0
31,0,8.0,1.0,1.0,4.0,0.0,6,4,2,0,0,0,0,94.9417,89.3,100.0,1.0,4.0,3.0,19.0
32,0,7.0,0.0,1.0,5.0,0.0,6,5,1,0,0,0,0,94.7167,89.25,100.0,1.0,5.0,2.0,21.0
33,0,7.0,0.0,0.0,5.0,0.0,7,5,0,0,0,0,0,94.45,88.75,100.0,0.0,5.0,0.0,21.0
34,0,7.0,0.0,0.0,5.0,0.0,5,5,2,0,0,0,0,94.2542,88.25,100.0,0.0,5.0,2.0,23.0
35,0,9.0,2.0,0.0,5.0,0.0,7,3,2,0,0,0,0,93.9875,87.75,100.0,0.0,5.0,2.0,25.0
36,0,8.0,0.0,1.0,6.0,0.0,8,4,0,0,0,0,0,93.6625,87.25,100.0,0.0,5.0,0.0,25.0
37,0,9.0,1.0,0.0,6.0,0.0,9,3,0,0,0,0,0,93.35,86.75,100.0,0.0,5.0,0.0,25.0
38,0,9.0,0.0,0.0,6.0,0.0,8,3,1,0,0,0,0,93.0792,86.25,100.0,0.0,5.0,1.0,26.0
39,0,8.0,0.0,1.0,7.0,0.0,6,4,2,0,0,0,0,92.85,85.75,100.0,0.0,5.0,2.0,28.0
40,0,7.0,0.0,1.0,8.0,0.0,7,5,0,0,0,0,0,92.5667,85.75,100.0,0.0,5.0,0.0,28.0
41,0,7.0,0.0,0.0,8.0,0.0,7,5,0,0,0,0,0,92.3125,85.75,100.0,0.0,5.0,0.0,28.0
42,0,6.0,0.0,1.0,9.0,0.0,6,6,0,0,0,0,0,92.0583,85.75,100.0,0.0,5.0,0.0,28.0
43,0,8.0,2.0,0.0,9.0,0.0,8,4,0,0,0,0,0,91.775,85.25,100.0,0.0,5.0,0.0,28.0
44,0,8.0,0.0,0.0,9.0,0.0,8,4,0,0,0,0,0,91.4917,84.75,100.0,0.0,5.0,0.0,28.0
45,0,8.0,1.0,1.0,10.0,0.0,8,4,0,0,0,0,0,91.1792,84.25,100.0,0.0,5.0,0.0,28.0
46,0,8.0,0.0,0.0,10.0,0.0,8,4,0,0,0,0,0,90.8958,83.75,100.0,0.0,5.0,0.0,28.0
47,0,8.0,0.0,0.0,10.0,0.0,7,4,1,0,0,0,0,90.6417,83.25,100.0,0.0,5.0,1.0,29.0
48,0,8.0,0.0,0.0,10.0,0.0,8,4,0,0,0,0,0,90.375,82.75,100.0,1.0,6.0,1.0,30.0
49,0,8.0,0.0,0.0,10.0,0.0,8,4,0,0,0,0,0,90.0792,82.25,100.0,0.0,6.0,0.0,30.0
50,0,7.0,0.0,1.0,11.0,0.0,7,5,0,0,0,0,0,89.7833,81.75,100.0,0.0,6.0,0.0,30.0
51,0,9.0,2.0,0.0,11.0,0.0,9,3,0,0,0,0,0,89.4708,81.25,100.0,0.0,6.0,0.0,30.0
52,0,8.0,0.0,1.0,12.0,0.0,8,4,0,0,0,0,0,89.1458,80.75,100.0,0.0,6.0,0.0,30.0
53,0,8.0,0.0,0.0,12.0,0.0,8,4,0,0,0,0,0,88.8625,80.6,100.0,0.0,6.0,0.0,30.0
54,0,7.0,0.0,1.0,13.0,0.0,7,5,0,0,0,0,0,88.5667,80.1,100.0,0.0,6.0,0.0,30.0
55,0,9.0,2.0,0.0,13.0,0.0,8,3,1,0,0,0,0,88.2958,79.6,100.0,0.0,6.0,1.0,31.0
56,0,7.0,0.0,2.0,15.0,0.0,6,5,1,0,0,0,0,88.0125,79.1,100.0,0.0,6.0,1.0,32.0
57,0,7.0,0.0,0.0,15.0,0.0,7,5,0,0,0,0,0,87.7708,79.1,100.0,0.0,6.0,0.0,32.0
58,0,7.0,0.0,0.0,15.0,0.0,5,5,2,0,0,0,0,87.6,79.1,100.0,0.0,6.0,2.0,34.0
59,0,8.0,1.0,0.0,15.0,0.0,7,4,1,0,0,0,0,87.4,78.75,100.0,1.0,7.0,2.0,36.0
60,0,8.0,0.0,0.0,15.0,0.0,8,4,0,0,0,0,0,87.1167,78.4,100.0,0.0,7.0,0.0,36.0
61,0,8.0,0.0,0.0,15.0,0.0,7,4,1,0,0,0,0,86.9042,78.05,100.0,0.0,7.0,1.0,37.0
62,0,8.0,0.0,0.0,15.0,0.0,8,4,0,0,0,0,0,86.65,77.7,100.0,1.0,8.0,1.0,38.0
