run_id,tick,event_type,robot_id,task_id,details
20260904_234416_27ed04,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-03
20260904_234416_27ed04,3,task_assigned,R7,G00001,
20260904_234416_27ed04,5,task_created,,G00002,type=PICK pickup=H-08 dropoff=PICK-1
20260904_234416_27ed04,5,task_assigned,R2,G00002,
20260904_234416_27ed04,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260904_234416_27ed04,7,task_assigned,R5,G00003,
20260904_234416_27ed04,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260904_234416_27ed04,9,task_assigned,R1,G00004,
20260904_234416_27ed04,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260904_234416_27ed04,11,task_assigned,R6,G00005,
20260904_234416_27ed04,15,task_created,,G00006,type=PICK pickup=A-08 dropoff=PICK-3
20260904_234416_27ed04,15,task_assigned,R4,G00006,
20260904_234416_27ed04,17,task_completed,R1,G00004,
20260904_234416_27ed04,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260904_234416_27ed04,19,task_assigned,R3,G00007,
20260904_234416_27ed04,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260904_234416_27ed04,19,task_assigned,R1,G00008,
20260904_234416_27ed04,19,robot_blocked,R7,,"{""x"": 11, ""y"": 4}"
20260904_234416_27ed04,20,robot_blocked,R2,,"{""x"": 13, ""y"": 4}"
20260904_234416_27ed04,20,robot_blocked,R6,,"{""x"": 12, ""y"": 4}"
20260904_234416_27ed04,22,task_completed,R5,G00003,
20260904_234416_27ed04,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260904_234416_27ed04,23,task_assigned,R5,G00009,
20260904_234416_27ed04,25,task_completed,R6,G00005,
20260904_234416_27ed04,25,task_created,,G00010,type=PICK pickup=C-07 dropoff=PICK-2
20260904_234416_27ed04,26,task_assigned,R6,G00010,
20260904_234416_27ed04,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260904_234416_27ed04,30,task_completed,R5,G00009,
20260904_234416_27ed04,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260904_234416_27ed04,31,task_assigned,R5,G00012,
20260904_234416_27ed04,33,task_completed,R1,G00008,
20260904_234416_27ed04,34,task_assigned,R1,G00011,
20260904_234416_27ed04,35,task_completed,R2,G00002,
20260904_234416_27ed04,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260904_234416_27ed04,35,task_created,,G00014,type=PICK pickup=E-08 dropoff=PICK-1
20260904_234416_27ed04,35,robot_blocked,R5,,"{""x"": 12, ""y"": 13}"
20260904_234416_27ed04,36,task_assigned,R2,G00014,
20260904_234416_27ed04,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260904_234416_27ed04,42,robot_blocked,R4,,"{""x"": 5, ""y"": 4}"
20260904_234416_27ed04,43,task_completed,R7,G00001,
20260904_234416_27ed04,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-05
20260904_234416_27ed04,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260904_234416_27ed04,44,task_assigned,R7,G00015,
20260904_234416_27ed04,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-2
20260904_234416_27ed04,46,task_completed,R5,G00012,
20260904_234416_27ed04,47,task_assigned,R5,G00017,
20260904_234416_27ed04,49,task_completed,R6,G00010,
20260904_234416_27ed04,50,task_assigned,R6,G00018,
20260904_234416_27ed04,51,task_completed,R2,G00014,
20260904_234416_27ed04,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-04
20260904_234416_27ed04,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260904_234416_27ed04,52,task_completed,R3,G00007,
20260904_234416_27ed04,52,task_assigned,R2,G00020,
20260904_234416_27ed04,53,task_assigned,R3,G00013,
20260904_234416_27ed04,55,task_created,,G00021,type=PICK pickup=B-04 dropoff=PICK-3
20260904_234416_27ed04,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260904_234416_27ed04,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260904_234416_27ed04,61,task_completed,R1,G00011,
20260904_234416_27ed04,62,task_assigned,R1,G00022,
20260904_234416_27ed04,64,task_completed,R7,G00015,
20260904_234416_27ed04,65,task_created,,G00024,type=PICK pickup=B-08 dropoff=PICK-2
20260904_234416_27ed04,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260904_234416_27ed04,65,task_assigned,R7,G00025,
20260904_234416_27ed04,66,task_completed,R5,G00017,
20260904_234416_27ed04,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-02
20260904_234416_27ed04,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260904_234416_27ed04,67,task_assigned,R5,G00027,
20260904_234416_27ed04,69,task_completed,R2,G00020,
20260904_234416_27ed04,70,task_assigned,R2,G00021,
20260904_234416_27ed04,70,task_completed,R7,G00025,
20260904_234416_27ed04,71,task_completed,R4,G00006,
20260904_234416_27ed04,71,task_completed,R3,G00013,
20260904_234416_27ed04,71,task_assigned,R7,G00024,
20260904_234416_27ed04,72,task_assigned,R3,G00016,
20260904_234416_27ed04,72,task_assigned,R4,G00019,
20260904_234416_27ed04,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260904_234416_27ed04,75,task_created,,G00029,type=PICK pickup=B-04 dropoff=PICK-2
20260904_234416_27ed04,79,task_completed,R1,G00022,
20260904_234416_27ed04,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260904_234416_27ed04,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260904_234416_27ed04,80,task_assigned,R1,G00031,
20260904_234416_27ed04,83,task_completed,R6,G00018,
20260904_234416_27ed04,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260904_234416_27ed04,84,task_assigned,R6,G00030,
20260904_234416_27ed04,85,task_created,,G00033,type=PICK pickup=H-03 dropoff=PICK-3
20260904_234416_27ed04,86,task_completed,R1,G00031,
20260904_234416_27ed04,87,task_assigned,R1,G00029,
20260904_234416_27ed04,91,task_completed,R6,G00030,
20260904_234416_27ed04,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-07
20260904_234416_27ed04,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260904_234416_27ed04,92,task_assigned,R6,G00035,
20260904_234416_27ed04,93,task_completed,R5,G00027,
20260904_234416_27ed04,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260904_234416_27ed04,94,task_assigned,R5,G00036,
20260904_234416_27ed04,95,task_created,,G00037,type=PICK pickup=E-08 dropoff=PICK-2
20260904_234416_27ed04,96,task_completed,R7,G00024,
20260904_234416_27ed04,96,robot_blocked,R1,,"{""x"": 11, ""y"": 7}"
20260904_234416_27ed04,97,task_assigned,R7,G00033,
20260904_234416_27ed04,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260904_234416_27ed04,101,task_completed,R5,G00036,
20260904_234416_27ed04,102,task_assigned,R5,G00037,
20260904_234416_27ed04,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260904_234416_27ed04,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-3
20260904_234416_27ed04,106,task_completed,R1,G00029,
20260904_234416_27ed04,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=E-04
20260904_234416_27ed04,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260904_234416_27ed04,107,task_assigned,R1,G00042,
20260904_234416_27ed04,111,task_completed,R6,G00035,
20260904_234416_27ed04,112,task_assigned,R6,G00039,
20260904_234416_27ed04,114,robot_blocked,R3,,"{""x"": 19, ""y"": 3}"
20260904_234416_27ed04,115,task_completed,R2,G00021,
20260904_234416_27ed04,115,task_completed,R1,G00042,
20260904_234416_27ed04,115,task_created,,G00043,type=PUTAWAY pickup=RECV dropoff=B-03
20260904_234416_27ed04,115,task_created,,G00044,type=PICK pickup=E-02 dropoff=PICK-2
20260904_234416_27ed04,115,task_created,,G00045,type=PACK pickup=PICK-3 dropoff=PACK-1
20260904_234416_27ed04,116,task_completed,R3,G00016,
20260904_234416_27ed04,116,task_assigned,R1,G00040,
20260904_234416_27ed04,116,task_assigned,R2,G00045,
20260904_234416_27ed04,117,task_assigned,R3,G00044,
20260904_234416_27ed04,118,task_completed,R7,G00033,
20260904_234416_27ed04,119,task_assigned,R7,G00023,
20260904_234416_27ed04,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260904_234416_27ed04,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=E-01
20260904_234416_27ed04,125,task_created,,G00048,type=PICK pickup=C-01 dropoff=PICK-2
20260904_234416_27ed04,127,task_created,,G00049,type=PACK pickup=PICK-2 dropoff=PACK-1
20260904_234416_27ed04,128,task_completed,R5,G00037,
20260904_234416_27ed04,129,task_completed,R2,G00045,
20260904_234416_27ed04,129,task_assigned,R5,G00046,
20260904_234416_27ed04,130,task_assigned,R2,G00049,
20260904_234416_27ed04,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260904_234416_27ed04,135,task_created,,G00051,type=PICK pickup=B-06 dropoff=PICK-3
20260904_234416_27ed04,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260904_234416_27ed04,137,task_completed,R5,G00046,
20260904_234416_27ed04,138,task_assigned,R5,G00052,
20260904_234416_27ed04,139,task_completed,R4,G00019,
20260904_234416_27ed04,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260904_234416_27ed04,139,task_created,,G00054,type=PACK pickup=PICK-2 dropoff=PACK-2
20260904_234416_27ed04,140,task_assigned,R4,G00054,
20260904_234416_27ed04,141,task_completed,R6,G00039,
20260904_234416_27ed04,142,task_assigned,R6,G00048,
