run_id,tick,event_type,robot_id,task_id,details
20260908_023026_d2fba4,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-05
20260908_023026_d2fba4,3,task_assigned,R11,G00001,
20260908_023026_d2fba4,5,task_created,,G00002,type=PICK pickup=C-05 dropoff=PICK-2
20260908_023026_d2fba4,5,task_assigned,R13,G00002,
20260908_023026_d2fba4,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023026_d2fba4,7,task_assigned,R3,G00003,
20260908_023026_d2fba4,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023026_d2fba4,9,task_assigned,R12,G00004,
20260908_023026_d2fba4,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260908_023026_d2fba4,11,task_assigned,R1,G00005,
20260908_023026_d2fba4,13,task_completed,R13,G00002,
20260908_023026_d2fba4,14,task_completed,R12,G00004,
20260908_023026_d2fba4,15,task_created,,G00006,type=PICK pickup=C-01 dropoff=PICK-1
20260908_023026_d2fba4,15,task_assigned,R8,G00006,
20260908_023026_d2fba4,15,robot_blocked,R3,,"{""x"": 13, ""y"": 8}"
20260908_023026_d2fba4,18,task_completed,R11,G00001,
20260908_023026_d2fba4,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=C-04
20260908_023026_d2fba4,19,task_assigned,R11,G00007,
20260908_023026_d2fba4,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023026_d2fba4,19,task_assigned,R13,G00008,
20260908_023026_d2fba4,19,robot_blocked,R13,,"{""x"": 11, ""y"": 8}"
20260908_023026_d2fba4,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023026_d2fba4,23,task_assigned,R12,G00009,
20260908_023026_d2fba4,25,task_completed,R3,G00003,
20260908_023026_d2fba4,25,task_created,,G00010,type=PICK pickup=G-02 dropoff=PICK-3
20260908_023026_d2fba4,25,task_assigned,R4,G00010,
20260908_023026_d2fba4,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-03
20260908_023026_d2fba4,27,task_assigned,R9,G00011,
20260908_023026_d2fba4,28,task_completed,R12,G00009,
20260908_023026_d2fba4,29,task_completed,R13,G00008,
20260908_023026_d2fba4,31,task_completed,R1,G00005,
20260908_023026_d2fba4,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260908_023026_d2fba4,31,task_assigned,R7,G00012,
20260908_023026_d2fba4,35,task_completed,R8,G00006,
20260908_023026_d2fba4,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=C-05
20260908_023026_d2fba4,35,task_assigned,R3,G00013,
20260908_023026_d2fba4,35,task_created,,G00014,type=PICK pickup=B-06 dropoff=PICK-3
20260908_023026_d2fba4,35,task_assigned,R2,G00014,
20260908_023026_d2fba4,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023026_d2fba4,37,task_assigned,R12,G00015,
20260908_023026_d2fba4,42,task_completed,R12,G00015,
20260908_023026_d2fba4,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-03
20260908_023026_d2fba4,43,task_assigned,R5,G00016,
20260908_023026_d2fba4,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023026_d2fba4,43,task_assigned,R8,G00017,
20260908_023026_d2fba4,44,task_completed,R4,G00010,
20260908_023026_d2fba4,44,task_completed,R7,G00012,
20260908_023026_d2fba4,45,task_completed,R11,G00007,
20260908_023026_d2fba4,45,task_created,,G00018,type=PICK pickup=H-04 dropoff=PICK-3
20260908_023026_d2fba4,45,task_assigned,R10,G00018,
20260908_023026_d2fba4,50,robot_blocked,R9,,"{""x"": 5, ""y"": 1}"
20260908_023026_d2fba4,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=D-07
20260908_023026_d2fba4,51,task_assigned,R7,G00019,
20260908_023026_d2fba4,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023026_d2fba4,51,task_assigned,R12,G00020,
20260908_023026_d2fba4,52,task_completed,R8,G00017,
20260908_023026_d2fba4,55,task_created,,G00021,type=PICK pickup=B-06 dropoff=PICK-2
20260908_023026_d2fba4,55,task_assigned,R4,G00021,
20260908_023026_d2fba4,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023026_d2fba4,55,task_assigned,R13,G00022,
20260908_023026_d2fba4,56,task_completed,R12,G00020,
20260908_023026_d2fba4,59,task_completed,R9,G00011,
20260908_023026_d2fba4,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=A-01
20260908_023026_d2fba4,59,task_assigned,R1,G00023,
20260908_023026_d2fba4,61,task_completed,R10,G00018,
20260908_023026_d2fba4,63,robot_blocked,R5,,"{""x"": 7, ""y"": 1}"
20260908_023026_d2fba4,65,task_created,,G00024,type=PICK pickup=B-07 dropoff=PICK-2
20260908_023026_d2fba4,65,task_assigned,R9,G00024,
20260908_023026_d2fba4,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023026_d2fba4,65,task_assigned,R12,G00025,
20260908_023026_d2fba4,67,task_completed,R2,G00014,
20260908_023026_d2fba4,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=E-06
20260908_023026_d2fba4,67,task_assigned,R8,G00026,
20260908_023026_d2fba4,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023026_d2fba4,67,task_assigned,R10,G00027,
20260908_023026_d2fba4,70,task_completed,R9,G00024,
20260908_023026_d2fba4,70,task_completed,R12,G00025,
20260908_023026_d2fba4,72,robot_blocked,R1,,"{""x"": 11, ""y"": 0}"
20260908_023026_d2fba4,74,robot_blocked,R10,,"{""x"": 13, ""y"": 8}"
20260908_023026_d2fba4,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=B-04
20260908_023026_d2fba4,75,task_assigned,R12,G00028,
20260908_023026_d2fba4,75,task_created,,G00029,type=PICK pickup=B-02 dropoff=PICK-2
20260908_023026_d2fba4,75,task_assigned,R9,G00029,
20260908_023026_d2fba4,79,task_completed,R13,G00022,
20260908_023026_d2fba4,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023026_d2fba4,79,task_assigned,R2,G00030,
20260908_023026_d2fba4,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023026_d2fba4,79,task_assigned,R6,G00031,
20260908_023026_d2fba4,80,task_completed,R3,G00013,
20260908_023026_d2fba4,80,task_completed,R5,G00016,
20260908_023026_d2fba4,80,task_completed,R4,G00021,
20260908_023026_d2fba4,80,robot_blocked,R8,,"{""x"": 6, ""y"": 3}"
20260908_023026_d2fba4,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=H-04
20260908_023026_d2fba4,83,task_assigned,R5,G00032,
20260908_023026_d2fba4,84,task_completed,R10,G00027,
20260908_023026_d2fba4,85,task_created,,G00033,type=PICK pickup=E-06 dropoff=PICK-3
20260908_023026_d2fba4,85,task_assigned,R10,G00033,
20260908_023026_d2fba4,86,robot_blocked,R2,,"{""x"": 13, ""y"": 8}"
20260908_023026_d2fba4,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=A-07
20260908_023026_d2fba4,91,task_assigned,R13,G00034,
20260908_023026_d2fba4,91,task_created,,G00035,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023026_d2fba4,91,task_assigned,R4,G00035,
20260908_023026_d2fba4,92,task_completed,R9,G00029,
20260908_023026_d2fba4,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023026_d2fba4,93,task_assigned,R9,G00036,
20260908_023026_d2fba4,93,robot_blocked,R4,,"{""x"": 12, ""y"": 9}"
20260908_023026_d2fba4,94,task_completed,R7,G00019,
20260908_023026_d2fba4,94,task_completed,R6,G00031,
20260908_023026_d2fba4,95,task_created,,G00037,type=PICK pickup=H-03 dropoff=PICK-1
20260908_023026_d2fba4,95,task_assigned,R11,G00037,
20260908_023026_d2fba4,96,task_completed,R1,G00023,
20260908_023026_d2fba4,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=D-05
20260908_023026_d2fba4,99,task_assigned,R1,G00038,
20260908_023026_d2fba4,99,robot_blocked,R11,,"{""x"": 21, ""y"": 4}"
20260908_023026_d2fba4,100,task_completed,R4,G00035,
20260908_023026_d2fba4,103,task_completed,R9,G00036,
20260908_023026_d2fba4,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023026_d2fba4,103,task_assigned,R6,G00039,
20260908_023026_d2fba4,105,task_created,,G00040,type=PICK pickup=F-04 dropoff=PICK-2
20260908_023026_d2fba4,105,task_assigned,R3,G00040,
20260908_023026_d2fba4,105,robot_blocked,R12,,"{""x"": 7, ""y"": 2}"
20260908_023026_d2fba4,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260908_023026_d2fba4,107,task_assigned,R7,G00041,
20260908_023026_d2fba4,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023026_d2fba4,107,task_assigned,R4,G00042,
20260908_023026_d2fba4,111,task_completed,R12,G00028,
20260908_023026_d2fba4,113,task_completed,R3,G00040,
20260908_023026_d2fba4,114,task_completed,R8,G00026,
20260908_023026_d2fba4,114,task_completed,R4,G00042,
20260908_023026_d2fba4,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=D-08
20260908_023026_d2fba4,115,task_assigned,R4,G00043,
20260908_023026_d2fba4,115,task_created,,G00044,type=PICK pickup=B-08 dropoff=PICK-2
20260908_023026_d2fba4,115,task_assigned,R12,G00044,
20260908_023026_d2fba4,115,task_created,,G00045,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023026_d2fba4,115,task_assigned,R3,G00045,
20260908_023026_d2fba4,116,robot_blocked,R7,,"{""x"": 14, ""y"": 4}"
20260908_023026_d2fba4,119,task_completed,R2,G00030,
20260908_023026_d2fba4,121,task_completed,R12,G00044,
20260908_023026_d2fba4,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023026_d2fba4,121,task_assigned,R9,G00046,
20260908_023026_d2fba4,123,task_completed,R3,G00045,
20260908_023026_d2fba4,123,task_created,,G00047,type=PUTAWAY pickup=BUFFER dropoff=E-08
20260908_023026_d2fba4,123,task_assigned,R12,G00047,
20260908_023026_d2fba4,125,task_completed,R11,G00037,
20260908_023026_d2fba4,125,task_created,,G00048,type=PICK pickup=B-04 dropoff=PICK-3
20260908_023026_d2fba4,125,task_assigned,R8,G00048,
20260908_023026_d2fba4,126,task_completed,R9,G00046,
20260908_023026_d2fba4,127,task_created,,G00049,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023026_d2fba4,127,task_assigned,R2,G00049,
20260908_023026_d2fba4,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=F-01
20260908_023026_d2fba4,131,task_assigned,R3,G00050,
20260908_023026_d2fba4,132,robot_blocked,R6,,"{""x"": 14, ""y"": 10}"
20260908_023026_d2fba4,133,task_completed,R10,G00033,
20260908_023026_d2fba4,135,task_created,,G00051,type=PICK pickup=D-03 dropoff=PICK-3
20260908_023026_d2fba4,135,task_assigned,R10,G00051,
20260908_023026_d2fba4,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023026_d2fba4,135,task_assigned,R9,G00052,
20260908_023026_d2fba4,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260908_023026_d2fba4,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023026_d2fba4,139,task_assigned,R11,G00054,
20260908_023026_d2fba4,140,task_completed,R9,G00052,
20260908_023026_d2fba4,141,task_completed,R6,G00039,
20260908_023026_d2fba4,141,task_completed,R12,G00047,
20260908_023026_d2fba4,141,task_assigned,R9,G00053,
20260908_023026_d2fba4,145,task_completed,R7,G00041,
20260908_023026_d2fba4,145,task_created,,G00055,type=PICK pickup=E-08 dropoff=PICK-3
20260908_023026_d2fba4,145,task_assigned,R12,G00055,
20260908_023026_d2fba4,146,task_completed,R13,G00034,
20260908_023026_d2fba4,147,task_created,,G00056,type=PUTAWAY pickup=RECV dropoff=H-03
20260908_023026_d2fba4,147,task_assigned,R6,G00056,
20260908_023026_d2fba4,148,task_completed,R2,G00049,
20260908_023026_d2fba4,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023026_d2fba4,149,task_assigned,R2,G00057,
20260908_023026_d2fba4,151,task_completed,R8,G00048,
20260908_023026_d2fba4,151,task_created,,G00058,type=PACK pickup=PICK-3 dropoff=PACK-2
20260908_023026_d2fba4,151,task_assigned,R7,G00058,
20260908_023026_d2fba4,152,task_completed,R5,G00032,
20260908_023026_d2fba4,155,task_created,,G00059,type=PUTAWAY pickup=RECV dropoff=D-06
20260908_023026_d2fba4,155,task_assigned,R5,G00059,
20260908_023026_d2fba4,155,task_created,,G00060,type=PICK pickup=F-06 dropoff=PICK-3
20260908_023026_d2fba4,155,task_assigned,R13,G00060,
20260908_023026_d2fba4,156,task_completed,R10,G00051,
20260908_023026_d2fba4,156,task_completed,R2,G00057,
20260908_023026_d2fba4,160,task_completed,R1,G00038,
20260908_023026_d2fba4,160,task_completed,R4,G00043,
20260908_023026_d2fba4,163,task_completed,R12,G00055,
20260908_023026_d2fba4,163,task_created,,G00061,type=PUTAWAY pickup=RECV dropoff=A-05
