tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9731,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9462,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8923,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8385,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.7577,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.6538,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.5231,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.3808,97.05,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.2115,96.55,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.0308,96.05,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,1.0,1.0,0.0,4,9,0,0,0,0,0,98.85,95.55,100.0,0.0,0.0,0.0,0.0
14,0,3.0,0.0,1.0,2.0,0.0,3,10,0,0,0,0,0,98.7077,95.05,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,0.0,2.0,0.0,3,9,1,0,0,0,0,98.6154,94.55,100.0,0.0,0.0,1.0,1.0
16,0,4.0,0.0,0.0,2.0,0.0,3,9,1,0,0,0,0,98.5231,94.05,100.0,1.0,1.0,1.0,2.0
17,0,4.0,0.0,0.0,2.0,0.0,4,9,0,0,0,0,0,98.3654,93.55,100.0,0.0,1.0,0.0,2.0
18,0,3.0,0.0,1.0,3.0,0.0,2,10,1,0,0,0,0,98.2731,93.05,100.0,0.0,1.0,1.0,3.0
19,0,5.0,2.0,0.0,3.0,0.0,4,8,1,0,0,0,0,98.1923,92.7,100.0,1.0,2.0,2.0,5.0
20,0,5.0,0.0,0.0,3.0,0.0,5,8,0,0,0,0,0,98.0346,92.35,100.0,0.0,2.0,0.0,5.0
21,0,5.0,0.0,0.0,3.0,0.0,5,8,0,0,0,0,0,97.8654,92.0,100.0,0.0,2.0,0.0,5.0
22,0,5.0,0.0,0.0,3.0,0.0,5,8,0,0,0,0,0,97.6846,91.65,100.0,0.0,2.0,0.0,5.0
23,0,6.0,1.0,0.0,3.0,0.0,6,7,0,0,0,0,0,97.4769,91.3,100.0,0.0,2.0,0.0,5.0
24,0,6.0,0.0,0.0,3.0,0.0,6,7,0,0,0,0,0,97.2692,90.95,100.0,0.0,2.0,0.0,5.0
25,0,6.0,1.0,1.0,4.0,0.0,6,7,0,0,0,0,0,97.0346,90.6,100.0,0.0,2.0,0.0,5.0
26,0,6.0,0.0,0.0,4.0,0.0,6,7,0,0,0,0,0,96.8269,90.25,100.0,0.0,2.0,0.0,5.0
27,0,7.0,1.0,0.0,4.0,0.0,6,6,1,0,0,0,0,96.6308,89.9,100.0,0.0,2.0,1.0,6.0
28,0,6.0,0.0,1.0,5.0,0.0,5,7,1,0,0,0,0,96.3962,89.4,100.0,1.0,3.0,1.0,7.0
29,0,5.0,0.0,1.0,6.0,0.0,5,8,0,0,0,0,0,96.1885,88.9,100.0,0.0,3.0,0.0,7.0
30,0,5.0,0.0,0.0,6.0,0.0,5,8,0,0,0,0,0,96.0192,88.4,100.0,0.0,3.0,0.0,7.0
