run_id,tick,event_type,robot_id,task_id,details
20260908_023207_541d1f,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=C-08
20260908_023207_541d1f,3,task_assigned,R3,G00001,
20260908_023207_541d1f,5,task_created,,G00002,type=PICK pickup=E-05 dropoff=PICK-1
20260908_023207_541d1f,5,task_assigned,R13,G00002,
20260908_023207_541d1f,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023207_541d1f,7,task_assigned,R8,G00003,
20260908_023207_541d1f,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023207_541d1f,9,task_assigned,R2,G00004,
20260908_023207_541d1f,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=E-05
20260908_023207_541d1f,11,task_assigned,R1,G00005,
20260908_023207_541d1f,15,task_completed,R13,G00002,
20260908_023207_541d1f,15,task_created,,G00006,type=PICK pickup=H-07 dropoff=PICK-1
20260908_023207_541d1f,15,task_assigned,R10,G00006,
20260908_023207_541d1f,16,task_completed,R2,G00004,
20260908_023207_541d1f,19,task_completed,R8,G00003,
20260908_023207_541d1f,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=G-05
20260908_023207_541d1f,19,task_assigned,R13,G00007,
20260908_023207_541d1f,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260908_023207_541d1f,19,task_assigned,R5,G00008,
20260908_023207_541d1f,22,task_completed,R1,G00005,
20260908_023207_541d1f,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023207_541d1f,23,task_assigned,R2,G00009,
20260908_023207_541d1f,24,task_completed,R3,G00001,
20260908_023207_541d1f,24,robot_blocked,R10,,"{""x"": 19, ""y"": 4}"
20260908_023207_541d1f,25,task_created,,G00010,type=PICK pickup=A-05 dropoff=PICK-1
20260908_023207_541d1f,25,task_assigned,R1,G00010,
20260908_023207_541d1f,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=H-07
20260908_023207_541d1f,27,task_assigned,R6,G00011,
20260908_023207_541d1f,28,task_completed,R2,G00009,
20260908_023207_541d1f,31,task_completed,R5,G00008,
20260908_023207_541d1f,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023207_541d1f,31,task_assigned,R9,G00012,
20260908_023207_541d1f,32,task_completed,R1,G00010,
20260908_023207_541d1f,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260908_023207_541d1f,35,task_assigned,R3,G00013,
20260908_023207_541d1f,35,task_created,,G00014,type=PICK pickup=D-06 dropoff=PICK-1
20260908_023207_541d1f,35,task_assigned,R11,G00014,
20260908_023207_541d1f,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023207_541d1f,37,task_assigned,R2,G00015,
20260908_023207_541d1f,41,robot_blocked,R3,,"{""x"": 12, ""y"": 2}"
20260908_023207_541d1f,42,task_completed,R2,G00015,
20260908_023207_541d1f,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=H-08
20260908_023207_541d1f,43,task_assigned,R4,G00016,
20260908_023207_541d1f,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260908_023207_541d1f,43,task_assigned,R5,G00017,
20260908_023207_541d1f,45,task_created,,G00018,type=PICK pickup=G-07 dropoff=PICK-2
20260908_023207_541d1f,45,task_assigned,R7,G00018,
20260908_023207_541d1f,46,task_completed,R13,G00007,
20260908_023207_541d1f,48,robot_blocked,R9,,"{""x"": 15, ""y"": 11}"
20260908_023207_541d1f,49,robot_blocked,R6,,"{""x"": 19, ""y"": 3}"
20260908_023207_541d1f,50,task_completed,R9,G00012,
20260908_023207_541d1f,51,task_completed,R10,G00006,
20260908_023207_541d1f,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=B-06
20260908_023207_541d1f,51,task_assigned,R8,G00019,
20260908_023207_541d1f,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023207_541d1f,51,task_assigned,R2,G00020,
20260908_023207_541d1f,53,task_completed,R6,G00011,
20260908_023207_541d1f,54,task_completed,R5,G00017,
20260908_023207_541d1f,55,task_completed,R3,G00013,
20260908_023207_541d1f,55,task_created,,G00021,type=PICK pickup=G-05 dropoff=PICK-1
20260908_023207_541d1f,55,task_assigned,R13,G00021,
20260908_023207_541d1f,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023207_541d1f,55,task_assigned,R1,G00022,
20260908_023207_541d1f,55,robot_blocked,R1,,"{""x"": 3, ""y"": 8}"
20260908_023207_541d1f,56,task_completed,R2,G00020,
20260908_023207_541d1f,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260908_023207_541d1f,59,task_assigned,R9,G00023,
20260908_023207_541d1f,65,task_created,,G00024,type=PICK pickup=F-08 dropoff=PICK-1
20260908_023207_541d1f,65,task_assigned,R10,G00024,
20260908_023207_541d1f,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023207_541d1f,65,task_assigned,R2,G00025,
20260908_023207_541d1f,65,robot_blocked,R8,,"{""x"": 6, ""y"": 8}"
20260908_023207_541d1f,65,robot_blocked,R13,,"{""x"": 6, ""y"": 6}"
20260908_023207_541d1f,66,robot_blocked,R11,,"{""x"": 6, ""y"": 7}"
20260908_023207_541d1f,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260908_023207_541d1f,67,task_assigned,R12,G00026,
20260908_023207_541d1f,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023207_541d1f,67,task_assigned,R5,G00027,
20260908_023207_541d1f,67,robot_blocked,R7,,"{""x"": 12, ""y"": 6}"
20260908_023207_541d1f,70,task_completed,R11,G00014,
20260908_023207_541d1f,70,task_completed,R7,G00018,
20260908_023207_541d1f,70,task_completed,R2,G00025,
20260908_023207_541d1f,72,task_completed,R1,G00022,
20260908_023207_541d1f,75,task_completed,R13,G00021,
20260908_023207_541d1f,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=A-08
20260908_023207_541d1f,75,task_assigned,R11,G00028,
20260908_023207_541d1f,75,task_created,,G00029,type=PICK pickup=C-06 dropoff=PICK-2
20260908_023207_541d1f,75,task_assigned,R7,G00029,
20260908_023207_541d1f,76,robot_blocked,R5,,"{""x"": 4, ""y"": 9}"
20260908_023207_541d1f,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023207_541d1f,79,task_assigned,R6,G00030,
20260908_023207_541d1f,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023207_541d1f,79,task_assigned,R2,G00031,
20260908_023207_541d1f,79,robot_blocked,R2,,"{""x"": 14, ""y"": 15}"
20260908_023207_541d1f,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=F-02
20260908_023207_541d1f,83,task_assigned,R3,G00032,
20260908_023207_541d1f,85,task_completed,R4,G00016,
20260908_023207_541d1f,85,task_completed,R2,G00031,
20260908_023207_541d1f,85,task_created,,G00033,type=PICK pickup=B-07 dropoff=PICK-3
20260908_023207_541d1f,85,task_assigned,R1,G00033,
20260908_023207_541d1f,88,task_completed,R5,G00027,
20260908_023207_541d1f,88,task_completed,R7,G00029,
20260908_023207_541d1f,89,task_completed,R9,G00023,
20260908_023207_541d1f,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=E-06
20260908_023207_541d1f,91,task_assigned,R13,G00034,
20260908_023207_541d1f,91,task_created,,G00035,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023207_541d1f,91,task_assigned,R7,G00035,
20260908_023207_541d1f,93,task_completed,R10,G00024,
20260908_023207_541d1f,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023207_541d1f,93,task_assigned,R2,G00036,
20260908_023207_541d1f,94,robot_blocked,R12,,"{""x"": 12, ""y"": 2}"
20260908_023207_541d1f,95,task_created,,G00037,type=PICK pickup=G-05 dropoff=PICK-2
20260908_023207_541d1f,95,task_assigned,R9,G00037,
20260908_023207_541d1f,98,task_completed,R2,G00036,
20260908_023207_541d1f,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=H-01
20260908_023207_541d1f,99,task_assigned,R4,G00038,
20260908_023207_541d1f,100,task_completed,R11,G00028,
20260908_023207_541d1f,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023207_541d1f,103,task_assigned,R5,G00039,
20260908_023207_541d1f,104,task_completed,R6,G00030,
20260908_023207_541d1f,105,task_completed,R8,G00019,
20260908_023207_541d1f,105,task_created,,G00040,type=PICK pickup=D-06 dropoff=PICK-2
20260908_023207_541d1f,105,task_assigned,R2,G00040,
20260908_023207_541d1f,107,task_completed,R9,G00037,
20260908_023207_541d1f,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=B-03
20260908_023207_541d1f,107,task_assigned,R11,G00041,
