run_id,tick,event_type,robot_id,task_id,details
20260908_023435_16dab3,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260908_023435_16dab3,3,task_assigned,R11,G00001,
20260908_023435_16dab3,5,task_created,,G00002,type=PICK pickup=E-03 dropoff=PICK-1
20260908_023435_16dab3,5,task_assigned,R9,G00002,
20260908_023435_16dab3,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023435_16dab3,7,task_assigned,R2,G00003,
20260908_023435_16dab3,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023435_16dab3,9,task_assigned,R5,G00004,
20260908_023435_16dab3,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-07
20260908_023435_16dab3,11,task_assigned,R7,G00005,
20260908_023435_16dab3,14,task_completed,R5,G00004,
20260908_023435_16dab3,15,task_created,,G00006,type=PICK pickup=B-02 dropoff=PICK-3
20260908_023435_16dab3,15,task_assigned,R8,G00006,
20260908_023435_16dab3,18,task_completed,R11,G00001,
20260908_023435_16dab3,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=F-08
20260908_023435_16dab3,19,task_assigned,R3,G00007,
20260908_023435_16dab3,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-2
20260908_023435_16dab3,19,task_assigned,R1,G00008,
20260908_023435_16dab3,21,task_completed,R9,G00002,
20260908_023435_16dab3,22,task_completed,R2,G00003,
20260908_023435_16dab3,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023435_16dab3,23,task_assigned,R5,G00009,
20260908_023435_16dab3,25,task_created,,G00010,type=PICK pickup=F-06 dropoff=PICK-3
20260908_023435_16dab3,25,task_assigned,R11,G00010,
20260908_023435_16dab3,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-01
20260908_023435_16dab3,27,task_assigned,R6,G00011,
20260908_023435_16dab3,28,task_completed,R5,G00009,
20260908_023435_16dab3,30,robot_blocked,R1,,"{""x"": 15, ""y"": 11}"
20260908_023435_16dab3,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023435_16dab3,31,task_assigned,R9,G00012,
20260908_023435_16dab3,32,task_completed,R7,G00005,
20260908_023435_16dab3,32,task_completed,R1,G00008,
20260908_023435_16dab3,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-02
20260908_023435_16dab3,35,task_assigned,R1,G00013,
20260908_023435_16dab3,35,task_created,,G00014,type=PICK pickup=C-07 dropoff=PICK-3
20260908_023435_16dab3,35,task_assigned,R7,G00014,
20260908_023435_16dab3,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023435_16dab3,37,task_assigned,R12,G00015,
20260908_023435_16dab3,40,task_completed,R9,G00012,
20260908_023435_16dab3,41,task_completed,R11,G00010,
20260908_023435_16dab3,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-07
20260908_023435_16dab3,43,task_assigned,R5,G00016,
20260908_023435_16dab3,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023435_16dab3,43,task_assigned,R4,G00017,
20260908_023435_16dab3,45,task_created,,G00018,type=PICK pickup=B-06 dropoff=PICK-1
20260908_023435_16dab3,45,task_assigned,R2,G00018,
20260908_023435_16dab3,46,task_completed,R12,G00015,
20260908_023435_16dab3,46,robot_blocked,R8,,"{""x"": 18, ""y"": 7}"
20260908_023435_16dab3,48,robot_blocked,R7,,"{""x"": 19, ""y"": 8}"
20260908_023435_16dab3,50,task_completed,R3,G00007,
20260908_023435_16dab3,50,task_completed,R7,G00014,
20260908_023435_16dab3,51,task_completed,R8,G00006,
20260908_023435_16dab3,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260908_023435_16dab3,51,task_assigned,R3,G00019,
20260908_023435_16dab3,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023435_16dab3,51,task_assigned,R12,G00020,
20260908_023435_16dab3,55,task_completed,R6,G00011,
20260908_023435_16dab3,55,task_created,,G00021,type=PICK pickup=C-06 dropoff=PICK-3
20260908_023435_16dab3,55,task_assigned,R10,G00021,
20260908_023435_16dab3,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023435_16dab3,55,task_assigned,R9,G00022,
20260908_023435_16dab3,56,task_completed,R1,G00013,
20260908_023435_16dab3,56,task_completed,R12,G00020,
20260908_023435_16dab3,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260908_023435_16dab3,59,task_assigned,R1,G00023,
20260908_023435_16dab3,65,task_completed,R4,G00017,
20260908_023435_16dab3,65,task_created,,G00024,type=PICK pickup=B-07 dropoff=PICK-1
20260908_023435_16dab3,65,task_assigned,R6,G00024,
20260908_023435_16dab3,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023435_16dab3,65,task_assigned,R12,G00025,
20260908_023435_16dab3,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-07
20260908_023435_16dab3,67,task_assigned,R13,G00026,
20260908_023435_16dab3,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-1
