run_id,tick,event_type,robot_id,task_id,details
20260908_023610_56ce16,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=B-05
20260908_023610_56ce16,3,task_assigned,R7,G00001,
20260908_023610_56ce16,5,task_created,,G00002,type=PICK pickup=D-01 dropoff=PICK-3
20260908_023610_56ce16,5,task_assigned,R8,G00002,
20260908_023610_56ce16,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023610_56ce16,7,task_assigned,R3,G00003,
20260908_023610_56ce16,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023610_56ce16,9,task_assigned,R2,G00004,
20260908_023610_56ce16,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260908_023610_56ce16,11,task_assigned,R4,G00005,
20260908_023610_56ce16,12,task_completed,R7,G00001,
20260908_023610_56ce16,15,task_completed,R2,G00004,
20260908_023610_56ce16,15,task_created,,G00006,type=PICK pickup=F-05 dropoff=PICK-2
20260908_023610_56ce16,15,task_assigned,R7,G00006,
20260908_023610_56ce16,19,task_completed,R8,G00002,
20260908_023610_56ce16,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260908_023610_56ce16,19,task_assigned,R6,G00007,
20260908_023610_56ce16,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023610_56ce16,19,task_assigned,R9,G00008,
20260908_023610_56ce16,21,task_completed,R4,G00005,
20260908_023610_56ce16,22,task_completed,R7,G00006,
20260908_023610_56ce16,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023610_56ce16,23,task_assigned,R2,G00009,
20260908_023610_56ce16,24,task_completed,R3,G00003,
20260908_023610_56ce16,25,task_created,,G00010,type=PICK pickup=G-05 dropoff=PICK-1
20260908_023610_56ce16,25,task_assigned,R1,G00010,
20260908_023610_56ce16,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260908_023610_56ce16,27,task_assigned,R4,G00011,
20260908_023610_56ce16,28,task_completed,R2,G00009,
20260908_023610_56ce16,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023610_56ce16,31,task_assigned,R7,G00012,
20260908_023610_56ce16,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-07
20260908_023610_56ce16,35,task_assigned,R11,G00013,
20260908_023610_56ce16,35,task_created,,G00014,type=PICK pickup=E-06 dropoff=PICK-1
20260908_023610_56ce16,35,task_assigned,R5,G00014,
20260908_023610_56ce16,37,task_completed,R7,G00012,
20260908_023610_56ce16,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023610_56ce16,37,task_assigned,R10,G00015,
20260908_023610_56ce16,38,robot_blocked,R9,,"{""x"": 15, ""y"": 11}"
20260908_023610_56ce16,40,task_completed,R9,G00008,
20260908_023610_56ce16,42,robot_blocked,R6,,"{""x"": 7, ""y"": 4}"
20260908_023610_56ce16,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-05
20260908_023610_56ce16,43,task_assigned,R2,G00016,
20260908_023610_56ce16,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260908_023610_56ce16,43,task_assigned,R8,G00017,
20260908_023610_56ce16,43,robot_blocked,R1,,"{""x"": 8, ""y"": 4}"
20260908_023610_56ce16,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-3
20260908_023610_56ce16,45,task_assigned,R3,G00018,
20260908_023610_56ce16,46,robot_blocked,R4,,"{""x"": 6, ""y"": 2}"
20260908_023610_56ce16,47,task_completed,R10,G00015,
20260908_023610_56ce16,50,robot_blocked,R2,,"{""x"": 6, ""y"": 12}"
20260908_023610_56ce16,51,task_completed,R1,G00010,
20260908_023610_56ce16,51,task_completed,R4,G00011,
20260908_023610_56ce16,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=E-08
20260908_023610_56ce16,51,task_assigned,R13,G00019,
20260908_023610_56ce16,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023610_56ce16,51,task_assigned,R10,G00020,
20260908_023610_56ce16,51,robot_blocked,R8,,"{""x"": 15, ""y"": 11}"
20260908_023610_56ce16,53,task_completed,R8,G00017,
20260908_023610_56ce16,55,task_created,,G00021,type=PICK pickup=G-03 dropoff=PICK-3
20260908_023610_56ce16,55,task_assigned,R12,G00021,
20260908_023610_56ce16,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023610_56ce16,55,task_assigned,R1,G00022,
20260908_023610_56ce16,56,task_completed,R10,G00020,
20260908_023610_56ce16,57,task_completed,R5,G00014,
20260908_023610_56ce16,58,robot_blocked,R3,,"{""x"": 5, ""y"": 4}"
20260908_023610_56ce16,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260908_023610_56ce16,59,task_assigned,R9,G00023,
20260908_023610_56ce16,64,task_completed,R1,G00022,
20260908_023610_56ce16,65,task_created,,G00024,type=PICK pickup=H-06 dropoff=PICK-1
20260908_023610_56ce16,65,task_assigned,R8,G00024,
20260908_023610_56ce16,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023610_56ce16,65,task_assigned,R10,G00025,
20260908_023610_56ce16,65,robot_blocked,R11,,"{""x"": 2, ""y"": 4}"
20260908_023610_56ce16,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260908_023610_56ce16,67,task_assigned,R4,G00026,
20260908_023610_56ce16,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-2
20260908_023610_56ce16,67,task_assigned,R5,G00027,
20260908_023610_56ce16,68,task_completed,R11,G00013,
20260908_023610_56ce16,69,robot_blocked,R13,,"{""x"": 12, ""y"": 6}"
20260908_023610_56ce16,70,task_completed,R2,G00016,
20260908_023610_56ce16,70,task_completed,R10,G00025,
