tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9731,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9346,99.15,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8692,98.65,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8038,98.15,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.7115,97.65,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.6192,97.15,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.5,96.65,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.3808,96.15,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.2115,95.65,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,1.0,1.0,0.0,4,9,0,0,0,0,0,99.0423,95.15,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,0.0,1.0,0.0,4,9,0,0,0,0,0,98.9,95.15,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,0.0,1.0,0.0,4,9,0,0,0,0,0,98.7462,95.15,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,1.0,2.0,0.0,4,9,0,0,0,0,0,98.5538,94.65,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,9,0,0,0,0,0,98.4,94.15,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,9,0,0,0,0,0,98.2462,93.65,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,9,0,0,0,0,0,98.0923,93.15,100.0,0.0,0.0,0.0,0.0
19,0,5.0,2.0,1.0,3.0,0.0,5,8,0,0,0,0,0,97.8846,92.65,100.0,0.0,0.0,0.0,0.0
20,0,5.0,0.0,0.0,3.0,0.0,5,8,0,0,0,0,0,97.7154,92.15,100.0,0.0,0.0,0.0,0.0
21,0,4.0,0.0,1.0,4.0,0.0,4,9,0,0,0,0,0,97.5462,91.65,100.0,0.0,0.0,0.0,0.0
22,0,3.0,0.0,1.0,5.0,0.0,3,10,0,0,0,0,0,97.4154,91.15,100.0,0.0,0.0,0.0,0.0
23,0,4.0,1.0,0.0,5.0,0.0,4,9,0,0,0,0,0,97.2962,91.15,100.0,0.0,0.0,0.0,0.0
24,0,3.0,0.0,1.0,6.0,0.0,3,10,0,0,0,0,0,97.1654,91.15,100.0,0.0,0.0,0.0,0.0
25,0,4.0,1.0,0.0,6.0,0.0,4,9,0,0,0,0,0,97.0462,91.15,100.0,0.0,0.0,0.0,0.0
26,0,4.0,0.0,0.0,6.0,0.0,4,9,0,0,0,0,0,96.9154,91.15,100.0,0.0,0.0,0.0,0.0
27,0,5.0,1.0,0.0,6.0,0.0,5,8,0,0,0,0,0,96.7577,91.15,100.0,0.0,0.0,0.0,0.0
28,0,4.0,0.0,1.0,7.0,0.0,4,9,0,0,0,0,0,96.6,91.15,100.0,0.0,0.0,0.0,0.0
29,0,4.0,0.0,0.0,7.0,0.0,4,9,0,0,0,0,0,96.4808,91.15,100.0,0.0,0.0,0.0,0.0
30,0,4.0,0.0,0.0,7.0,0.0,4,9,0,0,0,0,0,96.3615,91.15,100.0,0.0,0.0,0.0,0.0
