run_id,tick,event_type,robot_id,task_id,details
20260908_023740_b1f314,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-04
20260908_023740_b1f314,3,task_assigned,R11,G00001,
20260908_023740_b1f314,5,task_created,,G00002,type=PICK pickup=C-07 dropoff=PICK-1
20260908_023740_b1f314,5,task_assigned,R13,G00002,
20260908_023740_b1f314,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023740_b1f314,7,task_assigned,R2,G00003,
20260908_023740_b1f314,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023740_b1f314,9,task_assigned,R4,G00004,
20260908_023740_b1f314,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=A-02
20260908_023740_b1f314,11,task_assigned,R1,G00005,
20260908_023740_b1f314,14,task_completed,R4,G00004,
20260908_023740_b1f314,15,task_created,,G00006,type=PICK pickup=F-05 dropoff=PICK-3
20260908_023740_b1f314,15,task_assigned,R8,G00006,
20260908_023740_b1f314,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260908_023740_b1f314,19,task_assigned,R12,G00007,
20260908_023740_b1f314,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260908_023740_b1f314,19,task_assigned,R5,G00008,
20260908_023740_b1f314,21,robot_blocked,R13,,"{""x"": 8, ""y"": 4}"
20260908_023740_b1f314,22,robot_blocked,R11,,"{""x"": 7, ""y"": 4}"
20260908_023740_b1f314,23,task_completed,R2,G00003,
20260908_023740_b1f314,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,23,task_assigned,R6,G00009,
20260908_023740_b1f314,25,task_created,,G00010,type=PICK pickup=G-02 dropoff=PICK-1
20260908_023740_b1f314,25,task_assigned,R4,G00010,
20260908_023740_b1f314,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260908_023740_b1f314,27,task_assigned,R2,G00011,
20260908_023740_b1f314,29,task_completed,R6,G00009,
20260908_023740_b1f314,31,task_completed,R13,G00002,
20260908_023740_b1f314,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023740_b1f314,31,task_assigned,R6,G00012,
20260908_023740_b1f314,32,task_completed,R1,G00005,
20260908_023740_b1f314,32,robot_blocked,R12,,"{""x"": 12, ""y"": 5}"
20260908_023740_b1f314,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260908_023740_b1f314,35,task_assigned,R1,G00013,
20260908_023740_b1f314,35,task_created,,G00014,type=PICK pickup=D-05 dropoff=PICK-2
20260908_023740_b1f314,35,task_assigned,R10,G00014,
20260908_023740_b1f314,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,37,task_assigned,R3,G00015,
20260908_023740_b1f314,40,task_completed,R5,G00008,
20260908_023740_b1f314,43,task_completed,R8,G00006,
20260908_023740_b1f314,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-03
20260908_023740_b1f314,43,task_assigned,R5,G00016,
20260908_023740_b1f314,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023740_b1f314,43,task_assigned,R13,G00017,
20260908_023740_b1f314,44,robot_blocked,R1,,"{""x"": 9, ""y"": 1}"
20260908_023740_b1f314,45,task_created,,G00018,type=PICK pickup=C-01 dropoff=PICK-3
20260908_023740_b1f314,45,task_assigned,R9,G00018,
20260908_023740_b1f314,48,task_completed,R3,G00015,
20260908_023740_b1f314,51,task_completed,R12,G00007,
20260908_023740_b1f314,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=H-08
20260908_023740_b1f314,51,task_assigned,R8,G00019,
20260908_023740_b1f314,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,51,task_assigned,R3,G00020,
20260908_023740_b1f314,53,task_completed,R4,G00010,
20260908_023740_b1f314,53,task_completed,R2,G00011,
20260908_023740_b1f314,53,task_completed,R6,G00012,
20260908_023740_b1f314,55,task_created,,G00021,type=PICK pickup=H-03 dropoff=PICK-2
20260908_023740_b1f314,55,task_assigned,R7,G00021,
20260908_023740_b1f314,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023740_b1f314,55,task_assigned,R4,G00022,
20260908_023740_b1f314,56,task_completed,R3,G00020,
20260908_023740_b1f314,57,task_completed,R13,G00017,
20260908_023740_b1f314,58,task_completed,R1,G00013,
20260908_023740_b1f314,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=H-03
20260908_023740_b1f314,59,task_assigned,R12,G00023,
20260908_023740_b1f314,65,task_completed,R10,G00014,
20260908_023740_b1f314,65,task_created,,G00024,type=PICK pickup=C-02 dropoff=PICK-2
20260908_023740_b1f314,65,task_assigned,R1,G00024,
20260908_023740_b1f314,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,65,task_assigned,R3,G00025,
20260908_023740_b1f314,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260908_023740_b1f314,67,task_assigned,R6,G00026,
20260908_023740_b1f314,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023740_b1f314,67,task_assigned,R10,G00027,
20260908_023740_b1f314,68,task_completed,R5,G00016,
20260908_023740_b1f314,69,robot_blocked,R4,,"{""x"": 15, ""y"": 11}"
20260908_023740_b1f314,70,task_completed,R3,G00025,
20260908_023740_b1f314,71,task_completed,R4,G00022,
20260908_023740_b1f314,74,task_completed,R1,G00024,
20260908_023740_b1f314,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260908_023740_b1f314,75,task_assigned,R5,G00028,
20260908_023740_b1f314,75,task_created,,G00029,type=PICK pickup=G-05 dropoff=PICK-3
20260908_023740_b1f314,75,task_assigned,R2,G00029,
20260908_023740_b1f314,76,task_completed,R9,G00018,
20260908_023740_b1f314,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023740_b1f314,79,task_assigned,R1,G00030,
20260908_023740_b1f314,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,79,task_assigned,R3,G00031,
20260908_023740_b1f314,80,robot_blocked,R10,,"{""x"": 9, ""y"": 8}"
20260908_023740_b1f314,81,task_completed,R8,G00019,
20260908_023740_b1f314,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260908_023740_b1f314,83,task_assigned,R9,G00032,
20260908_023740_b1f314,84,task_completed,R3,G00031,
20260908_023740_b1f314,84,robot_blocked,R6,,"{""x"": 12, ""y"": 1}"
20260908_023740_b1f314,85,task_created,,G00033,type=PICK pickup=E-08 dropoff=PICK-2
20260908_023740_b1f314,85,task_assigned,R3,G00033,
20260908_023740_b1f314,85,robot_blocked,R5,,"{""x"": 12, ""y"": 2}"
20260908_023740_b1f314,86,task_completed,R11,G00001,
20260908_023740_b1f314,86,task_completed,R2,G00029,
20260908_023740_b1f314,89,task_completed,R7,G00021,
20260908_023740_b1f314,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=A-01
20260908_023740_b1f314,91,task_assigned,R13,G00034,
20260908_023740_b1f314,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260908_023740_b1f314,91,task_assigned,R7,G00035,
20260908_023740_b1f314,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,93,task_assigned,R4,G00036,
20260908_023740_b1f314,95,task_created,,G00037,type=PICK pickup=A-08 dropoff=PICK-2
20260908_023740_b1f314,95,task_assigned,R11,G00037,
20260908_023740_b1f314,95,robot_blocked,R7,,"{""x"": 8, ""y"": 8}"
20260908_023740_b1f314,96,task_completed,R10,G00027,
20260908_023740_b1f314,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=D-04
20260908_023740_b1f314,99,task_assigned,R10,G00038,
20260908_023740_b1f314,100,task_completed,R4,G00036,
20260908_023740_b1f314,101,robot_blocked,R3,,"{""x"": 5, ""y"": 4}"
20260908_023740_b1f314,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-1
20260908_023740_b1f314,103,task_assigned,R2,G00039,
20260908_023740_b1f314,105,task_completed,R9,G00032,
20260908_023740_b1f314,105,task_created,,G00040,type=PICK pickup=E-06 dropoff=PICK-1
20260908_023740_b1f314,105,task_assigned,R4,G00040,
20260908_023740_b1f314,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260908_023740_b1f314,107,task_assigned,R8,G00041,
20260908_023740_b1f314,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-1
20260908_023740_b1f314,107,task_assigned,R9,G00042,
20260908_023740_b1f314,108,task_completed,R1,G00030,
20260908_023740_b1f314,109,robot_blocked,R9,,"{""x"": 11, ""y"": 4}"
20260908_023740_b1f314,110,task_completed,R12,G00023,
20260908_023740_b1f314,111,robot_blocked,R2,,"{""x"": 12, ""y"": 8}"
20260908_023740_b1f314,115,task_completed,R11,G00037,
20260908_023740_b1f314,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260908_023740_b1f314,115,task_created,,G00044,type=PICK pickup=H-02 dropoff=PICK-1
20260908_023740_b1f314,115,task_assigned,R12,G00044,
20260908_023740_b1f314,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-1
20260908_023740_b1f314,115,task_assigned,R1,G00045,
20260908_023740_b1f314,116,task_assigned,R11,G00043,
20260908_023740_b1f314,118,task_completed,R6,G00026,
20260908_023740_b1f314,118,task_completed,R2,G00039,
20260908_023740_b1f314,120,task_completed,R13,G00034,
20260908_023740_b1f314,120,task_completed,R7,G00035,
20260908_023740_b1f314,121,task_completed,R3,G00033,
20260908_023740_b1f314,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260908_023740_b1f314,121,task_assigned,R7,G00046,
20260908_023740_b1f314,123,task_created,,G00047,type=PUTAWAY pickup=BUFFER dropoff=C-03
20260908_023740_b1f314,123,task_assigned,R3,G00047,
20260908_023740_b1f314,125,task_completed,R9,G00042,
20260908_023740_b1f314,125,task_created,,G00048,type=PICK pickup=G-04 dropoff=PICK-1
20260908_023740_b1f314,125,task_assigned,R6,G00048,
