tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,13,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9731,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,12,0,0,0,0,0,99.9462,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8923,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,11,0,0,0,0,0,99.8385,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.7577,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,10,0,0,0,0,0,99.6769,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.5692,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,9,0,0,0,0,0,99.45,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.3038,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,0,99.1462,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,8,0,0,0,0,0,98.9769,96.15,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,1.0,1.0,0.0,4,9,0,0,0,0,0,98.7962,95.65,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,0.0,1.0,0.0,5,8,0,0,0,0,0,98.6269,95.15,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,8,0,0,0,0,0,98.4577,94.65,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,8,0,0,0,0,0,98.2885,94.15,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,8,0,0,0,0,0,98.1192,93.65,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,6,0,0,0,0,0,97.8962,93.15,100.0,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,6,0,0,0,0,0,97.6731,92.65,100.0,0.0,0.0,0.0,0.0
21,0,7.0,0.0,0.0,1.0,0.0,6,6,1,0,0,0,0,97.4885,92.15,100.0,0.0,0.0,1.0,1.0
22,0,7.0,0.0,0.0,1.0,0.0,5,6,2,0,0,0,0,97.3423,92.15,100.0,0.0,0.0,2.0,3.0
23,0,7.0,1.0,1.0,2.0,0.0,6,6,1,0,0,0,0,97.1692,91.95,100.0,1.0,1.0,2.0,5.0
24,0,7.0,0.0,0.0,2.0,0.0,7,6,0,0,0,0,0,96.9577,91.65,100.0,0.0,1.0,0.0,5.0
25,0,8.0,1.0,0.0,2.0,0.0,8,5,0,0,0,0,0,96.7192,91.15,100.0,0.0,1.0,0.0,5.0
26,0,8.0,0.0,0.0,2.0,0.0,8,5,0,0,0,0,0,96.4808,90.65,100.0,0.0,1.0,0.0,5.0
27,0,9.0,1.0,0.0,2.0,0.0,9,4,0,0,0,0,0,96.1808,90.15,100.0,0.0,1.0,0.0,5.0
28,0,9.0,0.0,0.0,2.0,0.0,9,4,0,0,0,0,0,95.8692,89.65,100.0,0.0,1.0,0.0,5.0
29,0,8.0,0.0,1.0,3.0,0.0,8,5,0,0,0,0,0,95.5577,89.15,100.0,0.0,1.0,0.0,5.0
30,0,8.0,0.0,0.0,3.0,0.0,8,5,0,0,0,0,0,95.2846,88.65,100.0,0.0,1.0,0.0,5.0
