run_id,tick,event_type,robot_id,task_id,details
20260909_025355_6e90c6,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025355_6e90c6,3,task_assigned,R3,G00001,
20260909_025355_6e90c6,5,task_created,,G00002,type=PICK pickup=F-08 dropoff=PICK-2
20260909_025355_6e90c6,5,task_assigned,R2,G00002,
20260909_025355_6e90c6,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025355_6e90c6,7,task_assigned,R1,G00003,
20260909_025355_6e90c6,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025355_6e90c6,9,task_assigned,R4,G00004,
20260909_025355_6e90c6,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025355_6e90c6,15,task_created,,G00006,type=PICK pickup=D-08 dropoff=PICK-3
20260909_025355_6e90c6,16,task_completed,R2,G00002,
20260909_025355_6e90c6,17,task_assigned,R2,G00006,
20260909_025355_6e90c6,17,robot_blocked,R1,,"{""x"": 13, ""y"": 8}"
20260909_025355_6e90c6,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025355_6e90c6,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025355_6e90c6,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025355_6e90c6,24,task_completed,R1,G00003,
20260909_025355_6e90c6,25,task_assigned,R1,G00009,
20260909_025355_6e90c6,25,task_created,,G00010,type=PICK pickup=A-06 dropoff=PICK-3
20260909_025355_6e90c6,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025355_6e90c6,31,task_completed,R3,G00001,
20260909_025355_6e90c6,31,task_completed,R1,G00009,
20260909_025355_6e90c6,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025355_6e90c6,32,task_assigned,R1,G00008,
20260909_025355_6e90c6,32,task_assigned,R3,G00012,
20260909_025355_6e90c6,34,task_completed,R4,G00004,
20260909_025355_6e90c6,35,task_assigned,R4,G00010,
20260909_025355_6e90c6,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025355_6e90c6,35,task_created,,G00014,type=PICK pickup=C-08 dropoff=PICK-3
20260909_025355_6e90c6,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025355_6e90c6,40,task_completed,R2,G00006,
20260909_025355_6e90c6,41,task_assigned,R2,G00015,
20260909_025355_6e90c6,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=A-03
20260909_025355_6e90c6,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025355_6e90c6,45,task_created,,G00018,type=PICK pickup=H-04 dropoff=PICK-3
20260909_025355_6e90c6,47,task_completed,R3,G00012,
20260909_025355_6e90c6,48,task_assigned,R3,G00017,
20260909_025355_6e90c6,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=C-04
20260909_025355_6e90c6,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025355_6e90c6,55,task_created,,G00021,type=PICK pickup=E-04 dropoff=PICK-1
20260909_025355_6e90c6,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025355_6e90c6,57,task_completed,R2,G00015,
20260909_025355_6e90c6,58,task_assigned,R2,G00020,
20260909_025355_6e90c6,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=H-02
20260909_025355_6e90c6,63,task_completed,R2,G00020,
20260909_025355_6e90c6,64,task_completed,R1,G00008,
20260909_025355_6e90c6,64,task_assigned,R2,G00022,
20260909_025355_6e90c6,65,task_created,,G00024,type=PICK pickup=F-03 dropoff=PICK-1
20260909_025355_6e90c6,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025355_6e90c6,65,task_assigned,R1,G00025,
20260909_025355_6e90c6,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260909_025355_6e90c6,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025355_6e90c6,68,robot_blocked,R2,,"{""x"": 12, ""y"": 13}"
20260909_025355_6e90c6,70,task_completed,R3,G00017,
20260909_025355_6e90c6,71,task_assigned,R3,G00027,
20260909_025355_6e90c6,73,task_completed,R4,G00010,
20260909_025355_6e90c6,74,task_assigned,R4,G00014,
20260909_025355_6e90c6,74,task_completed,R1,G00025,
20260909_025355_6e90c6,75,task_assigned,R1,G00018,
20260909_025355_6e90c6,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025355_6e90c6,75,task_created,,G00029,type=PICK pickup=G-05 dropoff=PICK-3
20260909_025355_6e90c6,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025355_6e90c6,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025355_6e90c6,83,task_completed,R2,G00022,
20260909_025355_6e90c6,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=G-05
20260909_025355_6e90c6,84,task_assigned,R2,G00031,
20260909_025355_6e90c6,85,task_created,,G00033,type=PICK pickup=G-04 dropoff=PICK-3
20260909_025355_6e90c6,87,task_completed,R4,G00014,
20260909_025355_6e90c6,88,task_assigned,R4,G00030,
20260909_025355_6e90c6,89,robot_blocked,R4,,"{""x"": 19, ""y"": 8}"
20260909_025355_6e90c6,91,task_completed,R2,G00031,
20260909_025355_6e90c6,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025355_6e90c6,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025355_6e90c6,92,task_assigned,R2,G00035,
20260909_025355_6e90c6,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025355_6e90c6,95,task_completed,R3,G00027,
20260909_025355_6e90c6,95,task_created,,G00037,type=PICK pickup=D-01 dropoff=PICK-2
