tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.5625,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.175,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.7875,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.3625,96.35,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.9375,95.85,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5125,95.35,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.0875,94.85,97.55,0.0,0.0,0.0,0.0
16,2,5.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,95.6625,94.35,97.2,0.0,0.0,0.0,0.0
17,1,4.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,95.275,93.85,96.85,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,94.925,93.5,96.5,0.0,0.0,0.0,0.0
19,2,6.0,2.0,0.0,2.0,0.0,4,0,0,0,0,0,0,94.575,93.15,96.15,0.0,0.0,0.0,0.0
20,2,6.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,94.225,92.8,95.8,0.0,0.0,0.0,0.0
21,2,6.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,93.875,92.45,95.45,0.0,0.0,0.0,0.0
22,2,6.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,93.4875,92.1,94.95,0.0,0.0,0.0,0.0
23,3,7.0,1.0,0.0,2.0,0.0,3,0,1,0,0,0,0,93.15,91.75,94.45,0.0,0.0,1.0,1.0
24,3,6.0,0.0,1.0,3.0,0.0,2,1,1,0,0,0,0,92.9375,91.4,93.95,1.0,1.0,2.0,3.0
25,3,7.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.55,91.05,93.6,0.0,1.0,0.0,3.0
26,3,7.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.1625,90.7,93.25,0.0,1.0,0.0,3.0
27,4,8.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.775,90.35,92.9,0.0,1.0,0.0,3.0
28,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.35,90.0,92.4,0.0,1.0,0.0,3.0
29,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.8875,89.5,91.9,0.0,1.0,0.0,3.0
30,4,6.0,0.0,2.0,5.0,0.0,2,2,0,0,0,0,0,90.425,89.0,91.4,0.0,1.0,0.0,3.0
31,3,7.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,90.0375,88.5,91.05,0.0,1.0,0.0,3.0
32,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.65,88.0,90.7,0.0,1.0,0.0,3.0
33,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.225,87.5,90.35,0.0,1.0,0.0,3.0
34,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.8,87.0,90.0,0.0,1.0,0.0,3.0
35,5,9.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.375,86.5,89.65,0.0,1.0,0.0,3.0
36,5,9.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.95,86.0,89.3,0.0,1.0,0.0,3.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.525,85.5,88.95,0.0,1.0,0.0,3.0
38,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.0625,85.0,88.6,0.0,1.0,0.0,3.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.6,84.5,88.25,0.0,1.0,0.0,3.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.1375,84.0,87.9,0.0,1.0,0.0,3.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.675,83.5,87.55,0.0,1.0,0.0,3.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.2125,83.0,87.2,0.0,1.0,0.0,3.0
43,8,11.0,2.0,1.0,6.0,0.0,3,1,0,0,0,0,0,84.75,82.5,86.85,0.0,1.0,0.0,3.0
44,7,11.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.2875,82.0,86.35,0.0,1.0,0.0,3.0
45,8,11.0,1.0,1.0,7.0,0.0,3,1,0,0,0,0,0,83.825,81.5,85.85,0.0,1.0,0.0,3.0
46,7,10.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,83.4,81.15,85.35,0.0,1.0,0.0,3.0
47,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,83.0125,80.8,84.85,0.0,1.0,0.0,3.0
48,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,82.5875,80.45,84.35,0.0,1.0,0.0,3.0
49,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,82.1625,80.1,83.85,0.0,1.0,0.0,3.0
50,6,9.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,81.7375,79.75,83.35,0.0,1.0,0.0,3.0
51,7,11.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,81.35,79.4,82.85,0.0,1.0,0.0,3.0
52,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.9625,79.05,82.35,0.0,1.0,0.0,3.0
53,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.575,78.7,81.85,0.0,1.0,0.0,3.0
54,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.1125,78.2,81.35,0.0,1.0,0.0,3.0
55,9,13.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.6125,77.7,80.85,0.0,1.0,0.0,3.0
56,9,12.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,79.1125,77.2,80.35,0.0,1.0,0.0,3.0
57,8,11.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,78.65,76.7,79.85,0.0,1.0,0.0,3.0
58,7,11.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,78.225,76.2,79.5,0.0,1.0,0.0,3.0
59,8,12.0,1.0,0.0,11.0,0.0,4,0,0,0,0,0,0,77.8,75.7,79.15,0.0,1.0,0.0,3.0
60,8,11.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,77.375,75.2,78.8,0.0,1.0,0.0,3.0
61,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,76.9875,74.85,78.45,0.0,1.0,0.0,3.0
62,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,76.6,74.5,78.1,0.0,1.0,0.0,3.0
63,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,76.2125,74.15,77.75,0.0,1.0,0.0,3.0
64,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,75.825,73.8,77.4,0.0,1.0,0.0,3.0
65,9,13.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,75.4375,73.45,77.05,0.0,1.0,0.0,3.0
66,9,13.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,75.05,73.1,76.7,0.0,1.0,0.0,3.0
67,11,15.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,74.6625,72.75,76.35,0.0,1.0,0.0,3.0
68,11,15.0,0.0,0.0,12.0,0.0,2,0,2,0,0,0,0,74.4875,72.75,76.0,0.0,1.0,2.0,5.0
69,11,15.0,0.0,0.0,12.0,0.0,3,0,1,0,0,0,0,74.3125,72.75,75.65,1.0,2.0,2.0,7.0
70,11,14.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,73.8875,72.4,75.15,0.0,2.0,0.0,7.0
71,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,73.5,72.05,74.75,0.0,2.0,0.0,7.0
72,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,73.1125,71.7,74.4,0.0,2.0,0.0,7.0
73,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.725,71.35,74.05,0.0,2.0,0.0,7.0
74,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.3,71.0,73.55,0.0,2.0,0.0,7.0
75,12,16.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.875,70.65,73.05,0.0,2.0,0.0,7.0
76,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.45,70.3,72.55,0.0,2.0,0.0,7.0
77,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.9875,69.95,72.05,0.0,2.0,0.0,7.0
78,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.525,69.6,71.55,0.0,2.0,0.0,7.0
79,14,16.0,2.0,2.0,15.0,0.0,2,2,0,0,0,0,0,70.0625,69.25,71.05,0.0,2.0,0.0,7.0
80,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.6375,68.75,70.55,0.0,2.0,0.0,7.0
81,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.2125,68.25,70.05,0.0,2.0,0.0,7.0
82,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.7875,67.75,69.6,0.0,2.0,0.0,7.0
83,13,17.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.325,67.25,69.25,0.0,2.0,0.0,7.0
84,13,17.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.8625,66.75,68.9,0.0,2.0,0.0,7.0
85,14,17.0,1.0,1.0,16.0,0.0,3,1,0,0,0,0,0,67.4,66.25,68.55,0.0,2.0,0.0,7.0
86,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,66.975,65.75,68.2,0.0,2.0,0.0,7.0
87,13,15.0,0.0,2.0,18.0,0.0,2,2,0,0,0,0,0,66.55,65.25,67.85,0.0,2.0,0.0,7.0
88,11,15.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,66.2,64.9,67.5,0.0,2.0,0.0,7.0
89,11,15.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,65.85,64.55,67.15,0.0,2.0,0.0,7.0
90,11,15.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,65.4625,64.2,66.65,0.0,2.0,0.0,7.0
91,13,17.0,2.0,0.0,18.0,0.0,3,0,1,0,0,0,0,65.2,63.85,66.65,0.0,2.0,1.0,8.0
92,13,17.0,0.0,0.0,18.0,0.0,2,0,2,0,0,0,0,65.025,63.5,66.65,0.0,2.0,2.0,10.0
93,14,18.0,1.0,0.0,18.0,0.0,3,0,1,0,0,0,0,64.85,63.15,66.65,1.0,3.0,2.0,12.0
94,14,18.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,64.4625,62.8,66.15,0.0,3.0,0.0,12.0
95,15,19.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,64.0375,62.45,65.65,0.0,3.0,0.0,12.0
96,15,19.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,63.6125,62.1,65.15,0.0,3.0,0.0,12.0
97,15,19.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,63.1875,61.75,64.65,0.0,3.0,0.0,12.0
98,15,18.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,62.7625,61.4,64.15,0.0,3.0,0.0,12.0
99,15,19.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,62.375,61.05,63.8,0.0,3.0,0.0,12.0
100,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,61.9875,60.6,63.45,0.0,3.0,0.0,12.0
101,15,18.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,61.6,60.1,63.1,0.0,3.0,0.0,12.0
102,14,18.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,61.2125,59.75,62.75,0.0,3.0,0.0,12.0
103,15,19.0,1.0,0.0,20.0,0.0,4,0,0,0,0,0,0,60.7875,59.35,62.25,0.0,3.0,0.0,12.0
104,15,19.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,60.3625,58.85,61.8,0.0,3.0,0.0,12.0
105,16,19.0,1.0,1.0,21.0,0.0,3,1,0,0,0,0,0,59.9375,58.35,61.45,0.0,3.0,0.0,12.0
106,15,19.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,59.5125,57.85,60.95,0.0,3.0,0.0,12.0
107,17,21.0,2.0,0.0,21.0,0.0,4,0,0,0,0,0,0,59.0875,57.35,60.55,0.0,3.0,0.0,12.0
108,17,21.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,58.6625,56.85,60.2,0.0,3.0,0.0,12.0
109,17,20.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,58.2375,56.35,59.85,0.0,3.0,0.0,12.0
110,16,20.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,57.85,56.0,59.5,0.0,3.0,0.0,12.0
111,16,20.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,57.4625,55.65,59.15,0.0,3.0,0.0,12.0
112,16,20.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,57.075,55.3,58.8,0.0,3.0,0.0,12.0
113,16,20.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,56.6875,54.95,58.45,0.0,3.0,0.0,12.0
114,16,20.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,56.3,54.6,58.1,0.0,3.0,0.0,12.0
115,19,23.0,3.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.875,54.25,57.6,0.0,3.0,0.0,12.0
116,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.45,53.9,57.1,0.0,3.0,0.0,12.0
117,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.9875,53.55,56.6,0.0,3.0,0.0,12.0
118,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.525,53.2,56.1,0.0,3.0,0.0,12.0
119,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.0625,52.85,55.6,0.0,3.0,0.0,12.0
120,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,53.6,52.5,55.1,0.0,3.0,0.0,12.0
121,20,22.0,1.0,2.0,24.0,0.0,2,2,0,0,0,0,0,53.1375,52.15,54.6,0.0,3.0,0.0,12.0
122,18,22.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,52.7125,51.8,54.25,0.0,3.0,0.0,12.0
123,19,23.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,52.2875,51.35,53.9,0.0,3.0,0.0,12.0
124,19,23.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.825,50.85,53.55,0.0,3.0,0.0,12.0
125,20,24.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.3625,50.35,53.2,0.0,3.0,0.0,12.0
126,20,23.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,50.9,49.85,52.85,0.0,3.0,0.0,12.0
127,20,24.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,50.4375,49.35,52.35,0.0,3.0,0.0,12.0
128,20,24.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,49.975,48.85,51.85,0.0,3.0,0.0,12.0
129,20,23.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,49.5125,48.35,51.35,0.0,3.0,0.0,12.0
130,19,23.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,49.0875,47.85,51.0,0.0,3.0,0.0,12.0
131,20,22.0,1.0,2.0,28.0,0.0,2,2,0,0,0,0,0,48.6625,47.35,50.65,0.0,3.0,0.0,12.0
132,18,22.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,48.3125,47.0,50.3,0.0,3.0,0.0,12.0
133,18,22.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,47.9625,46.65,49.95,0.0,3.0,0.0,12.0
134,18,22.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,47.6125,46.3,49.6,0.0,3.0,0.0,12.0
135,20,24.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,47.2625,45.95,49.25,0.0,3.0,0.0,12.0
136,20,24.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,46.9125,45.6,48.9,0.0,3.0,0.0,12.0
137,20,24.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,46.5625,45.25,48.55,0.0,3.0,0.0,12.0
138,20,24.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,46.2125,44.9,48.2,0.0,3.0,0.0,12.0
139,22,26.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,45.8625,44.55,47.85,0.0,3.0,0.0,12.0
140,22,26.0,0.0,0.0,28.0,0.0,3,0,1,0,0,0,0,45.6,44.2,47.5,0.0,3.0,1.0,13.0
141,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,45.2125,43.85,47.15,0.0,3.0,0.0,13.0
142,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.825,43.5,46.8,0.0,3.0,0.0,13.0
143,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.4375,43.15,46.45,0.0,3.0,0.0,13.0
144,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.05,42.8,46.1,0.0,3.0,0.0,13.0
145,23,27.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.625,42.45,45.75,0.0,3.0,0.0,13.0
146,23,27.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.2,42.1,45.4,0.0,3.0,0.0,13.0
147,24,28.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,42.7375,41.6,45.05,0.0,3.0,0.0,13.0
148,24,28.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,42.275,41.1,44.7,0.0,3.0,0.0,13.0
149,25,28.0,1.0,1.0,29.0,0.0,2,1,1,0,0,0,0,41.9,40.6,44.7,0.0,3.0,1.0,14.0
150,24,28.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,41.475,40.1,44.35,0.0,3.0,0.0,14.0
151,25,28.0,1.0,1.0,30.0,0.0,3,1,0,0,0,0,0,41.05,39.6,44.0,0.0,3.0,0.0,14.0
152,24,28.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,40.625,39.1,43.5,0.0,3.0,0.0,14.0
153,24,28.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,40.2,38.6,43.0,0.0,3.0,0.0,14.0
154,24,28.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,39.775,38.1,42.5,0.0,3.0,0.0,14.0
155,26,30.0,2.0,0.0,30.0,0.0,4,0,0,0,0,0,0,39.3125,37.6,42.0,0.0,3.0,0.0,14.0
156,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,38.85,37.1,41.5,0.0,3.0,0.0,14.0
157,26,29.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,38.3875,36.6,41.0,0.0,3.0,0.0,14.0
158,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.9625,36.1,40.5,0.0,3.0,0.0,14.0
159,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.5375,35.6,40.0,0.0,3.0,0.0,14.0
160,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.1125,35.1,39.5,0.0,3.0,0.0,14.0
161,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.6875,34.6,39.0,0.0,3.0,0.0,14.0
162,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.2625,34.1,38.5,0.0,3.0,0.0,14.0
163,28,31.0,3.0,1.0,32.0,0.0,3,1,0,0,0,0,0,35.8375,33.6,38.0,0.0,3.0,0.0,14.0
164,27,31.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.45,33.1,37.65,0.0,3.0,0.0,14.0
165,28,32.0,1.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.0625,32.6,37.3,0.0,3.0,0.0,14.0
166,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.6375,32.1,36.95,0.0,3.0,0.0,14.0
167,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.2125,31.6,36.6,0.0,3.0,0.0,14.0
168,28,30.0,0.0,2.0,34.0,0.0,2,2,0,0,0,0,0,33.7875,31.1,36.25,0.0,3.0,0.0,14.0
169,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,33.4,30.6,35.9,0.0,3.0,0.0,14.0
170,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,33.0125,30.1,35.55,0.0,3.0,0.0,14.0
