tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.2125,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.825,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.4375,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.0125,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5875,95.75,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.125,95.25,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.625,94.75,97.05,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.125,94.25,96.55,0.0,0.0,0.0,0.0
18,2,5.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.625,93.75,96.05,0.0,0.0,0.0,0.0
19,3,6.0,2.0,1.0,2.0,0.0,3,1,0,0,0,0,0,94.1625,93.25,95.7,0.0,0.0,0.0,0.0
20,2,6.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,93.7375,92.8,95.35,0.0,0.0,0.0,0.0
21,2,5.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,93.3125,92.3,95.0,0.0,0.0,0.0,0.0
22,1,5.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.925,91.8,94.65,0.0,0.0,0.0,0.0
23,2,6.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.5375,91.3,94.3,0.0,0.0,0.0,0.0
24,2,6.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.15,90.8,93.95,0.0,0.0,0.0,0.0
25,3,7.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.7625,90.3,93.6,0.0,0.0,0.0,0.0
26,3,7.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.375,89.8,93.25,0.0,0.0,0.0,0.0
27,4,7.0,1.0,1.0,4.0,0.0,3,1,0,0,0,0,0,90.9875,89.3,92.9,0.0,0.0,0.0,0.0
28,3,7.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,90.6375,88.95,92.55,0.0,0.0,0.0,0.0
29,3,7.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,90.2875,88.6,92.2,0.0,0.0,0.0,0.0
30,3,7.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,89.9375,88.25,91.85,0.0,0.0,0.0,0.0
31,4,8.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,89.55,87.9,91.5,0.0,0.0,0.0,0.0
32,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,89.1625,87.55,91.15,0.0,0.0,0.0,0.0
33,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.775,87.2,90.8,0.0,0.0,0.0,0.0
34,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.3875,86.85,90.45,0.0,0.0,0.0,0.0
35,6,10.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.0,86.5,90.1,0.0,0.0,0.0,0.0
36,6,10.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.575,86.15,89.6,0.0,0.0,0.0,0.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.1125,85.8,89.1,0.0,0.0,0.0,0.0
38,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.65,85.4,88.6,0.0,0.0,0.0,0.0
39,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.1875,84.9,88.1,0.0,0.0,0.0,0.0
40,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,85.725,84.4,87.6,0.0,0.0,0.0,0.0
41,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,85.225,83.9,87.1,0.0,0.0,0.0,0.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.7625,83.55,86.6,0.0,0.0,0.0,0.0
43,8,11.0,2.0,1.0,6.0,0.0,3,1,0,0,0,0,0,84.3,83.2,86.1,0.0,0.0,0.0,0.0
44,7,11.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.875,82.85,85.6,0.0,0.0,0.0,0.0
45,8,12.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.45,82.5,85.1,0.0,0.0,0.0,0.0
46,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.025,82.15,84.6,0.0,0.0,0.0,0.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.6,81.8,84.1,0.0,0.0,0.0,0.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.1375,81.3,83.6,0.0,0.0,0.0,0.0
49,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,81.675,80.8,83.1,0.0,0.0,0.0,0.0
50,7,10.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,81.25,80.3,82.75,0.0,0.0,0.0,0.0
51,8,11.0,2.0,1.0,9.0,0.0,3,1,0,0,0,0,0,80.8625,79.95,82.4,0.0,0.0,0.0,0.0
52,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.5125,79.6,82.05,0.0,0.0,0.0,0.0
53,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.1625,79.25,81.7,0.0,0.0,0.0,0.0
54,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.775,78.75,81.35,0.0,0.0,0.0,0.0
55,9,13.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.3875,78.25,81.0,0.0,0.0,0.0,0.0
56,9,12.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,78.9625,77.75,80.5,0.0,0.0,0.0,0.0
57,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.5375,77.4,80.0,0.0,0.0,0.0,0.0
58,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.075,77.05,79.5,0.0,0.0,0.0,0.0
59,9,13.0,1.0,0.0,10.0,0.0,4,0,0,0,0,0,0,77.6125,76.7,79.0,0.0,0.0,0.0,0.0
60,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,77.15,76.35,78.5,0.0,0.0,0.0,0.0
61,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.6875,76.0,78.0,0.0,0.0,0.0,0.0
62,9,12.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,76.225,75.65,77.5,0.0,0.0,0.0,0.0
63,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.8,75.2,77.15,0.0,0.0,0.0,0.0
64,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.375,74.7,76.8,0.0,0.0,0.0,0.0
65,10,14.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.95,74.2,76.45,0.0,0.0,0.0,0.0
66,10,13.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,74.4875,73.7,76.1,0.0,0.0,0.0,0.0
67,11,15.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,74.0625,73.35,75.75,0.0,0.0,0.0,0.0
68,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.6375,73.0,75.4,0.0,0.0,0.0,0.0
69,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.2125,72.55,75.05,0.0,0.0,0.0,0.0
70,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.7875,72.05,74.7,0.0,0.0,0.0,0.0
71,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.325,71.55,74.35,0.0,0.0,0.0,0.0
72,11,14.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,71.8625,71.05,74.0,0.0,0.0,0.0,0.0
73,10,13.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,71.4375,70.55,73.65,0.0,0.0,0.0,0.0
74,9,12.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,71.05,70.05,73.3,0.0,0.0,0.0,0.0
75,10,14.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,70.7,69.7,72.95,0.0,0.0,0.0,0.0
76,10,14.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,70.3125,69.35,72.45,0.0,0.0,0.0,0.0
77,10,14.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.925,69.0,71.95,0.0,0.0,0.0,0.0
78,10,14.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.5375,68.65,71.45,0.0,0.0,0.0,0.0
79,12,16.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.15,68.3,70.95,0.0,0.0,0.0,0.0
80,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.7625,67.95,70.45,0.0,0.0,0.0,0.0
81,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.375,67.6,69.95,0.0,0.0,0.0,0.0
82,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.9875,67.25,69.45,0.0,0.0,0.0,0.0
83,13,16.0,1.0,1.0,16.0,0.0,3,1,0,0,0,0,0,67.6,66.9,68.95,0.0,0.0,0.0,0.0
84,12,16.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,67.25,66.55,68.6,0.0,0.0,0.0,0.0
85,13,17.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,66.9,66.2,68.25,0.0,0.0,0.0,0.0
86,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,66.55,65.85,67.9,0.0,0.0,0.0,0.0
87,13,17.0,0.0,0.0,16.0,0.0,2,0,2,0,0,0,0,66.375,65.85,67.9,0.0,0.0,2.0,2.0
88,13,17.0,0.0,0.0,16.0,0.0,3,0,1,0,0,0,0,66.1625,65.35,67.9,1.0,1.0,2.0,4.0
89,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,65.775,64.85,67.55,0.0,1.0,0.0,4.0
90,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,65.3875,64.35,67.2,0.0,1.0,0.0,4.0
91,15,19.0,2.0,0.0,16.0,0.0,4,0,0,0,0,0,0,65.0,63.85,66.85,0.0,1.0,0.0,4.0
92,15,19.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.6125,63.35,66.5,0.0,1.0,0.0,4.0
93,16,20.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.225,62.85,66.15,0.0,1.0,0.0,4.0
94,16,20.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.8375,62.35,65.8,0.0,1.0,0.0,4.0
95,17,21.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.45,61.85,65.45,0.0,1.0,0.0,4.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.0625,61.35,65.1,0.0,1.0,0.0,4.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.6375,60.85,64.75,0.0,1.0,0.0,4.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.175,60.35,64.4,0.0,1.0,0.0,4.0
99,18,22.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.7125,59.85,64.05,0.0,1.0,0.0,4.0
100,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.2125,59.35,63.55,0.0,1.0,0.0,4.0
101,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,60.7125,58.85,63.05,0.0,1.0,0.0,4.0
102,18,20.0,0.0,2.0,18.0,0.0,2,2,0,0,0,0,0,60.2125,58.35,62.55,0.0,1.0,0.0,4.0
103,17,21.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.7875,58.0,62.2,0.0,1.0,0.0,4.0
104,17,21.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.3625,57.65,61.85,0.0,1.0,0.0,4.0
105,18,22.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.9375,57.3,61.5,0.0,1.0,0.0,4.0
106,18,21.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,58.475,56.95,61.0,0.0,1.0,0.0,4.0
107,19,23.0,2.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.05,56.6,60.5,0.0,1.0,0.0,4.0
108,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,57.625,56.25,60.0,0.0,1.0,0.0,4.0
109,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.2375,55.9,59.65,0.0,1.0,0.0,4.0
110,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.85,55.55,59.3,0.0,1.0,0.0,4.0
111,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.4625,55.2,58.95,0.0,1.0,0.0,4.0
112,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.0375,54.7,58.6,0.0,1.0,0.0,4.0
113,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.6125,54.2,58.25,0.0,1.0,0.0,4.0
114,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.1875,53.7,57.9,0.0,1.0,0.0,4.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.7625,53.2,57.55,0.0,1.0,0.0,4.0
116,21,25.0,0.0,0.0,20.0,0.0,2,0,2,0,0,0,0,54.5125,52.7,57.55,0.0,1.0,2.0,6.0
117,21,25.0,0.0,0.0,20.0,0.0,3,0,1,0,0,0,0,54.2625,52.2,57.55,1.0,2.0,2.0,8.0
118,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,53.8375,51.7,57.2,0.0,2.0,0.0,8.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.45,51.2,56.85,0.0,2.0,0.0,8.0
120,20,23.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,53.0625,50.7,56.5,0.0,2.0,0.0,8.0
121,20,24.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.7125,50.35,56.15,0.0,2.0,0.0,8.0
122,20,24.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.325,50.0,55.65,0.0,2.0,0.0,8.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.9,49.65,55.15,0.0,2.0,0.0,8.0
124,21,25.0,0.0,0.0,22.0,0.0,3,0,1,0,0,0,0,51.5625,49.3,54.65,0.0,2.0,1.0,9.0
125,22,25.0,1.0,1.0,23.0,0.0,3,1,0,0,0,0,0,51.1375,48.95,54.15,0.0,2.0,0.0,9.0
126,21,25.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.7125,48.45,53.65,0.0,2.0,0.0,9.0
127,22,25.0,1.0,1.0,24.0,0.0,2,1,1,0,0,0,0,50.4125,48.45,53.15,0.0,2.0,1.0,10.0
128,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.9875,47.95,52.8,0.0,2.0,0.0,10.0
129,21,24.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,49.5625,47.45,52.45,0.0,2.0,0.0,10.0
130,20,24.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,49.175,47.1,52.1,0.0,2.0,0.0,10.0
131,21,25.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.7875,46.75,51.75,0.0,2.0,0.0,10.0
132,21,25.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.4,46.4,51.4,0.0,2.0,0.0,10.0
133,21,24.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,48.0125,46.05,51.05,0.0,2.0,0.0,10.0
134,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.6625,45.7,50.7,0.0,2.0,0.0,10.0
135,22,26.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.3125,45.35,50.35,0.0,2.0,0.0,10.0
136,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.9625,45.0,50.0,0.0,2.0,0.0,10.0
137,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.6125,44.65,49.65,0.0,2.0,0.0,10.0
138,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.2625,44.3,49.3,0.0,2.0,0.0,10.0
139,24,28.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.9125,43.95,48.95,0.0,2.0,0.0,10.0
140,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.5625,43.6,48.6,0.0,2.0,0.0,10.0
141,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.2125,43.25,48.25,0.0,2.0,0.0,10.0
142,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.825,42.9,47.75,0.0,2.0,0.0,10.0
143,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.3625,42.4,47.25,0.0,2.0,0.0,10.0
144,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.9,41.9,46.75,0.0,2.0,0.0,10.0
145,25,29.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.4375,41.4,46.25,0.0,2.0,0.0,10.0
146,25,29.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.975,40.9,45.75,0.0,2.0,0.0,10.0
147,26,30.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.5125,40.4,45.25,0.0,2.0,0.0,10.0
148,26,29.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,42.05,39.9,44.75,0.0,2.0,0.0,10.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.625,39.55,44.25,0.0,2.0,0.0,10.0
150,26,29.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,41.2,39.2,43.75,0.0,2.0,0.0,10.0
151,26,30.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.8125,38.85,43.4,0.0,2.0,0.0,10.0
152,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.3875,38.5,43.05,0.0,2.0,0.0,10.0
153,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.9625,38.15,42.7,0.0,2.0,0.0,10.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.5375,37.8,42.35,0.0,2.0,0.0,10.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.075,37.3,42.0,0.0,2.0,0.0,10.0
156,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.575,36.8,41.5,0.0,2.0,0.0,10.0
157,28,29.0,0.0,3.0,31.0,0.0,1,3,0,0,0,0,0,38.075,36.3,41.0,0.0,2.0,0.0,10.0
158,25,28.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,37.65,35.95,40.5,0.0,2.0,0.0,10.0
159,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,37.2625,35.6,40.15,0.0,2.0,0.0,10.0
160,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.875,35.25,39.8,0.0,2.0,0.0,10.0
161,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.4875,34.9,39.45,0.0,2.0,0.0,10.0
162,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.1,34.55,39.1,0.0,2.0,0.0,10.0
163,27,31.0,3.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.7125,34.1,38.75,0.0,2.0,0.0,10.0
164,27,31.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.325,33.6,38.4,0.0,2.0,0.0,10.0
165,28,32.0,1.0,0.0,32.0,0.0,3,0,1,0,0,0,0,35.025,33.5,38.05,0.0,2.0,1.0,11.0
166,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.6,33.1,37.7,0.0,2.0,0.0,11.0
167,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.175,32.6,37.35,0.0,2.0,0.0,11.0
168,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,33.75,32.1,37.0,0.0,2.0,0.0,11.0
169,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,33.325,31.6,36.65,0.0,2.0,0.0,11.0
170,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,32.9,31.1,36.3,0.0,2.0,0.0,11.0
